date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,192.53,42672148,193.58,194.68,-0.00542411406137,-0.011043764125744815
2023-12-28,193.58,34049898,193.15,194.83,0.0022262490292519477,-0.0064158497151363125
2023-12-27,193.15,47899806,193.05,196.94,0.0005180005180005498,-0.01924443993094338
2023-12-26,193.05,28919310,193.6,195.89,-0.0028409090909089496,-0.014497932513145018
2023-12-22,193.6,37149570,194.68,197.57,-0.005547565235257901,-0.020094143847750212
2023-12-21,194.68,46482549,194.83,198.11,-0.0007699019658163886,-0.017313613648982873
2023-12-20,194.83,52242815,196.94,197.96,-0.010713923022240168,-0.01581127500505153
2023-12-19,196.94,40233138,195.89,194.71,0.005360151105212152,0.01145292999845915
2023-12-18,195.89,55751861,197.57,193.18,-0.008503315280660062,0.01402836732580992
2023-12-15,197.57,128538401,198.11,195.71,-0.0027257584170411464,0.009503857748709654
2023-12-14,198.11,66831572,197.96,194.27,0.0007577288341078514,0.019766304627580222
2023-12-13,197.96,70404183,194.71,192.32,0.016691489908068347,0.029326123128119885
2023-12-12,194.71,52696900,193.18,193.42,0.007920074541878153,0.006669424051287454
2023-12-11,193.18,60943699,195.71,189.43,-0.012927290378621392,0.019796230797656023
2023-12-08,195.71,53406358,194.27,191.24,0.007412364235342528,0.023373771177577884
2023-12-07,194.27,47477655,192.32,189.95,0.010139351081530856,0.022742827059752724
2023-12-06,192.32,40895115,193.42,189.37,-0.005687105780167512,0.015577969055288632
2023-12-05,193.42,66628398,189.43,190.4,0.02106318956870612,0.01586134453781507
2023-12-04,189.43,43389519,191.24,189.79,-0.009464547165864867,-0.0018968333421148786
2023-12-01,191.24,45704823,189.95,189.97,0.006791260858120651,0.006685266094646591
2023-11-30,189.95,48794366,189.37,191.31,0.003062787136294043,-0.00710888087397421
2023-11-29,189.37,43014224,190.4,190.64,-0.005409663865546199,-0.00666177087704567
2023-11-28,190.4,38415419,189.79,191.45,0.0032140787185837016,-0.005484460694698212
2023-11-27,189.79,40552609,189.97,189.69,-0.0009475180291624863,0.0005271759186040725
2023-11-24,189.97,24048344,191.31,189.71,-0.0070043385081804965,0.0013705128880923123
2023-11-22,191.31,39630011,190.64,188.01,0.0035144775493076708,0.017552257858624687
2023-11-21,190.64,38134485,191.45,187.44,-0.004230869678767291,0.01707212974818595
2023-11-20,191.45,46538614,189.69,184.8,0.009278296167430922,0.0359848484848484
2023-11-17,189.69,50941404,189.71,186.4,-0.00010542406831481888,0.01765021459227456
2023-11-16,189.71,54412915,188.01,182.41,0.009042072230200704,0.04001973576010087
2023-11-15,188.01,53790499,187.44,182.89,0.0030409731113956173,0.027994969653890367
2023-11-14,187.44,60108378,184.8,181.82,0.014285714285714235,0.030909690903091036
2023-11-13,184.8,43627519,186.4,179.23,-0.008583690987124415,0.031077386598225898
2023-11-10,186.4,66177922,182.41,176.65,0.021873800778466235,0.055193886215680665
2023-11-09,182.41,53763540,182.89,177.57,-0.002624528405052118,0.027256856450977196
2023-11-08,182.89,49340282,181.82,173.97,0.005884941150588352,0.05127320802437185
2023-11-07,181.82,70529966,179.23,170.77,0.01445070579702068,0.06470691573461362
2023-11-06,179.23,63841310,176.65,170.29,0.014605151429380125,0.052498678724528736
2023-11-03,176.65,79829246,177.57,168.22,-0.005181055358450148,0.050112947330876345
2023-11-02,177.57,77334752,173.97,166.89,0.0206932229694774,0.06399424770807127
2023-11-01,173.97,56934906,170.77,171.1,0.018738654330385796,0.01677381648158982
2023-10-31,170.77,44846017,170.29,173.44,0.0028187210053438605,-0.015394372693726899
2023-10-30,170.29,51130955,168.22,173.0,0.0123053144691474,-0.015664739884393097
2023-10-27,168.22,58499129,166.89,172.88,0.007969321109713157,-0.026955113373438255
2023-10-26,166.89,70625258,171.1,175.46,-0.02460549386323796,-0.04884304114897997
2023-10-25,171.1,57156962,173.44,175.84,-0.013491697416974202,-0.026956323930846238
2023-10-24,173.44,43816644,173.0,177.15,0.0025433526011560126,-0.020942703923228945
2023-10-23,173.0,55980109,172.88,178.72,0.0006941230911614582,-0.03200537153088634
2023-10-20,172.88,64244028,175.46,178.85,-0.014704206086857519,-0.03337992731339112
