date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,136.14,3076112,137.0,142.09,-0.006277372262773806,-0.041874868041382296
2023-12-28,137.0,2770816,136.55,141.07,0.003295496155254485,-0.02885092507265896
2023-12-27,136.55,3979570,138.72,146.91,-0.01564302191464817,-0.0705193655979851
2023-12-26,138.72,4384804,140.8,147.5,-0.014772727272727382,-0.05952542372881353
2023-12-22,140.8,2937363,142.09,146.6,-0.00907875290308957,-0.03956343792632999
2023-12-21,142.09,3318535,141.07,147.26,0.0072304529666122885,-0.035107972293901835
2023-12-20,141.07,5718006,146.91,144.51,-0.03975222925600708,-0.023804580997854763
2023-12-19,146.91,5054417,147.5,140.55,-0.0040000000000000036,0.04525080042689433
2023-12-18,147.5,4175159,146.6,142.91,0.006139154160982319,0.032118116296970145
2023-12-15,146.6,8239015,147.26,140.68,-0.004481868803476785,0.04208131930622683
2023-12-14,147.26,9568622,144.51,139.84,0.019029824925610672,0.05306064073226535
2023-12-13,144.51,6673909,140.55,135.31,0.02817502668089622,0.06799201832828317
2023-12-12,140.55,6823194,142.91,133.71,-0.01651388986075142,0.05115548575274853
2023-12-11,142.91,4560543,140.68,133.7,0.015851578049473902,0.06888556469708318
2023-12-08,140.68,4411181,139.84,135.02,0.006006864988558291,0.041919715597689144
2023-12-07,139.84,7108552,135.31,126.34,0.03347867858990461,0.10685451955041958
2023-12-06,135.31,4810915,133.71,126.48,0.011966195497718823,0.06981340923466162
2023-12-05,133.71,4202219,133.7,127.56,7.479431563206518e-05,0.04821260583254938
2023-12-04,133.7,5263394,135.02,129.0,-0.009776329432676811,0.0364341085271318
2023-12-01,135.02,7424812,126.34,128.37,0.06870349849612167,0.051803380852224024
2023-11-30,126.34,5956297,126.48,129.04,-0.0011068943706514789,-0.02092374457532542
2023-11-29,126.48,4615425,127.56,126.82,-0.008466603951081786,-0.002680965147452974
2023-11-28,127.56,4024433,129.0,129.7,-0.011162790697674452,-0.01649961449498838
2023-11-27,129.0,4408422,128.37,127.15,0.004907688712315839,0.014549744396382236
2023-11-24,128.37,2058920,129.04,126.28,-0.0051921884686917386,0.016550522648083543
2023-11-22,129.04,3974609,126.82,128.35,0.017505125374546626,0.005375925204518905
2023-11-21,126.82,4587125,129.7,126.68,-0.022205088666152673,0.001105146826649639
2023-11-20,129.7,4645935,127.15,119.15,0.020055053086905028,0.08854385228703299
2023-11-17,127.15,3796137,126.28,118.15,0.006889452011403341,0.07617435463393996
2023-11-16,126.28,4177338,128.35,115.52,-0.016127775613556605,0.09314404432132961
2023-11-15,128.35,6851426,126.68,117.66,0.013182822860751342,0.09085500594934559
2023-11-14,126.68,8405215,119.15,121.08,0.06319765002098188,0.04625041295011578
2023-11-13,119.15,3408800,118.15,118.17,0.008463817181548983,0.008293137006008422
2023-11-10,118.15,4775350,115.52,122.64,0.022766620498614998,-0.036611219830397834
2023-11-09,115.52,5519622,117.66,115.5,-0.018187999320074755,0.0001731601731600474
2023-11-08,117.66,7813986,121.08,119.47,-0.028245787908820597,-0.01515024692391398
2023-11-07,121.08,5163900,118.17,118.29,0.024625539477024505,0.02358610195282762
2023-11-06,118.17,7701997,122.64,116.95,-0.03644814090019566,0.010431808465156012
2023-11-03,122.64,9020387,115.5,114.09,0.06181818181818177,0.07494083618196168
2023-11-02,115.5,14053455,119.47,115.47,-0.03323009960659584,0.00025980774227063463
2023-11-01,119.47,9336533,118.29,118.5,0.009975483980048994,0.008185654008438847
2023-10-31,118.29,4647399,116.95,122.01,0.011457887986318971,-0.03048930415539708
2023-10-30,116.95,5218039,114.09,120.39,0.025067928828118147,-0.02857380181078162
2023-10-27,114.09,5201552,115.47,116.49,-0.011951156144453079,-0.020602626834921423
2023-10-26,115.47,5217503,118.5,119.97,-0.02556962025316456,-0.037509377344336126
2023-10-25,118.5,4844458,122.01,122.17,-0.028768133759527914,-0.030040108046165193
2023-10-24,122.01,3651605,120.39,125.71,0.013456267131821686,-0.02943282157346261
2023-10-23,120.39,5442484,116.49,125.19,0.033479268606747326,-0.03834172058471119
2023-10-20,116.49,6195537,119.97,124.08,-0.029007251812953272,-0.061170212765957466
2023-10-19,119.97,4374408,122.17,125.97,-0.0180076941966113,-0.04763038818766374
2023-10-18,122.17,4098435,125.71,130.0,-0.028160050910826406,-0.0602307692307692
2023-10-17,125.71,3073583,125.19,131.59,0.004153686396677125,-0.04468424652329217
2023-10-16,125.19,2706050,124.08,127.77,0.008945841392649978,-0.020192533458558315
2023-10-13,124.08,4929464,125.97,126.36,-0.015003572279114086,-0.018043684710351338
2023-10-12,125.97,4023286,130.0,124.99,-0.031000000000000028,0.007840627250180088
2023-10-11,130.0,3456474,131.59,127.41,-0.012082985029257531,0.020328074719409894
2023-10-10,131.59,5114703,127.77,127.73,0.02989747202003601,0.03021999530259145
2023-10-09,127.77,5092037,126.36,136.56,0.011158594491927909,-0.06436731107205629
2023-10-06,126.36,5153662,124.99,137.21,0.010960876870149683,-0.07907586910575037
2023-10-05,124.99,7630208,127.41,136.47,-0.018993799544776757,-0.08412105224591493
2023-10-04,127.41,5822033,127.73,134.03,-0.0025052845846708083,-0.04939192718048202
2023-10-03,127.73,9019737,136.56,132.28,-0.06466022261277093,-0.03439673420018141
2023-10-02,136.56,3489091,137.21,134.14,-0.0047372640478099415,0.0180408528403162
2023-09-29,137.21,4782071,136.47,132.2,0.005422437165677474,0.03789712556732239
2023-09-28,136.47,4058877,134.03,132.75,0.0182048795045886,0.028022598870056425
2023-09-27,134.03,3771335,132.28,138.01,0.013229513153915962,-0.02883848996449523
2023-09-26,132.28,4194040,134.14,141.85,-0.01386611003429239,-0.06746563271060979
2023-09-25,134.14,4154503,132.2,142.55,0.014674735249621707,-0.05899684321290788
2023-09-22,132.2,4279181,132.75,142.75,-0.004143126177024614,-0.07390542907180397
2023-09-21,132.75,8515389,138.01,144.12,-0.038113180204332964,-0.07889258950874278
2023-09-20,138.01,5192076,141.85,144.715,-0.02707084948889671,-0.04633244653284052
2023-09-19,141.85,6675517,142.55,147.5,-0.004910557699053131,-0.038305084745762774
2023-09-18,142.55,7351442,142.75,147.33,-0.0014010507880909406,-0.03244417294508928
