date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,89.72,1520008,90.47,89.07,-0.008290040897535045,0.0072976310766812436
2023-12-28,90.47,1377391,89.63,86.64,0.009371862099743389,0.044205909510618646
2023-12-27,89.63,1003305,89.44,88.84,0.00212432915921279,0.008892390814948081
2023-12-26,89.44,2044044,89.02,87.3,0.004718040889687636,0.024513172966781127
2023-12-22,89.02,1079482,89.07,87.2,-0.0005613562366677538,0.020871559633027337
2023-12-21,89.07,1674633,86.64,88.85,0.028047091412742198,0.0024760832864378912
2023-12-20,86.64,1746849,88.84,81.58,-0.02476361999099508,0.06202500612895312
2023-12-19,88.84,1964240,87.3,80.44,0.017640320733104398,0.10442565887618116
2023-12-18,87.3,2110041,87.2,80.61,0.0011467889908256534,0.08299218459248237
2023-12-15,87.2,5073933,88.85,79.83,-0.018570624648283518,0.09232118251283983
2023-12-14,88.85,5038662,81.58,80.85,0.08911497916155908,0.09894867037724175
2023-12-13,81.58,3632264,80.44,80.88,0.014172053704624599,0.008654797230464917
2023-12-12,80.44,2650820,80.61,80.85,-0.002108919488897132,-0.0050711193568335755
2023-12-11,80.61,3792267,79.83,82.83,0.009770762871101013,-0.02680188337558853
2023-12-08,79.83,2421724,80.85,84.01,-0.01261595547309824,-0.04975598143078208
2023-12-07,80.85,2350307,80.88,82.84,-0.00037091988130566467,-0.024022211492032985
2023-12-06,80.88,3027195,80.85,82.27,0.00037105751391464104,-0.01689558769903976
2023-12-05,80.85,3549210,82.83,81.95,-0.02390438247011961,-0.0134228187919464
2023-12-04,82.83,1841226,84.01,81.81,-0.014045946911082074,0.012467913458012347
2023-12-01,84.01,2653770,82.84,83.11,0.014123611781748036,0.010829021778366199
2023-11-30,82.84,2790298,82.27,81.63,0.006928406466512715,0.014822981746906772
2023-11-29,82.27,1638020,81.95,80.83,0.0039048200122024923,0.017815167635778728
2023-11-28,81.95,1644592,81.81,81.46,0.0017112822393350324,0.006015222194942327
2023-11-27,81.81,1912668,83.11,81.18,-0.01564192034652867,0.0077605321507761005
2023-11-24,83.11,1170676,81.63,79.15,0.018130589244150563,0.05003158559696774
2023-11-22,81.63,2181565,80.83,80.29,0.009897315353210479,0.01668950056046814
2023-11-21,80.83,2301162,81.46,79.41,-0.00773385710778296,0.017881878856567113
2023-11-20,81.46,1994654,81.18,75.43,0.00344912540034481,0.07994166777144351
2023-11-17,81.18,3003683,79.15,75.93,0.0256475047378395,0.06914263137099952
2023-11-16,79.15,2889565,80.29,72.81,-0.014198530327562575,0.08707595110561739
2023-11-15,80.29,2949811,79.41,73.96,0.011081727742098035,0.08558680367766369
2023-11-14,79.41,3072935,75.43,75.72,0.052764152194087144,0.04873217115689377
2023-11-13,75.43,2468551,75.93,74.45,-0.006585012511523769,0.013163196776360131
2023-11-10,75.93,4254078,72.81,77.5,0.04285125669550882,-0.020258064516128993
2023-11-09,72.81,3059226,73.96,77.2,-0.015548945375878698,-0.056865284974093266
2023-11-08,73.96,3414165,75.72,86.08,-0.02324352879028002,-0.14079925650557623
2023-11-07,75.72,2828911,74.45,87.2,0.017058428475486886,-0.131651376146789
2023-11-06,74.45,4262513,77.5,86.39,-0.039354838709677376,-0.13821044102326652
2023-11-03,77.5,6142875,77.2,86.01,0.0038860103626943143,-0.09894198349029193
2023-11-02,77.2,10208532,86.08,89.39,-0.10315985130111516,-0.13636872133348243
2023-11-01,86.08,2957997,87.2,89.37,-0.012844036697247763,-0.03681324829361088
2023-10-31,87.2,2636215,86.39,90.79,0.009376085195045736,-0.03954179975768257
2023-10-30,86.39,2988978,86.01,89.65,0.0044180909196605,-0.036363636363636376
2023-10-27,86.01,2188998,89.39,92.0,-0.03781183577581382,-0.06510869565217381
2023-10-26,89.39,2305897,89.37,90.25,0.00022378874342621202,-0.00952908587257617
2023-10-25,89.37,1534600,90.79,92.01,-0.0156404890406433,-0.02869253342028044
2023-10-24,90.79,1216991,89.65,96.58,0.012716118237590557,-0.05995030026920678
2023-10-23,89.65,1935948,92.0,96.63,-0.025543478260869557,-0.07223429576735996
2023-10-20,92.0,2973147,90.25,94.96,0.01939058171745156,-0.031171019376579512
2023-10-19,90.25,2828901,92.01,97.0,-0.01912835561352033,-0.06958762886597936
2023-10-18,92.01,1867643,96.58,98.92,-0.047318285359287615,-0.06985442782046092
2023-10-17,96.58,1861059,96.63,98.12,-0.0005174376487633303,-0.015695067264574036
2023-10-16,96.63,1097022,94.96,96.84,0.017586352148272866,-0.0021685254027262735
2023-10-13,94.96,1063301,97.0,96.97,-0.02103092783505156,-0.020728060224811884
2023-10-12,97.0,1646297,98.92,94.06,-0.01940962393853618,0.03125664469487566
2023-10-11,98.92,851429,98.12,96.46,0.008153281695882475,0.02550279908770481
2023-10-10,98.12,925780,96.84,94.57,0.013217678645187858,0.03753833139473417
2023-10-09,96.84,844816,96.97,97.25,-0.001340620810559967,-0.004215938303341882
2023-10-06,96.97,1965682,94.06,98.59,0.030937699340846336,-0.01643168678364948
2023-10-05,94.06,1497235,96.46,99.14,-0.024880779597760694,-0.051240669759935464
2023-10-04,96.46,1790846,94.57,95.86,0.019985196150999363,0.006259127894846506
2023-10-03,94.57,1493949,97.25,96.45,-0.027557840616966645,-0.01949196474857451
2023-10-02,97.25,1145697,98.59,99.08,-0.013591642154376693,-0.018469923294307633
2023-09-29,98.59,1205309,99.14,97.93,-0.005547710308654419,0.006739507811702294
2023-09-28,99.14,1602117,95.86,97.9,0.03421656582516164,0.012665985699693572
2023-09-27,95.86,1162377,96.45,101.85,-0.006117159149818585,-0.05881197839960717
