date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,187.22,800716,189.6,186.65,-0.012552742616033785,0.003053844093222624
2023-12-28,189.6,538947,189.49,186.2,0.0005805055675760507,0.018259935553168738
2023-12-27,189.49,637664,188.23,189.6,0.006693938267013921,-0.0005801687763712371
2023-12-26,188.23,700356,187.29,189.84,0.0050189545624432785,-0.008480825958702143
2023-12-22,187.29,627118,186.65,187.89,0.003428877578355083,-0.0031933578157432585
2023-12-21,186.65,841425,186.2,191.44,0.0024167561761547773,-0.025020894274968564
2023-12-20,186.2,902594,189.6,183.98,-0.017932489451476852,0.012066528970540169
2023-12-19,189.6,800200,189.84,174.83,-0.0012642225031606058,0.084482068294915
2023-12-18,189.84,844404,187.89,175.41,0.010378412901165701,0.08226440909868304
2023-12-15,187.89,1646975,191.44,175.75,-0.018543669034684518,0.06907539118065431
2023-12-14,191.44,1794511,183.98,175.38,0.04054788563974343,0.09157258524347123
2023-12-13,183.98,954614,174.83,174.99,0.05233655551106775,0.05137436424938557
2023-12-12,174.83,842118,175.41,175.76,-0.0033065389658513133,-0.0052913063268091864
2023-12-11,175.41,691802,175.75,177.74,-0.0019345661450924645,-0.013109035670079927
2023-12-08,175.75,588550,175.38,177.94,0.0021097046413502962,-0.012307519388557897
2023-12-07,175.38,679019,174.99,172.94,0.0022286987827875304,0.01410893951659542
2023-12-06,174.99,890047,175.76,170.83,-0.0043809740555301735,0.024351694667213097
2023-12-05,175.76,1195948,177.74,172.17,-0.011139867221784727,0.020851483998373777
2023-12-04,177.74,1011020,177.94,171.88,-0.0011239743733841845,0.03409355364207589
2023-12-01,177.94,1174601,172.94,173.37,0.028911761304498684,0.026359808502047555
2023-11-30,172.94,1353370,170.83,172.52,0.012351460516302648,0.0024345003477856952
2023-11-29,170.83,899702,172.17,170.75,-0.007783005169309298,0.0004685212298682906
2023-11-28,172.17,890424,171.88,171.17,0.0016872236444029909,0.005842145235730456
2023-11-27,171.88,881133,173.37,169.04,-0.008594335813577936,0.016800757217226625
2023-11-24,173.37,414797,172.52,169.82,0.0049269649895664624,0.02090448710399251
2023-11-22,172.52,799622,170.75,170.96,0.010366032210834542,0.009124941506785333
2023-11-21,170.75,682821,171.17,171.87,-0.0024537009990067693,-0.006516553208820608
2023-11-20,171.17,1035819,169.04,165.29,0.012600567912919969,0.03557383991772034
2023-11-17,169.04,832963,169.82,168.2,-0.004593098574961707,0.004994054696789485
2023-11-16,169.82,670801,170.96,166.37,-0.006668226485727735,0.020736911702830874
2023-11-15,170.96,701915,171.87,168.99,-0.005294699482166765,0.01165749452630327
2023-11-14,171.87,1245276,165.29,167.39,0.03980882086030624,0.026763844913077373
2023-11-13,165.29,512018,168.2,169.12,-0.01730083234244939,-0.02264664143803219
2023-11-10,168.2,456976,166.37,171.32,0.010999579251066871,-0.018211533971515315
2023-11-09,166.37,526128,168.99,167.92,-0.015503875968992276,-0.009230585993330043
2023-11-08,168.99,494176,167.39,163.87,0.009558516040384823,0.031244279001647612
2023-11-07,167.39,492833,169.12,165.74,-0.010229422894985962,0.00995535175576201
2023-11-06,169.12,567974,171.32,162.65,-0.012841466261965806,0.03977866584691059
2023-11-03,171.32,609351,167.92,162.59,0.0202477370176275,0.05369333907374374
2023-11-02,167.92,924209,163.87,167.78,0.024714712882162537,0.0008344260340922283
2023-11-01,163.87,747065,165.74,165.18,-0.011282731989863626,-0.007930742220607856
2023-10-31,165.74,1082075,162.65,169.3,0.018997848140178242,-0.021027761370348452
2023-10-30,162.65,767919,162.59,166.83,0.00036902638538660604,-0.02505544566325002
2023-10-27,162.59,1053454,167.78,169.61,-0.030933365120991763,-0.04138906904074058
2023-10-26,167.78,1336874,165.18,173.05,0.01574040440731328,-0.03045362611961866
2023-10-25,165.18,716610,169.3,175.45,-0.024335499113998793,-0.0585351952123111
2023-10-24,169.3,655267,166.83,179.28,0.014805490619193229,-0.05566711289602855
2023-10-23,166.83,842467,169.61,178.28,-0.016390543010435743,-0.06422481489791332
2023-10-20,169.61,831113,173.05,176.42,-0.0198786477896562,-0.03860106563881627
2023-10-19,173.05,773920,175.45,176.65,-0.013679110857794163,-0.020379281064251353
2023-10-18,175.45,545813,179.28,177.42,-0.021363230700580216,-0.011103595986923676
2023-10-17,179.28,815831,178.28,173.99,0.005609154139555761,0.030404046209552282
2023-10-16,178.28,648396,176.42,174.21,0.010543022333068919,0.023362608346248814
2023-10-13,176.42,603785,176.65,172.0,-0.0013020096235495382,0.0256976744186046
2023-10-12,176.65,461409,177.42,170.26,-0.004339984218239112,0.03753083519323397
2023-10-11,177.42,794771,173.99,168.3,0.01971377665383045,0.05418894830659515
2023-10-10,173.99,558859,174.21,167.41,-0.0012628436943917798,0.03930470103339112
2023-10-09,174.21,438252,172.0,168.09,0.0128488372093023,0.036409066571479576
2023-10-06,172.0,556821,170.26,171.74,0.01021966404322816,0.0015139163852333493
