date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,57.1,1091680,57.35,57.54,-0.0043591979075849885,-0.00764685436218282
2023-12-28,57.35,2591424,57.29,57.0,0.0010473031942748179,0.006140350877193113
2023-12-27,57.29,1676328,57.69,59.09,-0.006933610677760438,-0.03046200710780178
2023-12-26,57.69,1001124,57.73,58.18,-0.0006928806513077923,-0.008422138191818473
2023-12-22,57.73,1069120,57.54,57.33,0.0033020507473062732,0.006977149834292762
2023-12-21,57.54,1254398,57.0,58.42,0.0094736842105263,-0.015063334474495038
2023-12-20,57.0,1702270,59.09,57.11,-0.03536977491961424,-0.0019261075118193194
2023-12-19,59.09,1554855,58.18,56.94,0.015641113784805816,0.03775904460835977
2023-12-18,58.18,1798376,57.33,56.44,0.01482644339787198,0.0308291991495393
2023-12-15,57.33,3418926,58.42,55.08,-0.018657993837726816,0.040849673202614456
2023-12-14,58.42,1998394,57.11,54.52,0.022938189458938885,0.07153338224504768
2023-12-13,57.11,2715998,56.94,53.98,0.0029855988760099095,0.0579844386809929
2023-12-12,56.94,1485957,56.44,60.23,0.008858965272856123,-0.05462394155736339
2023-12-11,56.44,1562314,55.08,60.38,0.024691358024691246,-0.06525339516396167
2023-12-08,55.08,1511640,54.52,59.94,0.010271460014673384,-0.08108108108108103
2023-12-07,54.52,2513557,53.98,58.74,0.010003705075954272,-0.07184201566224035
2023-12-06,53.98,4761952,60.23,58.23,-0.10376888593724054,-0.07298643311008068
2023-12-05,60.23,1603984,60.38,59.26,-0.0024842663133488596,0.016368545393182554
2023-12-04,60.38,1426437,59.94,59.12,0.007340674007340731,0.021312584573748294
2023-12-01,59.94,1731120,58.74,59.75,0.020429009193054126,0.003179916317991527
2023-11-30,58.74,2724991,58.23,59.55,0.008758371973209833,-0.013602015113350019
2023-11-29,58.23,1116533,59.26,58.59,-0.017381032737090796,-0.006144393241167556
2023-11-28,59.26,1206566,59.12,59.02,0.0023680649526387487,0.004066418163334307
2023-11-27,59.12,1279609,59.75,58.51,-0.010543933054393384,0.010425568278926711
2023-11-24,59.75,585678,59.55,57.69,0.0033585222502099388,0.03570809499046623
2023-11-22,59.55,895993,58.59,59.22,0.016385048643112965,0.005572441742654588
2023-11-21,58.59,1877044,59.02,59.09,-0.007285665875974234,-0.00846166864105602
2023-11-20,59.02,1791222,58.51,57.56,0.008716458725004372,0.025364836692147286
2023-11-17,58.51,3361199,57.69,57.02,0.014213901889408964,0.02613118204138898
2023-11-16,57.69,1873023,59.22,58.38,-0.02583586626139822,-0.011819116135663
2023-11-15,59.22,1233550,59.09,58.72,0.002200033846674554,0.008514986376021882
2023-11-14,59.09,1719895,57.56,59.09,0.026580958999305127,0.0
2023-11-13,57.56,1528255,57.02,58.97,0.009470361276745054,-0.02391046294726129
2023-11-10,57.02,1792986,58.38,59.55,-0.02329564919492977,-0.04248530646515525
2023-11-09,58.38,1093338,58.72,57.84,-0.005790190735694756,0.009336099585062207
2023-11-08,58.72,888023,59.09,56.17,-0.0062616347943815764,0.0453978992344668
2023-11-07,59.09,1016869,58.97,56.16,0.002034933016788365,0.05217236467236486
2023-11-06,58.97,1429660,59.55,55.23,-0.009739714525608734,0.06771682056853168
2023-11-03,59.55,1647539,57.84,55.04,0.02956431535269699,0.0819404069767442
2023-11-02,57.84,1390545,56.17,55.96,0.029731173224140983,0.03359542530378845
2023-11-01,56.17,1213444,56.16,55.97,0.00017806267806275144,0.0035733428622477525
2023-10-31,56.16,3288719,55.23,56.35,0.016838674633351536,-0.003371783496007197
2023-10-30,55.23,1216323,55.04,55.19,0.0034520348837208115,0.0007247689798877133
2023-10-27,55.04,1355016,55.96,55.31,-0.01644031451036454,-0.004881576568432577
2023-10-26,55.96,1372100,55.97,55.75,-0.00017866714311232101,0.003766816143497831
2023-10-25,55.97,1143099,56.35,55.78,-0.006743566992014283,0.003406238795267136
2023-10-24,56.35,1541951,55.19,55.69,0.02101830041674213,0.01185131980606946
2023-10-23,55.19,1387803,55.31,54.89,-0.002169589585970022,0.005465476407360059
2023-10-20,55.31,1228507,55.75,53.48,-0.007892376681614355,0.034218399401645616
2023-10-19,55.75,1280333,55.78,53.0,-0.0005378271782000565,0.05188679245283012
2023-10-18,55.78,1870445,55.69,56.19,0.001616089064464088,-0.0072966720056949486
2023-10-17,55.69,1839614,54.89,56.63,0.01457460375296038,-0.016598975807875727
2023-10-16,54.89,1871689,53.48,56.13,0.026364996260284324,-0.022091573133796616
2023-10-13,53.48,1560569,53.0,56.86,0.00905660377358486,-0.05944424903271195
2023-10-12,53.0,2367705,56.19,56.89,-0.056771667556504646,-0.06837757075057127
2023-10-11,56.19,1428108,56.63,57.73,-0.007769733356878028,-0.02667590507535078
2023-10-10,56.63,1354983,56.13,57.75,0.008907892392659988,-0.019393939393939297
2023-10-09,56.13,1416369,56.86,56.83,-0.012838550826591577,-0.012317437972901524
2023-10-06,56.86,1328659,56.89,57.69,-0.0005273334505185856,-0.014387242156352897
2023-10-05,56.89,1192367,57.73,57.09,-0.014550493677463971,-0.0035032404974602027
2023-10-04,57.73,1320793,57.75,56.64,-0.00034632034632042785,0.019244350282485723
2023-10-03,57.75,2332633,56.83,58.29,0.01618863276438498,-0.009264024704065843
2023-10-02,56.83,1438299,57.69,59.83,-0.014907262957184919,-0.05014206919605546
2023-09-29,57.69,2138483,57.09,60.51,0.010509721492380386,-0.04660386712940012
2023-09-28,57.09,1718086,56.64,61.16,0.00794491525423724,-0.06654676258992798
2023-09-27,56.64,1799809,58.29,63.15,-0.028306742151312347,-0.10308788598574814
2023-09-26,58.29,1483152,59.83,62.83,-0.025739595520641756,-0.07225847525067641
2023-09-25,59.83,969876,60.51,63.34,-0.01123781193191209,-0.05541521945058425
2023-09-22,60.51,1243318,61.16,63.73,-0.010627861347285772,-0.050525655107484635
2023-09-21,61.16,1371679,63.15,64.57,-0.0315122723673793,-0.0528109028960817
2023-09-20,63.15,760724,62.83,64.01,0.005093108387712819,-0.013435400718637802
2023-09-19,62.83,1927494,63.34,64.02,-0.008051784022734543,-0.018587941268353614
2023-09-18,63.34,1872790,63.73,64.99,-0.006119566922956121,-0.025388521310970802
2023-09-15,63.73,2186282,64.57,64.31,-0.013009137370295742,-0.009018815114290257
2023-09-14,64.57,2075220,64.01,64.2,0.008748633026089525,0.005763239875389292
