date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,295.67,2300643,296.88,290.07,-0.0040757208299648795,0.01930568483469508
2023-12-28,296.88,2267452,298.12,289.71,-0.0041593988997719045,0.024748886817852478
2023-12-27,298.12,1841830,295.63,292.96,0.008422690525318854,0.01761332605133825
2023-12-26,295.63,2019046,290.36,285.71,0.01814988290398123,0.03472052080781207
2023-12-22,290.36,2833962,290.07,285.74,0.000999758678939644,0.016168544830965192
2023-12-21,290.07,3209389,289.71,285.17,0.0012426219322771992,0.017182733106567927
2023-12-20,289.71,3818414,292.96,267.97,-0.011093664664117986,0.08112848453185029
2023-12-19,292.96,3206313,285.71,261.43,0.025375380630709543,0.12060589832842439
2023-12-18,285.71,2691728,285.74,260.92,-0.00010499055085055886,0.09500996474015011
2023-12-15,285.74,7321193,285.17,259.5,0.0019988077287231842,0.10111753371868981
2023-12-14,285.17,6464060,267.97,257.41,0.06418628951001981,0.10784351812283899
2023-12-13,267.97,3708327,261.43,255.97,0.02501625674176644,0.046880493807868184
2023-12-12,261.43,2375743,260.92,255.19,0.001954622106392634,0.024452368823229875
2023-12-11,260.92,2898544,259.5,254.75,0.005472061657032734,0.02421982335623163
2023-12-08,259.5,3258348,257.41,256.76,0.008119342682879394,0.010671444150179177
2023-12-07,257.41,2162534,255.97,250.72,0.00562565925694436,0.026683152520740272
2023-12-06,255.97,3511343,255.19,249.45,0.0030565461029037344,0.026137502505512167
2023-12-05,255.19,2682372,254.75,247.5,0.0017271835132481872,0.031070707070707027
2023-12-04,254.75,3028712,256.76,247.39,-0.007828322168561996,0.029750596224584758
2023-12-01,256.76,3731480,250.72,247.36,0.024090619017230308,0.03800129366106075
2023-11-30,250.72,3210495,249.45,246.01,0.00509120064141122,0.019145563188488257
2023-11-29,249.45,2224796,247.5,249.41,0.007878787878787818,0.00016037849324401776
2023-11-28,247.5,2150011,247.39,250.45,0.0004446420631392112,-0.011778798163305959
2023-11-27,247.39,1743468,247.36,253.07,0.00012128072445016791,-0.022444382977041988
2023-11-24,247.36,982235,246.01,248.21,0.005487581805617703,-0.0034245195600499656
2023-11-22,246.01,3594076,249.41,251.09,-0.01363217192574473,-0.020231789398223787
2023-11-21,249.41,1765468,250.45,247.86,-0.004152525454182432,0.006253530218671699
2023-11-20,250.45,2661794,253.07,241.67,-0.010352866795748206,0.036330533371953466
2023-11-17,253.07,3438183,248.21,239.68,0.019580194190403244,0.055866154873164264
2023-11-16,248.21,2625013,251.09,234.15,-0.011469990839937827,0.06004697843262874
2023-11-15,251.09,3740063,247.86,234.82,0.013031550068587139,0.06928711353377048
2023-11-14,247.86,3441793,241.67,234.92,0.025613439814623273,0.0550825813042739
2023-11-13,241.67,3035714,239.68,238.28,0.008302736982643388,0.014226959879133805
2023-11-10,239.68,2525979,234.15,240.75,0.023617339312406616,-0.004444444444444362
2023-11-09,234.15,2708931,234.82,239.12,-0.002853249297334104,-0.020784543325526927
2023-11-08,234.82,2532451,234.92,231.83,-0.00042567682615357594,0.01289738170210919
2023-11-07,234.92,4073958,238.28,226.05,-0.014101057579318454,0.03923910639239092
2023-11-06,238.28,2891529,240.75,242.16,-0.010259605399792315,-0.016022464486290078
2023-11-03,240.75,3929453,239.12,238.56,0.006816661090665699,0.009180080482897424
2023-11-02,239.12,7749892,231.83,242.43,0.03144545572186508,-0.013653425731138924
2023-11-01,231.83,4932814,226.05,244.94,0.025569564255695676,-0.053523311831468856
2023-10-31,226.05,12093251,242.16,249.55,-0.06652626362735381,-0.09416950510919653
2023-10-30,242.16,4478283,238.56,247.32,0.015090543259557387,-0.020863658418243558
2023-10-27,238.56,3229943,242.43,249.2,-0.015963370869941818,-0.04269662921348305
2023-10-26,242.43,3859150,244.94,252.89,-0.010247407528374275,-0.04136185693384464
2023-10-25,244.94,2542399,249.55,259.22,-0.018473251853336037,-0.05508834194892376
2023-10-24,249.55,2304815,247.32,272.65,0.009016658579977355,-0.08472400513478806
2023-10-23,247.32,3193201,249.2,270.79,-0.00754414125200642,-0.08667232911111944
2023-10-20,249.2,3103477,252.89,267.94,-0.014591324291193808,-0.06994103157423304
2023-10-19,252.89,3849996,259.22,269.61,-0.02441941208240117,-0.0620155038759691
2023-10-18,259.22,4257056,272.65,272.83,-0.04925728956537667,-0.04988454348861915
2023-10-17,272.65,2110205,270.79,273.21,0.006868791314302403,-0.002049705354855269
2023-10-16,270.79,1678588,267.94,271.3,0.01063670971112951,-0.0018798378179136765
2023-10-13,267.94,1918648,269.61,266.04,-0.006194132265123775,0.00714178319049763
2023-10-12,269.61,1910506,272.83,260.8,-0.011802221163361715,0.033780674846625836
2023-10-11,272.83,1538219,273.21,265.03,-0.001390871490794643,0.029430630494660992
2023-10-10,273.21,2009107,271.3,268.97,0.007040176925912078,0.015763839833438542
2023-10-09,271.3,1640764,266.04,271.72,0.019771462937903994,-0.0015457088179008371
2023-10-06,266.04,2293464,260.8,273.0,0.02009202453987724,-0.02549450549450538
2023-10-05,260.8,2639337,265.03,276.24,-0.0159604573067198,-0.05589342600637126
2023-10-04,265.03,2970215,268.97,272.71,-0.014648473807488016,-0.02816178357962673
2023-10-03,268.97,2188005,271.72,269.52,-0.010120712498159823,-0.0020406648857226317
2023-10-02,271.72,1778235,273.0,274.27,-0.004688644688644605,-0.009297407663980573
2023-09-29,273.0,2257825,276.24,273.06,-0.011728931364031303,-0.00021973192704904942
2023-09-28,276.24,1994725,272.71,272.03,0.012944153129698321,0.01547623423887079
2023-09-27,272.71,1991541,269.52,278.61,0.011835856337192086,-0.021176555041096945
2023-09-26,269.52,1756427,274.27,279.67,-0.0173187005505524,-0.03629277362605943
2023-09-25,274.27,1257517,273.06,280.94,0.004431260528821479,-0.0237417242115755
2023-09-22,273.06,1708570,272.03,279.15,0.0037863470940706634,-0.021816227834497548
2023-09-21,272.03,2278483,278.61,282.56,-0.023617242740748834,-0.03726642129105329
2023-09-20,278.61,2382011,279.67,275.92,-0.003790181285086014,0.009749202667439727
2023-09-19,279.67,2313534,280.94,281.81,-0.004520538193208412,-0.007593768851353655
2023-09-18,280.94,1363218,279.15,282.05,0.006412323123768715,-0.003935472433965637
2023-09-15,279.15,4940871,282.56,282.28,-0.012068233295583375,-0.011088281139294276
2023-09-14,282.56,2660520,275.92,281.43,0.024064946361264106,0.004015208044629182
2023-09-13,275.92,2119256,281.81,282.9,-0.02090060679181005,-0.02467302933898896
2023-09-12,281.81,1587363,282.05,281.63,-0.0008509129586953268,0.0006391364556332935
2023-09-11,282.05,1515311,282.28,286.25,-0.0008147938217371031,-0.014672489082969364
2023-09-08,282.28,1241276,281.43,281.13,0.003020289237110285,0.004090634226158629
2023-09-07,281.43,1593373,282.9,282.33,-0.0051961823966064635,-0.003187759005419122
2023-09-06,282.9,1688876,281.63,280.03,0.004509462770301287,0.01024890190336758
2023-09-05,281.63,2515636,286.25,274.79,-0.016139737991266445,0.02489173550711432
2023-09-01,286.25,2336591,281.13,272.56,0.01821221498950676,0.05022747285001472
2023-08-31,281.13,2579127,282.33,269.3,-0.004250345340558903,0.043928704047530465
2023-08-30,282.33,1431019,280.03,273.03,0.008213405706531507,0.03406219096802543
2023-08-29,280.03,2065754,274.79,270.2,0.01906910731831557,0.03638045891931907
2023-08-28,274.79,1550820,272.56,272.75,0.008181684766656927,0.007479376718606767
2023-08-25,272.56,1291666,269.3,273.8,0.012105458596360918,-0.004528853177501846
2023-08-24,269.3,1433718,273.03,275.17,-0.013661502399003655,-0.021332267325653298
2023-08-23,273.03,1677971,270.2,274.51,0.010473723168023641,-0.005391424720410987
2023-08-22,270.2,1669867,272.75,277.37,-0.009349220898258515,-0.02584994772325777
2023-08-21,272.75,2207586,273.8,284.54,-0.003834915997078192,-0.041435299079215615
2023-08-18,273.8,2532964,275.17,285.22,-0.004978740415016225,-0.04003926793352508
2023-08-17,275.17,2534718,274.51,283.82,0.0024042839969400376,-0.03047706292720731
2023-08-16,274.51,2831256,277.37,284.53,-0.010311136748747174,-0.035215970196464275
2023-08-15,277.37,2593607,284.54,282.89,-0.025198566106698572,-0.019512884866909386
2023-08-14,284.54,2194187,285.22,281.65,-0.0023841245354463414,0.010260962187111922
2023-08-11,285.22,1874273,283.82,276.44,0.0049327038263689005,0.03176096078715096
2023-08-10,283.82,2647229,284.53,281.45,-0.0024953431975537343,0.008420678628530798
2023-08-09,284.53,3088597,282.89,287.57,0.005797306373501954,-0.010571339152206538
2023-08-08,282.89,2519489,281.65,288.65,0.0044026273744008915,-0.01995496275766495
2023-08-07,281.65,2438200,276.44,265.17,0.01884676602517721,0.06214881019723184
2023-08-04,276.44,3888182,281.45,260.43,-0.01780067507550187,0.06147525246707364
2023-08-03,281.45,4745711,287.57,258.3,-0.02128177487220506,0.08962446767324805
2023-08-02,287.57,6290294,288.65,258.32,-0.003741555517062123,0.11323165066584084
2023-08-01,288.65,11830412,265.17,262.06,0.08854696986838606,0.10146531328703334
2023-07-31,265.17,3576780,260.43,259.37,0.01820066812579202,0.02236187685545743
2023-07-28,260.43,2104855,258.3,257.65,0.008246225319396006,0.010789831166311048
2023-07-27,258.3,2284531,258.32,261.09,-7.742335088256613e-05,-0.010685970355049812
2023-07-26,258.32,2622804,262.06,262.75,-0.014271540868503463,-0.016860133206470063
2023-07-25,262.06,2016647,259.37,263.81,0.01037128426572087,-0.0066335620332815814
2023-07-24,259.37,2195493,257.65,257.46,0.006675722879875945,0.0074186281364096995
2023-07-21,257.65,2249852,261.09,255.62,-0.013175533340993528,0.007941475627885053
2023-07-20,261.09,2102305,262.75,255.86,-0.006317792578496739,0.02044086609864748
2023-07-19,262.75,2771896,263.81,253.6,-0.004018043288730566,0.0360804416403786
2023-07-18,263.81,3833380,257.46,252.85,0.024664025479686158,0.04334585722760531
2023-07-17,257.46,2674932,255.62,248.81,0.007198184805570662,0.03476548370242338
2023-07-14,255.62,1936998,255.86,245.18,-0.0009380129758461697,0.04258096092666608
2023-07-13,255.86,1949520,253.6,240.58,0.00891167192429032,0.06351317649014887
2023-07-12,253.6,2986445,252.85,244.83,0.0029661854854656777,0.03582077359800673
2023-07-11,252.85,3294783,248.81,247.33,0.01623728949801051,0.022318360085715305
2023-07-10,248.81,2771882,245.18,246.05,0.014805449057835096,0.01121723226986382
2023-07-07,245.18,2903972,240.58,244.24,0.019120458891013437,0.0038486734359646224
2023-07-06,240.58,3081719,244.83,241.87,-0.017358983784666937,-0.005333443585397113
2023-07-05,244.83,1820710,247.33,240.69,-0.0101079529373711,0.017200548423283113
2023-07-03,247.33,1045746,246.05,236.95,0.005202194675878902,0.04380671027642968
2023-06-30,246.05,2377993,244.24,234.44,0.007410743530953168,0.04952226582494457
2023-06-29,244.24,2070085,241.87,237.34,0.009798652168520272,0.02907221707255414
2023-06-28,241.87,2200056,240.69,241.48,0.004902571772819941,0.001615040583071048
2023-06-27,240.69,2283013,236.95,241.15,0.015783920658366757,-0.0019075264358283661
2023-06-26,236.95,1748332,234.44,245.27,0.010706364101689125,-0.03392180046479398
2023-06-23,234.44,3354027,237.34,247.67,-0.012218757900058996,-0.05341785440303626
2023-06-22,237.34,2423665,241.48,243.32,-0.017144276958754312,-0.024576689133651075
2023-06-21,241.48,2892473,241.15,245.44,0.001368442877876852,-0.016134289439374228
2023-06-20,241.15,2980704,245.27,237.9,-0.016797814653239262,0.013661202185792254
2023-06-16,245.27,5261185,247.67,235.03,-0.009690313723906718,0.04356890609709407
2023-06-15,247.67,2743898,243.32,234.45,0.01787769192832478,0.05638728940072513
2023-06-14,243.32,3122386,245.44,235.55,-0.00863754889178625,0.03298662704309052
2023-06-13,245.44,4335106,237.9,226.68,0.03169398907103815,0.08275983765660833
2023-06-12,237.9,3645004,235.03,222.47,0.012211207079947162,0.06935766620218464
2023-06-09,235.03,2489663,234.45,226.63,0.00247387502665819,0.03706481930900596
2023-06-08,234.45,3548041,235.55,209.07,-0.004669921460411897,0.12139474817046914
2023-06-07,235.55,5586408,226.68,205.75,0.03913005117346047,0.14483596597812887
2023-06-06,226.68,3230095,222.47,209.9,0.018923899851665427,0.07994282991900903
2023-06-05,222.47,3438400,226.63,211.8,-0.018355910514936236,0.05037771482530684
