date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,93.09,1223155,93.82,91.51,-0.0077808569601363065,0.017265872582231445
2023-12-28,93.82,732285,93.64,89.74,0.001922255446390242,0.04546467572988622
2023-12-27,93.64,800548,92.61,90.41,0.011121909081092785,0.03572613648932643
2023-12-26,92.61,539860,91.95,91.48,0.007177814029363683,0.012352426759947521
2023-12-22,91.95,833626,91.51,91.12,0.004808217681127713,0.009108867427568113
2023-12-21,91.51,1110016,89.74,91.07,0.019723646088700697,0.004831448336444666
2023-12-20,89.74,1929554,90.41,86.1,-0.007410684658776701,0.042276422764227606
2023-12-19,90.41,2213806,91.48,82.3,-0.011696545693047788,0.09854191980558924
2023-12-18,91.48,2310909,91.12,82.25,0.003950834064969211,0.1122188449848025
2023-12-15,91.12,4758161,91.07,82.69,0.0005490282200506513,0.1019470310799373
2023-12-14,91.07,3160084,86.1,82.66,0.05772357723577226,0.10174207597386875
2023-12-13,86.1,1712246,82.3,81.45,0.04617253948967193,0.057090239410681365
2023-12-12,82.3,1685949,82.25,81.11,0.0006079027355623268,0.014671433855258265
2023-12-11,82.25,1613438,82.69,82.18,-0.005321078727778428,0.0008517887563883608
2023-12-08,82.69,1084620,82.66,81.41,0.00036293249455598975,0.01572288416656442
2023-12-07,82.66,1291632,81.45,78.96,0.01485573971761811,0.04685916919959476
2023-12-06,81.45,1535139,81.11,79.38,0.004191838244359536,0.026077097505669
2023-12-05,81.11,1514578,82.18,79.03,-0.01302019956193734,0.02631911932177644
2023-12-04,82.18,1964380,81.41,79.0,0.009458297506448998,0.04025316455696215
2023-12-01,81.41,1875255,78.96,79.01,0.031028368794326244,0.03037590178458416
2023-11-30,78.96,3019191,79.38,78.46,-0.005291005291005346,0.006372673973999543
2023-11-29,79.38,1155477,79.03,77.9,0.004428697962798767,0.018998716302952356
2023-11-28,79.03,991317,79.0,78.12,0.0003797468354429512,0.011648745519713177
2023-11-27,79.0,1687569,79.01,78.14,-0.00012656625743578953,0.011005886869720927
2023-11-24,79.01,337030,78.46,78.05,0.007009941371399542,0.012299807815502994
2023-11-22,78.46,758195,77.9,78.6,0.007188703465981883,-0.0017811704834606035
2023-11-21,77.9,1216998,78.12,77.94,-0.002816180235535093,-0.0005132152938156498
2023-11-20,78.12,1144598,78.14,73.32,-0.00025595085743534973,0.06546644844517191
2023-11-17,78.14,1845023,78.05,73.49,0.0011531069827035445,0.06327391481834277
2023-11-16,78.05,1832526,78.6,72.05,-0.006997455470737823,0.08327550312283138
2023-11-15,78.6,2055754,77.94,73.93,0.008468052347959887,0.06316786149059905
2023-11-14,77.94,3432667,73.32,74.32,0.06301145662847807,0.04870828848223896
2023-11-13,73.32,1184902,73.49,75.12,-0.002313239896584607,-0.02396166134185318
2023-11-10,73.49,893195,72.05,76.01,0.019986120749479586,-0.033153532429943566
2023-11-09,72.05,1598210,73.93,71.7,-0.025429460300284146,0.004881450488144923
2023-11-08,73.93,1297802,74.32,70.19,-0.005247578040904033,0.05328394358170696
2023-11-07,74.32,1626027,75.12,69.34,-0.010649627263045969,0.07182001730602816
