date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,115.19,2353852,116.11,114.6,-0.007923520799242079,0.005148342059336786
2023-12-28,116.11,1410592,116.09,114.41,0.00017228012748726762,0.014858841010401136
2023-12-27,116.09,1376779,115.59,113.99,0.004325633705337895,0.01842266865514519
2023-12-26,115.59,1554104,114.83,112.42,0.006618479491422136,0.028197829567692567
2023-12-22,114.83,1412691,114.6,112.84,0.0020069808027922686,0.017635590216235286
2023-12-21,114.6,4991782,114.41,114.55,0.001660693995280127,0.0004364906154517012
2023-12-20,114.41,5141774,113.99,116.76,0.0036845337310289494,-0.02012675573826661
2023-12-19,113.99,4146541,112.42,113.97,0.01396548656822616,0.00017548477669548923
2023-12-18,112.42,4618444,112.84,114.52,-0.003722084367245637,-0.01833740831295838
2023-12-15,112.84,8435561,114.55,116.07,-0.014927979048450446,-0.027828034806582136
2023-12-14,114.55,7682495,116.76,117.64,-0.018927714970880527,-0.026266575994559727
2023-12-13,116.76,4295462,113.97,117.09,0.02448012634903929,-0.002818344862925981
2023-12-12,113.97,3241476,114.52,117.95,-0.004802654558155761,-0.03374311148791864
2023-12-11,114.52,3642214,116.07,118.43,-0.013354010510898573,-0.03301528328970704
2023-12-08,116.07,4391175,117.64,118.57,-0.013345800748044923,-0.021084591380619022
2023-12-07,117.64,3794747,117.09,117.28,0.00469724143820982,0.0030695770804911593
2023-12-06,117.09,6361603,117.95,115.98,-0.007291225095379383,0.009570615623383238
2023-12-05,117.95,3329001,118.43,111.13,-0.004053027104618745,0.06136956717358055
2023-12-04,118.43,4712581,118.57,107.15,-0.0011807371173145897,0.10527298180121325
2023-12-01,118.57,4672549,117.28,103.58,0.010999317871759784,0.14471905773315297
2023-11-30,117.28,5697092,115.98,103.1,0.011208829108466878,0.13753637245392825
2023-11-29,115.98,7393106,111.13,103.6,0.04364258076127059,0.11949806949806963
2023-11-28,111.13,5348615,107.15,104.43,0.03714419038730732,0.06415780905869939
2023-11-27,107.15,6304263,103.58,103.92,0.03446611314925674,0.03108160123171677
2023-11-24,103.58,1193475,103.1,104.12,0.004655674102812757,-0.005186323472915921
2023-11-22,103.1,2080454,103.6,103.26,-0.004826254826254872,-0.001549486732519978
2023-11-21,103.6,2275303,104.43,101.37,-0.007947907689361378,0.02199861892078525
2023-11-20,104.43,2991261,103.92,95.54,0.004907621247113303,0.09305003140046053
2023-11-17,103.92,2512783,104.12,95.64,-0.0019208605455244276,0.0865746549560853
2023-11-16,104.12,2745570,103.26,95.62,0.008328491187294285,0.088893536916963
2023-11-15,103.26,3400354,101.37,96.68,0.018644569399230537,0.06805957798924278
2023-11-14,101.37,4945968,95.54,96.56,0.061021561649570843,0.04981358740679376
2023-11-13,95.54,4142635,95.64,97.13,-0.0010455876202425385,-0.016369813651806786
2023-11-10,95.64,1974188,95.62,98.4,0.00020916126333392349,-0.028048780487804903
2023-11-09,95.62,2584416,96.68,97.55,-0.010964004964832408,-0.01978472578165036
2023-11-08,96.68,2126589,96.56,92.43,0.0012427506213754658,0.04598074218327386
2023-11-07,96.56,2398534,97.13,92.98,-0.005868423761968389,0.038502903850290426
2023-11-06,97.13,2988158,98.4,90.18,-0.012906504065040791,0.07706808605012183
2023-11-03,98.4,4020198,97.55,89.87,0.008713480266530071,0.09491487704461998
2023-11-02,97.55,3558102,92.43,91.47,0.055393270583143916,0.06646988083524641
2023-11-01,92.43,3834092,92.98,87.26,-0.005915250591524979,0.059248223699289504
2023-10-31,92.98,3604676,90.18,88.12,0.031049013084941235,0.05515206536541073
2023-10-30,90.18,3595866,89.87,86.61,0.003449426950038914,0.04121925874610333
2023-10-27,89.87,2992722,91.47,86.14,-0.017492073904012195,0.04330160204318556
2023-10-26,91.47,3848161,87.26,85.89,0.04824661929864771,0.06496681802305271
2023-10-25,87.26,3373662,88.12,90.93,-0.009759418974126133,-0.04036071703508193
2023-10-24,88.12,3024164,86.61,93.4,0.017434476388407782,-0.056531049250535315
2023-10-23,86.61,4355355,86.14,94.58,0.005456234037613195,-0.08426728695284413
2023-10-20,86.14,4481887,85.89,94.54,0.0029106997322156936,-0.08885127988153163
2023-10-19,85.89,8486968,90.93,94.31,-0.05542725173210172,-0.0892800339306542
2023-10-18,90.93,5802717,93.4,94.54,-0.026445396145610256,-0.038184895282420084
2023-10-17,93.4,3651714,94.58,93.11,-0.01247621061535198,0.0031145956395661756
2023-10-16,94.58,5127332,94.54,93.18,0.00042310133276912687,0.01502468340845664
2023-10-13,94.54,3092818,94.31,91.18,0.0024387657724525003,0.03685018644439575
2023-10-12,94.31,2609296,94.54,89.81,-0.002432832663422979,0.05010577886649603
2023-10-11,94.54,3445820,93.11,89.27,0.015358178498550146,0.05903439005264932
2023-10-10,93.11,2378278,93.18,88.44,-0.0007512341704228875,0.052804161013116246
2023-10-09,93.18,3308949,91.18,90.93,0.021934634788330687,0.024744308808973825
2023-10-06,91.18,2938123,89.81,92.03,0.01525442601046656,-0.009236118656959613
2023-10-05,89.81,4258297,89.27,92.08,0.0060490646353759114,-0.024652476107732357
2023-10-04,89.27,3589843,88.44,89.7,0.009384893713251907,-0.0047937569676700376
2023-10-03,88.44,3376073,90.93,91.08,-0.027383701748597944,-0.02898550724637683
2023-10-02,90.93,3216599,92.03,92.31,-0.01195262414430076,-0.014949626259343485
2023-09-29,92.03,4198350,92.08,91.98,-0.0005430060816681292,0.0005435964340072541
