date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,231.34,1407659,233.13,230.35,-0.007678119504139325,0.004297807683959265
2023-12-28,233.13,1501907,232.86,226.81,0.001159494975521591,0.027864732595564545
2023-12-27,232.86,1682305,231.4,229.14,0.006309420916162489,0.016234616391725742
2023-12-26,231.4,1461870,230.36,226.45,0.004514672686230181,0.021859130050783993
2023-12-22,230.36,1577024,230.35,227.23,4.3412198827974535e-05,0.013774589622849165
2023-12-21,230.35,1743828,226.81,229.25,0.015607777434857306,0.004798255179934596
2023-12-20,226.81,2676619,229.14,226.86,-0.010168455965785084,-0.00022040024684832904
2023-12-19,229.14,3084453,226.45,219.75,0.011879001987193716,0.04273037542662106
2023-12-18,226.45,2307919,227.23,221.35,-0.003432645337323459,0.02304043370228137
2023-12-15,227.23,7886284,229.25,217.49,-0.008811341330425382,0.044783668214630534
2023-12-14,229.25,5922483,226.86,218.92,0.010535131799347619,0.0471861867348804
2023-12-13,226.86,3749705,219.75,220.76,0.03235494880546086,0.02763181735821707
2023-12-12,219.75,2892218,221.35,219.44,-0.007228371357578478,0.0014126868392272396
2023-12-11,221.35,2591533,217.49,222.13,0.01774794243413491,-0.0035114572547607636
2023-12-08,217.49,2527540,218.92,223.48,-0.006532066508313394,-0.026803293359584646
2023-12-07,218.92,2767481,220.76,223.31,-0.008334843268708148,-0.0196587703192872
2023-12-06,220.76,1827836,219.44,222.52,0.006015311702515458,-0.007909401402121263
2023-12-05,219.44,2674426,222.13,218.76,-0.012110025660649115,0.0031084293289449505
2023-12-04,222.13,2246858,223.48,220.0,-0.006040809020941396,0.009681818181818125
2023-12-01,223.48,3134072,223.31,221.41,0.0007612735658948377,0.009349171220812025
2023-11-30,223.31,3543560,222.52,221.3,0.00355024267481574,0.009082693176683199
2023-11-29,222.52,2240161,218.76,217.86,0.017187785701225256,0.02138988341136505
2023-11-28,218.76,1911557,220.0,211.03,-0.0056363636363636616,0.03662986305264648
2023-11-27,220.0,2048896,221.41,207.78,-0.006368276048958954,0.058812205217056546
2023-11-24,221.41,1276492,221.3,209.11,0.000497062810664195,0.058820716369374804
2023-11-22,221.3,3727297,217.86,208.16,0.015789956853024867,0.06312451960030763
2023-11-21,217.86,4614148,211.03,203.52,0.03236506657821159,0.07045990566037741
2023-11-20,211.03,2568846,207.78,195.98,0.015641543940706493,0.07679355036228186
2023-11-17,207.78,2474421,209.11,197.0,-0.0063602888431926186,0.05472081218274116
2023-11-16,209.11,3499352,208.16,195.52,0.004563797079169873,0.06950695581014732
2023-11-15,208.16,4110708,203.52,196.82,0.022798742138364636,0.057616095925210775
2023-11-14,203.52,2900199,195.98,198.25,0.03847331360342898,0.026582597730138824
2023-11-13,195.98,1682971,197.0,195.52,-0.005177664974619356,0.0023527004909982274
2023-11-10,197.0,2110028,195.52,197.87,0.007569558101472973,-0.004396826199019599
2023-11-09,195.52,2316923,196.82,192.98,-0.006605019815059343,0.013161985697999867
2023-11-08,196.82,1611950,198.25,190.0,-0.00721311475409836,0.0358947368421052
2023-11-07,198.25,2212503,195.52,192.02,0.013962765957446832,0.03244453702739292
2023-11-06,195.52,2362643,197.87,185.1,-0.01187648456057,0.0562938951917884
2023-11-03,197.87,2930500,192.98,187.88,0.025339413410716105,0.05317223759846712
2023-11-02,192.98,2535925,190.0,193.68,0.015684210526315745,-0.003614209004543678
2023-11-01,190.0,3766351,192.02,192.65,-0.010519737527340922,-0.013755515182974354
2023-10-31,192.02,5208355,185.1,196.84,0.037385197190707764,-0.02448689290794548
2023-10-30,185.1,5493605,187.88,204.05,-0.014796678731105017,-0.09286939475618727
2023-10-27,187.88,3966239,193.68,205.83,-0.029946303180503953,-0.08720789000631601
2023-10-26,193.68,3409568,192.65,207.3,0.005346483259797585,-0.06570188133140376
2023-10-25,192.65,7514944,196.84,204.8,-0.02128632391790286,-0.059326171875
2023-10-24,196.84,5925710,204.05,211.94,-0.03533447684391089,-0.07124657922053412
2023-10-23,204.05,3917511,205.83,210.45,-0.008647913326531587,-0.03041102399619855
2023-10-20,205.83,2926130,207.3,209.43,-0.0070911722141823175,-0.017189514396218297
2023-10-19,207.3,3793697,204.8,209.49,0.01220703125,-0.010453959616210762
2023-10-18,204.8,4347022,211.94,216.43,-0.033688779843351835,-0.05373561890680589
2023-10-17,211.94,2643949,210.45,218.71,0.007080066524115081,-0.03095423163092681
2023-10-16,210.45,3088720,209.43,218.37,0.004870362412261686,-0.03626871823052624
2023-10-13,209.43,3365651,209.49,217.23,-0.0002864098524989478,-0.03590664272890476
2023-10-12,209.49,5081759,216.43,216.87,-0.03206579494524786,-0.03402960298796509
2023-10-11,216.43,2444959,218.71,216.07,-0.010424763385304736,0.0016661267181932171
2023-10-10,218.71,2215461,218.37,215.7,0.0015569904290881897,0.013954566527584644
2023-10-09,218.37,1949486,217.23,213.74,0.005247893937301518,0.021661832132497505
2023-10-06,217.23,2696299,216.87,248.1,0.0016599806335590994,-0.12442563482466751
2023-10-05,216.87,2273107,216.07,247.19,0.003702503818207026,-0.12265868360370558
2023-10-04,216.07,3445765,215.7,247.44,0.0017153453871117108,-0.12677820885871327
2023-10-03,215.7,4817296,213.74,247.25,0.009170019650041938,-0.1276036400404449
2023-10-02,213.74,6387660,248.1,252.04,-0.1384925433293026,-0.15196000634819862
2023-09-29,248.1,3273680,247.19,248.37,0.0036813786965492756,-0.0010870878125377459
2023-09-28,247.19,2341925,247.44,249.63,-0.0010103459424506411,-0.009774466209990784
2023-09-27,247.44,2244558,247.25,254.46,0.0007684529828109188,-0.027587833058240974
2023-09-26,247.25,2018954,252.04,255.23,-0.019004919853991442,-0.03126591701602477
2023-09-25,252.04,1899675,248.37,253.77,0.014776341748198307,-0.006817196674153814
2023-09-22,248.37,2755587,249.63,255.25,-0.005047470255978848,-0.02695396669931438
2023-09-21,249.63,2409967,254.46,253.48,-0.018981372317849576,-0.015188575035505747
2023-09-20,254.46,1559121,255.23,252.45,-0.003016886729616308,0.007961972667855033
2023-09-19,255.23,1768411,253.77,248.33,0.005753241123852337,0.0277856078605081
2023-09-18,253.77,1959663,255.25,250.17,-0.005798237022526909,0.014390214654035338
2023-09-15,255.25,5696631,253.48,248.36,0.006982799431907827,0.0277419874375906
2023-09-14,253.48,1890117,252.45,254.92,0.00408001584472184,-0.00564883100580571
2023-09-13,252.45,2901992,248.33,256.99,0.016590826722506335,-0.017666057045021333
2023-09-12,248.33,2375858,250.17,260.85,-0.007354998600951235,-0.0479969331033161
2023-09-11,250.17,2452378,248.36,265.59,0.0072878080206151274,-0.058059414887608685
2023-09-08,248.36,3176272,254.92,265.0,-0.02573356347089273,-0.06279245283018864
2023-09-07,254.92,1787928,256.99,264.17,-0.008054788124051582,-0.03501533103683241
2023-09-06,256.99,2542075,260.85,264.0,-0.014797776499904214,-0.026553030303030245
2023-09-05,260.85,2141884,265.59,261.5,-0.017847057494634444,-0.0024856596558316957
2023-09-01,265.59,2568923,265.0,255.53,0.002226415094339629,0.03936915430673493
2023-08-31,265.0,2937427,264.17,253.56,0.0031419161903318837,0.04511752642372624
2023-08-30,264.17,1806784,264.0,254.86,0.0006439393939394744,0.03652985953072285
2023-08-29,264.0,2064286,261.5,249.7,0.009560229445506607,0.05726872246696035
2023-08-28,261.5,2246676,255.53,250.17,0.023363205885805982,0.04528920334172759
2023-08-25,255.53,1381014,253.56,251.41,0.007769364253036759,0.016387574082176615
2023-08-24,253.56,1541631,254.86,252.82,-0.005100839676685287,0.0029269836247132197
2023-08-23,254.86,1503398,249.7,252.79,0.020664797757308895,0.008188615055975346
