date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,134.58,1499532,136.12,134.91,-0.01131354687040842,-0.0024460751612184195
2023-12-28,136.12,944592,136.11,132.74,7.346998751001088e-05,0.02546331173723071
2023-12-27,136.11,741553,135.58,134.54,0.003909131140286126,0.011669392002378709
2023-12-26,135.58,1218212,135.12,132.32,0.003404381290704528,0.02463724304715864
2023-12-22,135.12,1094242,134.91,132.17,0.0015565932844119335,0.02231973972913681
2023-12-21,134.91,1237215,132.74,132.93,0.016347747476269214,0.014895057549085822
2023-12-20,132.74,1613373,134.54,136.67,-0.013378920767058045,-0.02875539620984835
2023-12-19,134.54,2001520,132.32,134.97,0.016777509068923724,-0.003185893161443354
2023-12-18,132.32,2117747,132.17,134.75,0.001134902020125672,-0.018033395176252354
2023-12-15,132.17,5289695,132.93,134.81,-0.005717294816821039,-0.019583116979452697
2023-12-14,132.93,2746524,136.67,134.03,-0.027365186214970194,-0.008207117809445608
2023-12-13,136.67,2564925,134.97,135.48,0.01259539156849665,0.008783584292884505
2023-12-12,134.97,2572133,134.75,138.68,0.0016326530612245094,-0.026752235361984456
2023-12-11,134.75,2053931,134.81,137.77,-0.00044507084044209666,-0.02192059229150045
2023-12-08,134.81,2857360,134.03,138.61,0.005819592628516057,-0.027415049419233894
2023-12-07,134.03,2913801,135.48,138.78,-0.010702686743430667,-0.03422683383772873
2023-12-06,135.48,2492453,138.68,138.2,-0.023074704355350528,-0.0196816208393632
2023-12-05,138.68,1787353,137.77,136.9,0.006605211584524984,0.013002191380569794
2023-12-04,137.77,2163806,138.61,137.45,-0.0060601688189885206,0.002328119316115096
2023-12-01,138.61,2457399,138.78,136.5,-0.0012249603689291622,0.01545787545787558
2023-11-30,138.78,4633443,138.2,136.83,0.004196816208393628,0.01425126068844551
2023-11-29,138.2,1878738,136.9,136.21,0.009495982468955333,0.014609793700902873
2023-11-28,136.9,1826150,137.45,135.84,-0.004001455074572502,0.007803297997644343
2023-11-27,137.45,1303667,136.5,134.53,0.006959706959706935,0.021705195867092852
2023-11-24,136.5,585945,136.83,135.15,-0.0024117518088139223,0.009988901220865598
2023-11-22,136.83,1397040,136.21,134.6,0.004551795022391891,0.01656760772659749
2023-11-21,136.21,1238812,135.84,134.3,0.00272379269729095,0.01422189128816087
2023-11-20,135.84,1319323,134.53,127.65,0.009737604995168292,0.06415981198589882
2023-11-17,134.53,1542659,135.15,128.75,-0.004587495375508732,0.04489320388349505
2023-11-16,135.15,1458771,134.6,127.61,0.004086181277860312,0.0590862785048194
2023-11-15,134.6,1726563,134.3,128.45,0.0022338049143706407,0.04787855196574542
2023-11-14,134.3,2123756,127.65,127.98,0.0520955738347042,0.04938271604938271
2023-11-13,127.65,869330,128.75,129.49,-0.008543689320388292,-0.014209591474245165
2023-11-10,128.75,1571025,127.61,132.93,0.008933469163858732,-0.03144512149251488
2023-11-09,127.61,944844,128.45,130.24,-0.006539509536784616,-0.020193488943489046
2023-11-08,128.45,965214,127.98,126.47,0.0036724488201280714,0.015655886771566374
2023-11-07,127.98,1708831,129.49,124.36,-0.011661132133755525,0.02910903827597311
2023-11-06,129.49,1959320,132.93,122.08,-0.02587828180245244,0.0606979030144168
2023-11-03,132.93,2339456,130.24,122.35,0.020654176904176813,0.08647323252962824
2023-11-02,130.24,2169469,126.47,120.93,0.029809440974144064,0.07698668651285878
2023-11-01,126.47,1748420,124.36,116.96,0.016966870376326826,0.0813098495212039
2023-10-31,124.36,1821695,122.08,119.47,0.018676277850589784,0.040930777601071444
2023-10-30,122.08,1876434,122.35,117.43,-0.002206783816918634,0.039598058417780635
2023-10-27,122.35,3383715,120.93,115.81,0.011742330273711854,0.05647180727052925
2023-10-26,120.93,3289548,116.96,115.64,0.033943228454172525,0.04574541681079225
2023-10-25,116.96,2110925,119.47,120.56,-0.021009458441449747,-0.029860650298606628
2023-10-24,119.47,2216520,117.43,123.29,0.017372051434897395,-0.03098385919377089
2023-10-23,117.43,2282472,115.81,123.72,0.013988429323892548,-0.05084060782411892
2023-10-20,115.81,1559289,115.64,122.6,0.0014700795572466507,-0.05538336052202275
2023-10-19,115.64,2238120,120.56,124.44,-0.04080955540809561,-0.07071681131468976
2023-10-18,120.56,1189438,123.29,124.42,-0.02214291507827082,-0.031023951133258287
