date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,120.95,1756736,121.33,121.08,-0.0031319541745652435,-0.0010736703006276604
2023-12-28,121.33,2137211,124.27,121.43,-0.02365816367586704,-0.0008235197232974167
2023-12-27,124.27,2568229,124.3,122.53,-0.0002413515687852419,0.014200603933730571
2023-12-26,124.3,1852159,122.27,121.62,0.016602600801504774,0.02203584936688041
2023-12-22,122.27,1742029,121.08,120.11,0.009828212751899601,0.01798351511114804
2023-12-21,121.08,3841692,121.43,120.6,-0.002882319031540903,0.003980099502487677
2023-12-20,121.43,3671278,122.53,118.48,-0.008977393291438762,0.024898717083051913
2023-12-19,122.53,3497932,121.62,117.67,0.007482321986515439,0.041301946120506416
2023-12-18,121.62,2875617,120.11,119.2,0.012571809174922954,0.0203020134228189
2023-12-15,120.11,7429081,120.6,118.96,-0.004063018242122629,0.009667114996637638
2023-12-14,120.6,4842581,118.48,118.35,0.017893315327481396,0.019011406844106515
2023-12-13,118.48,5765760,117.67,119.75,0.006883657686751032,-0.01060542797494779
2023-12-12,117.67,3447879,119.2,121.95,-0.012835570469798663,-0.035096350963509604
2023-12-11,119.2,5004141,118.96,123.0,0.0020174848688636615,-0.03089430894308942
2023-12-08,118.96,3858359,118.35,123.6,0.005154203633290999,-0.037540453074433655
2023-12-07,118.35,3524534,119.75,123.07,-0.011691022964509412,-0.03835215730884867
2023-12-06,119.75,4604049,121.95,123.24,-0.018040180401803996,-0.028318727685816225
2023-12-05,121.95,3478419,123.0,123.64,-0.008536585365853666,-0.013668715626011019
2023-12-04,123.0,3000917,123.6,123.0,-0.004854368932038833,0.0
2023-12-01,123.6,2990905,123.07,123.5,0.004306492240188531,0.0008097165991902688
2023-11-30,123.07,5597879,123.24,123.17,-0.0013794222654982535,-0.0008118860112040771
2023-11-29,123.24,3000103,123.64,124.25,-0.003235198964736341,-0.008128772635814907
2023-11-28,123.64,3381045,123.0,125.23,0.005203252032520256,-0.012696638185738296
2023-11-27,123.0,2384172,123.5,124.0,-0.004048582995951455,-0.008064516129032251
2023-11-24,123.5,1318147,123.17,120.7,0.002679223836973277,0.023198011599005808
2023-11-22,123.17,3369570,124.25,123.07,-0.008692152917505025,0.0008125457056959995
2023-11-21,124.25,2281159,125.23,125.12,-0.007825600894354467,-0.006953324808184225
2023-11-20,125.23,3133807,124.0,123.06,0.00991935483870976,0.017633674630261664
2023-11-17,124.0,3667551,120.7,122.7,0.027340513670256916,0.010594947025264867
2023-11-16,120.7,4075135,123.07,121.3,-0.01925733322499379,-0.004946413849958753
2023-11-15,123.07,3861968,125.12,121.21,-0.016384271099744385,0.01534526854219953
2023-11-14,125.12,2556087,123.06,122.64,0.016739801722736924,0.02022178734507496
2023-11-13,123.06,2413693,122.7,126.42,0.0029339853300733854,-0.02657807308970095
2023-11-10,122.7,1934596,121.3,128.16,0.01154163231657046,-0.04260299625468156
2023-11-09,121.3,1826975,121.21,128.65,0.0007425129939773178,-0.057131752817722536
2023-11-08,121.21,3840576,122.64,124.22,-0.011660143509458654,-0.02423120270487844
2023-11-07,122.64,3582097,126.42,126.25,-0.029900332225913595,-0.02859405940594062
2023-11-06,126.42,4168337,128.16,125.45,-0.013576779026217234,0.007732164208848147
2023-11-03,128.16,5531615,128.65,125.99,-0.0038087835211815246,0.017223589173744003
2023-11-02,128.65,4313633,124.22,127.94,0.03566253421349219,0.005549476317023627
2023-11-01,124.22,3394556,126.25,129.73,-0.016079207920792093,-0.04247282818160791
2023-10-31,126.25,2368412,125.45,129.94,0.006377042646472653,-0.028397722025550243
2023-10-30,125.45,2614646,125.99,131.64,-0.00428605444876573,-0.04702218170768746
2023-10-27,125.99,2779016,127.94,133.23,-0.015241519462247943,-0.054342115139232816
2023-10-26,127.94,2367498,129.73,136.23,-0.013797887921066732,-0.06085296924319161
2023-10-25,129.73,2421994,129.94,135.76,-0.0016161305217793354,-0.04441661756040072
2023-10-24,129.94,1813966,131.64,134.3,-0.012914007900334146,-0.03246463142218925
2023-10-23,131.64,2281360,133.23,134.03,-0.011934249043008327,-0.017831828695068386
2023-10-20,133.23,3425345,136.23,133.84,-0.02202158114952657,-0.00455768081291108
2023-10-19,136.23,2421289,135.76,128.96,0.0034619917501472752,0.056374069478908106
2023-10-18,135.76,2307800,134.3,127.37,0.010871183916604465,0.06587108424275723
2023-10-17,134.3,2669993,134.03,126.71,0.002014474371409447,0.059900560334622543
2023-10-16,134.03,1993560,133.84,127.24,0.0014196054991033602,0.053363722099968536
2023-10-13,133.84,3576296,128.96,120.68,0.03784119106699757,0.10904872389791187
2023-10-12,128.96,3038990,127.37,118.46,0.012483316322524862,0.08863751477291926
2023-10-11,127.37,2447413,126.71,119.36,0.005208744376923757,0.0671079088471851
2023-10-10,126.71,2833719,127.24,124.24,-0.004165356806035803,0.019880875724404445
2023-10-09,127.24,3720025,120.68,123.66,0.054358634405037964,0.02895034772764027
2023-10-06,120.68,3477860,118.46,126.76,0.01874050312341735,-0.04796465762070057
2023-10-05,118.46,2526408,119.36,129.47,-0.007540214477211871,-0.085039005174944
2023-10-04,119.36,2814302,124.24,129.81,-0.03927881519639409,-0.08050227255219167
2023-10-03,124.24,1917994,123.66,126.88,0.004690279799450137,-0.02080706179066838
2023-10-02,123.66,2625095,126.76,125.65,-0.024455664247396758,-0.01583764424990064
2023-09-29,126.76,3374668,129.47,122.62,-0.0209314899204448,0.03376284456043055
2023-09-28,129.47,2274358,129.81,122.59,-0.002619212695478046,0.05612203279223427
2023-09-27,129.81,2734982,126.88,125.5,0.023092686002522234,0.034342629482071674
