date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,101.19,844128,100.91,99.73,0.002774749777028962,0.014639526722149743
2023-12-28,100.91,716618,100.31,99.63,0.005981457481806451,0.012847535882766214
2023-12-27,100.31,744781,100.35,101.55,-0.0003986048829097699,-0.012210733628754245
2023-12-26,100.35,1519807,100.22,101.53,0.0012971462781878884,-0.01162218063626519
2023-12-22,100.22,1170589,99.73,100.88,0.00491326581770779,-0.006542426645519406
2023-12-21,99.73,985368,99.63,103.27,0.0010037137408411834,-0.03427907427132748
2023-12-20,99.63,1190190,101.55,105.4,-0.01890694239290991,-0.05474383301707786
2023-12-19,101.55,1541089,101.53,101.59,0.0001969861124790917,-0.00039373954129351407
2023-12-18,101.53,2042470,100.88,102.11,0.006443298969072142,-0.0056801488590735305
2023-12-15,100.88,3148163,103.27,102.01,-0.02314321681030307,-0.011077345358298296
2023-12-14,103.27,2208051,105.4,101.89,-0.020208728652751473,0.013544018058690765
2023-12-13,105.4,1628364,101.59,101.55,0.03750369130819964,0.037912358444116334
2023-12-12,101.59,1452987,102.11,100.42,-0.005092547252962487,0.01165106552479589
2023-12-11,102.11,1264253,102.01,101.39,0.0009802960494069701,0.007101292040635254
2023-12-08,102.01,1523371,101.89,102.03,0.001177740700755825,-0.00019602077820246588
2023-12-07,101.89,1544355,101.55,101.41,0.0033481043820777767,0.004733261019623347
2023-12-06,101.55,1267407,100.42,100.59,0.011252738498306991,0.009543692215925992
2023-12-05,100.42,1001470,101.39,101.65,-0.009567018443633502,-0.012100344318740852
2023-12-04,101.39,1477425,102.03,101.63,-0.0062726649024796854,-0.0023615074289087268
2023-12-01,102.03,1929978,101.41,101.1,0.006113795483680073,0.009198813056379818
2023-11-30,101.41,2052450,100.59,101.19,0.008151903767770197,0.002174127878248777
2023-11-29,100.59,1481016,101.65,100.6,-0.010427939006394493,-9.940357852877835e-05
2023-11-28,101.65,1408939,101.63,98.96,0.0001967922857424309,0.027182700080840894
2023-11-27,101.63,1211707,101.1,99.11,0.005242334322453024,0.025426294016749118
2023-11-24,101.1,372144,101.19,98.85,-0.0008894159501927623,0.022761760242792084
