date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,81.05,2397080,81.92,85.24,-0.0106201171875,-0.04915532613796336
2023-12-28,81.92,2121780,82.39,83.59,-0.00570457579803374,-0.01997846632372291
2023-12-27,82.39,2320087,82.59,87.03,-0.002421600678048197,-0.053314948868206424
2023-12-26,82.59,2356261,84.95,84.46,-0.027781047675103032,-0.02214065829978673
2023-12-22,84.95,1908612,85.24,80.68,-0.003402158610980699,0.05292513634110052
2023-12-21,85.24,2663548,83.59,83.26,0.0197392032539776,0.023780927215949932
2023-12-20,83.59,4466844,87.03,83.97,-0.039526600022980585,-0.004525425747290646
2023-12-19,87.03,6156851,84.46,85.82,0.030428605256926478,0.014099277557678924
2023-12-18,84.46,7656663,80.68,84.69,0.04685176003966274,-0.0027157869878380314
2023-12-15,80.68,10176647,83.26,80.08,-0.0309872687965409,0.007492507492507627
2023-12-14,83.26,6851620,83.97,78.97,-0.00845540073835882,0.05432442699759421
2023-12-13,83.97,13576326,85.82,79.54,-0.021556746679095684,0.05569524767412615
2023-12-12,85.82,3636106,84.69,81.66,0.01334277954894314,0.05094293411707085
2023-12-11,84.69,6825706,80.08,82.99,0.057567432567432464,0.020484395710326675
2023-12-08,80.08,4548232,78.97,82.04,0.01405597062175512,-0.023890784982935287
2023-12-07,78.97,3120206,79.54,75.81,-0.007166205682675453,0.04168315525656241
2023-12-06,79.54,3508806,81.66,77.2,-0.02596130296350707,0.030310880829015563
2023-12-05,81.66,3372316,82.99,75.27,-0.016026027232196594,0.08489438023116791
2023-12-04,82.99,5973029,82.04,73.95,0.01157971721111628,0.12224475997295459
2023-12-01,82.04,5830222,75.81,71.82,0.08217913204062799,0.14230019493177415
2023-11-30,75.81,4511426,77.2,71.48,-0.018005181347150234,0.06057638500279805
2023-11-29,77.2,4873891,75.27,70.59,0.025641025641025772,0.09363932568352462
2023-11-28,75.27,4427004,73.95,72.07,0.017849898580121648,0.04440127653670056
2023-11-27,73.95,5023856,71.82,72.53,0.02965747702589816,0.01957810561147122
2023-11-24,71.82,889021,71.48,70.15,0.004756575265808527,0.023806129722024005
2023-11-22,71.48,1898955,70.59,71.74,0.012608018132880039,-0.003624198494563524
