date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,35.9,4634225,35.85,35.07,0.001394700139469851,0.02366695181066425
2023-12-28,35.85,5832925,35.41,34.81,0.012425868398757478,0.02987647227808088
2023-12-27,35.41,6863202,35.53,35.41,-0.0033774275260344266,0.0
2023-12-26,35.53,3900339,35.26,34.45,0.007657402155416992,0.03134978229317853
2023-12-22,35.26,5795248,35.07,35.49,0.005417735956658065,-0.006480698788391193
2023-12-21,35.07,8332634,34.81,37.9,0.007469118069520109,-0.07467018469656983
2023-12-20,34.81,10523459,35.41,41.0,-0.0169443659983054,-0.15097560975609747
2023-12-19,35.41,16180922,34.45,39.44,0.027866473149491755,-0.10218052738336714
2023-12-18,34.45,23411041,35.49,39.52,-0.02930402930402931,-0.1282894736842105
2023-12-15,35.49,38846626,37.9,39.21,-0.06358839050131915,-0.09487375669472076
2023-12-14,37.9,26398967,41.0,39.34,-0.07560975609756104,-0.036603965429588325
2023-12-13,41.0,7994483,39.44,39.41,0.03955375253549698,0.040345090078660384
2023-12-12,39.44,5695696,39.52,38.5,-0.002024291497975894,0.024415584415584446
2023-12-11,39.52,7793061,39.21,38.73,0.007906146391226887,0.020397624580428708
2023-12-08,39.21,7433414,39.34,38.99,-0.0033045246568378372,0.005642472428827983
2023-12-07,39.34,7687068,39.41,38.51,-0.001776198934280493,0.021552843417294243
2023-12-06,39.41,7815830,38.5,38.39,0.023636363636363455,0.026569419119562232
2023-12-05,38.5,7114955,38.73,39.16,-0.005938548928479115,-0.016853932584269593
2023-12-04,38.73,8158328,38.99,39.14,-0.006668376506796747,-0.010475217169136575
2023-12-01,38.99,7383002,38.51,39.19,0.012464294988314917,-0.005103342689461443
2023-11-30,38.51,11572743,38.39,38.86,0.003125814014066197,-0.009006690684508545
2023-11-29,38.39,5268269,39.16,38.88,-0.019662921348314488,-0.012602880658436288
2023-11-28,39.16,5652487,39.14,39.08,0.00051098620337231,0.0020470829068577334
2023-11-27,39.14,6884733,39.19,38.95,-0.001275835672365333,0.004878048780487809
2023-11-24,39.19,2523101,38.86,39.48,0.008492022645393726,-0.007345491388044523
2023-11-22,38.86,6251043,38.88,39.67,-0.0005144032921811093,-0.020418452230904993
2023-11-21,38.88,5053417,39.08,39.59,-0.0051177072671442225,-0.017933821672139416
2023-11-20,39.08,7680184,38.95,38.8,0.003337612323491612,0.007216494845360799
2023-11-17,38.95,10868976,39.48,39.43,-0.013424518743667568,-0.012173471975652994
2023-11-16,39.48,10366521,39.67,39.25,-0.004789513486261776,0.0058598726114649224
2023-11-15,39.67,6703839,39.59,39.58,0.002020712301086025,0.002273875694795535
2023-11-14,39.59,6434873,38.8,39.74,0.02036082474226819,-0.0037745344740814923
2023-11-13,38.8,5511336,39.43,40.02,-0.01597768196804472,-0.030484757621189518
2023-11-10,39.43,4495824,39.25,40.56,0.004585987261146451,-0.02785996055226836
2023-11-09,39.25,3867492,39.58,40.7,-0.008337544214249593,-0.03562653562653573
2023-11-08,39.58,5553315,39.74,39.53,-0.004026170105687066,0.001264862130027744
2023-11-07,39.74,5491118,40.02,38.94,-0.006996501749125472,0.020544427324088455
2023-11-06,40.02,6858381,40.56,38.45,-0.013313609467455634,0.04083224967490251
2023-11-03,40.56,5902909,40.7,38.43,-0.003439803439803435,0.05542544886807188
2023-11-02,40.7,6468002,39.53,39.15,0.029597773842651165,0.03959131545338446
2023-11-01,39.53,7721861,38.94,39.0,0.015151515151515138,0.01358974358974363
2023-10-31,38.94,5971301,38.45,38.86,0.012743823146943889,0.0020586721564590515
2023-10-30,38.45,5177968,38.43,38.4,0.0005204267499350212,0.0013020833333334814
2023-10-27,38.43,5213138,39.15,39.3,-0.01839080459770115,-0.022137404580152564
2023-10-26,39.15,6967801,39.0,39.77,0.0038461538461538325,-0.015589640432486895
2023-10-25,39.0,5973431,38.86,39.91,0.0036026762738035067,-0.02280130293159599
2023-10-24,38.86,5210744,38.4,40.06,0.011979166666666652,-0.029955067398901747
2023-10-23,38.4,6526363,39.3,40.17,-0.022900763358778553,-0.04406273338312183
2023-10-20,39.3,5034726,39.77,39.95,-0.011817953231078815,-0.016270337922403177
2023-10-19,39.77,4372418,39.91,39.83,-0.0035078927587068875,-0.001506402209389801
2023-10-18,39.91,4937845,40.06,40.04,-0.0037443834248628294,-0.0032467532467532756
2023-10-17,40.06,5631756,40.17,39.28,-0.002738361961662883,0.01985743380855398
2023-10-16,40.17,6931722,39.95,38.7,0.005506883604505575,0.037984496124030986
2023-10-13,39.95,6173762,39.83,38.08,0.003012804418779824,0.049107142857143016
2023-10-12,39.83,4770536,40.04,37.41,-0.005244755244755317,0.06468858593958848
2023-10-11,40.04,6456818,39.28,37.41,0.019348268839103788,0.07030205827318903
2023-10-10,39.28,4880816,38.7,37.05,0.01498708010335914,0.0601889338731445
2023-10-09,38.7,5558257,38.08,36.61,0.01628151260504218,0.057088227260311486
2023-10-06,38.08,6224139,37.41,37.79,0.017909649826249652,0.007673987827467643
2023-10-05,37.41,5266446,37.41,37.88,0.0,-0.01240760295670551
2023-10-04,37.41,6822852,37.05,38.8,0.009716599190283448,-0.03582474226804122
2023-10-03,37.05,8591351,36.61,39.15,0.012018574160065576,-0.05363984674329503
2023-10-02,36.61,9033642,37.79,40.3,-0.031225191849695633,-0.09156327543424314
2023-09-29,37.79,6834098,37.88,40.21,-0.0023759239704330692,-0.060184033822432315
2023-09-28,37.88,6134035,38.8,40.46,-0.023711340206185483,-0.0637666831438457
2023-09-27,38.8,5320040,39.15,40.83,-0.008939974457215838,-0.049718344354641175
