date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,138.5,705830,138.39,138.47,0.0007948551195897657,0.00021665342673493626
2023-12-28,138.39,602965,138.77,136.85,-0.0027383440224834077,0.011253196930946174
2023-12-27,138.77,505860,138.62,138.95,0.0010820949357956966,-0.0012954300107951289
2023-12-26,138.62,484386,138.98,139.61,-0.0025903007626996155,-0.007091182580044486
2023-12-22,138.98,452413,138.47,138.39,0.0036831082544954707,0.004263313823253068
2023-12-21,138.47,759376,136.85,139.87,0.011837778589696812,-0.010009294344748731
2023-12-20,136.85,793214,138.95,137.61,-0.015113350125944502,-0.005522854443717917
2023-12-19,138.95,890287,139.61,135.63,-0.004727455053363139,0.02447836024478356
2023-12-18,139.61,853889,138.39,135.6,0.008815665871811706,0.029572271386430815
2023-12-15,138.39,2662208,139.87,132.98,-0.010581254021591602,0.04068280944502933
2023-12-14,139.87,1259101,137.61,134.28,0.016423225056318547,0.0416294310396188
2023-12-13,137.61,1008380,135.63,136.5,0.014598540145985606,0.00813186813186828
2023-12-12,135.63,711722,135.6,134.03,0.00022123893805314765,0.011937625904648197
2023-12-11,135.6,1055005,132.98,137.32,0.01970221085877588,-0.012525487911447697
2023-12-08,132.98,1188424,134.28,134.7,-0.009681263032469523,-0.012769116555308102
2023-12-07,134.28,1018690,136.5,132.78,-0.016263736263736228,0.011296882060551239
2023-12-06,136.5,929146,134.03,133.86,0.018428709990300662,0.01972209771402955
2023-12-05,134.03,1325033,137.32,134.36,-0.023958636760850527,-0.0024560881214648056
2023-12-04,137.32,2150829,134.7,135.06,0.019450631031922905,0.016733303716866432
2023-12-01,134.7,1423334,132.78,137.4,0.01446000903750555,-0.019650655021834162
2023-11-30,132.78,1837217,133.86,137.77,-0.00806813088301217,-0.03621978660085656
2023-11-29,133.86,786558,134.36,137.47,-0.0037213456385829513,-0.026260274969084008
2023-11-28,134.36,934969,135.06,137.35,-0.005182881682215257,-0.021769202766654394
2023-11-27,135.06,984731,137.4,137.41,-0.017030567685589526,-0.01710210319481842
2023-11-24,137.4,407735,137.77,137.47,-0.0026856354794222437,-0.0005092020077107628
2023-11-22,137.77,879155,137.47,137.87,0.0021822943187606025,-0.0007253209545223793
2023-11-21,137.47,648867,137.35,138.26,0.000873680378594921,-0.005713872414291887
2023-11-20,137.35,709522,137.41,135.39,-0.00043664944327193034,0.014476696949553114
2023-11-17,137.41,1481413,137.47,136.16,-0.0004364588637520983,0.009180376028202097
2023-11-16,137.47,1042072,137.87,135.04,-0.0029012838180895173,0.017994668246445578
2023-11-15,137.87,792052,138.26,134.46,-0.002820772457688303,0.025360702067529273
2023-11-14,138.26,952210,135.39,135.54,0.021198020533274242,0.020067876641581828
2023-11-13,135.39,767495,136.16,133.68,-0.005655111633372623,0.012791741472172102
2023-11-10,136.16,735627,135.04,134.02,0.0082938388625593,0.015967766005073658
2023-11-09,135.04,874768,134.46,130.69,0.004313550498289409,0.0332848725992807
2023-11-08,134.46,1025764,135.54,128.78,-0.007968127490039723,0.04410622767510497
2023-11-07,135.54,1016636,133.68,128.86,0.013913824057450563,0.05183920533912767
2023-11-06,133.68,940035,134.02,127.52,-0.002536934785852929,0.048306148055207165
2023-11-03,134.02,842410,130.69,127.12,0.025480143851863257,0.05427942101950922
2023-11-02,130.69,1251009,128.78,128.93,0.014831495573846887,0.01365081827348158
2023-11-01,128.78,1051243,128.86,128.43,-0.0006208288064567524,0.0027252199641827346
2023-10-31,128.86,2163369,127.52,128.79,0.010508155583438095,0.0005435204596631049
2023-10-30,127.52,973119,127.12,128.26,0.003146633102580232,-0.0057695306408857006
2023-10-27,127.12,889248,128.93,128.63,-0.014038625610796607,-0.011739096633755608
2023-10-26,128.93,1260758,128.43,130.12,0.00389317137740397,-0.009145404242237865
2023-10-25,128.43,973957,128.79,148.73,-0.00279524807826681,-0.13648893968936993
2023-10-24,128.79,1429099,128.26,150.21,0.004132231404958775,-0.1426003594967047
2023-10-23,128.26,1770653,128.63,149.69,-0.002876467387079251,-0.14316253590754235
2023-10-20,128.63,1873028,130.12,147.04,-0.011450968336919831,-0.12520402611534276
2023-10-19,130.12,2671280,148.73,147.28,-0.12512606737040266,-0.11651276480173811
2023-10-18,148.73,910680,150.21,146.77,-0.009852872644963817,0.013354227703209043
2023-10-17,150.21,813825,149.69,147.64,0.0034738459482932527,0.017407206719046497
2023-10-16,149.69,986524,147.04,146.69,0.018022306855277614,0.02045129183993466
2023-10-13,147.04,769254,147.28,144.06,-0.0016295491580663457,0.020685825350548415
2023-10-12,147.28,1092699,146.77,142.69,0.003474824555426803,0.03216763613427709
2023-10-11,146.77,871434,147.64,143.01,-0.005892712002167233,0.026291867701559557
2023-10-10,147.64,1080215,146.69,140.57,0.0064762424159792165,0.05029522657750585
2023-10-09,146.69,1231117,144.06,145.18,0.018256282104678556,0.010400881664140993
2023-10-06,144.06,810421,142.69,144.38,0.009601233443128576,-0.0022163734589277784
2023-10-05,142.69,691713,143.01,143.26,-0.002237605761834738,-0.003978779840848712
2023-10-04,143.01,999180,140.57,142.31,0.01735789997865833,0.004918839153959631
2023-10-03,140.57,1419478,145.18,143.0,-0.03175368508058973,-0.016993006993006987
2023-10-02,145.18,1329019,144.38,146.99,0.005540933647319557,-0.012313762841009601
2023-09-29,144.38,994022,143.26,146.35,0.007817953371492381,-0.013460881448582152
2023-09-28,143.26,1018906,142.31,145.64,0.006675567423230833,-0.016341664377918175
2023-09-27,142.31,1074589,143.0,149.26,-0.0048251748251748605,-0.046563044352137095
2023-09-26,143.0,850278,146.99,148.54,-0.0271447037213417,-0.037296351151205
2023-09-25,146.99,732896,146.35,148.07,0.004373078237102979,-0.007293847504558526
2023-09-22,146.35,569793,145.64,148.83,0.004875034331227823,-0.016663307128939153
2023-09-21,145.64,780544,149.26,150.2,-0.024252981374782268,-0.03035952063914782
2023-09-20,149.26,796287,148.54,148.47,0.004847179210986985,0.005320940257290907
2023-09-19,148.54,797048,148.07,147.28,0.0031741743769837516,0.008555133079847899
2023-09-18,148.07,483460,148.83,148.71,-0.005106497345965355,-0.004303678300047187
2023-09-15,148.83,932525,150.2,149.99,-0.009121171770971825,-0.007733848923261566
2023-09-14,150.2,566270,148.47,151.01,0.011652185626725764,-0.005363883186543905
2023-09-13,148.47,684768,147.28,151.78,0.008079847908745164,-0.021807879826064025
2023-09-12,147.28,892603,148.71,152.34,-0.009616031201667763,-0.03321517657870554
2023-09-11,148.71,698071,149.99,155.08,-0.008533902260150716,-0.04107557389734329
2023-09-08,149.99,694037,151.01,153.73,-0.006754519568240358,-0.024328367917777816
2023-09-07,151.01,1055835,151.78,155.73,-0.0050731321649757355,-0.030308867912412496
2023-09-06,151.78,824541,152.34,155.0,-0.0036759879217539426,-0.020774193548387054
2023-09-05,152.34,892869,155.08,153.46,-0.01766830023213828,-0.007298318780138202
2023-09-01,155.08,575324,153.73,153.04,0.008781630130748841,0.013329848405645661
2023-08-31,153.73,996482,155.73,152.54,-0.012842740640852779,0.007801232463616081
2023-08-30,155.73,517125,155.0,154.36,0.004709677419354685,0.008875356309924642
2023-08-29,155.0,780463,153.46,153.12,0.010035188322689903,0.01227795193312442
2023-08-28,153.46,549386,153.04,153.88,0.0027443805541036426,-0.0027293995321028275
2023-08-25,153.04,666193,152.54,154.87,0.003277828766225177,-0.01181636211015702
2023-08-24,152.54,544754,154.36,154.31,-0.011790619331433105,-0.011470416693668661
2023-08-23,154.36,630027,153.12,156.45,0.008098223615464972,-0.013358900607222557
2023-08-22,153.12,542069,153.88,154.78,-0.004938913439043402,-0.010724899857862735
2023-08-21,153.88,776863,154.87,157.14,-0.006392458190740635,-0.020745831742395304
2023-08-18,154.87,646170,154.31,157.99,0.003629058388957329,-0.01974808532185579
2023-08-17,154.31,565344,156.45,156.17,-0.013678491530840442,-0.011910097970160627
2023-08-16,156.45,898128,154.78,156.51,0.010789507688331756,-0.0003833620854897246
2023-08-15,154.78,862244,157.14,155.37,-0.015018454880997734,-0.003797386882924636
2023-08-14,157.14,1067322,157.99,156.47,-0.005380087347300555,0.004281970984853167
2023-08-11,157.99,696512,156.17,155.5,0.011653966831017604,0.016012861736334427
2023-08-10,156.17,952632,156.51,155.69,-0.0021723851511086245,0.003083049649945435
2023-08-09,156.51,1213064,155.37,155.35,0.007337323807684815,0.007467009977470296
2023-08-08,155.37,1034108,156.47,156.77,-0.007030101616923301,-0.008930280028066617
2023-08-07,156.47,743398,155.5,155.72,0.006237942122186535,0.004816337015155492
2023-08-04,155.5,660834,155.69,156.33,-0.0012203738197700265,-0.005309281647796427
2023-08-03,155.69,931349,155.35,155.81,0.0021886063727067917,-0.0007701687953276526
2023-08-02,155.35,801001,156.77,157.97,-0.009057855457039077,-0.016585427612837877
2023-08-01,156.77,945312,155.72,157.83,0.006742871821217689,-0.006716086928974185
2023-07-31,155.72,1703921,156.33,157.55,-0.003902002174886565,-0.011615360203110159
2023-07-28,156.33,669804,155.81,156.31,0.0033373981130864205,0.00012795086686723245
2023-07-27,155.81,1134786,157.97,155.17,-0.013673482306767126,0.004124508603467358
2023-07-26,157.97,648410,157.83,168.07,0.000887030349109752,-0.06009400844886059
2023-07-25,157.83,691902,157.55,167.27,0.0017772135829894342,-0.056435702756023165
2023-07-24,157.55,904292,156.31,166.67,0.00793295374576175,-0.054718905621887415
2023-07-21,156.31,1485413,155.17,165.94,0.007346780949925913,-0.05803302398457266
2023-07-20,155.17,2260762,168.07,164.77,-0.07675373356339621,-0.058263033319172264
2023-07-19,168.07,997573,167.27,169.75,0.0047826866742390894,-0.009896907216494832
2023-07-18,167.27,904978,166.67,168.74,0.0035999280014400448,-0.008711627355695195
2023-07-17,166.67,702737,165.94,166.88,0.004399180426660099,-0.001258389261745041
2023-07-14,165.94,1160979,164.77,165.42,0.007100807185774105,0.003143513480836635
2023-07-13,164.77,999860,169.75,165.07,-0.02933726067746678,-0.0018174107954199714
2023-07-12,169.75,755474,168.74,166.97,0.00598553988384487,0.016649697550458198
2023-07-11,168.74,673712,166.88,167.99,0.01114573346116976,0.004464551461396571
2023-07-10,166.88,708513,165.42,169.23,0.008826018619272125,-0.013886426756485215
2023-07-07,165.42,925961,165.07,166.06,0.002120312594656726,-0.0038540286643382604
2023-07-06,165.07,892794,166.97,165.14,-0.011379289692759254,-0.0004238827661378064
2023-07-05,166.97,796346,167.99,164.95,-0.006071789987499354,0.012246135192482743
2023-07-03,167.99,631566,169.23,162.65,-0.00732730603320908,0.032831232708269376
2023-06-30,169.23,823620,166.06,159.67,0.019089485728050137,0.059873489071209374
2023-06-29,166.06,543918,165.14,161.49,0.005571030640668662,0.028298965880240168
2023-06-28,165.14,776808,164.95,161.47,0.0011518642012731117,0.02272868025020114
2023-06-27,164.95,925449,162.65,159.59,0.014140793114048478,0.03358606428974231
2023-06-26,162.65,890874,159.67,161.47,0.018663493455251645,0.007307859045023957
2023-06-23,159.67,1330159,161.49,161.65,-0.011270047680971063,-0.012248685431487938
2023-06-22,161.49,592309,161.47,158.72,0.00012386201771241723,0.017452116935483986
2023-06-21,161.47,794763,159.59,159.13,0.011780186728491682,0.014704958210268293
2023-06-20,159.59,913124,161.47,158.13,-0.01164302966495323,0.009232909631315955
2023-06-16,161.47,1381978,161.65,155.82,-0.0011135168574080145,0.0362597869336414
2023-06-15,161.65,794347,158.72,154.15,0.01846018145161299,0.04865390853065188
2023-06-14,158.72,716910,159.13,153.36,-0.0025765097718846164,0.03495044340114761
2023-06-13,159.13,879661,158.13,152.3,0.006323910706380831,0.04484569927774129
2023-06-12,158.13,994821,155.82,152.0,0.014824797843665749,0.040328947368420964
2023-06-09,155.82,849512,154.15,153.35,0.01083360363282515,0.016106944897293696
2023-06-08,154.15,752106,153.36,149.22,0.005151278038601825,0.03303846669347288
2023-06-07,153.36,922601,152.3,148.93,0.0069599474720944965,0.029745518028604145
2023-06-06,152.3,643628,152.0,157.7,0.0019736842105264607,-0.034242232086239555
2023-06-05,152.0,843500,153.35,157.21,-0.008803390935767763,-0.033140385471662204
2023-06-02,153.35,1020340,149.22,158.55,0.027677255059643358,-0.03279722485020509
2023-06-01,149.22,1276386,148.93,158.32,0.0019472235278317207,-0.057478524507326934
2023-05-31,148.93,2443024,157.7,160.47,-0.05561192136968918,-0.07191375334953565
2023-05-30,157.7,931513,157.21,163.17,0.0031168500731504345,-0.03352331923760499
2023-05-26,157.21,758903,158.55,164.77,-0.00845159255755279,-0.045882138738848055
2023-05-25,158.55,676427,158.32,164.78,0.0014527539161193204,-0.037807986406117156
2023-05-24,158.32,552839,160.47,166.36,-0.01339814295506947,-0.04832892522240939
2023-05-23,160.47,600041,163.17,165.56,-0.01654715940430218,-0.030744141096883282
2023-05-22,163.17,763947,164.77,168.42,-0.009710505553195525,-0.03117206982543641
2023-05-19,164.77,689071,164.78,170.65,-6.068697657479749e-05,-0.034456489891591
2023-05-18,164.78,620979,166.36,171.64,-0.009497475354652618,-0.03996737357259372
2023-05-17,166.36,617143,165.56,173.69,0.004832085044696788,-0.04220162358224411
2023-05-16,165.56,720853,168.42,173.22,-0.016981356133475733,-0.04422122156794828
2023-05-15,168.42,749786,170.65,172.61,-0.013067682390858537,-0.024274375760384825
2023-05-12,170.65,510842,171.64,173.73,-0.0057678862735958125,-0.017728659414033232
2023-05-11,171.64,695103,173.69,171.31,-0.011802636881800943,0.001926332379895923
2023-05-10,173.69,682827,173.22,171.98,0.00271331255051388,0.00994301662984065
2023-05-09,173.22,682269,172.61,170.96,0.0035339783326573393,0.013219466541880998
2023-05-08,172.61,1045520,173.73,170.92,-0.006446785241466468,0.009887666744676116
2023-05-05,173.73,821542,171.31,168.31,0.014126437452571361,0.03220248351256605
2023-05-04,171.31,1761747,171.98,167.61,-0.0038958018374228853,0.02207505518763786
2023-05-03,171.98,1407096,170.96,163.42,0.005966307908282564,0.05238036959980419
2023-05-02,170.96,1760394,170.92,165.14,0.00023402761525881388,0.03524282427031622
2023-05-01,170.92,965233,168.31,167.2,0.015507099994058526,0.022248803827751296
2023-04-28,168.31,766489,167.61,166.52,0.004176361792255667,0.010749459524381333
2023-04-27,167.61,983160,163.42,168.62,0.02563945661485767,-0.00598979954928236
2023-04-26,163.42,663189,165.14,166.5,-0.010415405110815068,-0.018498498498498606
2023-04-25,165.14,703186,167.2,166.47,-0.012320574162679399,-0.007989427524478954
2023-04-24,167.2,653107,166.52,166.3,0.004083593562334675,0.005411906193625748
2023-04-21,166.52,934287,168.62,165.07,-0.012454038666824818,0.00878415217786399
2023-04-20,168.62,1296481,166.5,164.23,0.012732732732732677,0.026730804359739402
2023-04-19,166.5,1038488,166.47,166.62,0.00018021265092804661,-0.0007202016564638036
2023-04-18,166.47,902381,166.3,165.37,0.0010222489476847674,0.006651750619822261
2023-04-17,166.3,1212112,165.07,164.78,0.0074513842612227155,0.009224420439373882
2023-04-14,165.07,1037432,164.23,162.28,0.00511477805516658,0.017192506778407557
2023-04-13,164.23,910924,166.62,162.16,-0.01434401632457094,0.012765170202269305
2023-04-12,166.62,730218,165.37,164.84,0.007558807522525246,0.010798349915069227
2023-04-11,165.37,675807,164.78,168.28,0.0035805316179147173,-0.017292607558830553
2023-04-10,164.78,719175,162.28,167.31,0.015405472023662714,-0.015121630506245931
2023-04-06,162.28,859806,162.16,164.37,0.0007400098667982302,-0.012715215671959657
2023-04-05,162.16,745003,164.84,162.54,-0.016258189759767117,-0.002337886058816241
2023-04-04,164.84,721663,168.28,161.34,-0.02044212027573089,0.02169331845791489
2023-04-03,168.28,837248,167.31,159.03,0.00579762118223659,0.05816512607684077
2023-03-31,167.31,799099,164.37,156.88,0.01788647563423984,0.06648393676695563
2023-03-30,164.37,1021053,162.54,154.29,0.011258767072720666,0.06533151856892871
2023-03-29,162.54,1037535,161.34,162.63,0.007437709185570851,-0.0005534034311013292
2023-03-28,161.34,987642,159.03,165.92,0.014525561214865146,-0.027603664416586238
2023-03-27,159.03,1187327,156.88,164.75,0.013704742478327425,-0.034719271623672276
2023-03-24,156.88,1619899,154.29,162.07,0.016786570743405393,-0.03202319985191582
2023-03-23,154.29,1929737,162.63,164.66,-0.05128205128205132,-0.0629782582290781
2023-03-22,162.63,1261674,165.92,163.13,-0.019828833172613303,-0.0030650401520260218
