date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,127.0,1066218,127.94,126.37,-0.007347193997186197,0.004985360449473841
2023-12-28,127.94,804942,127.4,124.46,0.004238618524332827,0.027960790615458864
2023-12-27,127.4,721963,126.31,128.42,0.008629562188267048,-0.007942688054820013
2023-12-26,126.31,746466,126.89,127.38,-0.004570888170856602,-0.008400062804207797
2023-12-22,126.89,910896,126.37,128.18,0.004114900688454437,-0.010063972538617572
2023-12-21,126.37,1583728,124.46,125.69,0.01534629599871451,0.0054101360490095285
2023-12-20,124.46,2029811,128.42,129.26,-0.030836318330478063,-0.037134457682190924
2023-12-19,128.42,2007550,127.38,123.42,0.008164547024650526,0.04051207259763401
2023-12-18,127.38,3193723,128.18,122.72,-0.006241223279762953,0.03797262059973927
2023-12-15,128.18,4237003,125.69,120.16,0.019810645238284685,0.06674434087882841
2023-12-14,125.69,11204446,129.26,119.87,-0.027618752901129473,0.04855259864853578
2023-12-13,129.26,2106927,123.42,119.45,0.047318100794036644,0.08212641272498944
2023-12-12,123.42,1546593,122.72,117.84,0.005704041720990816,0.04735234215885953
2023-12-11,122.72,1666895,120.16,119.81,0.02130492676431417,0.024288456723144947
2023-12-08,120.16,1534159,119.87,119.79,0.0024192875615249854,0.003088738625928622
2023-12-07,119.87,1727802,119.45,116.44,0.0035161155295102553,0.029457231192030253
2023-12-06,119.45,1592477,117.84,116.36,0.013662593346911,0.026555517359917458
2023-12-05,117.84,1247567,119.81,115.5,-0.016442700943160027,0.0202597402597402
2023-12-04,119.81,1389530,119.79,113.7,0.00016695884464468236,0.05373790677220747
2023-12-01,119.79,3658768,116.44,112.63,0.028770182068017958,0.06357098463997168
2023-11-30,116.44,1830051,116.36,112.38,0.0006875214850463607,0.036127424808684916
2023-11-29,116.36,1082586,115.5,112.05,0.007445887445887367,0.038464970995091496
2023-11-28,115.5,1321883,113.7,113.37,0.0158311345646438,0.018788039163800008
2023-11-27,113.7,2315381,112.63,112.05,0.009500133179437098,0.014725568942436373
2023-11-24,112.63,248856,112.38,111.81,0.002224595123687445,0.007333869957964367
2023-11-22,112.38,804799,112.05,114.46,0.0029451137884872747,-0.018172287261925546
2023-11-21,112.05,887514,113.37,111.85,-0.011643291876157758,0.0017881090746536543
2023-11-20,113.37,1353355,112.05,108.7,0.011780455153949099,0.0429622815087396
2023-11-17,112.05,1170551,111.81,109.18,0.002146498524282281,0.026286865726323327
2023-11-16,111.81,1389280,114.46,107.24,-0.023152192905818603,0.04261469600895196
2023-11-15,114.46,2462626,111.85,109.87,0.023334823424228768,0.04177664512605794
2023-11-14,111.85,2425979,108.7,109.8,0.02897884084636604,0.01867030965391625
2023-11-13,108.7,904167,109.18,111.03,-0.0043964095988277,-0.020985319283076675
2023-11-10,109.18,1090217,107.24,113.76,0.01809026482655729,-0.04026019690576654
2023-11-09,107.24,1978321,109.87,112.0,-0.023937380540638986,-0.04250000000000009
2023-11-08,109.87,1907269,109.8,109.02,0.0006375227686703511,0.007796734544120332
2023-11-07,109.8,1482207,111.03,106.22,-0.011078087003512649,0.033703633967237856
2023-11-06,111.03,1457751,113.76,103.8,-0.023997890295358704,0.06965317919075154
2023-11-03,113.76,1612867,112.0,102.78,0.01571428571428579,0.10683012259194391
2023-11-02,112.0,2545624,109.02,104.37,0.02733443404879843,0.07310529845741098
2023-11-01,109.02,2898725,106.22,105.61,0.026360384108454094,0.032288609033235494
2023-10-31,106.22,4260723,103.8,111.5,0.023314065510597226,-0.04735426008968613
2023-10-30,103.8,2645120,102.78,108.78,0.009924109748978394,-0.04578047435190291
2023-10-27,102.78,2302227,104.37,111.13,-0.015234262719172165,-0.07513722667146583
2023-10-26,104.37,2472897,105.61,112.41,-0.011741312375721957,-0.07152388577528679
2023-10-25,105.61,3619443,111.5,115.05,-0.05282511210762331,-0.08205128205128198
2023-10-24,111.5,2114388,108.78,116.19,0.02500459643316777,-0.040364919528358745
2023-10-23,108.78,1807353,111.13,115.21,-0.021146405111131084,-0.0558111275062928
2023-10-20,111.13,1110972,112.41,113.04,-0.011386887287607839,-0.016896673743807544
2023-10-19,112.41,1167437,115.05,114.03,-0.02294654498044324,-0.014206787687450761
2023-10-18,115.05,1226815,116.19,115.18,-0.009811515620965716,-0.0011286681715576563
2023-10-17,116.19,1299569,115.21,115.22,0.008506206058501942,0.008418677312966416
2023-10-16,115.21,1431086,113.04,113.8,0.01919674451521569,0.01239015817223188
