date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,270.68,629373,270.48,268.75,0.0007394262052646816,0.007181395348837327
2023-12-28,270.48,542305,271.22,263.47,-0.002728412358970589,0.026606444756518632
2023-12-27,271.22,510280,271.7,269.18,-0.0017666543982332028,0.0075785719592837975
2023-12-26,271.7,509412,269.99,267.18,0.006333567909922566,0.01691743393966605
2023-12-22,269.99,569537,268.75,270.39,0.0046139534883722355,-0.001479344650319847
2023-12-21,268.75,737157,263.47,275.85,0.020040232284510573,-0.025738626064890413
2023-12-20,263.47,1019759,269.18,268.27,-0.021212571513485323,-0.017892421813844095
2023-12-19,269.18,1388962,267.18,263.0,0.007485590238790252,0.02349809885931564
2023-12-18,267.18,881835,270.39,262.02,-0.011871740818817145,0.01969315319441267
2023-12-15,270.39,2794259,275.85,257.53,-0.01979336595976089,0.049935929794587164
2023-12-14,275.85,2409958,268.27,253.95,0.02825511611436249,0.08623744831659796
2023-12-13,268.27,1417354,263.0,252.39,0.02003802281368805,0.06291849914814374
2023-12-12,263.0,1373185,262.02,252.51,0.0037401725059156288,0.041542909191715216
2023-12-11,262.02,1484847,257.53,257.14,0.017434861957830172,0.01897798864431821
2023-12-08,257.53,1552543,253.95,252.36,0.01409726324079541,0.02048660643525113
2023-12-07,253.95,900129,252.39,250.48,0.006180910495661385,0.013853401469179127
2023-12-06,252.39,1004682,252.51,249.08,-0.00047522870381377924,0.013288903163642063
2023-12-05,252.51,981706,257.14,246.65,-0.018005755619506902,0.023758362051489845
2023-12-04,257.14,2000397,252.36,251.37,0.01894119511808512,0.022954210924135632
2023-12-01,252.36,980525,250.48,252.18,0.007505589268604451,0.0007137758743753775
2023-11-30,250.48,1792752,249.08,253.01,0.005620684117552566,-0.009999604758705205
2023-11-29,249.08,1401006,246.65,248.56,0.009852017028177507,0.0020920502092049986
2023-11-28,246.65,1546167,251.37,248.41,-0.018777101483868353,-0.007085060987882863
2023-11-27,251.37,1146015,252.18,246.38,-0.0032119914346895317,0.02025326731065835
2023-11-24,252.18,435498,253.01,240.42,-0.0032805027469269277,0.048914399800349395
2023-11-22,253.01,1112583,248.56,241.07,0.017903121982619785,0.049529182395154914
2023-11-21,248.56,1168952,248.41,237.58,0.0006038404251036411,0.046216011448775074
2023-11-20,248.41,1636404,246.38,229.99,0.008239305138403985,0.08009043871472676
2023-11-17,246.38,3050140,240.42,232.82,0.024789950919224646,0.05824241903616523
2023-11-16,240.42,1676566,241.07,227.56,-0.0026963122744431134,0.05651256811390404
2023-11-15,241.07,1949924,237.58,231.55,0.014689788702752615,0.04111423018786442
2023-11-14,237.58,1810805,229.99,233.11,0.03300143484499318,0.019175496546694593
