date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,231.38,517183,232.73,229.33,-0.0058007132728913335,0.008939083416910076
2023-12-28,232.73,511604,231.92,225.0,0.0034925836495343088,0.03435555555555547
2023-12-27,231.92,573390,231.03,228.86,0.003852313552352493,0.013370619592764088
2023-12-26,231.03,408765,229.38,225.97,0.007193303688203034,0.022392352967208096
2023-12-22,229.38,621636,229.33,226.72,0.0002180264248026198,0.011732533521524369
2023-12-21,229.33,835395,225.0,230.55,0.019244444444444397,-0.00529169377575367
2023-12-20,225.0,1163512,228.86,225.95,-0.01686620641440184,-0.004204470015490069
2023-12-19,228.86,1167993,225.97,217.43,0.01278930831526326,0.05256864278158502
2023-12-18,225.97,955046,226.72,216.31,-0.0033080451658433763,0.04465812953631354
2023-12-15,226.72,1654970,230.55,215.28,-0.0166124484927348,0.0531400966183575
2023-12-14,230.55,1501738,225.95,214.99,0.020358486390794628,0.07237545932368938
2023-12-13,225.95,1593863,217.43,215.59,0.03918502506553834,0.048054176909875235
2023-12-12,217.43,1119298,216.31,214.31,0.005177754149137792,0.014558350053660574
2023-12-11,216.31,726481,215.28,216.27,0.0047844667409884245,0.00018495399269435886
2023-12-08,215.28,603944,214.99,216.91,0.001348899948834692,-0.007514637407219582
2023-12-07,214.99,773631,215.59,214.1,-0.002783060438795837,0.0041569360112097
2023-12-06,215.59,968603,214.31,213.81,0.005972656432271073,0.008325148496328483
2023-12-05,214.31,1435550,216.27,211.0,-0.009062745642021586,0.015687203791469262
2023-12-04,216.27,1336585,216.91,210.73,-0.0029505324789081966,0.026289564846011526
2023-12-01,216.91,1195374,214.1,212.01,0.013124708080336278,0.023112117352955153
2023-11-30,214.1,1854498,213.81,209.52,0.001356344417941191,0.02185948835433371
2023-11-29,213.81,1204504,211.0,207.45,0.013317535545023684,0.030657989877078906
2023-11-28,211.0,1204820,210.73,205.29,0.00128126038058185,0.02781431146183455
