date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,170.1,6435102,170.3,167.5,-0.0011743981209630938,0.01552238805970152
2023-12-28,170.3,6320129,169.4,166.55,0.005312868949232552,0.022515761032722903
2023-12-27,169.4,5678572,168.39,168.45,0.005997980877724407,0.0056396556841793455
2023-12-26,168.39,4683605,167.4,166.23,0.005913978494623606,0.01299404439631835
2023-12-22,167.4,6576322,167.5,165.23,-0.0005970149253731183,0.013133208255159623
2023-12-21,167.5,7601678,166.55,163.99,0.005703992794956481,0.021403744130739533
2023-12-20,166.55,10734709,168.45,161.06,-0.011279311368358469,0.03408667577300384
2023-12-19,168.45,9267002,166.23,160.52,0.013354990073993767,0.04940194368302997
2023-12-18,166.23,8469608,165.23,159.1,0.006052169702838395,0.04481458202388433
2023-12-15,165.23,20309348,163.99,158.52,0.007561436672967714,0.04232904365379753
2023-12-14,163.99,13642990,161.06,156.79,0.018191978144790788,0.045921296001020684
2023-12-13,161.06,12379098,160.52,156.31,0.0033640667829553106,0.030388330880941616
2023-12-12,160.52,10222978,159.1,157.97,0.008925204274041532,0.016142305501044563
2023-12-11,159.1,8093908,158.52,157.99,0.0036588443098661827,0.007025761124121788
2023-12-08,158.52,7369370,156.79,156.84,0.011033866955800775,0.010711553175210442
2023-12-07,156.79,8130874,156.31,156.08,0.0030708208048109142,0.004548949256791168
2023-12-06,156.31,9282393,157.97,154.32,-0.010508324365385846,0.012895282529808316
2023-12-05,157.97,9135597,157.99,153.54,-0.0001265902905247529,0.02885241630845381
2023-12-04,157.99,9607465,156.84,153.19,0.007332313185411943,0.03133363796592481
2023-12-01,156.84,8916001,156.08,153.54,0.004869297796002092,0.02149277061352106
2023-11-30,156.08,9869790,154.32,153.33,0.01140487299118731,0.017935172503749985
2023-11-29,154.32,9126053,153.54,152.97,0.005080109417741285,0.00882525985487348
2023-11-28,153.54,6582937,153.19,153.29,0.0022847444350153623,0.0016308956879118597
2023-11-27,153.19,6259116,153.54,152.82,-0.002279536277191574,0.002421149064258721
2023-11-24,153.54,3496941,153.33,151.45,0.0013695949911953775,0.013799933971607725
2023-11-22,153.33,5175135,152.97,149.74,0.00235340262796635,0.023974889809002198
2023-11-21,152.97,7083506,153.29,148.44,-0.0020875464805271138,0.030517380759903068
2023-11-20,153.29,7020349,152.82,145.78,0.003075513676220387,0.051515982988064035
2023-11-17,152.82,7814064,151.45,146.43,0.009045889732585133,0.04363859864781805
2023-11-16,151.45,8126188,149.74,144.29,0.01141979431013751,0.04962228844687777
2023-11-15,149.74,8365296,148.44,144.72,0.008757747237941427,0.03468767274737439
2023-11-14,148.44,9927723,145.78,144.01,0.018246673069008068,0.03076175265606551
2023-11-13,145.78,6676364,146.43,144.08,-0.004438981083111471,0.011799000555247074
2023-11-10,146.43,7983935,144.29,143.0,0.014831242636357489,0.023986013986013965
2023-11-09,144.29,7992477,144.72,141.42,-0.002971254836926507,0.020294159241974308
2023-11-08,144.72,7618169,144.01,138.94,0.004930213179640264,0.041600690945732044
2023-11-07,144.01,6297915,144.08,139.06,-0.0004858411993338141,0.035596145548683955
2023-11-06,144.08,7625063,143.0,137.42,0.00755244755244755,0.04846456119924336
2023-11-03,143.0,9538719,141.42,135.69,0.011172394286522502,0.05387279829022029
2023-11-02,141.42,10186175,138.94,140.76,0.017849431409241223,0.004688832054560832
