date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,28.88,5699562,29.38,29.6,-0.01701837985023824,-0.02432432432432441
2023-12-28,29.38,4285342,29.21,29.07,0.005819924683327482,0.010663914688682441
2023-12-27,29.21,4611027,29.15,29.52,0.002058319039451195,-0.010501355013550095
2023-12-26,29.15,5185230,29.5,28.97,-0.011864406779661052,0.006213324128408582
2023-12-22,29.5,6409611,29.6,29.01,-0.0033783783783783994,0.016890727335401534
2023-12-21,29.6,7282868,29.07,29.76,0.018231854145166926,-0.005376344086021501
2023-12-20,29.07,7398586,29.52,29.15,-0.015243902439024404,-0.002744425385934779
2023-12-19,29.52,7851077,28.97,30.31,0.018985157059026703,-0.02606400527878583
2023-12-18,28.97,7778209,29.01,29.34,-0.0013788348845226173,-0.012610770279481986
2023-12-15,29.01,14737155,29.76,29.07,-0.025201612903225756,-0.0020639834881320818
2023-12-14,29.76,11860157,29.15,29.16,0.020926243567753078,0.020576131687242816
2023-12-13,29.15,22269776,30.31,27.99,-0.03827119762454634,0.041443372633083175
2023-12-12,30.31,12983019,29.34,27.17,0.03306066802999319,0.11556864188443128
2023-12-11,29.34,8349666,29.07,27.3,0.009287925696594312,0.07472527472527468
2023-12-08,29.07,8752783,29.16,26.69,-0.0030864197530864335,0.08917197452229297
2023-12-07,29.16,15404479,27.99,25.57,0.04180064308681675,0.140398904966758
2023-12-06,27.99,10864142,27.17,25.33,0.030180345969819555,0.10501381760757988
2023-12-05,27.17,8641064,27.3,24.82,-0.004761904761904745,0.09468170829975842
2023-12-04,27.3,12285225,26.69,24.44,0.02285500187336087,0.11702127659574457
2023-12-01,26.69,7864140,25.57,24.87,0.04380132968322248,0.07318053880176922
2023-11-30,25.57,6874341,25.33,24.71,0.009474930911962165,0.034803723188992386
2023-11-29,25.33,9195771,24.82,24.63,0.020547945205479312,0.02842062525375555
2023-11-28,24.82,4760445,24.44,25.13,0.015548281505728179,-0.012335853561480259
2023-11-27,24.44,7367267,24.87,24.81,-0.017289907519099312,-0.014913341394598878
2023-11-24,24.87,2240306,24.71,24.29,0.006475111290975333,0.0238781391519145
2023-11-22,24.71,7519922,24.63,24.94,0.0032480714575722214,-0.00922213311948683
2023-11-21,24.63,5898563,25.13,24.3,-0.019896538002387554,0.013580246913580174
2023-11-20,25.13,6248335,24.81,23.09,0.01289802498992354,0.08834993503681243
2023-11-17,24.81,6829783,24.29,23.16,0.02140798682585432,0.07124352331606221
2023-11-16,24.29,6907719,24.94,23.35,-0.026062550120288797,0.04025695931477502
2023-11-15,24.94,9043646,24.3,23.99,0.026337448559670795,0.039599833263860074
2023-11-14,24.3,8732178,23.09,23.56,0.05240363793850156,0.03140916808149408
2023-11-13,23.09,5050439,23.16,23.53,-0.003022452504317763,-0.01869953251168721
2023-11-10,23.16,6782063,23.35,23.7,-0.008137044967880147,-0.02278481012658229
2023-11-09,23.35,6642291,23.99,23.16,-0.026677782409337047,0.00820379965457696
2023-11-08,23.99,7208368,23.56,22.23,0.01825127334465204,0.07917228969860535
2023-11-07,23.56,4873744,23.53,22.23,0.0012749681257968604,0.05982905982905984
2023-11-06,23.53,6043014,23.7,22.51,-0.0071729957805906075,0.04531319413593948
2023-11-03,23.7,10929151,23.16,22.34,0.023316062176165664,0.0608773500447628
2023-11-02,23.16,6854732,22.23,23.39,0.04183535762483137,-0.0098332620778111
2023-11-01,22.23,8540310,22.23,23.6,0.0,-0.05805084745762712
2023-10-31,22.23,12170973,22.51,23.9,-0.012438916037316838,-0.06987447698744764
2023-10-30,22.51,13309204,22.34,24.29,0.007609668755595322,-0.07328118567311637
2023-10-27,22.34,11576679,23.39,24.2,-0.04489097905087647,-0.07685950413223142
2023-10-26,23.39,12871607,23.6,24.37,-0.008898305084745761,-0.04021337710299555
2023-10-25,23.6,10493284,23.9,24.7,-0.012552301255229992,-0.04453441295546545
2023-10-24,23.9,6445090,24.29,25.79,-0.01605599011939074,-0.07328421868941448
2023-10-23,24.29,6910447,24.2,25.61,0.0037190082644626976,-0.05154236626317843
2023-10-20,24.2,7521971,24.37,25.37,-0.006975789905621754,-0.04611746156878205
2023-10-19,24.37,7268507,24.7,25.45,-0.013360323886639658,-0.04243614931237716
2023-10-18,24.7,7448250,25.79,26.2,-0.04226444358278403,-0.057251908396946605
2023-10-17,25.79,4495983,25.61,26.65,0.007028504490433463,-0.03227016885553469
2023-10-16,25.61,5992097,25.37,26.5,0.009459992116673144,-0.03358490566037742
2023-10-13,25.37,8382938,25.45,27.08,-0.003143418467583481,-0.06314623338257008
2023-10-12,25.45,8747837,26.2,27.32,-0.028625954198473247,-0.06844802342606149
2023-10-11,26.2,7150072,26.65,27.2,-0.016885553470919246,-0.03676470588235292
2023-10-10,26.65,7005637,26.5,26.81,0.005660377358490454,-0.005967922417008609
2023-10-09,26.5,7451530,27.08,27.19,-0.021418020679468186,-0.025376976829716846
2023-10-06,27.08,6796840,27.32,27.07,-0.008784773060029338,0.00036941263391199186
2023-10-05,27.32,6775594,27.2,27.22,0.004411764705882337,0.0036737692872887973
2023-10-04,27.2,11733665,26.81,26.81,0.014546810891458373,0.014546810891458373
2023-10-03,26.81,6603104,27.19,26.56,-0.013975726369989006,0.0094126506024097
2023-10-02,27.19,6411127,27.07,27.5,0.0044329516069450126,-0.011272727272727212
2023-09-29,27.07,5941635,27.22,28.05,-0.005510653930933085,-0.03493761140819962
2023-09-28,27.22,6501548,26.81,28.28,0.015292801193584449,-0.03748231966053761
2023-09-27,26.81,11127788,26.56,28.52,0.0094126506024097,-0.05995792426367463
2023-09-26,26.56,10208626,27.5,28.91,-0.0341818181818182,-0.0812867519889312
2023-09-25,27.5,6223392,28.05,29.08,-0.019607843137254943,-0.054332874828060485
2023-09-22,28.05,5313520,28.28,29.69,-0.008132956152758108,-0.055237453688110505
2023-09-21,28.28,4960275,28.52,28.94,-0.008415147265077083,-0.022805805114029076
2023-09-20,28.52,5002642,28.91,28.79,-0.013490141819439638,-0.009378256339006574
2023-09-19,28.91,6514753,29.08,29.28,-0.0058459422283355655,-0.012636612021857951
2023-09-18,29.08,5291989,29.69,29.41,-0.020545638262041144,-0.011220673240394441
2023-09-15,29.69,8547518,28.94,29.53,0.02591568762957852,0.0054182187605824605
2023-09-14,28.94,8286211,28.79,29.43,0.005210142410559282,-0.01664967720013588
2023-09-13,28.79,8279218,29.28,29.97,-0.016734972677595716,-0.03937270603937271
2023-09-12,29.28,4291937,29.41,30.77,-0.0044202652159128775,-0.04842378940526482
2023-09-11,29.41,4906405,29.53,31.42,-0.004063664070436901,-0.06397199236155315
2023-09-08,29.53,8612716,29.43,31.6,0.003397893306150257,-0.06550632911392407
2023-09-07,29.43,7910919,29.97,31.63,-0.018018018018017945,-0.06955422067657291
2023-09-06,29.97,8878301,30.77,31.81,-0.025999350016249645,-0.057843445457403275
2023-09-05,30.77,5519475,31.42,31.09,-0.02068746021642276,-0.010292698616918616
2023-09-01,31.42,4208420,31.6,31.22,-0.0056962025316456,0.006406149903907865
2023-08-31,31.6,5202819,31.63,31.22,-0.000948466645589563,0.0121716848174247
2023-08-30,31.63,3231676,31.81,31.57,-0.005658597925180753,0.001900538485904324
2023-08-29,31.81,4814158,31.09,31.5,0.023158571888066914,0.009841269841269762
2023-08-28,31.09,5515466,31.22,31.92,-0.004163997437540035,-0.02600250626566425
2023-08-25,31.22,3982895,31.22,32.15,0.0,-0.02892690513219287
2023-08-24,31.22,4420581,31.57,32.23,-0.011086474501108667,-0.031337263419174644
2023-08-23,31.57,4300896,31.5,32.92,0.0022222222222221255,-0.04100850546780077
2023-08-22,31.5,6980838,31.92,33.12,-0.013157894736842146,-0.048913043478260754
2023-08-21,31.92,7323509,32.15,33.53,-0.007153965785380967,-0.04801670146137782
2023-08-18,32.15,5452775,32.23,33.7,-0.002482159478746415,-0.0459940652818992
2023-08-17,32.23,5945735,32.92,33.84,-0.020959902794653873,-0.047576832151300374
2023-08-16,32.92,5381260,33.12,33.63,-0.006038647342995085,-0.021112102289622348
2023-08-15,33.12,4498942,33.53,33.74,-0.012227855651655295,-0.01837581505631314
2023-08-14,33.53,4164331,33.7,32.97,-0.005044510385756706,0.01698513800424628
2023-08-11,33.7,5061394,33.84,32.73,-0.004137115839243477,0.02963641918729021
2023-08-10,33.84,8003729,33.63,32.26,0.006244424620874156,0.04897706137631763
2023-08-09,33.63,8101464,33.74,33.37,-0.003260225251926485,0.007791429427629781
2023-08-08,33.74,8051287,32.97,33.43,0.023354564755838636,0.009273107986838225
2023-08-07,32.97,8037217,32.73,34.16,0.007332722273144077,-0.03483606557377039
2023-08-04,32.73,8305653,32.26,33.7,0.014569125852448739,-0.02878338278931769
2023-08-03,32.26,10743209,33.37,33.02,-0.033263410248726366,-0.023016353725015315
2023-08-02,33.37,7350693,33.43,36.26,-0.0017947950942268642,-0.07970215113072254
2023-08-01,33.43,8909453,34.16,35.53,-0.021370023419203688,-0.05910498170560097
2023-07-31,34.16,10008279,33.7,37.2,0.01364985163204735,-0.08172043010752705
2023-07-28,33.7,12517118,33.02,37.25,0.02059357964869779,-0.09530201342281874
2023-07-27,33.02,33284435,36.26,37.08,-0.08935466078323206,-0.10949298813376473
2023-07-26,36.26,10660869,35.53,37.35,0.02054601745004203,-0.02918340026773769
2023-07-25,35.53,13980312,37.2,36.74,-0.0448924731182796,-0.03293413173652693
2023-07-24,37.2,6093610,37.25,36.27,-0.0013422818791946067,0.02564102564102555
2023-07-21,37.25,4648696,37.08,36.36,0.004584681769147725,0.02447744774477445
2023-07-20,37.08,6318786,37.35,37.04,-0.0072289156626507145,0.001079913606911509
2023-07-19,37.35,6488693,36.74,38.55,0.01660315732172024,-0.03112840466926059
2023-07-18,36.74,5263062,36.27,39.18,0.012958367797077486,-0.0622766717713118
2023-07-17,36.27,4792350,36.36,38.41,-0.0024752475247523664,-0.05571465764123906
2023-07-14,36.36,9121028,37.04,37.59,-0.018358531317494542,-0.03272146847565849
2023-07-13,37.04,14500578,38.55,37.1,-0.039169909208819687,-0.0016172506738545422
2023-07-12,38.55,9541066,39.18,37.22,-0.01607963246554367,0.03573347662547022
2023-07-11,39.18,8127784,38.41,37.04,0.02004686279614698,0.05777537796976251
2023-07-10,38.41,7516745,37.59,36.21,0.02181431231710551,0.06075669704501507
2023-07-07,37.59,5734968,37.1,35.95,0.013207547169811429,0.04561891515994443
2023-07-06,37.1,7284089,37.22,35.47,-0.003224073078989753,0.045954327600789435
2023-07-05,37.22,8217989,37.04,35.25,0.004859611231101457,0.05588652482269496
2023-07-03,37.04,4233186,36.21,34.0,0.02292184479425563,0.0894117647058823
2023-06-30,36.21,7172233,35.95,33.93,0.007232267037552198,0.06719717064544661
2023-06-29,35.95,8144813,35.47,34.28,0.013532562729067,0.04871645274212377
2023-06-28,35.47,7692151,35.25,34.35,0.006241134751773014,0.0326055312954876
2023-06-27,35.25,7819394,34.0,34.47,0.03676470588235303,0.022628372497824234
2023-06-26,34.0,5842162,33.93,34.25,0.0020630710285882703,-0.007299270072992692
2023-06-23,33.93,6016444,34.28,33.97,-0.010210035005834395,-0.0011775095672652558
2023-06-22,34.28,4664569,34.35,33.57,-0.002037845705967989,0.021149836163240954
2023-06-21,34.35,7216508,34.47,32.45,-0.003481288076588318,0.05855161787365182
2023-06-20,34.47,8931813,34.25,31.46,0.006423357664233631,0.09567705022250461
2023-06-16,34.25,8743377,33.97,30.62,0.008242566970856569,0.11854996734160683
2023-06-15,33.97,11142494,33.57,30.59,0.01191540065534702,0.1104936253677673
2023-06-14,33.57,14745161,32.45,30.79,0.03451463790446829,0.09028905488795069
2023-06-13,32.45,8559481,31.46,30.39,0.03146853146853146,0.06778545574202055
2023-06-12,31.46,8840950,30.62,30.0,0.02743305029392551,0.048666666666666636
2023-06-09,30.62,5314796,30.59,30.07,0.0009807126511931497,0.018290655138011314
2023-06-08,30.59,4490182,30.79,29.11,-0.006495615459564785,0.0508416351769152
2023-06-07,30.79,5088671,30.39,29.87,0.013162224415926183,0.030800133913625682
2023-06-06,30.39,4460897,30.0,29.8,0.013000000000000123,0.019798657718120838
2023-06-05,30.0,4999500,30.07,29.65,-0.002327901563019652,0.01180438448566612
2023-06-02,30.07,9546083,29.11,29.24,0.03297835795259374,0.02838577291381683
2023-06-01,29.11,8699090,29.87,28.94,-0.025443588885169066,0.005874222529371087
2023-05-31,29.87,6931217,29.8,29.48,0.0023489932885905063,0.01322930800542732
2023-05-30,29.8,5567561,29.65,29.32,0.005059021922428464,0.016371077762619368
2023-05-26,29.65,4414409,29.24,29.48,0.014021887824897439,0.005766621438263231
2023-05-25,29.24,5832718,28.94,29.96,0.010366275051831186,-0.024032042723631575
2023-05-24,28.94,6072433,29.48,29.88,-0.01831750339213023,-0.03145917001338683
2023-05-23,29.48,5819389,29.32,28.54,0.005457025920873049,0.03293622985283817
2023-05-22,29.32,4655851,29.48,29.05,-0.005427408412483015,0.009294320137693601
2023-05-19,29.48,4717698,29.96,28.63,-0.01602136181575431,0.029689137268599453
2023-05-18,29.96,7223202,29.88,28.97,0.0026773761713521083,0.034173282706247976
2023-05-17,29.88,8269422,28.54,29.24,0.04695164681149255,0.02188782489740082
2023-05-16,28.54,5020652,29.05,29.63,-0.017555938037865815,-0.036787040161997964
2023-05-15,29.05,5574467,28.63,29.59,0.014669926650366705,-0.018249408583981053
2023-05-12,28.63,5101517,28.97,29.66,-0.011736278909216469,-0.03472690492245456
2023-05-11,28.97,5568894,29.24,29.29,-0.009233926128590975,-0.010925230454079893
2023-05-10,29.24,7088170,29.63,30.79,-0.013162335470806585,-0.0503410198116272
2023-05-09,29.63,4653865,29.59,29.96,0.0013518080432577406,-0.01101468624833113
2023-05-08,29.59,6960139,29.66,30.59,-0.00236008091705997,-0.03269042170643999
2023-05-05,29.66,5808980,29.29,30.29,0.012632297712529938,-0.020798943545724646
2023-05-04,29.29,8760203,30.79,29.88,-0.048717115946736,-0.019745649263721576
2023-05-03,30.79,8755286,29.96,30.9,0.027703604806408544,-0.0035598705501618255
2023-05-02,29.96,6812067,30.59,31.29,-0.020594965675057142,-0.04250559284116329
2023-05-01,30.59,7183314,30.29,32.16,0.009904258831297419,-0.04881840796019887
2023-04-28,30.29,10931229,29.88,32.15,0.013721552878179333,-0.05785381026438563
2023-04-27,29.88,23080980,30.9,32.21,-0.03300970873786402,-0.07233778329711271
2023-04-26,30.9,6611794,31.29,32.45,-0.012464046021092967,-0.04776579352850552
2023-04-25,31.29,4956042,32.16,32.06,-0.027052238805970075,-0.02401746724890841
2023-04-24,32.16,4586504,32.15,32.31,0.0003110419906686701,-0.004642525533890662
2023-04-21,32.15,4329548,32.21,31.67,-0.0018627755355480335,0.015156299336911871
2023-04-20,32.21,5003142,32.45,32.21,-0.007395993836671888,0.0
2023-04-19,32.45,6395246,32.06,32.24,0.01216469120399255,0.006513647642679921
2023-04-18,32.06,21631444,32.31,32.71,-0.007737542556484067,-0.01987159889941914
2023-04-17,32.31,4425464,31.67,32.17,0.02020839911588257,0.004351880634131167
2023-04-14,31.67,6606192,32.21,31.59,-0.016764979819931636,0.002532446976891478
2023-04-13,32.21,8621406,32.24,31.58,-0.0009305210918114648,0.019949335022166004
2023-04-12,32.24,12377207,32.71,31.72,-0.014368694588810738,0.016393442622950838
2023-04-11,32.71,6179548,32.17,31.69,0.016785825303077484,0.03218680971915422
2023-04-10,32.17,4487436,31.59,32.54,0.018360240582462772,-0.011370620774431406
2023-04-06,31.59,2979659,31.58,31.82,0.0003166561114629207,-0.0072281583909491465
2023-04-05,31.58,4196393,31.72,31.44,-0.004413619167717542,0.004452926208651231
2023-04-04,31.72,4715468,31.69,30.63,0.0009466708740926144,0.03558602677113942
2023-04-03,31.69,6081292,32.54,30.15,-0.02612169637369388,0.05107794361525708
2023-03-31,32.54,5193365,31.82,29.63,0.022627278441231802,0.09821127235909555
2023-03-30,31.82,5097091,31.44,29.62,0.012086513994910897,0.07427413909520597
2023-03-29,31.44,4730910,30.63,30.08,0.026444662095984395,0.04521276595744683
2023-03-28,30.63,4056310,30.15,31.04,0.015920398009950265,-0.013208762886597891
2023-03-27,30.15,5115911,29.63,30.08,0.01754978062774204,0.002327127659574435
2023-03-24,29.63,6314770,29.62,30.03,0.0003376097231599928,-0.013320013320013424
2023-03-23,29.62,4993295,30.08,30.48,-0.015292553191489255,-0.028215223097112885
2023-03-22,30.08,5687079,31.04,29.73,-0.030927835051546393,0.011772620248906795
2023-03-21,31.04,6676803,30.08,30.53,0.03191489361702127,0.016704880445463477
2023-03-20,30.08,5734121,30.03,31.06,0.0016650016650014976,-0.03155183515775917
2023-03-17,30.03,7742692,30.48,32.77,-0.014763779527559029,-0.08361306072627406
2023-03-16,30.48,9483408,29.73,33.08,0.025227043390514625,-0.07859733978234573
2023-03-15,29.73,12768795,30.53,33.9,-0.026203734032099635,-0.12300884955752212
2023-03-14,30.53,15128582,31.06,33.37,-0.0170637475853187,-0.0851063829787233
2023-03-13,31.06,12035953,32.77,33.76,-0.05218187366493754,-0.07997630331753558
2023-03-10,32.77,13423391,33.08,34.18,-0.00937122128174106,-0.0412521942656523
2023-03-09,33.08,8594117,33.9,33.92,-0.024188790560471962,-0.024764150943396346
2023-03-08,33.9,5850398,33.37,33.65,0.015882529217860375,0.007429420505200568
2023-03-07,33.37,7739335,33.76,33.58,-0.011552132701421858,-0.0062537224538415925
2023-03-06,33.76,5682233,34.18,33.54,-0.012287887653598673,0.0065593321407273475
2023-03-03,34.18,3871900,33.92,33.57,0.007665094339622591,0.018170985999404143
2023-03-02,33.92,3937818,33.65,33.64,0.008023774145616835,0.00832342449464929
2023-03-01,33.65,3639475,33.58,33.6,0.002084574151280494,0.0014880952380951218
2023-02-28,33.58,5244357,33.54,33.76,0.0011926058437685683,-0.005331753554502328
2023-02-27,33.54,4815313,33.57,35.36,-0.0008936550491510653,-0.05147058823529416
2023-02-24,33.57,5343016,33.64,35.41,-0.002080856123662267,-0.051962722394803595
2023-02-23,33.64,6215050,33.6,35.72,0.0011904761904761862,-0.05823068309070545
2023-02-22,33.6,5611155,33.76,35.51,-0.004739336492890933,-0.05378766544635305
2023-02-21,33.76,6613341,35.36,35.07,-0.045248868778280604,-0.03735386370116911
2023-02-17,35.36,4250781,35.41,34.57,-0.0014120304998587185,0.02285218397454436
2023-02-16,35.41,5566928,35.72,34.85,-0.008678611422172522,0.01606886657101847
2023-02-15,35.72,5126348,35.51,35.3,0.005913827090960222,0.011898016997167193
2023-02-14,35.51,5334904,35.07,36.19,0.012546335899629169,-0.018789720917380515
2023-02-13,35.07,3686016,34.57,36.02,0.014463407578825471,-0.026374236535258277
2023-02-10,34.57,4808682,34.85,36.35,-0.008034433285509346,-0.04896836313617614
2023-02-09,34.85,5911447,35.3,36.82,-0.012747875354107485,-0.05350353068984248
2023-02-08,35.3,5488951,36.19,35.63,-0.024592428847748038,-0.009261857984844357
2023-02-07,36.19,5404912,36.02,35.77,0.004719600222098608,0.011741682974559575
2023-02-06,36.02,4388662,36.35,35.47,-0.00907840440165053,0.015506061460389242
2023-02-03,36.35,4831073,36.82,36.24,-0.012764801738185727,0.0030353200883002085
2023-02-02,36.82,9675851,35.63,35.7,0.03339882121807469,0.03137254901960773
2023-02-01,35.63,9279059,35.77,36.87,-0.003913894324853229,-0.03363167887171126
2023-01-31,35.77,5602209,35.47,36.68,0.008457851705666819,-0.024809160305343414
2023-01-30,35.47,6983030,36.24,36.69,-0.02124724061810168,-0.03325156718451894
2023-01-27,36.24,8196549,35.7,37.06,0.015126050420168013,-0.0221262817053427
2023-01-26,35.7,16712044,36.87,36.45,-0.03173311635475984,-0.020576131687242816
2023-01-25,36.87,6402617,36.68,36.3,0.005179934569247591,0.015702479338842945
2023-01-24,36.68,3900312,36.69,37.04,-0.0002725538293812946,-0.009719222462203025
2023-01-23,36.69,6098559,37.06,36.99,-0.009983810037776708,-0.008110300081103139
2023-01-20,37.06,5247658,36.45,36.97,0.016735253772290903,0.002434406275358514
2023-01-19,36.45,5490156,36.3,35.97,0.004132231404958775,0.01334445371142623
2023-01-18,36.3,9224257,37.04,36.21,-0.019978401727861805,0.0024855012427504874
2023-01-17,37.04,6790988,36.99,35.61,0.0013517166801837455,0.040157259196854866
2023-01-13,36.99,5585825,36.97,35.08,0.000540979172301892,0.05444697833523393
2023-01-12,36.97,8037264,35.97,33.53,0.02780094523213794,0.1025946913212048
2023-01-11,35.97,8963675,36.21,33.62,-0.006628003314001707,0.0698988697204046
2023-01-10,36.21,5432878,35.61,32.6,0.016849199663016012,0.11073619631901832
2023-01-09,35.61,7866318,35.08,33.67,0.015108323831242831,0.057618057618057605
2023-01-06,35.08,10662826,33.53,33.38,0.046227259170891655,0.05092869982025161
2023-01-05,33.53,5207998,33.62,32.19,-0.0026769779892920065,0.041627834731283064
2023-01-04,33.62,8497301,32.6,33.94,0.03128834355828203,-0.009428403064230984
2023-01-03,32.6,11467617,33.67,36.09,-0.03177903177903174,-0.09670268772513169
