date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,49.21,3236690,49.09,48.79,0.0024444897127724463,0.008608321377331363
2023-12-28,49.09,4073683,48.54,47.55,0.011330861145447235,0.03238696109358585
2023-12-27,48.54,3240590,49.04,49.26,-0.010195758564437218,-0.01461632155907433
2023-12-26,49.04,2915817,48.92,47.73,0.002452984464431651,0.027446050701864788
2023-12-22,48.92,3728666,48.79,47.87,0.002664480426316951,0.021934405682055624
2023-12-21,48.79,3396069,47.55,48.61,0.026077812828601443,0.0037029417815264143
2023-12-20,47.55,4392277,49.26,48.63,-0.03471376370280144,-0.022208513263417773
2023-12-19,49.26,7176299,47.73,47.83,0.032055311125078534,0.029897553836504276
2023-12-18,47.73,3858634,47.87,47.61,-0.002924587424274039,0.002520478890989164
2023-12-15,47.87,7226732,48.61,46.39,-0.01522320510183095,0.03190342746281516
2023-12-14,48.61,7178325,48.63,44.85,-0.0004112687641374402,0.08383500557413592
2023-12-13,48.63,6340995,47.83,44.83,0.016725904244198286,0.08476466651795689
2023-12-12,47.83,5661374,47.61,44.87,0.004620877966813763,0.06596835301983517
2023-12-11,47.61,6047287,46.39,45.63,0.026298771286915157,0.04339250493096647
2023-12-08,46.39,5994374,44.85,46.8,0.034336677814938765,-0.00876068376068373
2023-12-07,44.85,4024300,44.83,46.12,0.00044612982377878474,-0.027536860364267057
2023-12-06,44.83,5476407,44.87,45.34,-0.0008914642299977515,-0.011248345831495477
2023-12-05,44.87,5158939,45.63,47.66,-0.016655708963401405,-0.058539655895929466
2023-12-04,45.63,5334660,46.8,48.56,-0.02499999999999991,-0.06033772652388791
2023-12-01,46.8,10269485,46.12,48.92,0.014744145706851786,-0.04333605887162728
2023-11-30,46.12,25960439,45.34,49.28,0.017203352448169174,-0.06412337662337675
2023-11-29,45.34,28332512,47.66,49.44,-0.04867813680234989,-0.0829288025889966
2023-11-28,47.66,5394230,48.56,49.28,-0.01853377265238887,-0.03287337662337675
2023-11-27,48.56,4237728,48.92,49.08,-0.007358953393295176,-0.010594947025264756
2023-11-24,48.92,2280321,49.28,49.12,-0.007305194805194759,-0.004071661237784907
2023-11-22,49.28,2286063,49.44,49.28,-0.003236245954692518,0.0
2023-11-21,49.44,2287010,49.28,49.47,0.0032467532467532756,-0.0006064281382656134
2023-11-20,49.28,3676133,49.08,47.61,0.004074979625101838,0.03507666456626768
2023-11-17,49.08,3427862,49.12,47.75,-0.0008143322475570036,0.02785340314136131
2023-11-16,49.12,4292545,49.28,47.89,-0.0032467532467532756,0.02568385884318225
