date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,66.13,1788964,66.29,65.59,-0.002413637049328843,0.008232962341820249
2023-12-28,66.29,1546257,66.02,65.22,0.004089669797031403,0.016406010426249784
2023-12-27,66.02,1693983,66.24,66.4,-0.0033212560386473022,-0.005722891566265154
2023-12-26,66.24,1641690,65.86,65.22,0.00576981475857874,0.015639374425022945
2023-12-22,65.86,2553579,65.59,66.36,0.004116481170910236,-0.007534659433393598
2023-12-21,65.59,3018937,65.22,66.9,0.005673106409077144,-0.019581464872944765
2023-12-20,65.22,3491736,66.4,66.23,-0.01777108433734953,-0.015249886758266773
2023-12-19,66.4,4259477,65.22,65.2,0.01809260962894821,0.01840490797546024
2023-12-18,65.22,5875389,66.36,64.94,-0.017179023508137492,0.004311672312904191
2023-12-15,66.36,8619539,66.9,64.09,-0.008071748878923812,0.03541894211265406
2023-12-14,66.9,4340491,66.23,63.46,0.010116261512909563,0.05420737472423576
2023-12-13,66.23,3961442,65.2,63.54,0.015797546012269903,0.04233553666981438
2023-12-12,65.2,2902116,64.94,63.97,0.0040036957191254,0.019227763013912824
2023-12-11,64.94,3424324,64.09,64.55,0.013262599469495928,0.006041828040278974
2023-12-08,64.09,3317506,63.46,63.76,0.009927513394264231,0.00517565872020076
2023-12-07,63.46,4924067,63.54,63.63,-0.0012590494176896172,-0.0026716957410026776
2023-12-06,63.54,3072834,63.97,63.16,-0.0067219008910426314,0.00601646611779616
2023-12-05,63.97,3112371,64.55,63.19,-0.008985282726568511,0.012343725272986328
2023-12-04,64.55,4201789,63.76,63.22,0.012390213299874553,0.02103764631445748
2023-12-01,63.76,4229064,63.63,63.55,0.002043061449001904,0.0033044846577499065
2023-11-30,63.63,6240813,63.16,62.97,0.007441418619379414,0.01048118151500721
2023-11-29,63.16,4412985,63.19,62.25,-0.0004747586643456536,0.014618473895582351
2023-11-28,63.19,2833407,63.22,62.51,-0.0004745333755140635,0.010878259478483532
2023-11-27,63.22,2903568,63.55,62.55,-0.005192761605035345,0.010711430855315784
2023-11-24,63.55,1614377,62.97,62.03,0.00921073527076377,0.024504272126390392
2023-11-22,62.97,2614421,62.25,61.82,0.011566265060241054,0.01860239404723396
2023-11-21,62.25,4447100,62.51,62.41,-0.004159334506478984,-0.0025636917160710704
2023-11-20,62.51,3472654,62.55,60.46,-0.0006394884092725261,0.03390671518359234
2023-11-17,62.55,4120861,62.03,60.49,0.008383040464291502,0.03405521573813841
2023-11-16,62.03,3748599,61.82,59.31,0.0033969589129732025,0.0458607317484403
2023-11-15,61.82,3187602,62.41,59.35,-0.009453613203012301,0.04161752316764944
2023-11-14,62.41,3880636,60.46,60.05,0.03225272907707577,0.03930058284762694
2023-11-13,60.46,3473183,60.49,60.43,-0.0004959497437593274,0.0004964421644879646
2023-11-10,60.49,3183790,59.31,61.76,0.019895464508514538,-0.020563471502590636
2023-11-09,59.31,2781461,59.35,60.01,-0.0006739679865206405,-0.011664722546242179
2023-11-08,59.35,3597660,60.05,59.98,-0.011656952539550347,-0.010503501167055562
2023-11-07,60.05,4113309,60.43,60.01,-0.006288267416845961,0.0006665555740710261
2023-11-06,60.43,4459553,61.76,59.42,-0.021534974093264214,0.016997643890945824
2023-11-03,61.76,4119223,60.01,58.29,0.029161806365605836,0.059529936524275184
2023-11-02,60.01,4566788,59.98,59.6,0.0005001667222408468,0.006879194630872387
2023-11-01,59.98,4322635,60.01,58.96,-0.0004999166805532695,0.017299864314789692
2023-10-31,60.01,2712953,59.42,59.21,0.009929316728374271,0.013511231210943997
2023-10-30,59.42,3133792,58.29,58.49,0.019385829473323124,0.0159001538724568
2023-10-27,58.29,4686887,59.6,60.12,-0.0219798657718121,-0.030439121756486998
2023-10-26,59.6,3139375,58.96,61.92,0.01085481682496603,-0.03746770025839796
2023-10-25,58.96,3735483,59.21,63.08,-0.0042222597534200546,-0.06531388712745712
2023-10-24,59.21,5061862,58.49,63.94,0.012309796546418061,-0.07397560212699406
2023-10-23,58.49,8494794,60.12,63.35,-0.02711244178310035,-0.07671665351223356
2023-10-20,60.12,4589927,61.92,62.06,-0.029069767441860517,-0.031260070899129966
2023-10-19,61.92,3990617,63.08,62.48,-0.018389346861128697,-0.008962868117797673
2023-10-18,63.08,2979675,63.94,62.85,-0.013450109477635253,0.0036595067621321142
2023-10-17,63.94,4090686,63.35,62.18,0.009313338595106524,0.028304921196526278
2023-10-16,63.35,2620147,62.06,61.9,0.02078633580406053,0.02342487883683364
2023-10-13,62.06,3012913,62.48,61.32,-0.006722151088348172,0.01206784083496415
2023-10-12,62.48,2617224,62.85,60.29,-0.005887032617342913,0.03632443191242318
2023-10-11,62.85,3143090,62.18,60.0,0.010775168864586737,0.0475000000000001
2023-10-10,62.18,3089885,61.9,60.26,0.004523424878836835,0.031861931629605156
2023-10-09,61.9,3180899,61.32,61.69,0.009458577951728664,0.0034041173609986597
2023-10-06,61.32,3938357,60.29,62.91,0.01708409354785201,-0.025274201239866456
2023-10-05,60.29,3632291,60.0,62.9,0.004833333333333245,-0.04149443561208266
2023-10-04,60.0,3456742,60.26,62.8,-0.004314636574842323,-0.04458598726114649
2023-10-03,60.26,3797547,61.69,63.06,-0.023180418220132948,-0.044402156676181526
2023-10-02,61.69,3259487,62.91,65.05,-0.01939278334128114,-0.05165257494235198
2023-09-29,62.91,3330542,62.9,64.42,0.00015898251192369983,-0.023439925488978663
2023-09-28,62.9,3483705,62.8,64.69,0.0015923566878981443,-0.02767042819601173
2023-09-27,62.8,7114601,63.06,66.09,-0.004123057405645447,-0.04978060220910885
2023-09-26,63.06,5530950,65.05,66.36,-0.030591852421214427,-0.049728752260397746
2023-09-25,65.05,2335736,64.42,66.3,0.009779571561626677,-0.018853695324283604
2023-09-22,64.42,2492937,64.69,65.65,-0.004173751739063203,-0.018735719725818778
2023-09-21,64.69,4891545,66.09,65.93,-0.021183234982599553,-0.01880782648263324
2023-09-20,66.09,4142493,66.36,63.79,-0.004068716094032476,0.036055808120395216
2023-09-19,66.36,3331146,66.3,63.99,0.0009049773755656076,0.03703703703703698
2023-09-18,66.3,3644842,65.65,63.4,0.009900990099009688,0.045741324921135584
2023-09-15,65.65,7686155,65.93,63.31,-0.0042469285605946094,0.03696098562628336
2023-09-14,65.93,4939900,63.79,62.77,0.03354757799028074,0.05034252031225117
2023-09-13,63.79,4550246,63.99,63.2,-0.0031254883575558834,0.009335443037974622
2023-09-12,63.99,3328299,63.4,63.77,0.009305993690851722,0.0034498980711932248
2023-09-11,63.4,2188162,63.31,64.3,0.0014215763702416506,-0.013996889580093264
2023-09-08,63.31,2821254,62.77,63.34,0.008602835749561777,-0.000473634354278496
2023-09-07,62.77,3155396,63.2,62.94,-0.006803797468354467,-0.0027009850651412703
2023-09-06,63.2,3028175,63.77,62.85,-0.008938372275364648,0.005568814638027053
2023-09-05,63.77,3978947,64.3,62.53,-0.008242612752721534,0.019830481368942943
2023-09-01,64.3,3087138,63.34,62.41,0.015156299336911871,0.030283608396090456
2023-08-31,63.34,4953493,62.94,62.27,0.006355258976803446,0.01718323430223223
2023-08-30,62.94,2343548,62.85,61.73,0.0014319809069212042,0.019601490361250695
2023-08-29,62.85,2834747,62.53,61.32,0.005117543579082007,0.02495107632093929
2023-08-28,62.53,2134611,62.41,61.95,0.0019227687870533305,0.009362389023406026
2023-08-25,62.41,2109517,62.27,62.26,0.0022482736470208486,0.002409251525859357
2023-08-24,62.27,2418061,61.73,61.84,0.008747772557913702,0.006953428201811107
2023-08-23,61.73,2251392,61.32,61.66,0.006686236138290891,0.0011352578657151113
2023-08-22,61.32,2524299,61.95,61.86,-0.01016949152542379,-0.008729388942773975
2023-08-21,61.95,2138015,62.26,63.57,-0.004979119820109124,-0.02548371873525246
2023-08-18,62.26,3225368,61.84,63.65,0.006791720569210735,-0.021838177533385683
2023-08-17,61.84,3764379,61.66,62.66,0.002919234511839175,-0.01308649856367683
2023-08-16,61.66,2573394,61.86,62.63,-0.0032331070158422293,-0.01548778540635487
2023-08-15,61.86,3677307,63.57,63.5,-0.026899480887210947,-0.0258267716535433
2023-08-14,63.57,2764628,63.65,64.18,-0.0012568735271013542,-0.009504518541601836
2023-08-11,63.65,2854240,62.66,63.53,0.015799553143951428,0.0018888713993387984
2023-08-10,62.66,3914958,62.63,64.42,0.00047900367236142216,-0.02732070785470364
2023-08-09,62.63,2921355,63.5,62.75,-0.013700787401574765,-0.0019123505976095245
2023-08-08,63.5,4362279,64.18,62.82,-0.010595200997195464,0.01082457815982174
2023-08-07,64.18,3821265,63.53,62.97,0.010231386746419213,0.019215499444179995
2023-08-04,63.53,4204617,64.42,62.56,-0.013815585221980786,0.015505115089514021
2023-08-03,64.42,5455371,62.75,62.32,0.026613545816733142,0.03369704749679081
2023-08-02,62.75,6407793,62.82,62.85,-0.0011142948105699046,-0.0015910898965791898
2023-08-01,62.82,4311369,62.97,61.72,-0.0023820867079561436,0.01782242384964361
2023-07-31,62.97,3068995,62.56,61.98,0.006553708439897665,0.015972894482090938
2023-07-28,62.56,3802518,62.32,61.2,0.0038510911424904926,0.022222222222222143
2023-07-27,62.32,3852911,62.85,60.94,-0.008432776451869572,0.022645224811289832
2023-07-26,62.85,3073682,61.72,60.26,0.018308489954633966,0.04298041818785259
2023-07-25,61.72,3158698,61.98,59.37,-0.004194901581155208,0.039582280613104315
2023-07-24,61.98,2891662,61.2,59.0,0.012745098039215641,0.05050847457627117
2023-07-21,61.2,3341088,60.94,58.16,0.00426649163111259,0.05226960110041268
2023-07-20,60.94,3216815,60.26,59.17,0.01128443411881852,0.029913807672807158
2023-07-19,60.26,4294865,59.37,58.7,0.014990736061984089,0.026575809199318456
2023-07-18,59.37,3308665,59.0,59.24,0.006271186440677923,0.0021944632005401754
2023-07-17,59.0,2873376,58.16,57.41,0.014442916093535096,0.027695523427974322
2023-07-14,58.16,3358029,59.17,57.61,-0.0170694608754437,0.009546953653879475
2023-07-13,59.17,4034091,58.7,56.71,0.008006814310051125,0.04337859284076884
2023-07-12,58.7,5803103,59.24,56.78,-0.009115462525320694,0.033814723494188126
2023-07-11,59.24,5993286,57.41,57.28,0.031875979794460996,0.03421787709497215
2023-07-10,57.41,4030401,57.61,56.53,-0.003471619510501678,0.01556695559879695
2023-07-07,57.61,4615986,56.71,56.18,0.015870216892964084,0.025453898184407242
2023-07-06,56.71,4467024,56.78,54.87,-0.001232828460725588,0.03353380718060883
2023-07-05,56.78,3786865,57.28,54.98,-0.008729050279329575,0.03273917788286651
2023-07-03,57.28,2429083,56.53,54.06,0.013267291703520145,0.05956344802071767
2023-06-30,56.53,5850564,56.18,53.33,0.006229975080099814,0.06000375023438975
2023-06-29,56.18,5015102,54.87,53.86,0.023874612720976796,0.04307463795024136
2023-06-28,54.87,5112123,54.98,54.55,-0.0020007275372863065,0.0058661778185151725
2023-06-27,54.98,4812355,54.06,54.52,0.017018128005919175,0.00843727072633893
2023-06-26,54.06,5637924,53.33,55.5,0.013688355522220252,-0.025945945945945903
2023-06-23,53.33,7023124,53.86,55.16,-0.009840326773115526,-0.03317621464829579
2023-06-22,53.86,4228053,54.55,53.94,-0.01264894592117316,-0.0014831294030404063
2023-06-21,54.55,4225052,54.52,55.17,0.000550256786500336,-0.01123799166213535
2023-06-20,54.52,5981457,55.5,54.01,-0.01765765765765759,0.009442695797074796
2023-06-16,55.5,10278281,55.16,53.87,0.006163886874546831,0.030258028587339947
2023-06-15,55.16,5212850,53.94,53.76,0.02261772339636625,0.02604166666666674
2023-06-14,53.94,4402625,55.17,54.85,-0.022294725394236048,-0.01659070191431178
2023-06-13,55.17,7442142,54.01,53.4,0.021477504165895223,0.03314606741573045
2023-06-12,54.01,3976740,53.87,52.65,0.0025988490811212905,0.025830959164292455
2023-06-09,53.87,3701448,53.76,52.97,0.0020461309523809312,0.01699074948083812
2023-06-08,53.76,5200620,54.85,50.38,-0.01987237921604379,0.06709011512504959
2023-06-07,54.85,6209759,53.4,49.55,0.027153558052434468,0.10696266397578214
2023-06-06,53.4,4235092,52.65,51.65,0.014245014245014342,0.03388189738625358
2023-06-05,52.65,5527200,52.97,51.81,-0.006041155370964724,0.01621308627678042
2023-06-02,52.97,6943215,50.38,52.77,0.05140928940055578,0.003790032215273742
2023-06-01,50.38,4951395,49.55,50.25,0.016750756811301892,0.002587064676617068
2023-05-31,49.55,7871562,51.65,51.84,-0.04065827686350443,-0.044174382716049454
2023-05-30,51.65,4277362,51.81,52.37,-0.0030882069098630005,-0.01374832919610458
2023-05-26,51.81,5274288,52.77,51.58,-0.01819215463331436,0.00445909267157818
2023-05-25,52.77,9299280,50.25,51.88,0.05014925373134327,0.01715497301464919
2023-05-24,50.25,5656169,51.84,51.7,-0.03067129629629639,-0.028046421663442955
2023-05-23,51.84,4350127,52.37,49.12,-0.010120297880465756,0.055374592833876246
2023-05-22,52.37,4044339,51.58,50.48,0.015316013958898811,0.037440570522979444
2023-05-19,51.58,5965098,51.88,50.22,-0.005782575173477356,0.027080844285145345
2023-05-18,51.88,5315917,51.7,51.23,0.0034816247582205584,0.012687878196369518
2023-05-17,51.7,6853355,49.12,51.82,0.05252442996742679,-0.002315708220764101
2023-05-16,49.12,10426849,50.48,52.79,-0.02694136291600635,-0.06952074256487972
2023-05-15,50.48,10654501,50.22,53.69,0.005177220230983659,-0.05978766995716145
2023-05-12,50.22,12675001,51.23,54.66,-0.019715010735896876,-0.08122941822173435
2023-05-11,51.23,6096668,51.82,54.11,-0.011385565418757349,-0.05322491221585668
2023-05-10,51.82,9041931,52.79,58.71,-0.018374692176548524,-0.11735649804121961
2023-05-09,52.79,7741544,53.69,59.43,-0.01676289811883025,-0.11172808345953222
2023-05-08,53.69,5419981,54.66,61.26,-0.017746066593486987,-0.12357166176950707
2023-05-05,54.66,6801159,54.11,61.33,0.010164479763444811,-0.10875591064731782
2023-05-04,54.11,12380273,58.71,60.31,-0.0783512178504514,-0.10280218869175928
2023-05-03,58.71,6285413,59.43,58.92,-0.0121150933871782,-0.003564154786150686
2023-05-02,59.43,4774397,61.26,59.21,-0.029872673849167475,0.003715588583009577
2023-05-01,61.26,4704805,61.33,60.41,-0.0011413663786075112,0.01407051812613802
2023-04-28,61.33,4721680,60.31,60.17,0.01691261813961198,0.019278710320757897
2023-04-27,60.31,6748298,58.92,60.81,0.02359131025118799,-0.008222331853313558
2023-04-26,58.92,4336511,59.21,61.81,-0.00489782131396721,-0.04675618831904227
