date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,108.57,7667522,108.82,122.53,-0.0022973718066532367,-0.11393128213498738
2023-12-28,108.82,9352902,107.13,121.43,0.015775226360496664,-0.10384583710779882
2023-12-27,107.13,9935956,108.02,122.64,-0.008239214960192531,-0.12646771037182003
2023-12-26,108.02,12846721,108.04,121.14,-0.0001851166234728696,-0.10830444114247983
2023-12-22,108.04,46666188,122.53,121.55,-0.11825675344813513,-0.11114767585355811
2023-12-21,122.53,16533347,121.43,121.02,0.009058716956271029,0.01247727648322594
2023-12-20,121.43,9176621,122.64,121.17,-0.00986627527723416,0.002145745646612296
2023-12-19,122.64,7655241,121.14,119.64,0.012382367508667613,0.02507522567703102
2023-12-18,121.14,6874837,121.55,118.61,-0.0033730974907445477,0.021330410589326387
2023-12-15,121.55,13633278,121.02,115.91,0.004379441414642304,0.04865844189457347
2023-12-14,121.02,9590510,121.17,114.81,-0.0012379301807378118,0.05408936503788864
2023-12-13,121.17,8182887,119.64,116.11,0.012788365095285803,0.043579364395831544
2023-12-12,119.64,7378379,118.61,115.41,0.008683922097630914,0.036651936573953714
2023-12-11,118.61,7972751,115.91,115.15,0.023293934949529804,0.030047763786365644
2023-12-08,115.91,6122150,114.81,113.48,0.009581046947130023,0.021413464927740433
2023-12-07,114.81,7294460,116.11,110.27,-0.011196279390233377,0.0411716695384059
2023-12-06,116.11,6158376,115.41,110.37,0.006065332293562209,0.05200688592914737
2023-12-05,115.41,6959966,115.15,108.75,0.002257924446374293,0.06124137931034479
2023-12-04,115.15,10086580,113.48,107.96,0.014716249559393768,0.06659874027417567
2023-12-01,113.48,8051815,110.27,107.64,0.029110365466582078,0.0542549238201413
2023-11-30,110.27,8690871,110.37,107.92,-0.0009060433088702302,0.021775389177168147
2023-11-29,110.37,9601810,108.75,106.55,0.014896551724137952,0.03585171281088706
2023-11-28,108.75,7287568,107.96,106.32,0.007317525009262749,0.022855530474040764
2023-11-27,107.96,5785038,107.64,105.96,0.0029728725380899768,0.01887504718761801
2023-11-24,107.64,2443610,107.92,107.61,-0.0025945144551520194,0.00027878449958174123
2023-11-22,107.92,6280910,106.55,107.82,0.012857813233223991,0.0009274717121128262
2023-11-21,106.55,5803549,106.32,105.75,0.0021632806621521006,0.00756501182033098
2023-11-20,106.32,6198621,105.96,104.2,0.003397508493771184,0.020345489443378106
2023-11-17,105.96,6353975,107.61,106.11,-0.01533314747700032,-0.0014136273678259093
2023-11-16,107.61,5386979,107.82,107.0,-0.0019476905954367574,0.00570093457943921
2023-11-15,107.82,11140831,105.75,109.39,0.01957446808510621,-0.014352317396471359
2023-11-14,105.75,9674819,104.2,109.36,0.014875239923224592,-0.033010241404535456
2023-11-13,104.2,7055631,106.11,107.25,-0.018000188483649038,-0.028438228438228408
2023-11-10,106.11,8897927,107.0,107.06,-0.008317757009345783,-0.008873528862320179
2023-11-09,107.0,9154218,109.39,105.08,-0.021848432215010538,0.018271792919680285
2023-11-08,109.39,8639736,109.36,100.88,0.00027432333577182,0.08435765265662187
2023-11-07,109.36,7745848,107.25,102.77,0.01967365967365975,0.06412377152865623
2023-11-06,107.25,5231865,107.06,101.8,0.0017747057724639692,0.05353634577603139
2023-11-03,107.06,7567959,105.08,97.98,0.01884278644842019,0.09267197387221882
2023-11-02,105.08,8135111,100.88,100.02,0.041633624107850986,0.05058988202359527
2023-11-01,100.88,7272370,102.77,103.54,-0.018390580908825505,-0.0256905543751208
2023-10-31,102.77,6558458,101.8,105.18,0.009528487229862437,-0.022913101350066634
2023-10-30,101.8,8206720,97.98,102.81,0.03898754847928143,-0.009823947086859297
2023-10-27,97.98,9602699,100.02,102.67,-0.020395920815836743,-0.045680335054056664
2023-10-26,100.02,11222560,103.54,103.05,-0.0339965230828666,-0.029403202328966538
2023-10-25,103.54,7054680,105.18,103.77,-0.015592317931165667,-0.002216440204297898
2023-10-24,105.18,9252448,102.81,103.01,0.02305223227312525,0.02106591593049223
2023-10-23,102.81,5966147,102.67,102.04,0.0013635920911658772,0.007546060368482932
2023-10-20,102.67,7823499,103.05,99.91,-0.0036875303250848424,0.027624862376138593
2023-10-19,103.05,8391080,103.77,99.25,-0.006938421509106618,0.03828715365239299
2023-10-18,103.77,8757335,103.01,98.65,0.00737792447335206,0.05190065889508344
2023-10-17,103.01,9253760,102.04,97.62,0.009506076048608314,0.05521409547223932
2023-10-16,102.04,10845424,99.91,96.88,0.021319187268541873,0.053261767134599625
2023-10-13,99.91,8784716,99.25,97.11,0.006649874055415506,0.028833281845330072
2023-10-12,99.25,10705166,98.65,95.79,0.006082108464267488,0.0361206806556007
2023-10-11,98.65,7642891,97.62,95.89,0.010551116574472497,0.02878298049848782
2023-10-10,97.62,8499017,96.88,95.09,0.007638315441783838,0.026606372909874887
2023-10-09,96.88,5964219,97.11,94.56,-0.002368448151580771,0.024534686971235065
2023-10-06,97.11,8532939,95.79,95.62,0.013780144065142386,0.015582514118385182
2023-10-05,95.79,7429982,95.89,89.63,-0.0010428616122639678,0.06872698873145167
2023-10-04,95.89,8045393,95.09,89.42,0.008413082343043499,0.07235517781256995
2023-10-03,95.09,10964320,94.56,90.17,0.005604906937394238,0.0545636020849507
2023-10-02,94.56,12776338,95.62,90.6,-0.011085546956703607,0.04370860927152331
2023-09-29,95.62,34935390,89.63,90.85,0.06683030235412257,0.05250412768299406
2023-09-28,89.63,16315559,89.42,91.59,0.0023484679042720114,-0.02139971612621472
