date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,86.51,763337,86.73,86.43,-0.002536607863484308,0.0009256045354621989
2023-12-28,86.73,718383,86.64,85.73,0.0010387811634349209,0.011664528169835542
2023-12-27,86.64,822183,86.7,86.68,-0.0006920415224913601,-0.00046146746654363024
2023-12-26,86.7,865556,86.08,86.32,0.0072026022304834125,0.004402224281742528
2023-12-22,86.08,1227530,86.43,86.8,-0.004049519842647342,-0.008294930875575979
2023-12-21,86.43,850232,85.73,86.43,0.008165169718884924,0.0
2023-12-20,85.73,1143813,86.68,83.93,-0.010959852330410746,0.021446443464792075
2023-12-19,86.68,1073461,86.32,83.96,0.004170528266913998,0.03239637922820404
2023-12-18,86.32,1059567,86.8,84.05,-0.0055299539170506895,0.027007733491968944
2023-12-15,86.8,4376602,86.43,81.94,0.00428092097651267,0.05931169148157189
2023-12-14,86.43,2259442,83.93,82.1,0.029786727034433413,0.052740560292326544
2023-12-13,83.93,1543680,83.96,81.95,-0.00035731300619323836,0.024161073825503365
2023-12-12,83.96,1219512,84.05,81.4,-0.001070791195716847,0.03144963144963131
2023-12-11,84.05,2116332,81.94,82.39,0.02575054918232844,0.020148076222842537
2023-12-08,81.94,1077489,82.1,81.81,-0.0019488428745432218,0.0015890477936681968
2023-12-07,82.1,1235457,81.95,80.63,0.0018303843807199183,0.01823142750837148
2023-12-06,81.95,1164840,81.4,79.79,0.006756756756756799,0.02707106153653327
2023-12-05,81.4,1145720,82.39,79.14,-0.012016021361815676,0.028556987616881635
2023-12-04,82.39,957927,81.81,79.2,0.007089597848673801,0.04027777777777786
2023-12-01,81.81,825646,80.63,80.09,0.014634751333250762,0.0214758396803596
2023-11-30,80.63,1742028,79.79,79.36,0.010527635041985173,0.016003024193548265
2023-11-29,79.79,1113826,79.14,78.67,0.008213292898660685,0.014236684886233641
2023-11-28,79.14,1469618,79.2,79.17,-0.0007575757575757347,-0.00037893141341416303
2023-11-27,79.2,942513,80.09,79.06,-0.01111249843925588,0.0017708069820390193
2023-11-24,80.09,387468,79.36,76.97,0.009198588709677491,0.04053527348317543
2023-11-22,79.36,786994,78.67,78.17,0.008770814795983295,0.015223231418702854
2023-11-21,78.67,744952,79.17,78.23,-0.006315523556902902,0.005624440751629711
2023-11-20,79.17,1152202,79.06,75.71,0.0013913483430305629,0.04570070003962501
2023-11-17,79.06,1666899,76.97,75.74,0.02715343640379375,0.043834169527330547
2023-11-16,76.97,1537997,78.17,74.98,-0.01535115773314577,0.026540410776206835
2023-11-15,78.17,1345307,78.23,75.67,-0.0007669691934041323,0.03303819215012549
2023-11-14,78.23,1039118,75.71,76.66,0.03328490291903319,0.020480041742760413
2023-11-13,75.71,940510,75.74,77.06,-0.0003960918933192392,-0.01751881650661835
2023-11-10,75.74,923812,74.98,77.65,0.010136036276340299,-0.024597553122987947
2023-11-09,74.98,905859,75.67,76.6,-0.009118541033434568,-0.021148825065274046
2023-11-08,75.67,900882,76.66,74.48,-0.012914166449256359,0.015977443609022535
2023-11-07,76.66,924829,77.06,74.91,-0.005190760446405429,0.023361366973701836
2023-11-06,77.06,793869,77.65,74.52,-0.007598197037991028,0.03408480944712844
