date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,57.42,6688568,58.58,56.96,-0.01980198019801971,0.008075842696629199
2023-12-28,58.58,5243022,58.0,56.7,0.010000000000000009,0.033156966490299755
2023-12-27,58.0,5612680,57.7,57.12,0.005199306759098743,0.01540616246498594
2023-12-26,57.7,4211981,56.89,56.51,0.014238003164000812,0.021058219784109156
2023-12-22,56.89,5287242,56.96,57.29,-0.001228932584269704,-0.0069820212951648974
2023-12-21,56.96,5859918,56.7,57.82,0.004585537918871285,-0.014873746108612917
2023-12-20,56.7,5402893,57.12,56.62,-0.007352941176470451,0.0014129282938892818
2023-12-19,57.12,6178002,56.51,54.48,0.010794549637232365,0.048458149779735615
2023-12-18,56.51,8848798,57.29,54.39,-0.013614941525571633,0.03897775326346742
2023-12-15,57.29,20187176,57.82,53.86,-0.009166378415773058,0.06368362421091711
2023-12-14,57.82,11549483,56.62,54.69,0.02119392440833634,0.05723166940939839
2023-12-13,56.62,8882402,54.48,54.71,0.03928046989721001,0.03491135075854501
2023-12-12,54.48,5013284,54.39,54.92,0.001654715940430096,-0.008011653313911182
2023-12-11,54.39,6461061,53.86,55.53,0.009840326773115526,-0.0205294435440303
2023-12-08,53.86,6647990,54.69,54.6,-0.01517644907661364,-0.013553113553113616
2023-12-07,54.69,6195448,54.71,53.96,-0.0003655638822884777,0.013528539659006578
2023-12-06,54.71,11181791,54.92,53.67,-0.003823743627093923,0.0193776784050681
2023-12-05,54.92,7666135,55.53,53.81,-0.010985053124437205,0.020628136034194444
2023-12-04,55.53,7323500,54.6,54.13,0.017032967032966972,0.02586366155551456
2023-12-01,54.6,6197083,53.96,53.91,0.011860637509266025,0.012799109627156469
2023-11-30,53.96,10126170,53.67,53.31,0.0054033910937207885,0.0121928343650346
2023-11-29,53.67,5561488,53.81,53.55,-0.0026017468871957217,0.0022408963585434094
2023-11-28,53.81,6855756,54.13,53.22,-0.005911694069831941,0.011086057872980115
2023-11-27,54.13,4751906,53.91,52.91,0.004080875533296391,0.02305802305802307
2023-11-24,53.91,2454243,53.31,53.09,0.011254924029262758,0.015445469956677282
2023-11-22,53.31,3994429,53.55,52.47,-0.004481792717086708,0.01600914808461984
2023-11-21,53.55,5302066,53.22,52.14,0.006200676437429609,0.02704257767548901
2023-11-20,53.22,4948678,52.91,49.9,0.005859005859006006,0.0665330661322645
2023-11-17,52.91,7215723,53.09,50.06,-0.003390469014880493,0.05693168198162191
2023-11-16,53.09,7522916,52.47,50.17,0.011816275967219347,0.05820211281642429
2023-11-15,52.47,5937811,52.14,51.2,0.006329113924050667,0.024804687499999867
2023-11-14,52.14,7029220,49.9,50.7,0.044889779559118326,0.028402366863905293
2023-11-13,49.9,6125070,50.06,50.46,-0.0031961646024770696,-0.011097899326198979
2023-11-10,50.06,5191101,50.17,50.85,-0.0021925453458241373,-0.015535889872173025
2023-11-09,50.17,5464344,51.2,50.03,-0.020117187500000022,0.002798321007395632
2023-11-08,51.2,5455147,50.7,47.99,0.009861932938856066,0.0668889351948323
2023-11-07,50.7,5787020,50.46,47.38,0.0047562425683709275,0.07007176023638673
2023-11-06,50.46,7734828,50.85,46.22,-0.007669616519174083,0.09173517957594113
2023-11-03,50.85,6433080,50.03,49.0,0.01639016590045972,0.037755102040816446
2023-11-02,50.03,9626534,47.99,49.79,0.042508856011669094,0.004820245029122372
2023-11-01,47.99,8149281,47.38,49.28,0.012874630645842045,-0.026176948051948035
2023-10-31,47.38,18220467,46.22,49.6,0.025097360450021755,-0.04475806451612896
2023-10-30,46.22,36132681,49.0,49.01,-0.056734693877551035,-0.05692715772291368
2023-10-27,49.0,4107856,49.79,49.35,-0.015866639887527567,-0.007092198581560294
2023-10-26,49.79,4299184,49.28,49.42,0.010349025974025983,0.0074868474301901244
2023-10-25,49.28,3336335,49.6,49.91,-0.006451612903225823,-0.012622720897615625
2023-10-24,49.6,4002432,49.01,50.97,0.012038359518465658,-0.026878556013341104
2023-10-23,49.01,4859131,49.35,50.74,-0.006889564336372889,-0.03409538825384317
2023-10-20,49.35,4965910,49.42,50.59,-0.0014164305949008194,-0.024510772880015796
2023-10-19,49.42,4883204,49.91,50.28,-0.009817671809256523,-0.0171042163882259
2023-10-18,49.91,3930813,50.97,50.95,-0.02079654698842459,-0.020412168792934393
2023-10-17,50.97,6089872,50.74,50.2,0.004532912889239293,0.015338645418326635
2023-10-16,50.74,4545474,50.59,50.55,0.0029650128483889038,0.0037586547972305873
2023-10-13,50.59,3231995,50.28,50.11,0.0061654733492442215,0.009578926362003637
2023-10-12,50.28,4110385,50.95,50.06,-0.013150147203140339,0.0043947263284058735
2023-10-11,50.95,4027264,50.2,49.57,0.014940239043824688,0.027839419003429455
2023-10-10,50.2,6226324,50.55,48.89,-0.006923837784371778,0.02679484557169154
2023-10-09,50.55,3747264,50.11,48.99,0.008780682498503278,0.03184323331292083
2023-10-06,50.11,4249247,50.06,49.94,0.0009988014382740218,0.003404084901882376
2023-10-05,50.06,5067184,49.57,49.62,0.009885011095420726,0.00886739218057242
2023-10-04,49.57,5468686,48.89,49.66,0.01390877480057262,-0.0018123238018524779
