date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,97.65,1174928,97.83,96.9,-0.0018399264029438367,0.007739938080495445
2023-12-28,97.83,840560,97.79,95.9,0.0004090397791185474,0.020125130344108344
2023-12-27,97.79,1109775,97.72,96.76,0.0007163323782235498,0.010644894584538989
2023-12-26,97.72,883394,97.47,95.75,0.0025648917615677114,0.020574412532637032
2023-12-22,97.47,1118614,96.9,96.25,0.00588235294117645,0.012675324675324617
2023-12-21,96.9,1225735,95.9,95.81,0.010427528675703845,0.011376683018474054
2023-12-20,95.9,2292852,96.76,98.06,-0.00888797023563459,-0.022027330205996343
2023-12-19,96.76,2051955,95.75,97.63,0.010548302872062765,-0.0089111953293044
2023-12-18,95.75,2119134,96.25,97.93,-0.0051948051948051965,-0.022260798529561976
2023-12-15,96.25,6229378,95.81,95.38,0.004592422502870175,0.009121409100440347
2023-12-14,95.81,4213016,98.06,95.52,-0.022945135631246227,0.0030360134003351025
2023-12-13,98.06,2970686,97.63,94.72,0.004404383898392039,0.03526182432432434
2023-12-12,97.63,2122683,97.93,93.87,-0.003063412641682972,0.04005539576009354
2023-12-11,97.93,2524012,95.38,93.72,0.026735164604739126,0.04492104139991482
2023-12-08,95.38,2186329,95.52,93.18,-0.0014656616415410495,0.02361021678471764
2023-12-07,95.52,2095424,94.72,91.82,0.008445945945945832,0.04029623175778707
2023-12-06,94.72,2261137,93.87,91.31,0.009055076169170118,0.03734530719526874
2023-12-05,93.87,2536767,93.72,90.94,0.0016005121638924535,0.032219045524521706
2023-12-04,93.72,3473374,93.18,91.74,0.0057952350289760535,0.021582733812949728
2023-12-01,93.18,1963597,91.82,92.0,0.014811587889348887,0.012826086956521765
2023-11-30,91.82,2554624,91.31,91.24,0.005585368524805512,0.006356861025865745
2023-11-29,91.31,1510562,90.94,91.43,0.0040686166703320925,-0.0013124794925080119
2023-11-28,90.94,2596748,91.74,91.84,-0.008720296490080659,-0.009799651567944268
