date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,146.54,5300991,145.73,144.26,0.005558224113085819,0.015804796894496098
2023-12-28,145.73,5023033,146.06,143.91,-0.002259345474462604,0.012646793134597933
2023-12-27,146.06,4515212,145.94,146.17,0.0008222557215293858,-0.0007525484025449058
2023-12-26,145.94,3634885,145.28,146.17,0.004542951541850249,-0.0015735102962303182
2023-12-22,145.28,4413842,144.26,143.96,0.007070567031748354,0.009169213670463972
2023-12-21,144.26,6104714,143.91,144.66,0.0024320756028073376,-0.0027651043826905086
2023-12-20,143.91,7663841,146.17,148.58,-0.015461448997742266,-0.031430878987750765
2023-12-19,146.17,5216773,146.17,145.94,0.0,0.0015759901329313042
2023-12-18,146.17,8421950,143.96,145.82,0.015351486524034286,0.0024002194486352213
2023-12-15,143.96,14549957,144.66,145.15,-0.004838932669708251,-0.008198415432311368
2023-12-14,144.66,10565171,148.58,146.5,-0.026383093283079972,-0.01255972696245733
2023-12-13,148.58,9055532,145.94,146.65,0.01808962587364671,0.013160586430276178
2023-12-12,145.94,6069202,145.82,146.76,0.0008229323823891743,-0.00558735350231665
2023-12-11,145.82,8471213,145.15,152.06,0.004615914571133306,-0.0410364329869789
2023-12-08,145.15,6385269,146.5,152.66,-0.009215017064846398,-0.04919428796017289
2023-12-07,146.5,6119624,146.65,153.52,-0.001022843504943749,-0.04572694111516418
2023-12-06,146.65,7394298,146.76,151.13,-0.0007495230307984491,-0.029643353404353756
2023-12-05,146.76,11895824,152.06,152.29,-0.03485466263317116,-0.036312298903408036
2023-12-04,152.06,6578318,152.66,151.24,-0.00393030263330274,0.00542184607246754
2023-12-01,152.66,5685434,153.52,151.38,-0.005601875977071513,0.008455542343770661
2023-11-30,153.52,9771509,151.13,151.02,0.015814199695626474,0.016554098794861583
2023-11-29,151.13,5342709,152.29,149.61,-0.007617046424584606,0.010159748679900993
2023-11-28,152.29,6110455,151.24,150.27,0.006942607775720644,0.013442470220270009
2023-11-27,151.24,6021326,151.38,151.07,-0.0009248249438498224,0.0011253061494671535
2023-11-24,151.38,2132494,151.02,152.83,0.0023837902264600697,-0.00948766603415574
2023-11-22,151.02,4373087,149.61,151.42,0.009424503709644982,-0.0026416589618278863
2023-11-21,149.61,7310387,150.27,152.12,-0.004392094230385335,-0.01650013147515117
2023-11-20,150.27,6857809,151.07,152.46,-0.0052955583504334935,-0.014364423455332509
2023-11-17,151.07,8495710,152.83,151.41,-0.011516063600078619,-0.0022455584175418153
2023-11-16,152.83,7590516,151.42,150.35,0.009311847840443921,0.016494845360824906
2023-11-15,151.42,7672848,152.12,150.01,-0.004601630291874992,0.009399373375108322
2023-11-14,152.12,7982631,152.46,150.59,-0.0022300931391840972,0.010160037187064264
2023-11-13,152.46,6297527,151.41,150.94,0.006934812760055475,0.01007022658009804
2023-11-10,151.41,5387350,150.35,150.07,0.00705021616228807,0.008929166389018528
2023-11-09,150.35,6581536,150.01,151.44,0.002266515565628957,-0.007197569994717434
2023-11-08,150.01,4832618,150.59,149.61,-0.0038515173650309764,0.0026736180736579573
2023-11-07,150.59,6003843,150.94,150.03,-0.002318802173048806,0.003732586815970107
2023-11-06,150.94,6480898,150.07,149.26,0.005797294595855318,0.011255527267854726
2023-11-03,150.07,6587879,151.44,147.16,-0.009046487057580599,0.019774395216091367
2023-11-02,151.44,5859285,149.61,149.8,0.012231802686986093,0.010947930574098708
2023-11-01,149.61,5896946,150.03,150.6,-0.0027994401119775247,-0.006573705179282685
2023-10-31,150.03,6762155,149.26,149.9,0.005158783331100203,0.0008672448298865376
2023-10-30,149.26,5412866,147.16,148.15,0.014270182114705099,0.007492406344920655
2023-10-27,147.16,8131875,149.8,148.05,-0.017623497997329873,-0.006011482607227392
2023-10-26,149.8,7582052,150.6,148.25,-0.005312084993359778,0.010455311973018633
2023-10-25,150.6,6172937,149.9,150.03,0.004669779853235356,0.0037992401519695296
2023-10-24,149.9,6322218,148.15,146.26,0.011812352345595745,0.02488718720087535
2023-10-23,148.15,5981784,148.05,146.07,0.0006754474839580915,0.014239748065995927
2023-10-20,148.05,7284217,148.25,144.69,-0.0013490725126474867,0.02322206095791013
2023-10-19,148.25,8145959,150.03,143.32,-0.011864293807905102,0.034398548702204934
2023-10-18,150.03,10508470,146.26,143.0,0.025776015315192247,0.04916083916083913
2023-10-17,146.26,6160115,146.07,144.78,0.0013007462175669282,0.010222406409724938
2023-10-16,146.07,6509765,144.69,143.36,0.009537632179141609,0.01890345982142838
2023-10-13,144.69,7079323,143.32,144.09,0.009559028746860099,0.00416406412658743
2023-10-12,143.32,5965604,143.0,143.8,0.0022377622377622863,-0.003337969401947305
2023-10-11,143.0,5469148,144.78,145.97,-0.012294515817101836,-0.02034664657121321
2023-10-10,144.78,5988917,143.36,145.49,0.009905133928571397,-0.004880060485256799
2023-10-09,143.36,5062170,144.09,145.19,-0.005066278020681492,-0.012604173841173516
2023-10-06,144.09,7406682,143.8,145.86,0.002016689847009756,-0.01213492389962989
2023-10-05,143.8,5205662,145.97,146.34,-0.014866068370212981,-0.017356840235069004
2023-10-04,145.97,4727849,145.49,147.34,0.0032991958210184524,-0.009298221799918571
2023-10-03,145.49,4670620,145.19,149.32,0.002066258006749866,-0.025649611572461706
2023-10-02,145.19,5153808,145.86,150.66,-0.004593445769916493,-0.036306916235231634
2023-09-29,145.86,6683279,146.34,151.58,-0.003280032800327959,-0.037735849056603765
2023-09-28,146.34,6237072,147.34,152.14,-0.006787023211619392,-0.038122781648481596
2023-09-27,147.34,5403675,149.32,153.47,-0.013260112510045441,-0.03994265980321887
2023-09-26,149.32,6366545,150.66,153.6,-0.008894198858356628,-0.027864583333333304
2023-09-25,150.66,5527129,151.58,154.05,-0.006069402295817539,-0.022005842259006925
2023-09-22,151.58,6328163,152.14,153.47,-0.0036808202970946002,-0.01231511044503808
2023-09-21,152.14,5098146,153.47,154.77,-0.008666188831693566,-0.016992957291464883
2023-09-20,153.47,5446571,153.6,153.09,-0.0008463541666666741,0.0024822000130642063
2023-09-19,153.6,4704209,154.05,152.03,-0.0029211295034080598,0.01032690916266521
2023-09-18,154.05,3536490,153.47,154.75,0.003779240242392623,-0.004523424878836724
2023-09-15,153.47,10262391,154.77,152.93,-0.008399560638366665,0.003531027267377196
2023-09-14,154.77,4606909,153.09,153.59,0.010973936899862924,0.007682791848427684
2023-09-13,153.09,4040670,152.03,152.14,0.006972308097086044,0.006244248718285883
2023-09-12,152.03,4537794,154.75,152.44,-0.01757673667205173,-0.002689582786670197
2023-09-11,154.75,4288731,152.93,154.51,0.011900869678937998,0.0015532975211960398
2023-09-08,152.93,3384760,153.59,154.34,-0.004297154762679889,-0.009135674484903489
2023-09-07,153.59,4825042,152.14,154.04,0.009530695412120593,-0.0029213191378861803
2023-09-06,152.14,3877460,152.44,153.87,-0.001967987404880689,-0.011243257295119324
2023-09-05,152.44,5097037,154.51,153.78,-0.013397191120315788,-0.008713746911171771
2023-09-01,154.51,4126437,154.34,153.54,0.0011014642995981205,0.006317571968216695
2023-08-31,154.34,5451433,154.04,152.54,0.0019475460919242682,0.011800183558410948
2023-08-30,154.04,3712241,153.87,153.25,0.0011048287515433852,0.0051549755301794065
2023-08-29,153.87,4034627,153.78,151.83,0.000585251658212993,0.013436079826121272
2023-08-28,153.78,3614733,153.54,151.77,0.0015631105900744124,0.013243724056137607
2023-08-25,153.54,3541524,152.54,152.54,0.006555657532450576,0.006555657532450576
2023-08-24,152.54,4089013,153.25,152.11,-0.004632952691680292,0.002826901584379593
2023-08-23,153.25,4522673,151.83,153.21,0.009352565369162846,0.00026107956399701315
2023-08-22,151.83,4195967,151.77,154.79,0.00039533504645183903,-0.01912268234382053
2023-08-21,151.77,4504747,152.54,155.79,-0.005047856299986719,-0.02580396687849018
2023-08-18,152.54,5448262,152.11,157.02,0.002826901584379593,-0.028531397274232706
2023-08-17,152.11,6419615,153.21,156.11,-0.00717968800992097,-0.025622958170520738
2023-08-16,153.21,6356849,154.79,156.89,-0.010207377737579848,-0.023455924533112182
2023-08-15,154.79,6921105,155.79,157.09,-0.006418897233455345,-0.014641288433382194
2023-08-14,155.79,4297598,157.02,156.92,-0.007833397019488042,-0.007201121590619364
