date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,103.22,1227754,103.49,102.43,-0.002608947724417776,0.007712584203846351
2023-12-28,103.49,880829,103.93,102.08,-0.004233618781872561,0.013812695924764862
2023-12-27,103.93,1161286,103.18,102.94,0.0072688505524325375,0.009617252768603146
2023-12-26,103.18,1111834,102.43,102.0,0.007322073611246704,0.011568627450980529
2023-12-22,102.43,1410203,102.43,102.49,0.0,-0.0005854229680943845
2023-12-21,102.43,1259455,102.08,104.88,0.0034286833855801113,-0.02336003051106017
2023-12-20,102.08,1672313,102.94,97.96,-0.008354381192927862,0.04205798285014306
2023-12-19,102.94,2346761,102.0,95.99,0.00921568627450986,0.07240337535159913
2023-12-18,102.0,2324638,102.49,96.05,-0.004780954239437918,0.06194690265486735
2023-12-15,102.49,6866315,104.88,96.31,-0.022787948131197555,0.06416779150659324
2023-12-14,104.88,4060802,97.96,94.46,0.07064107799101671,0.1103112428541182
2023-12-13,97.96,3163544,95.99,92.46,0.020522971142827418,0.05948518278174353
2023-12-12,95.99,1608006,96.05,90.92,-0.0006246746486204824,0.055763308402991596
2023-12-11,96.05,1774154,96.31,91.02,-0.0026996158239019907,0.05526257965282366
2023-12-08,96.31,2226929,94.46,91.02,0.01958500952784248,0.05811909470446053
2023-12-07,94.46,2142526,92.46,88.42,0.021630975556997667,0.06831033702782174
2023-12-06,92.46,2121382,90.92,88.01,0.016937967443906743,0.050562436086808216
2023-12-05,90.92,1581864,91.02,87.59,-0.001098659635244914,0.03801803858887998
2023-12-04,91.02,1831817,91.02,87.91,0.0,0.0353770902058923
2023-12-01,91.02,2474871,88.42,88.1,0.02940511196561868,0.03314415437003415
2023-11-30,88.42,2742886,88.01,87.94,0.004658561527099092,0.005458267000227446
2023-11-29,88.01,1263591,87.59,87.29,0.00479506793012896,0.008248367510596877
2023-11-28,87.59,1482863,87.91,88.26,-0.0036400864520531595,-0.007591207795150656
2023-11-27,87.91,1563684,88.1,88.3,-0.0021566401816117686,-0.004416761041902584
2023-11-24,88.1,613288,87.94,86.97,0.0018194223334091486,0.012992986087156488
2023-11-22,87.94,1498716,87.29,87.04,0.007446442891510863,0.010340073529411686
2023-11-21,87.29,1576110,88.26,87.85,-0.010990256061636061,-0.006374501992031711
2023-11-20,88.26,1407729,88.3,82.04,-0.00045300113250279495,0.07581667479278398
2023-11-17,88.3,2079884,86.97,82.37,0.015292629642405409,0.07199223018089107
2023-11-16,86.97,2212255,87.04,80.91,-0.0008042279411765163,0.07489803485354107
2023-11-15,87.04,1833051,87.85,81.69,-0.009220261809903096,0.06549149222671091
2023-11-14,87.85,3182418,82.04,82.03,0.07081911262798624,0.07094965256613417
2023-11-13,82.04,1935754,82.37,81.86,-0.004006312978026005,0.0021988761299780446
2023-11-10,82.37,2055928,80.91,83.37,0.018044741070325054,-0.011994722322178242
2023-11-09,80.91,1770325,81.69,80.17,-0.009548292324641938,0.00923038543095922
2023-11-08,81.69,1618581,82.03,77.23,-0.004144825064001045,0.057749579179075416
2023-11-07,82.03,1949766,81.86,73.59,0.0020767163449793014,0.11468949585541499
2023-11-06,81.86,2345328,83.37,72.23,-0.018112030706489257,0.13332410355807833
2023-11-03,83.37,3094233,80.17,71.92,0.039915180241985704,0.15920467185761966
2023-11-02,80.17,3721220,77.23,72.34,0.03806810824809004,0.10823887199336468
2023-11-01,77.23,3653838,73.59,71.02,0.0494632422883543,0.08744015770205582
2023-10-31,73.59,2400128,72.23,71.65,0.01882874152014402,0.027076064200976857
2023-10-30,72.23,1862940,71.92,70.57,0.004310344827586299,0.02352274337537219
2023-10-27,71.92,2096369,72.34,69.65,-0.005805916505391195,0.03259152907394114
2023-10-26,72.34,2378091,71.02,70.13,0.018586313714446634,0.031512904605732306
2023-10-25,71.02,2521413,71.65,71.8,-0.008792742498255568,-0.010863509749303613
2023-10-24,71.65,4691630,70.57,73.46,0.01530395352132663,-0.02463925946093093
2023-10-23,70.57,3260508,69.65,72.88,0.013208901651112548,-0.03169593852908892
2023-10-20,69.65,2672994,70.13,72.89,-0.006844431769570614,-0.044450541912470776
2023-10-19,70.13,2991612,71.8,71.91,-0.023259052924791135,-0.024753163676818235
2023-10-18,71.8,1751070,73.46,75.59,-0.022597331881295868,-0.05013890726286552
2023-10-17,73.46,2057136,72.88,73.93,0.007958287596048219,-0.006357365075071231
2023-10-16,72.88,1692490,72.89,73.12,-0.00013719303059411825,-0.00328227571115991
2023-10-13,72.89,1823044,71.91,72.2,0.013628146293978682,0.00955678670360105
2023-10-12,71.91,2107273,75.59,71.87,-0.048683688318560736,0.000556560456379529
2023-10-11,75.59,1979938,73.93,72.36,0.022453672392803936,0.04463792150359325
2023-10-10,73.93,2037393,73.12,70.73,0.011077680525164224,0.045242471369998594
2023-10-09,73.12,1444745,72.2,73.22,0.012742382271468067,-0.0013657470636437852
2023-10-06,72.2,2387638,71.87,74.05,0.004591623765131558,-0.02498311951384191
2023-10-05,71.87,2311326,72.36,74.77,-0.006771697070204419,-0.038785609201551274
2023-10-04,72.36,2393819,70.73,73.2,0.023045383854092938,-0.011475409836065653
2023-10-03,70.73,2567589,73.22,73.27,-0.034007101884730884,-0.03466630271598192
2023-10-02,73.22,1939096,74.05,73.93,-0.011208642808912872,-0.0096036791559585
