date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,133.14,2024084,132.84,134.29,0.002258355916892274,-0.008563556482239942
2023-12-28,132.84,1827485,134.7,134.07,-0.013808463251670289,-0.00917431192660545
2023-12-27,134.7,1798811,135.72,133.8,-0.0075154730327144925,0.006726457399103047
2023-12-26,135.72,1542454,134.06,131.3,0.012382515291660345,0.03366336633663347
2023-12-22,134.06,1402176,134.29,129.87,-0.0017127112964478997,0.032263032263032176
2023-12-21,134.29,3235165,134.07,130.11,0.0016409338405309892,0.032126662055183886
2023-12-20,134.07,3365745,133.8,127.16,0.00201793721973087,0.05434098773199114
2023-12-19,133.8,2869551,131.3,125.22,0.01904036557501909,0.0685194058457117
2023-12-18,131.3,2987703,129.87,126.41,0.011011011011011096,0.0386836484455344
2023-12-15,129.87,9648402,130.11,125.32,-0.0018445930366614016,0.03630705394190881
2023-12-14,130.11,4260304,127.16,124.62,0.023199119219880604,0.04405392392874341
2023-12-13,127.16,3054796,125.22,125.0,0.015492732790289176,0.017279999999999962
2023-12-12,125.22,3484854,126.41,127.7,-0.009413812198401983,-0.019420516836335167
2023-12-11,126.41,2976836,125.32,128.44,0.00869773380146821,-0.01580504515727188
2023-12-08,125.32,4102731,124.62,129.7,0.005617075910768543,-0.03377023901310716
2023-12-07,124.62,3702197,125.0,128.89,-0.0030399999999999316,-0.03312902474978652
2023-12-06,125.0,2951739,127.7,122.22,-0.02114330462020364,0.022745868106692768
2023-12-05,127.7,3484550,128.44,118.0,-0.005761445032700041,0.08220338983050857
2023-12-04,128.44,4842966,129.7,118.33,-0.009714726291441766,0.0854390264514493
2023-12-01,129.7,4757297,128.89,118.63,0.006284428582512325,0.09331535024867232
2023-11-30,128.89,9147416,122.22,118.01,0.05457371952217294,0.09219557664604672
2023-11-29,122.22,6873919,118.0,117.41,0.035762711864406826,0.04096754961246907
2023-11-28,118.0,1926431,118.33,118.11,-0.002788810952421228,-0.0009313351960037464
2023-11-27,118.33,2447213,118.63,116.37,-0.002528871280451761,0.016842828907793983
2023-11-24,118.63,1173601,118.01,113.53,0.005253792051520989,0.04492204703602565
2023-11-22,118.01,2211968,117.41,115.49,0.00511029724895673,0.021820071001818375
2023-11-21,117.41,2039391,118.11,115.02,-0.005926678520023709,0.020778994957398655
2023-11-20,118.11,2877278,116.37,114.15,0.014952307295694744,0.03469119579500646
2023-11-17,116.37,3354387,113.53,113.44,0.025015414427904448,0.02582863187588158
2023-11-16,113.53,4559639,115.49,110.63,-0.01697116633474749,0.026213504474374094
2023-11-15,115.49,3203544,115.02,111.81,0.0040862458702835,0.03291297737232801
2023-11-14,115.02,2407969,114.15,113.86,0.007621550591327075,0.010187950114175282
2023-11-13,114.15,1487894,113.44,116.85,0.0062588152327223145,-0.023106546854942178
2023-11-10,113.44,2429424,110.63,116.79,0.025399981921720993,-0.028683962668036744
2023-11-09,110.63,1802213,111.81,118.12,-0.0105536177443879,-0.0634100914324417
2023-11-08,111.81,2898607,113.86,116.09,-0.018004567012120165,-0.036867947282281044
2023-11-07,113.86,2180700,116.85,114.07,-0.025588361146769323,-0.0018409748400104453
2023-11-06,116.85,2484723,116.79,112.44,0.0005137426149497415,0.039220917822838874
2023-11-03,116.79,2524985,118.12,110.93,-0.011259735861835374,0.052826106553682584
2023-11-02,118.12,2566872,116.09,110.1,0.01748643293996044,0.07284287011807455
2023-11-01,116.09,3343079,114.07,110.74,0.017708424651529775,0.048311359942207144
2023-10-31,114.07,3618684,112.44,111.93,0.014496620419779394,0.01911909228982389
2023-10-30,112.44,3194635,110.93,113.05,0.01361218786622187,-0.0053958425475453264
2023-10-27,110.93,5214890,110.1,113.54,0.007538601271571466,-0.02298749339439843
2023-10-26,110.1,3517855,110.74,115.19,-0.005779302871591119,-0.04418786352982029
2023-10-25,110.74,2581248,111.93,116.25,-0.010631644777986393,-0.04739784946236558
2023-10-24,111.93,2331660,113.05,113.91,-0.009907120743034015,-0.01738214379773495
2023-10-23,113.05,2463535,113.54,111.78,-0.004315659679408168,0.011361603149042665
2023-10-20,113.54,2667169,115.19,110.6,-0.014324160083340476,0.0265822784810128
2023-10-19,115.19,2091534,116.25,110.75,-0.009118279569892529,0.04009029345372461
2023-10-18,116.25,3249740,113.91,112.13,0.020542533579141375,0.03674306608400957
2023-10-17,113.91,2471913,111.78,112.39,0.019055287171229063,0.013524334905240742
2023-10-16,111.78,2750191,110.6,111.21,0.010669077757685441,0.005125438359859791
2023-10-13,110.6,3393245,110.75,109.19,-0.0013544018058690988,0.012913270446011538
2023-10-12,110.75,1976849,112.13,109.48,-0.012307143494158512,0.011600292290829373
2023-10-11,112.13,2035924,112.39,110.49,-0.0023133730758965187,0.014842972214680117
2023-10-10,112.39,2662275,111.21,115.63,0.010610556604621957,-0.028020409928219303
2023-10-09,111.21,2769837,109.19,119.02,0.018499862624782537,-0.06561922365988915
2023-10-06,109.19,2625538,109.48,120.15,-0.002648885641213017,-0.0912193091968373
2023-10-05,109.48,3206047,110.49,123.38,-0.009141098741967557,-0.11266007456638027
2023-10-04,110.49,4464181,115.63,120.8,-0.044452131799705974,-0.08534768211920529
2023-10-03,115.63,2988368,119.02,119.42,-0.028482607965047868,-0.031736727516328944
2023-10-02,119.02,2445763,120.15,120.26,-0.009404910528506116,-0.010310992848827638
2023-09-29,120.15,2841901,123.38,118.58,-0.02617928351434584,0.013240006746500388
2023-09-28,123.38,3294259,120.8,119.94,0.021357615894039617,0.028681007170251682
2023-09-27,120.8,2793805,119.42,120.07,0.011555853290905915,0.006079786791038488
2023-09-26,119.42,2350834,120.26,120.22,-0.006984866123399325,-0.006654466810846804
2023-09-25,120.26,2499087,118.58,122.45,0.01416765053128688,-0.01788485095957537
2023-09-22,118.58,2427225,119.94,121.03,-0.011339002834750755,-0.020242914979757054
2023-09-21,119.94,2732189,120.07,122.97,-0.0010827017573081799,-0.024640156135642854
2023-09-20,120.07,2491645,120.22,123.17,-0.0012477125270338174,-0.025168466347324947
2023-09-19,120.22,2970167,122.45,124.28,-0.018211514904042492,-0.032668168651432294
2023-09-18,122.45,2237463,121.03,122.34,0.011732628273981582,0.0008991335622037244
2023-09-15,121.03,9312919,122.97,122.23,-0.01577620557859638,-0.009817557064550453
2023-09-14,122.97,2526293,123.17,118.75,-0.0016237720224080432,0.03553684210526309
2023-09-13,123.17,2779402,124.28,116.64,-0.00893144512391375,0.05598422496570654
2023-09-12,124.28,4229642,122.34,116.74,0.015857446460683322,0.06458797327394206
2023-09-11,122.34,3105436,122.23,117.17,0.0008999427309170915,0.044123922505760804
2023-09-08,122.23,4711697,118.75,114.16,0.029305263157894723,0.07069025928521389
2023-09-07,118.75,3348859,116.64,113.65,0.01808984910836764,0.0448746150461945
2023-09-06,116.64,1764173,116.74,112.69,-0.0008566044200787326,0.0350519123258497
2023-09-05,116.74,2326951,117.17,113.13,-0.003669881368951189,0.03191019181472643
2023-09-01,117.17,2787680,114.16,113.89,0.02636650315346878,0.02879971902713141
2023-08-31,114.16,3086357,113.65,112.39,0.004487461504619317,0.015748732093602502
2023-08-30,113.65,2113438,112.69,112.26,0.008518945780459752,0.01238197042579725
2023-08-29,112.69,1933180,113.13,112.94,-0.0038893308583045627,-0.002213564724632522
2023-08-28,113.13,1702264,113.89,113.33,-0.006673105628237863,-0.0017647577869938091
2023-08-25,113.89,2262140,112.39,114.24,0.013346383130171668,-0.0030637254901960675
2023-08-24,112.39,1713642,112.26,113.59,0.001158026011045754,-0.010564310238577401
2023-08-23,112.26,2027553,112.94,113.27,-0.006020896051000424,-0.008916747594243768
2023-08-22,112.94,2220777,113.33,113.43,-0.0034412776846377557,-0.004319844838226339
2023-08-21,113.33,2662829,114.24,114.67,-0.007965686274509776,-0.011685706810848573
2023-08-18,114.24,4896486,113.59,116.64,0.00572233471256256,-0.020576131687242816
2023-08-17,113.59,4704415,113.27,114.67,0.002825108148671429,-0.0094183308624749
2023-08-16,113.27,3904400,113.43,114.42,-0.001410561579829106,-0.010050690438734522
2023-08-15,113.43,5087597,114.67,112.68,-0.010813639138397058,0.006656017039403661
2023-08-14,114.67,3044005,116.64,111.44,-0.016889574759945125,0.02898420674802593
2023-08-11,116.64,2558962,114.67,110.48,0.017179733147292264,0.055756698044894915
2023-08-10,114.67,2587861,114.42,110.41,0.0021849327040726063,0.03858346164296722
2023-08-09,114.42,3864782,112.68,108.99,0.01544195953141636,0.04982108450316547
2023-08-08,112.68,2865139,111.44,112.11,0.011127063890883138,0.005084292213005215
2023-08-07,111.44,2982091,110.48,111.55,0.008689355539464039,-0.0009861048857014998
2023-08-04,110.48,2650599,110.41,110.35,0.000634000543429103,0.001178069777979296
2023-08-03,110.41,3512340,108.99,108.89,0.013028718231030467,0.013959041234273162
2023-08-02,108.99,4888063,112.11,109.59,-0.027829810008027867,-0.005474952094169261
2023-08-01,112.11,2695397,111.55,107.71,0.005020170327207474,0.04085043171478975
2023-07-31,111.55,3801275,110.35,106.85,0.010874490258269143,0.043986897519887824
2023-07-28,110.35,2141474,108.89,105.73,0.013408026448709753,0.043696207320533365
2023-07-27,108.89,2925876,109.59,104.05,-0.006387444109864027,0.046516098029793396
2023-07-26,109.59,2687565,107.71,102.46,0.017454275369046535,0.06958813195393332
2023-07-25,107.71,2744836,106.85,101.16,0.008048666354702805,0.06474891261368132
2023-07-24,106.85,3691802,105.73,99.04,0.010593019956492755,0.07885702746365086
2023-07-21,105.73,2711753,104.05,100.46,0.016146083613647333,0.052458690025880994
2023-07-20,104.05,2520486,102.46,102.58,0.015518251024790208,0.014330278806784946
2023-07-19,102.46,3052143,101.16,101.96,0.012850929221035923,0.004903883876029802
2023-07-18,101.16,2367543,99.04,101.52,0.021405492730209863,-0.0035460992907800915
2023-07-17,99.04,3078258,100.46,100.33,-0.014134979096157574,-0.012857570018937392
2023-07-14,100.46,2865206,102.58,99.44,-0.020666796646519825,0.010257441673370726
2023-07-13,102.58,2886437,101.96,95.4,0.006080816006277079,0.07526205450733747
2023-07-12,101.96,2374181,101.52,96.13,0.004334121355398013,0.06064704046603553
2023-07-11,101.52,3060825,100.33,95.66,0.01186085916475621,0.06125862429437601
2023-07-10,100.33,3785248,99.44,95.38,0.00895012067578449,0.05189767246802268
2023-07-07,99.44,5340880,95.4,94.53,0.04234800838574415,0.05194118269332493
2023-07-06,95.4,4693913,96.13,93.4,-0.007593883283054104,0.021413276231263323
2023-07-05,96.13,3854909,95.66,92.57,0.004913234371733299,0.03845738360159889
2023-07-03,95.66,1348799,95.38,91.52,0.0029356259173831667,0.045236013986013957
2023-06-30,95.38,2574225,94.53,90.86,0.008991854437744529,0.049746863306185274
2023-06-29,94.53,2254388,93.4,90.81,0.012098501070663792,0.04096465147010231
