date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,164.91,676106,164.31,161.65,0.003651634106262458,0.020167027528611214
2023-12-28,164.31,758790,163.76,162.2,0.0033585735222276814,0.013008631319358921
2023-12-27,163.76,553396,163.07,162.8,0.004231311706629048,0.005896805896805857
2023-12-26,163.07,545034,162.69,163.57,0.00233573053045677,-0.0030567952558537836
2023-12-22,162.69,1213000,161.65,162.08,0.0064336529539126275,0.0037635735439287554
2023-12-21,161.65,1311403,162.2,162.69,-0.003390875462392029,-0.006392525662302528
2023-12-20,162.2,1389861,162.8,167.11,-0.0036855036855037993,-0.029381844294177673
2023-12-19,162.8,1615138,163.57,165.17,-0.004707464694014729,-0.01434885269722086
2023-12-18,163.57,1063536,162.08,162.44,0.009192991115498428,0.006956414676188016
2023-12-15,162.08,2886331,162.69,161.79,-0.003749462167311979,0.001792446999196562
2023-12-14,162.69,2212085,167.11,161.59,-0.02644964394710081,0.006807351940095296
2023-12-13,167.11,1042049,165.17,161.85,0.011745474359750707,0.032499227679950726
2023-12-12,165.17,684770,162.44,161.46,0.01680620536813593,0.022977827325653344
2023-12-11,162.44,854550,161.79,162.56,0.00401755361888867,-0.000738188976378007
2023-12-08,161.79,864607,161.59,163.92,0.0012377003527446195,-0.012994143484626575
2023-12-07,161.59,924699,161.85,161.84,-0.0016064257028112205,-0.0015447355412753216
2023-12-06,161.85,1219774,161.46,159.93,0.0024154589371980784,0.012005252297880187
2023-12-05,161.46,1286502,162.56,159.84,-0.006766732283464583,0.010135135135135087
2023-12-04,162.56,1505028,163.92,160.25,-0.00829673011224974,0.014414976599063989
2023-12-01,163.92,976438,161.84,160.4,0.012852199703410783,0.02194513715710711
2023-11-30,161.84,1621951,159.93,160.01,0.011942724942162197,0.011436785200924948
2023-11-29,159.93,1200782,159.84,160.04,0.0005630630630630851,-0.0006873281679579124
2023-11-28,159.84,1012564,160.25,159.5,-0.0025585023400935825,0.002131661442006383
2023-11-27,160.25,792191,160.4,158.72,-0.0009351620947630757,0.009639616935483986
2023-11-24,160.4,371743,160.01,158.88,0.0024373476657710835,0.009566968781470342
2023-11-22,160.01,726736,160.04,157.02,-0.00018745313671586494,0.01904216023436489
2023-11-21,160.04,1207236,159.5,159.06,0.0033855799373039286,0.006161197032566346
2023-11-20,159.5,723724,158.72,158.4,0.004914314516129004,0.00694444444444442
2023-11-17,158.72,1321546,158.88,157.79,-0.001007049345417954,0.005893909626719207
2023-11-16,158.88,1334882,157.02,156.35,0.011845624761176898,0.01618164374800135
2023-11-15,157.02,1947521,159.06,155.61,-0.012825348924933921,0.009061114324272257
2023-11-14,159.06,1416974,158.4,154.91,0.004166666666666652,0.026789748886450138
2023-11-13,158.4,924287,157.79,154.65,0.003865897712149069,0.02424830261881672
2023-11-10,157.79,1381119,156.35,153.45,0.009210105532459156,0.028282828282828243
2023-11-09,156.35,1276321,155.61,151.71,0.0047554784396888206,0.030584668116801605
2023-11-08,155.61,901221,154.91,148.74,0.00451875282422054,0.04618797902380001
2023-11-07,154.91,1284024,154.65,148.49,0.001681215648237977,0.04323523469593904
2023-11-06,154.65,1317537,153.45,147.25,0.007820136852395132,0.050254668930390434
2023-11-03,153.45,1263288,151.71,146.0,0.011469250543800547,0.05102739726027394
2023-11-02,151.71,1363484,148.74,146.02,0.019967728922952732,0.038967264758252185
2023-11-01,148.74,1071888,148.49,147.58,0.0016836150582530962,0.007860143650901152
2023-10-31,148.49,865813,147.25,143.3,0.008421052631579107,0.03621772505233767
2023-10-30,147.25,1092699,146.0,144.42,0.008561643835616417,0.01959562387480962
2023-10-27,146.0,1865185,146.02,145.14,-0.00013696753869341105,0.005925313490423134
