date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,142.64,1227895,144.28,142.22,-0.011366786803437834,0.0029531711432990715
2023-12-28,144.28,997588,143.67,144.11,0.004245841163778241,0.0011796544306432732
2023-12-27,143.67,1184331,143.66,145.16,6.96087985521121e-05,-0.01026453568476171
2023-12-26,143.66,786261,142.3,143.62,0.009557273366127772,0.00027851274195778153
2023-12-22,142.3,1191461,142.22,144.35,0.0005625087891998337,-0.014201593349497665
2023-12-21,142.22,2114057,144.11,146.58,-0.013114981611269227,-0.029744849229090042
2023-12-20,144.11,1216041,145.16,139.26,-0.007233397630201033,0.034826942409881045
2023-12-19,145.16,1315958,143.62,134.49,0.010722740565380917,0.07933675366198223
2023-12-18,143.62,1425934,144.35,134.78,-0.005057152753723537,0.06558836622644315
2023-12-15,144.35,3723410,146.58,132.88,-0.015213535270842016,0.08631848284166166
2023-12-14,146.58,2874707,139.26,131.35,0.05256355019388215,0.11594975256947104
2023-12-13,139.26,2192318,134.49,131.73,0.03546732099040817,0.057162377590526114
2023-12-12,134.49,1330602,134.78,130.78,-0.0021516545481524707,0.028368252026303775
2023-12-11,134.78,1452994,132.88,130.85,0.014298615291992833,0.03003439052350032
2023-12-08,132.88,1394282,131.35,128.82,0.011648267986296146,0.031516845210371125
2023-12-07,131.35,1983863,131.73,124.89,-0.0028846883777423615,0.051725518456241515
2023-12-06,131.73,1721132,130.78,122.76,0.007264107661721919,0.07306940371456494
2023-12-05,130.78,1668705,130.85,122.1,-0.0005349636988918327,0.07108927108927121
2023-12-04,130.85,1920903,128.82,121.71,0.01575842260518545,0.07509654095801488
2023-12-01,128.82,1833743,124.89,120.84,0.031467691568580314,0.06603773584905648
2023-11-30,124.89,2300497,122.76,121.1,0.017350928641251206,0.031296449215524325
2023-11-29,122.76,1151660,122.1,121.75,0.005405405405405572,0.008295687885010228
2023-11-28,122.1,1149913,121.71,122.75,0.0032043381809219174,-0.005295315682281143
2023-11-27,121.71,1027493,120.84,121.68,0.007199602780536107,0.0002465483234712629
2023-11-24,120.84,767578,121.1,120.42,-0.0021469859620147913,0.0034877927254608476
2023-11-22,121.1,1190212,121.75,120.54,-0.005338809034907688,0.004645760743321681
2023-11-21,121.75,1213700,122.75,120.79,-0.008146639511201648,0.007947677787896401
2023-11-20,122.75,1283848,121.68,115.54,0.008793556870480002,0.06240263112342048
2023-11-17,121.68,1121288,120.42,115.33,0.010463378176382765,0.05505939478019606
2023-11-16,120.42,1271784,120.54,113.79,-0.0009955201592832807,0.058265225415238486
2023-11-15,120.54,1623476,120.79,115.44,-0.0020697077572646716,0.044178794178794334
2023-11-14,120.79,2105673,115.54,115.24,0.045438809070451835,0.048160360985769035
2023-11-13,115.54,1321755,115.33,117.08,0.0018208618746207161,-0.013153399385035791
2023-11-10,115.33,906923,113.79,117.89,0.013533702434308736,-0.021715158198320483
2023-11-09,113.79,1204731,115.44,115.84,-0.014293139293139245,-0.017696823204419898
2023-11-08,115.44,911312,115.24,112.49,0.001735508503991623,0.02622455329362605
2023-11-07,115.24,1661171,117.08,109.89,-0.01571574991458835,0.048685048685048526
2023-11-06,117.08,1225453,117.89,105.33,-0.006870811773687313,0.1115541631064274
2023-11-03,117.89,1956600,115.84,104.54,0.017696823204419898,0.12770231490338624
2023-11-02,115.84,2049697,112.49,106.32,0.02978042492666022,0.08954100827689992
2023-11-01,112.49,2080777,109.89,104.98,0.02366002366002351,0.07153743570203841
2023-10-31,109.89,2384200,105.33,105.97,0.04329250925662209,0.03699160139662161
2023-10-30,105.33,1458351,104.54,105.21,0.0075569160130093405,0.0011405759908753588
2023-10-27,104.54,1744876,106.32,106.15,-0.01674191121143709,-0.0151672162034856
2023-10-26,106.32,1388613,104.98,106.5,0.012764336064012172,-0.0016901408450704647
2023-10-25,104.98,1465237,105.97,108.55,-0.009342266679248756,-0.03288807001381844
2023-10-24,105.97,1521527,105.21,110.15,0.007223647942210976,-0.037948252383113945
2023-10-23,105.21,1560702,106.15,108.33,-0.008855393311351989,-0.028800886181113317
2023-10-20,106.15,1506695,106.5,107.03,-0.00328638497652578,-0.008221993833504637
2023-10-19,106.5,1571800,108.55,107.35,-0.01888530631045604,-0.007918025151373964
2023-10-18,108.55,1294675,110.15,108.33,-0.014525646845211182,0.002030831717898973
2023-10-17,110.15,1470520,108.33,106.15,0.01680051693898288,0.037682524729156786
2023-10-16,108.33,1235769,107.03,105.44,0.01214612725404085,0.0274089529590289
2023-10-13,107.03,1499596,107.35,104.41,-0.0029809035863995748,0.025093381859975228
2023-10-12,107.35,1604435,108.33,104.54,-0.00904643219791379,0.026879663286780042
2023-10-11,108.33,1479019,106.15,104.44,0.020536975977390348,0.03724626579854462
2023-10-10,106.15,1019110,105.44,103.37,0.006733687405159339,0.026893682886717674
2023-10-09,105.44,882154,104.41,104.63,0.009864955464035985,0.007741565516582227
2023-10-06,104.41,1123805,104.54,108.03,-0.0012435431413814202,-0.033509210404517265
2023-10-05,104.54,1083621,104.44,108.83,0.0009574875526618953,-0.039419277772672956
2023-10-04,104.44,1295864,103.37,108.19,0.010351165715391186,-0.03466124410758853
2023-10-03,103.37,2202504,104.63,109.15,-0.012042435248016736,-0.0529546495648191
2023-10-02,104.63,2077657,108.03,112.13,-0.031472739053966525,-0.06688664942477485
2023-09-29,108.03,2228818,108.83,111.68,-0.007350914269962261,-0.03268266475644699
2023-09-28,108.83,1984048,108.19,111.64,0.005915518994361824,-0.025170189896094652
2023-09-27,108.19,2376058,109.15,113.76,-0.008795235913880095,-0.04896272855133621
2023-09-26,109.15,2228112,112.13,114.26,-0.026576295371443792,-0.044722562576579694
2023-09-25,112.13,1576456,111.68,114.25,0.004029369627507107,-0.018555798687089786
2023-09-22,111.68,1585596,111.64,116.41,0.0003582945180939934,-0.04063224808865207
2023-09-21,111.64,2385865,113.76,117.38,-0.01863572433192695,-0.04890100528199004
2023-09-20,113.76,1560572,114.26,114.77,-0.00437598459653421,-0.008800209113879909
2023-09-19,114.26,1130549,114.25,115.48,8.752735229755615e-05,-0.010564599930723895
2023-09-18,114.25,1334739,116.41,114.74,-0.01855510694957474,-0.0042705246644587636
2023-09-15,116.41,2880775,117.38,114.62,-0.008263758732322324,0.01561682079916249
2023-09-14,117.38,1627228,114.77,114.45,0.022741134442798572,0.025600698995194238
2023-09-13,114.77,1451960,115.48,115.75,-0.006148250779355768,-0.008466522678185817
2023-09-12,115.48,1314002,114.74,114.94,0.006449363778978645,0.004698103358274031
2023-09-11,114.74,1349896,114.62,114.91,0.00104693770720643,-0.001479418675485178
2023-09-08,114.62,1022467,114.45,113.49,0.0014853647881170051,0.009956824389814267
2023-09-07,114.45,1581922,115.75,113.51,-0.011231101511879005,0.00828120870407889
2023-09-06,115.75,1921573,114.94,113.53,0.007047155037410935,0.019554302827446524
2023-09-05,114.94,2187541,114.91,111.67,0.0002610738839090576,0.02928270797886623
2023-09-01,114.91,1306077,113.49,110.73,0.012512115604899066,0.037749480718865636
2023-08-31,113.49,1573415,113.51,110.66,-0.00017619592987405674,0.025573829748779975
2023-08-30,113.51,774561,113.53,111.64,-0.00017616489033733806,0.016750268720888695
2023-08-29,113.53,1085857,111.67,110.93,0.016656219217336732,0.023438204272964835
2023-08-28,111.67,900410,110.73,112.72,0.008489117673620594,-0.009315117104329307
2023-08-25,110.73,1080927,110.66,115.6,0.0006325682270016397,-0.042128027681660796
2023-08-24,110.66,1751530,111.64,114.15,-0.008778215693299951,-0.030573806395094216
2023-08-23,111.64,1991738,110.93,115.61,0.0064004327053095444,-0.03433959000086495
2023-08-22,110.93,1753596,112.72,117.87,-0.015880056777856533,-0.05887842538389754
2023-08-21,112.72,1417974,115.6,119.02,-0.02491349480968852,-0.05293228028902708
2023-08-18,115.6,1170278,114.15,118.87,0.012702584318878607,-0.027509043492891516
2023-08-17,114.15,1193721,115.61,118.85,-0.012628665340368439,-0.039545645771981386
2023-08-16,115.61,1172901,117.87,118.8,-0.019173665903113646,-0.026851851851851793
2023-08-15,117.87,842440,119.02,119.0,-0.009662241640060465,-0.009495798319327675
2023-08-14,119.02,792325,118.87,119.66,0.0012618827290316048,-0.005348487380912537
2023-08-11,118.87,884905,118.85,118.29,0.00016827934371055342,0.004903203990193505
2023-08-10,118.85,1185334,118.8,118.37,0.00042087542087543284,0.004055081524034776
2023-08-09,118.8,1002894,119.0,124.06,-0.001680672268907557,-0.04239883927132038
2023-08-08,119.0,889849,119.66,125.44,-0.0055156276115660985,-0.0513392857142857
2023-08-07,119.66,1048750,118.29,124.6,0.01158170597683661,-0.03964686998394862
2023-08-04,118.29,1537844,118.37,124.48,-0.0006758469206724627,-0.049726863753213335
