date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,108.52,1365788,110.44,106.59,-0.017385005432814182,0.018106764236795136
2023-12-28,110.44,874558,110.75,103.61,-0.0027990970654627745,0.0659202779654473
2023-12-27,110.75,1261621,110.35,105.88,0.0036248300860897142,0.04599546656592368
2023-12-26,110.35,1389047,107.63,105.28,0.025271764377961636,0.0481572948328266
2023-12-22,107.63,832239,106.59,105.16,0.009757012852988023,0.023488018257892707
2023-12-21,106.59,1812146,103.61,105.39,0.028761702538365075,0.011386279533162513
2023-12-20,103.61,1870695,105.88,98.16,-0.021439365319229298,0.05552159739201312
2023-12-19,105.88,1379336,105.28,96.34,0.005699088145896702,0.09902428897654136
2023-12-18,105.28,2556813,105.16,96.73,0.0011411182959299992,0.08839036493331953
2023-12-15,105.16,4609903,105.39,92.29,-0.0021823702438561465,0.13945172824791396
2023-12-14,105.39,3680689,98.16,92.61,0.07365525672371653,0.1379980563654033
2023-12-13,98.16,1403175,96.34,91.22,0.018891426198878847,0.07607980705985518
2023-12-12,96.34,912974,96.73,91.24,-0.004031841207484788,0.055896536606751424
2023-12-11,96.73,2222152,92.29,93.16,0.048109220934012376,0.038321167883211826
2023-12-08,92.29,1688281,92.61,93.86,-0.0034553503941258112,-0.01672704027274652
2023-12-07,92.61,1331933,91.22,92.23,0.015237886428414837,0.004120134446492507
2023-12-06,91.22,1601115,91.24,92.76,-0.00021920210434012155,-0.016601983613626636
2023-12-05,91.24,1352649,93.16,91.24,-0.020609703735508855,0.0
2023-12-04,93.16,1381401,93.86,91.93,-0.0074579160451736515,0.013379745458500958
2023-12-01,93.86,934553,92.23,92.49,0.01767320828363861,0.014812412152665155
2023-11-30,92.23,2072944,92.76,92.44,-0.005713669685209144,-0.0022717438338381024
2023-11-29,92.76,1724740,91.24,91.76,0.016659359929855455,0.010897994768962471
2023-11-28,91.24,1063666,91.93,93.08,-0.007505710866964166,-0.019767941555651092
2023-11-27,91.93,818525,92.49,92.09,-0.0060547086171476305,-0.0017374307742425987
2023-11-24,92.49,472339,92.44,90.74,0.000540891389009035,0.019285871721401726
2023-11-22,92.44,1306388,91.76,91.37,0.007410636442894525,0.011710627120498973
2023-11-21,91.76,1427121,93.08,90.65,-0.014181349376879981,0.012244897959183598
2023-11-20,93.08,1665693,92.09,86.62,0.010750352915625871,0.07457861925652276
2023-11-17,92.09,1330909,90.74,88.12,0.014877672470795744,0.04505220154334988
2023-11-16,90.74,1995620,91.37,84.93,-0.006895042136368712,0.06840927822912968
2023-11-15,91.37,1371904,90.65,86.38,0.007942636514065127,0.057768001852280815
2023-11-14,90.65,2095376,86.62,87.03,0.0465250519510505,0.041594852349764455
2023-11-13,86.62,1703253,88.12,87.61,-0.01702224239673178,-0.011300079899554838
2023-11-10,88.12,1798310,84.93,87.7,0.03756034381255158,0.004789053591790271
2023-11-09,84.93,2676726,86.38,85.9,-0.01678629312340807,-0.011292200232828842
2023-11-08,86.38,1434389,87.03,82.76,-0.007468688957830705,0.043740937651038925
2023-11-07,87.03,1284287,87.61,83.27,-0.006620248830042197,0.04515431728113373
2023-11-06,87.61,1250204,87.7,83.46,-0.0010262257696693755,0.04972441888329748
2023-11-03,87.7,1606806,85.9,83.84,0.020954598370197974,0.04604007633587792
2023-11-02,85.9,2277642,82.76,85.12,0.037941034316094635,0.009163533834586568
2023-11-01,82.76,2091199,83.27,87.91,-0.006124654737600488,-0.05858264133773172
2023-10-31,83.27,1540190,83.46,91.61,-0.0022765396597171916,-0.09103809627769899
2023-10-30,83.46,1656281,83.84,90.92,-0.004532442748091725,-0.08205015398152227
2023-10-27,83.84,2015579,85.12,91.74,-0.015037593984962405,-0.0861129278395465
2023-10-26,85.12,2954349,87.91,92.74,-0.03173700375383903,-0.08216519301272363
2023-10-25,87.91,2722903,91.61,94.08,-0.04038860386420695,-0.06558248299319724
2023-10-24,91.61,1342904,90.92,96.52,0.007589089309282926,-0.050870285951098215
2023-10-23,90.92,1325079,91.74,97.0,-0.008938303902332634,-0.06268041237113398
2023-10-20,91.74,1264047,92.74,95.6,-0.010782833728703922,-0.04037656903765685
2023-10-19,92.74,1927257,94.08,99.39,-0.014243197278911546,-0.06690813965187647
2023-10-18,94.08,1410879,96.52,99.56,-0.025279734769995788,-0.05504218561671359
2023-10-17,96.52,1540281,97.0,99.59,-0.004948453608247472,-0.030826388191585563
2023-10-16,97.0,1900714,95.6,99.05,0.014644351464435212,-0.020696617869762735
2023-10-13,95.6,1532782,99.39,100.67,-0.03813260891437775,-0.050362570775802196
2023-10-12,99.39,1135532,99.56,99.54,-0.0017075130574527586,-0.0015069318866788306
