date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,245.62,1228687,246.02,242.11,-0.0016258840744655112,0.014497542439386946
2023-12-28,246.02,1208598,245.81,237.84,0.0008543183759814887,0.03439286915573492
2023-12-27,245.81,2205934,245.29,242.65,0.0021199396632558543,0.013022872450030976
2023-12-26,245.29,1454117,243.58,241.1,0.007020280811232293,0.017378681045209454
2023-12-22,243.58,1824809,242.11,241.98,0.006071620337863015,0.0066121167038599715
2023-12-21,242.11,2603197,237.84,242.86,0.017953245879583024,-0.0030881989623651185
2023-12-20,237.84,2724760,242.65,236.69,-0.01982279002678755,0.004858675905192511
2023-12-19,242.65,2310653,241.1,232.91,0.006428867689755258,0.04181872826413646
2023-12-18,241.1,2457617,241.98,232.03,-0.003636664187122829,0.03908977287419724
2023-12-15,241.98,4768518,242.86,229.77,-0.003623486782508567,0.0531400966183575
2023-12-14,242.86,4863594,236.69,231.49,0.026067852465250008,0.04911659250939571
2023-12-13,236.69,3926716,232.91,232.97,0.016229444849942043,0.01596772116581535
2023-12-12,232.91,2427466,232.03,232.17,0.003792613024177882,0.0031873196364733403
2023-12-11,232.03,1810413,229.77,233.9,0.00983592287940116,-0.00799486960239415
2023-12-08,229.77,2544779,231.49,231.37,-0.007430126571342122,-0.006915330423131749
2023-12-07,231.49,2075095,232.97,225.27,-0.006352749281023251,0.027611310871398675
2023-12-06,232.97,1802536,232.17,221.47,0.003445750958349425,0.051925768727141275
2023-12-05,232.17,2632486,233.9,221.23,-0.007396323215049239,0.049450797812231606
2023-12-04,233.9,3881955,231.37,219.85,0.010934866231577134,0.06390720946099626
2023-12-01,231.37,3239020,225.27,224.28,0.027078616770985997,0.03161227037631531
2023-11-30,225.27,4430060,221.47,223.49,0.017158080101142392,0.007964562172804168
2023-11-29,221.47,1228889,221.23,222.0,0.0010848438276906958,-0.0023873873873874185
2023-11-28,221.23,1827572,219.85,221.1,0.006277007050261574,0.0005879692446857376
2023-11-27,219.85,2369208,224.28,219.21,-0.019752095594792296,0.002919574836914407
2023-11-24,224.28,1045594,223.49,219.36,0.0035348337733231983,0.02242888402625809
2023-11-22,223.49,1716193,222.0,218.08,0.006711711711711699,0.02480741012472487
2023-11-21,222.0,2422331,221.1,215.69,0.004070556309362372,0.029254949232695004
2023-11-20,221.1,2548124,219.21,209.4,0.008621869440262664,0.055873925501432664
2023-11-17,219.21,2005354,219.36,211.49,-0.0006838074398249905,0.036502907938909646
2023-11-16,219.36,1438333,218.08,210.23,0.005869405722670695,0.04342862579080076
2023-11-15,218.08,2709674,215.69,212.0,0.011080717696694498,0.028679245283018906
2023-11-14,215.69,2610451,209.4,211.41,0.03003820439350524,0.02024502152216079
2023-11-13,209.4,2185064,211.49,213.1,-0.009882263936829228,-0.017362740497419038
2023-11-10,211.49,2673601,210.23,212.13,0.005993435760833554,-0.003017017866402627
2023-11-09,210.23,1496386,212.0,211.39,-0.008349056603773608,-0.005487487582194084
