date,close,volume,close_1_day_prior,close_1_week_prior,pct_change_1_day,pct_change_1_week
2023-12-29,49.84,1748277,50.95,49.4,-0.02178606476938172,0.00890688259109318
2023-12-28,50.95,1295234,50.75,48.41,0.003940886699507429,0.05246849824416455
2023-12-27,50.75,2103172,50.48,49.77,0.00534865293185427,0.019690576652601877
2023-12-26,50.48,1321386,49.9,49.21,0.011623246492985961,0.025807762649867838
2023-12-22,49.9,1728082,49.4,49.35,0.010121457489878471,0.011144883485308954
2023-12-21,49.4,2450400,48.41,50.53,0.020450320181780723,-0.022362952701365568
2023-12-20,48.41,2608762,49.77,48.4,-0.02732569821177433,0.00020661157024792765
2023-12-19,49.77,2842437,49.21,46.73,0.011379800853485111,0.06505456879948657
2023-12-18,49.21,2294262,49.35,46.92,-0.0028368794326241176,0.04880647911338443
2023-12-15,49.35,4394406,50.53,46.72,-0.023352463882841845,0.05629280821917804
2023-12-14,50.53,3960780,48.4,46.22,0.04400826446280992,0.0932496754651666
2023-12-13,48.4,3187100,46.73,46.06,0.035737213781296795,0.050803300043421595
2023-12-12,46.73,1328550,46.92,46.94,-0.004049445865302759,-0.004473796335747737
2023-12-11,46.92,1989208,46.72,47.18,0.0042808219178083196,-0.005510809665112304
2023-12-08,46.72,1954697,46.22,46.76,0.01081782778018181,-0.0008554319931565191
2023-12-07,46.22,1341187,46.06,45.84,0.0034737299174989467,0.008289703315881303
2023-12-06,46.06,1796355,46.94,45.41,-0.018747337025990518,0.014314027747192481
2023-12-05,46.94,2265374,47.18,45.55,-0.005086901229334528,0.030515916575192037
2023-12-04,47.18,2711109,46.76,45.29,0.008982035928143839,0.04173106646058744
2023-12-01,46.76,2108309,45.84,45.11,0.02006980802792313,0.036577255597428415
2023-11-30,45.84,3293624,45.41,44.7,0.009469279894296578,0.025503355704697972
2023-11-29,45.41,1573044,45.55,44.52,-0.0030735455543359214,0.019991015274033908
2023-11-28,45.55,1368295,45.29,44.96,0.005740781629498759,0.01312277580071175
2023-11-27,45.29,1166391,45.11,44.54,0.003990246065173952,0.016838796587337335
2023-11-24,45.11,722846,44.7,44.65,0.00917225950782985,0.010302351623740158
2023-11-22,44.7,1199990,44.52,44.46,0.0040431266846361336,0.005398110661268607
2023-11-21,44.52,1206346,44.96,44.51,-0.009786476868327343,0.0002246686137947762
2023-11-20,44.96,1616500,44.54,42.74,0.009429726088908907,0.051941974730931095
2023-11-17,44.54,2145537,44.65,42.56,-0.00246360582306826,0.046522556390977465
2023-11-16,44.65,1947231,44.46,42.08,0.004273504273504258,0.06107414448669202
2023-11-15,44.46,1709354,44.51,44.02,-0.001123343068973215,0.009995456610631503
2023-11-14,44.51,2292975,42.74,43.78,0.041413196069255864,0.016674280493375937
2023-11-13,42.74,1498969,42.56,44.28,0.004229323308270638,-0.03477868112014448
2023-11-10,42.56,1795263,42.08,44.08,0.011406844106463865,-0.03448275862068961
2023-11-09,42.08,3147931,44.02,43.97,-0.044070876874148235,-0.04298385262679105
2023-11-08,44.02,1445163,43.78,42.78,0.005481955230699054,0.02898550724637694
2023-11-07,43.78,2598614,44.28,42.46,-0.01129177958446248,0.031088082901554515
2023-11-06,44.28,2352071,44.08,41.55,0.00453720508166966,0.06570397111913362
2023-11-03,44.08,2687792,43.97,41.65,0.0025017057084375516,0.05834333733493402
2023-11-02,43.97,2217432,42.78,42.09,0.02781673679289387,0.04466619149441664
2023-11-01,42.78,1831498,42.46,41.32,0.007536504945831357,0.0353339787028073
2023-10-31,42.46,2241744,41.55,42.38,0.021901323706377873,0.0018876828692779846
2023-10-30,41.55,1886588,41.65,41.44,-0.0024009603841537164,0.002654440154440163
2023-10-27,41.65,1597781,42.09,41.83,-0.010453789498693355,-0.004303131723643272
2023-10-26,42.09,1649950,41.32,41.83,0.018635043562439613,0.006215634711929319
2023-10-25,41.32,1405964,42.38,43.17,-0.025011798017933073,-0.04285383368079687
2023-10-24,42.38,1374491,41.44,43.63,0.022683397683397777,-0.028650011460004565
2023-10-23,41.44,1543258,41.83,43.58,-0.009323452067893867,-0.049105094079853195
2023-10-20,41.83,2708104,41.83,43.43,0.0,-0.03684089339166474
2023-10-19,41.83,3436774,43.17,42.77,-0.03104007412555021,-0.021978021978022122
2023-10-18,43.17,1882978,43.63,43.11,-0.01054320421728172,0.0013917884481560172
2023-10-17,43.63,2694631,43.58,41.94,0.0011473152822396582,0.04029566046733435
2023-10-16,43.58,3499136,43.43,40.71,0.003453833755468594,0.07049864898059433
2023-10-13,43.43,2600444,42.77,39.65,0.01543137713350462,0.09533417402269873
2023-10-12,42.77,2016478,43.11,40.76,-0.007886801206216543,0.04931305201177638
2023-10-11,43.11,2020156,41.94,40.61,0.027896995708154515,0.06156119182467368
2023-10-10,41.94,2196510,40.71,40.11,0.0302137067059689,0.04562453253552734
2023-10-09,40.71,2175262,39.65,41.34,0.026733921815889072,-0.015239477503628529
2023-10-06,39.65,2911201,40.76,42.13,-0.027232580961727204,-0.05886541656776656
2023-10-05,40.76,2447039,40.61,42.2,0.003693671509480412,-0.034123222748815296
2023-10-04,40.61,2085382,40.11,41.41,0.012465719272001907,-0.019319005071238737
2023-10-03,40.11,2655917,41.34,41.7,-0.029753265602322276,-0.03812949640287777
2023-10-02,41.34,1945794,42.13,42.45,-0.01875148350344169,-0.02614840989399292
2023-09-29,42.13,2339672,42.2,42.56,-0.0016587677725118377,-0.010103383458646586
2023-09-28,42.2,2017493,41.41,42.92,0.019077517507848585,-0.016775396085740857
2023-09-27,41.41,1766198,41.7,43.98,-0.006954436450839485,-0.05843565256934968
2023-09-26,41.7,1430173,42.45,43.45,-0.017667844522968212,-0.04027617951668583
2023-09-25,42.45,1501631,42.56,43.69,-0.0025845864661654394,-0.028381780727855244
2023-09-22,42.56,1861060,42.92,44.62,-0.008387698042870428,-0.0461676378305691
2023-09-21,42.92,1817310,43.98,44.37,-0.024101864483856206,-0.03267973856209139
2023-09-20,43.98,1775145,43.45,42.83,0.012197928653624679,0.026850338547746766
2023-09-19,43.45,1456960,43.69,43.29,-0.005493247882810581,0.003696003696003869
2023-09-18,43.69,1522515,44.62,43.02,-0.02084267144778129,0.015574151557415039
2023-09-15,44.62,4040603,44.37,42.38,0.00563443768311922,0.0528551203397829
2023-09-14,44.37,2713166,42.83,42.59,0.03595610553350448,0.04179384832120192
2023-09-13,42.83,2731614,43.29,42.64,-0.010626010626010651,0.004455909943714698
2023-09-12,43.29,2434960,43.02,42.25,0.006276150627614996,0.024615384615384706
2023-09-11,43.02,2295600,42.38,43.08,0.015101462954223654,-0.0013927576601669989
2023-09-08,42.38,2179228,42.59,43.68,-0.004930734914299184,-0.029761904761904656
2023-09-07,42.59,1597049,42.64,43.92,-0.001172607879924903,-0.030282331511839677
2023-09-06,42.64,1771056,42.25,43.55,0.009230769230769154,-0.020895522388059584
2023-09-05,42.25,2098169,43.08,43.38,-0.019266480965645316,-0.026048870447210715
2023-09-01,43.08,2281322,43.68,43.06,-0.013736263736263798,0.00046446818392920086
2023-08-31,43.68,2804332,43.92,43.3,-0.005464480874316946,0.00877598152424941
