title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
AbbVie  ( ABBV )  Stock Sinks As Market Gains: What You Should Know,https://www.zacks.com/stock/news/2037579/abbvie-abbv-stock-sinks-as-market-gains-what-you-should-know,2023-01-10 22:45:20,"AbbVie (ABBV) closed the most recent trading day at $159.64, moving -1.25% from the previous trading session.",ABBV,0.64962,0.343208,Somewhat-Bullish
Halozyme Provides 2023 Financial Guidance and Outlook,https://www.prnewswire.com/news-releases/halozyme-provides-2023-financial-guidance-and-outlook-301717757.html,2023-01-10 22:15:00,2023 Total Revenue Guidance of $815 to $845 Million Representing >20% Growth Over Expected 2022 Revenue 2023 Recurring Revenues from Royalties Projected to Grow by >20% to $445 to $455 Million 2023 EBITDA Projected to Grow by >30% Year-Over-Year to $415 to $440 Million,ABBV,0.02668,0.079527,Neutral
3 Passive Income Stocks That Are Screaming Buys in January,https://www.fool.com/investing/2023/01/10/3-passive-income-stocks-are-screaming-buys-january/,2023-01-10 14:45:00,All three could make investors a little bit richer every quarter.,ABBV,0.196212,0.106556,Neutral
Abbvie raises sales outlook of two new drugs to more than $17.5 bln in 2025,https://www.reuters.com/business/healthcare-pharmaceuticals/abbvie-raises-sales-outlook-two-new-drugs-more-than-175-bln-2025-2023-01-10/,2023-01-10 14:13:00,Abbvie raises sales outlook of two new drugs to more than $17.5 bln ... ...,ABBV,0.588876,0.199712,Somewhat-Bullish
AbbVie Inc.  ( ABBV )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2037230/abbvie-inc-abbv-is-attracting-investor-attention-here-is-what-you-should-know,2023-01-10 14:00:12,"Recently, Zacks.com users have been paying close attention to AbbVie (ABBV). This makes it worthwhile to examine what the stock has in store.",ABBV,0.485711,0.134461,Neutral
AbbVie and Anima Biotech Announce Collaboration for the Discovery and Development of mRNA Biology Modulators against Oncology and Immunology Targets,https://investingnews.com/abbvie-and-anima-biotech-announce-collaboration-for-the-discovery-and-development-of-mrna-biology-modulators-against-oncology-and-immunology-targets/,2023-01-10 13:29:29,- Collaboration leverages Anima's mRNA Lightning technology platform and AbbVie's extensive expertise in Oncology and Immunology - Anima will receive an upfront payment of $42 million with potential for further milestones and royalties,ABBV,0.489549,0.207687,Somewhat-Bullish
How This Mutual Fund Soared Last Year,https://www.investors.com/etfs-and-funds/mutual-funds/how-to-invest-in-stocks-this-fund-thrived-last-year/,2023-01-10 12:00:00,How To Invest In Stocks: This Fund Thrived Last Year | Investor's ... Investor's Business Daily ...,ABBV,0.129284,0.285839,Somewhat-Bullish
3 Top Dividend Kings to Buy for the Long Haul,https://www.fool.com/investing/2023/01/10/3-top-dividend-kings-to-buy-for-the-long-haul/,2023-01-10 10:52:00,It's the underlying businesses that fund their dividends that make these stocks especially attractive.,ABBV,0.290262,0.291452,Somewhat-Bullish
Should Investors Worry About AbbVie's Dividend?,https://www.fool.com/investing/2023/01/10/should-investors-worry-about-abbvie-dividend/,2023-01-10 10:31:00,"The risks are real, but they're decreasing over time.",ABBV,0.277748,0.023485,Neutral
"If You Invested $100 In This Stock 10 Years Ago, You Would Have $500 Today - AbbVie  ( NYSE:ABBV ) ",https://www.benzinga.com/news/earnings/23/01/30338802/if-you-invested-100-in-this-stock-10-years-ago-you-would-have-500-today,2023-01-09 19:01:14,"AbbVie ABBV has outperformed the market over the past 10 years by 6.47% on an annualized basis producing an average annual return of 16.73%. Currently, AbbVie has a market capitalization of $287.33 billion.",ABBV,0.983605,0.387251,Bullish
These 15 Dividend Aristocrat stocks have been the best income builders,https://www.marketwatch.com/story/these-15-dividend-aristocrat-stocks-have-been-the-best-income-builders-11673286478,2023-01-09 17:48:00,Most stocks on a new screen have outperformed the S&P 500 in the long term.,ABBV,0.09495,0.108042,Neutral
Royalty Pharma Highlights Accomplishments and Provides Business Update at 41st Annual J.P. Morgan Healthcare Conference,https://www.globenewswire.com/news-release/2023/01/09/2585376/0/en/Royalty-Pharma-Highlights-Accomplishments-and-Provides-Business-Update-at-41st-Annual-J-P-Morgan-Healthcare-Conference.html,2023-01-09 14:25:00,"NEW YORK, Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- Royalty Pharma plc ( Nasdaq: RPRX ) today provided an update on its business performance, including recent key accomplishments and the full year 2022 outlook for Net cash provided by operating activities ( GAAP financial measure ) and Adjusted Cash ...",ABBV,0.016118,0.068037,Neutral
Royalty Pharma Highlights Accomplishments and Provides Business Update at 41st Annual J.P. Morgan Healthcare Conference - Royalty Pharma  ( NASDAQ:RPRX ) ,https://www.benzinga.com/pressreleases/23/01/g30333489/royalty-pharma-highlights-accomplishments-and-provides-business-update-at-41st-annual-j-p-morgan-h,2023-01-09 14:25:00,"2022 Net cash provided by operating activities ( GAAP ) expected to be approximately $2,140 million to $2,150 million; 2022 Adjusted Cash Receipts ( 1 ) ( non-GAAP ) expected to be approximately $2,785 million to $2,790 million, towards the upper end of guidance range",ABBV,0.016031,0.067992,Neutral
Royalty Pharma and Ionis Enter Into Royalty Agreement for Up to $1.1 Billion to Further Advance Ionis' Genetic Medicines and Commercial Readiness,https://www.globenewswire.com/news-release/2023/01/09/2585361/0/en/Royalty-Pharma-and-Ionis-Enter-Into-Royalty-Agreement-for-Up-to-1-1-Billion-to-Further-Advance-Ionis-Genetic-Medicines-and-Commercial-Readiness.html,2023-01-09 14:15:00,"NEW YORK and CARLSBAD, Calif., Jan. 09, 2023 ( GLOBE NEWSWIRE ) -- Royalty Pharma plc ( Nasdaq: RPRX ) and Ionis Pharmaceuticals, Inc. ( Nasdaq: IONS ) today announced that Royalty Pharma has acquired an interest in Ionis' royalty in Biogen's SPINRAZA® ( nusinersen ) and Novartis' pelacarsen for ...",ABBV,0.020439,0.070167,Neutral
Ionis and Royalty Pharma enter into royalty agreement for up to $1.1 billion to further advance Ionis' genetic medicines and commercial readiness,https://www.prnewswire.com/news-releases/ionis-and-royalty-pharma-enter-into-royalty-agreement-for-up-to-1-1-billion-to-further-advance-ionis-genetic-medicines-and-commercial-readiness-301716470.html,2023-01-09 14:05:00,Ionis and Royalty Pharma enter into royalty agreement for up to $1.1 ... PR ...,ABBV,0.020579,0.069332,Neutral
QULIPTA Now Approved by Health Canada for the Preventive Treatment of Episodic Migraine in Adults,https://investingnews.com/qulipta-now-approved-by-health-canada-for-the-preventive-treatment-of-episodic-migraine-in-adults/,2023-01-09 12:35:31,ABBVie ( NYSE: ABBV ) announced today that Health Canada has approved QULIPTA ( atogepant ) for the prevention of episodic migraine ( ABBVie's migraine portfolio to support Canadians impacted by migraine.,ABBV,0.511256,0.40505,Bullish
Top Dividend Stocks To Invest In 2023? 3 For Your List,https://stockmarket.com/featured/top-dividend-stocks-to-invest-in-2023-3-for-your-list-2023-01-09,2023-01-09 12:00:00,A dividend stock is a type of stock that pays out a portion of the company's profits to shareholders in the form of dividends. These payments are generally paid on a regular basis. This can include quarterly or annually. While dividends are typically paid in cash.,ABBV,0.313484,0.070701,Neutral
This Stock Could Be a Surprise Growth Pick for 2023,https://www.fool.com/investing/2023/01/09/this-stock-may-be-a-surprise-growth-pick-for-2023/,2023-01-09 10:30:00,Pfizer is about to enter a whole new era of growth.,ABBV,0.059049,0.112098,Neutral
3 No-Brainer Dividend Stocks to Buy in 2023,https://www.fool.com/investing/2023/01/07/3-no-brainer-dividend-stocks-to-buy-in-2023/,2023-01-07 11:10:00,These stocks have what it takes to win over the long run.,ABBV,0.401331,0.07875,Neutral
AbbVie cuts earnings forecast due to milestone payments,https://www.marketwatch.com/story/abbvie-cuts-earnings-forecast-due-to-milestone-payments-11673048665,2023-01-06 23:52:00,AbbVie Inc. lowered its outlook for the quarter and year late Friday for research and development expenses and milestone payments to partners.,ABBV,0.817578,0.216647,Somewhat-Bullish
ABBV: 3 Blue-Chip Stocks to Make Sure You Own in 2023,https://stocknews.com/news/abbv-avgo-vz-3-blue-chip-stocks-to-make-sure-you-own-in-2023/,2023-01-06 20:37:14,ABBV: 3 Blue-Chip Stocks to Make Sure You Own in ...,ABBV,0.24316,0.164112,Somewhat-Bullish
"Dow Jumps 700 Points; S&P 500 Rises Over 2% - Aehr Test Systems  ( NASDAQ:AEHR ) , ATAI Life Sciences  ( NASDAQ:ATAI ) ",https://www.benzinga.com/news/earnings/23/01/30316154/dow-jumps-700-points-s-p-500-rises-over-2,2023-01-06 19:43:24,"U.S. stocks traded higher toward the end of trading, with the Dow Jones gaining around 700 points on Friday. The Dow traded up 2.14% to 33,634.19 while the NASDAQ rose 2.54% to 10,566.63. The S&P 500 also rose, gaining, 2.30% to 3,895.60.",ABBV,0.05257,0.071651,Neutral
CytomX  ( CTMX )  Up 55% on Strategic Partnership With Moderna,https://www.zacks.com/stock/news/2036409/cytomx-ctmx-up-55-on-strategic-partnership-with-moderna,2023-01-06 18:46:00,CytomX (CTMX) inks an agreement with Moderna to develop therapeutics for oncology and non-oncology conditions. The company also provides its business outlook for 2023.,ABBV,0.381755,0.074788,Neutral
The Deal Worth Millions That Helped AbbVie Stock Briefly Break Out,https://www.investors.com/news/technology/abbvie-stock-briefly-breaks-out-on-a-new-cancer-deal/,2023-01-06 18:45:00,AbbVie Stock Briefly Breaks Out On A New $30 Million Cancer Deal ... Investor's Business Daily ...,ABBV,0.718485,-0.096058,Neutral
