title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Southern Missouri Bancorp  ( NASDAQ:SMBC )  Upgraded to ""Hold"" at StockNews.com",https://www.defenseworld.net/2024/01/30/southern-missouri-bancorp-nasdaqsmbc-upgraded-to-hold-at-stocknews-com.html,2024-01-30 08:40:43,StockNews.com upgraded shares of Southern Missouri Bancorp ( NASDAQ:SMBC - Free Report ) from a sell rating to a hold rating in a research note released on Monday. Shares of SMBC opened at $50.01 on Monday. Southern Missouri Bancorp has a 12-month low of $30.28 and a 12-month high of $55.45.,AIG,0.160633,0.281601,Somewhat-Bullish
National Bank  ( NYSE:NBHC )  Cut to Sell at StockNews.com,https://www.defenseworld.net/2024/01/28/national-bank-nysenbhc-cut-to-sell-at-stocknews-com.html,2024-01-28 10:32:41,StockNews.com downgraded shares of National Bank ( NYSE:NBHC - Free Report ) from a hold rating to a sell rating in a report issued on Thursday. A number of other analysts also recently issued reports on the company.,AIG,0.113597,0.252898,Somewhat-Bullish
"First Community  ( NASDAQ:FCCO )  Raised to ""Hold"" at StockNews.com",https://www.defenseworld.net/2024/01/28/first-community-nasdaqfcco-raised-to-hold-at-stocknews-com.html,2024-01-28 08:48:44,"StockNews.com upgraded shares of First Community ( NASDAQ:FCCO - Free Report ) from a sell rating to a hold rating in a research note released on Thursday morning. Separately, Raymond James raised First Community from a market perform rating to an outperform rating and set a $21.00 price ...",AIG,0.075874,0.175043,Somewhat-Bullish
Alpha and Omega Semiconductor  ( NASDAQ:AOSL )  Stock Rating Lowered by StockNews.com,https://www.defenseworld.net/2024/01/28/alpha-and-omega-semiconductor-nasdaqaosl-stock-rating-lowered-by-stocknews-com.html,2024-01-28 07:40:41,"Alpha and Omega Semiconductor ( NASDAQ:AOSL - Get Free Report ) was downgraded by analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a research note issued on Friday. AOSL has been the subject of several other research reports.",AIG,0.084275,0.172537,Somewhat-Bullish
GAP  ( NYSE:GPS )  Downgraded by StockNews.com,https://www.defenseworld.net/2024/01/28/gap-nysegps-downgraded-by-stocknews-com.html,2024-01-28 06:36:42,"GAP ( NYSE:GPS - Get Free Report ) was downgraded by StockNews.com from a ""buy"" rating to a ""hold"" rating in a research note issued on Sunday. Other equities research analysts have also recently issued research reports about the stock.",AIG,0.092927,0.190203,Somewhat-Bullish
"Intrepid Potash  ( NYSE:IPI )  Upgraded to ""Sell"" at StockNews.com",https://www.defenseworld.net/2024/01/25/intrepid-potash-nyseipi-upgraded-to-sell-at-stocknews-com.html,2024-01-25 09:54:42,StockNews.com upgraded shares of Intrepid Potash ( NYSE:IPI - Free Report ) to a sell rating in a research report report published on Wednesday morning.,AIG,0.140485,0.23403,Somewhat-Bullish
New Jersey Supreme Court rules against Ocean casino in COVID business interruption case,https://apnews.com/article/covid19-casino-insurance-coverage-business-interruption-dc4add53c3732b265a0bd4cec4974ce4,2024-01-24 19:30:00,"ATLANTIC CITY, N.J. ( AP ) - New Jersey's Supreme Court ruled Wednesday that an Atlantic City casino is not entitled to payouts from business interruption insurance for losses during the COVID-19 outbreak, determining that the presence of the virus did not constitute the kind of ""direct physical ...",AIG,0.249531,-0.182282,Somewhat-Bearish
AIG Stock Pops On Surging Profits; It's A Work In Progress,https://www.investors.com/news/american-intl-group-clears-key-benchmark-hitting-80-plus-rs-rating/,2024-01-22 21:55:00,AIG Stock Pops On Surging Profits Investor's Business Daily ...,AIG,0.653008,0.364556,Bullish
Hartford Financial Shows Rising Price Performance With Jump To 82 RS Rating,https://www.investors.com/ibd-data-stories/hartford-financial-shows-rising-price-performance-with-jump-to-82-rs-rating/,2024-01-22 08:00:00,"The Relative Strength ( RS ) Rating for Hartford Financial ( HIG ) entered a new percentile Monday, with an increase from 79 to 82. X When looking for the best stocks to buy and watch, one factor to watch closely is relative price strength.",AIG,0.329551,0.0,Neutral
Banc of California  ( NYSE:BANC )  Earns Hold Rating from Analysts at StockNews.com,https://www.defenseworld.net/2024/01/21/banc-of-california-nysebanc-earns-hold-rating-from-analysts-at-stocknews-com-2.html,2024-01-21 06:14:43,"Investment analysts at StockNews.com started coverage on shares of Banc of California ( NYSE:BANC - Get Free Report ) in a research note issued to investors on Sunday. The firm set a ""hold"" rating on the bank's stock. Other equities research analysts have also recently issued research reports ...",AIG,0.090645,0.188537,Somewhat-Bullish
Compelling Reasons to Hold on to Corebridge  ( CRBG )  Stock Now,https://www.zacks.com/stock/news/2212350/compelling-reasons-to-hold-on-to-corebridge-crbg-stock-now,2024-01-18 17:19:00,"Corebridge (CRBG) remains well-poised for growth on the back of strength in its four business units, higher sales of insurance policies, an aging U.S. population and expanding cash reserves.",AIG,0.102668,0.214111,Somewhat-Bullish
