title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Why This 1 Momentum Stock Could Be a Great Addition to Your Portfolio,https://www.zacks.com/stock/news/2217183/why-this-1-momentum-stock-could-be-a-great-addition-to-your-portfolio,2024-01-29 14:50:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",ALL,0.085936,0.026638,Neutral
How Are Rate Hikes Aiding Allstate  ( ALL )  to Fight Inflation?,https://www.zacks.com/stock/news/2212702/how-are-rate-hikes-aiding-allstate-all-to-fight-inflation,2024-01-19 13:52:00,Allstate (ALL) implements auto rate hikes in December to combat inflationary headwinds.,ALL,0.067347,0.15349,Somewhat-Bullish
Here's How Much You'd Have If You Invested $1000 in Allstate a Decade Ago,https://www.zacks.com/stock/news/2210637/heres-how-much-youd-have-if-you-invested-1000-in-allstate-a-decade-ago,2024-01-16 13:30:03,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",ALL,0.061003,0.026,Neutral
Verisk Partners with Chief Claims Officers to Create Claims Advisory Board - Verisk Analytics  ( NASDAQ:VRSK ) ,https://www.benzinga.com/pressreleases/24/01/g36637137/verisk-partners-with-chief-claims-officers-to-create-claims-advisory-board,2024-01-16 12:02:00,"JERSEY CITY, N.J., Jan. 16, 2024 ( GLOBE NEWSWIRE ) -- To address the ever-evolving needs of claims organizations and to continue delivering cutting-edge solutions and value, Verisk VRSK, a leading global data analytics and technology provider, has formed the Verisk Claims Advisory Board.",ALL,0.048919,0.120948,Neutral
"Lamb Weston Posts Upbeat Results, Joins Omega Therapeutics, Allstate And Other Big Stocks Moving Higher On Thursday - Allstate  ( NYSE:ALL ) , Agiliti  ( NYSE:AGTI ) ",https://www.benzinga.com/news/24/01/36491962/lamb-weston-posts-upbeat-results-joins-omega-therapeutics-allstate-and-other-big-stocks-moving-highe,2024-01-04 15:12:36,"U.S. stocks traded mostly higher, with the Dow Jones index gaining around 150 points on Thursday. Shares of Lamb Weston Holdings, Inc. LW rose during Thursday's session following better-than-expected quarterly results. Lamb Weston posted adjusted earnings of $1.45 per share, beating market ...",ALL,0.095138,0.018391,Neutral
"AMD To Rally Over 25%? Here Are 10 Top Analyst Forecasts For Thursday - Allstate  ( NYSE:ALL ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/24/01/36487444/amd-to-rally-over-25-here-are-10-top-analyst-forecasts-for-thursday,2024-01-04 12:31:09,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Jefferies raised Murphy USA Inc. MUSA price target from $375 to $425.",ALL,0.081276,0.117923,Neutral
Allstate  ( ALL )  Up 29% in 6 Months: What's Ahead for Investors?,https://www.zacks.com/stock/news/2205237/allstate-all-up-29-in-6-months-whats-ahead-for-investors,2024-01-03 18:42:00,"Allstate (ALL) remains well-poised for growth on improved P&C insurance premiums, acquisitions and sufficient cash-generating abilities.",ALL,0.05339,0.078997,Neutral
The College Football Playoff National Championship Gets the Big Screen Treatment at Regal,https://www.benzinga.com/pressreleases/24/01/n36471390/the-college-football-playoff-national-championship-gets-the-big-screen-treatment-at-regal,2024-01-03 15:15:00,"KNOXVILLE, Tenn., Jan. 3, 2024 /PRNewswire/ -- Tickets are on sale to watch the top two teams face off in the College Football Playoff National Championship on Monday, Jan. 8 at 7:30 p.m. EST. Regal's big screen livestream of the Michigan Wolverines versus the Washington Huskies will be available ...",ALL,0.100308,-0.019404,Neutral
"Allstate  ( ALL ) : Strong Industry, Solid Earnings Estimate Revisions",https://www.zacks.com/stock/news/2202523/allstate-all-strong-industry-solid-earnings-estimate-revisions,2023-12-27 13:52:00,"Allstate (ALL) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",ALL,0.397098,0.304415,Somewhat-Bullish
Allstate  ( ALL )  Continues Auto Rate Hikes to Boost Profits,https://www.zacks.com/stock/news/2199514/allstate-all-continues-auto-rate-hikes-to-boost-profits,2023-12-18 16:42:00,Allstate (ALL) implemented auto rate hikes in November to counter inflationary headwinds.,ALL,0.063763,0.153172,Somewhat-Bullish
Allstate India recognized among Top 50 Companies with Great Managers - PR Newswire,https://www.prnewswire.com/in/news-releases/allstate-india-recognized-among-top-50-companies-with-great-managers-302017706.html,2023-12-18 10:42:00,Allstate India recognized among Top 50 Companies with Great Managers PR ...,ALL,0.367865,0.321626,Somewhat-Bullish
College football bowl season kicks off: What brands are sponsoring bowl games?,https://www.foxbusiness.com/sports/college-football-bowl-season-kicks-off-what-brands-sponsoring-bowl-games,2023-12-15 14:00:00,College football's is set to kick off with fans around the country set to tune in for the finale of their favorite team's season. Bowl season is a time for to enjoy their last glimpses of the gridiron until the following fall.,ALL,0.109956,0.088586,Neutral
4 Low-Beta P&C Insurance Stocks to Beat Volatile Market,https://www.zacks.com/stock/news/2194270/4-low-beta-pc-insurance-stocks-to-beat-volatile-market,2023-12-06 16:05:00,"Here we pick four low-beta stocks, ACGL, ALL, TRV and AXS, that are poised to deliver steady performance irrespective of market conditions.",ALL,0.064973,0.201281,Somewhat-Bullish
TRV or ALL: Which P&C Insurance Stock Has an Edge Now?,https://www.zacks.com/stock/news/2193731/trv-or-all-which-pc-insurance-stock-has-an-edge-now,2023-12-05 17:02:00,Let's see how Travelers Companies (TRV) and Allstate Corporation (ALL) fare in terms of some of the key metrics.,ALL,0.060388,0.136396,Neutral
Why Is Allstate  ( ALL )  Up 5% Since Last Earnings Report?,https://www.zacks.com/stock/news/2192354/why-is-allstate-all-up-5-since-last-earnings-report,2023-12-01 16:32:02,Allstate (ALL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,ALL,0.112709,0.119535,Neutral
WWE smashes its social media record with return of CM Punk,https://apnews.com/article/wwe-survivor-series-cm-punk-orton-tko-a324e9bb3b8c999a1288411ac2fee761,2023-11-28 14:16:00,"WWE crushed its social media record over the Thanksgiving holiday weekend, with the return of wrestler CM Punk at Survivor Series garnering more than 71 million views across all of the sports entertainment company's platforms.",ALL,0.122269,0.103101,Neutral
"CM Punk, Randy Orton's WWE returns help boost 'Survivor Series: War Games' to record-breaking heights",https://www.foxbusiness.com/sports/cm-punk-randy-ortons-wwe-returns-help-boost-survivor-series-war-games-to-record-breaking-heights,2023-11-28 13:37:00,"WWE's ""Survivor Series: War Games"" set records as CM Punk and Randy Orton both made their epic returns to the company. Orton returned for the War Games match along side the team of Cody Rhodes, Seth Rollins, Sami Zayn and Jey Uso as they defeated the Judgment Day and Drew McIntyre.",ALL,0.115787,-0.012805,Neutral
"WWE Survivor Series 2023 Results: CM Punk And The Winners, Losers Of PLE",https://www.forbes.com/sites/alfredkonuwa/2023/11/26/wwe-survivor-series-2023-results-cm-punk-and-the-winners-losers-of-ple/,2023-11-26 19:30:34,CM Punk returned to WWE in his hometown of Chicago as WWE continues to pour it on AEW in an increasingly one-sided wrestling war. AEW was at the peak of its powers in 2021. You can argue they were never hotter than when Bryan Danielson and Adam Cole debuted with the company on the same night at ...,ALL,0.043108,-0.17935,Somewhat-Bearish
WWE Survivor Series 2023 Results: CM Punk Absent Amid Return Rumors,https://www.forbes.com/sites/alfredkonuwa/2023/11/25/wwe-survivor-series-2023-results-cm-punk-absent-amid-return-rumors/,2023-11-26 03:52:54,"CM Punk did not return to WWE at Survivor Series despite ubiquitous speculation during the buildup. WWE added to the drama, rumors and innuendo by teasing that Randy Orton wasn't going to be at Survivor Series.",ALL,0.047844,-0.120751,Neutral
Allstate  ( NYSE:ALL )  Upgraded by StockNews.com to Buy,https://www.defenseworld.net/2023/11/25/allstate-nyseall-upgraded-by-stocknews-com-to-buy-2.html,2023-11-25 08:58:46,StockNews.com upgraded shares of Allstate ( NYSE:ALL - Free Report ) from a hold rating to a buy rating in a report released on Friday morning.,ALL,0.124164,0.252288,Somewhat-Bullish
Allstate Canada Supporting The Shoebox Project for Women in Cultivating a Culture of Care - Canada NewsWire,https://www.newswire.ca/news-releases/allstate-canada-supporting-the-shoebox-project-for-women-in-cultivating-a-culture-of-care-886299904.html,2023-11-20 15:00:00,Allstate Canada Supporting The Shoebox Project for Women in Cultivating a Culture of Care Canada ...,ALL,0.31482,0.264294,Somewhat-Bullish
Allstate  ( ALL )  Continues Rate Hikes in October to Boost Profits,https://www.zacks.com/stock/news/2186058/allstate-all-continues-rate-hikes-in-october-to-boost-profits,2023-11-17 15:44:00,"Allstate's (ALL) limited catastrophe losses in October provide relief, especially in light of the substantial $5.6 billion already incurred in the first nine months of 2023.",ALL,0.068112,-0.02787,Neutral
"Allstate  ( NYSE:ALL )  Upgraded by StockNews.com to ""Buy""",https://www.defenseworld.net/2023/11/15/allstate-nyseall-upgraded-by-stocknews-com-to-buy.html,2023-11-15 09:12:42,StockNews.com upgraded shares of Allstate ( NYSE:ALL - Free Report ) from a hold rating to a buy rating in a research report sent to investors on Tuesday morning. Other equities research analysts have also issued reports about the company.,ALL,0.16317,0.102945,Neutral
"Nonprofit Sector Faces Pressing Challenges in Worker Stress, Public Trust, and Donor Participation, Shows New Report at the 2023 Upswell Summit",https://www.benzinga.com/pressreleases/23/11/g35759605/nonprofit-sector-faces-pressing-challenges-in-worker-stress-public-trust-and-donor-participation-s,2023-11-13 19:15:00,"Dallas-Fort Worth, Nov. 13, 2023 ( GLOBE NEWSWIRE ) -- The health and future of the nonprofit sector - and its people - could be in jeopardy if changes are not made, reveals the Health of the U.S. Nonprofit Sector: Annual Review today.",ALL,0.0367,0.218133,Somewhat-Bullish
Allstate  ( ALL )  Q3 Earnings Beat on Expanding Auto Premiums,https://www.zacks.com/stock/news/2177611/allstate-all-q3-earnings-beat-on-expanding-auto-premiums,2023-11-02 16:21:00,Allstate's (ALL) third-quarter results gain from higher average premiums in the Property-Liability unit. The company is currently pursuing the divestiture of the Health and Benefits businesses.,ALL,0.16849,0.143065,Neutral
"Insurance Stocks' Q3 Earnings Due on Nov 1: AFL, MET & More",https://www.zacks.com/stock/news/2175643/insurance-stocks-q3-earnings-due-on-nov-1-afl-met-more,2023-10-31 15:00:00,"High interest rates and renewals favor insurers in Q3 but are partly offset by costs and CAT losses. AFL, MET, AIG, ALL & PRU will release earnings on Nov 1.",ALL,0.100413,0.09342,Neutral
Can Auto Insurance Rate Hikes Aid Allstate's  ( ALL )  Q3 Earnings?,https://www.zacks.com/stock/news/2174814/can-auto-insurance-rate-hikes-aid-allstates-all-q3-earnings,2023-10-30 19:18:00,"Allstate's (ALL) Q3 results are expected to be aided by higher Property-Liability earned premiums and solid Allstate Protection Plans, partly offset by elevated catastrophe losses.",ALL,0.22616,0.009,Neutral
When Will the Activists Feast?,https://moneymorning.com/2023/10/27/when-will-the-activists-feast/,2023-10-27 15:25:56,"This is the Final Postcards from the Florida Republic to run at Money Map Press. We are moving over to Substack starting on Monday. If you're a subscriber, you don't need to do anything. But please note that you can easily white label and receive your copy starting all weekend - right here .",ALL,0.028056,0.087582,Neutral
WWE Reportedly Opts Not To Sign CM Punk,https://www.forbes.com/sites/blakeoestriecher/2023/10/12/wwe-reportedly-rejected-cm-punk-return-attempt/,2023-10-12 13:00:00,"CM Punk made an attempt to return to WWE following his AEW departurture, but WWE officials reportedly turned him down.",ALL,0.073098,0.151592,Somewhat-Bullish
Continental Tire Teams with Tree Canada to Promote Environmental Stewardship at The Allstate Soccer Show,https://www.benzinga.com/pressreleases/23/10/g35115932/continental-tire-teams-with-tree-canada-to-promote-environmental-stewardship-at-the-allstate-socce,2023-10-05 19:37:00,"MISSISSAUGA, Ontario, Oct. 05, 2023 ( GLOBE NEWSWIRE ) -- Continental Tire is proud to announce its commitment to environmental sustainability at the upcoming Allstate Soccer Show in Calgary, Alberta, on October 8, 2023.",ALL,0.181591,0.15404,Somewhat-Bullish
CenterPoint Energy Appoints New Board Members Thaddeus J. Malik and Ricky A. Raven,https://www.prnewswire.com/news-releases/centerpoint-energy-appoints-new-board-members-thaddeus-j-malik-and-ricky-a-raven-301945063.html,2023-10-03 10:55:00,"HOUSTON, Oct. 3, 2023 /PRNewswire/ -- CenterPoint Energy, Inc. ( NYSE: CNP ) today announced the appointments of Thaddeus J. Malik, Principal at S2T Solutions, LLC, and Ricky A. Raven, Senior Vice President and Deputy General Counsel at Allstate Insurance Company, to its Board of Directors, ...",ALL,0.038101,-0.046893,Neutral
Allstate  ( ALL )  Continues Auto Rate Hikes to Boost Profits,https://www.zacks.com/stock/news/2154373/allstate-all-continues-auto-rate-hikes-to-boost-profits,2023-09-22 16:16:00,Allstate (ALL) reports estimated catastrophe losses of $435 million after taxes in August.,ALL,0.07446,-0.143182,Neutral
TRV or ALL: Which P&C Insurance Stock Should You Hold Now?,https://www.zacks.com/stock/news/2145010/trv-or-all-which-pc-insurance-stock-should-you-hold-now,2023-09-05 17:01:00,Let's see how Travelers Companies (TRV) and Allstate Corporation (ALL) fare in terms of some of the key metrics.,ALL,0.058188,0.089978,Neutral
Why Is Allstate  ( ALL )  Up 2.6% Since Last Earnings Report?,https://www.zacks.com/stock/news/2143168/why-is-allstate-all-up-26-since-last-earnings-report,2023-08-31 15:31:15,Allstate (ALL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,ALL,0.13873,0.033335,Neutral
