title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
4 REITs Likely to Emerge Victorious This Earnings Season,https://www.zacks.com/stock/news/2217732/4-reits-likely-to-emerge-victorious-this-earnings-season,2024-01-30 13:33:00,"With the REIT industry offering a real estate structure for several economic activities - real or virtual - there are pockets of strength. This is likely to be reflected in the earnings releases of AMT, WELL, VICI and KIM.",AMT,0.179216,0.15843,Somewhat-Bullish
"StockNews.com Upgrades American Tower  ( NYSE:AMT )  to ""Buy""",https://www.defenseworld.net/2024/01/28/stocknews-com-upgrades-american-tower-nyseamt-to-buy.html,2024-01-28 07:42:42,"American Tower ( NYSE:AMT - Get Free Report ) was upgraded by equities research analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research note issued on Friday.",AMT,0.907657,0.334126,Somewhat-Bullish
American Tower  ( AMT )  Declines More Than Market: Some Information for Investors,https://www.zacks.com/stock/news/2216683/american-tower-amt-declines-more-than-market-some-information-for-investors,2024-01-26 23:00:20,"In the most recent trading session, American Tower (AMT) closed at $197.29, indicating a -1.46% shift from the previous trading day.",AMT,0.593715,0.325948,Somewhat-Bullish
Should You Retain American Tower  ( AMT )  in Your Portfolio Now?,https://www.zacks.com/stock/news/2216565/should-you-retain-american-tower-amt-in-your-portfolio-now,2024-01-26 15:15:00,"American Tower (AMT) is likely to benefit from the solid demand for wireless connectivity and its strategic expansions. However, customer concentration and a high interest rate environment are major woes.",AMT,0.515543,0.4812,Bullish
Got $500? 2 Real Estate Dividend Stocks to Buy and Hold Forever,https://www.fool.com/investing/2024/01/26/got-500-2-real-estate-dividend-stocks-to-buy-and-h/,2024-01-26 13:15:00,Demand for digital bandwidth and retail space continues to power these sector stalwarts.,AMT,0.344872,0.209528,Somewhat-Bullish
Crown Castle  ( CCI )  Q4 2023 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/01/25/crown-castle-cci-q4-2023-earnings-call-transcript/,2024-01-25 23:15:16,"CCI earnings call for the period ending December 31, 2023.",AMT,0.006176,0.0,Neutral
Social Media Analytics Market worth $14.6 billion by 2028 - Exclusive Report by MarketsandMarkets™,https://www.benzinga.com/pressreleases/24/01/n36782450/social-media-analytics-market-worth-14-6-billion-by-2028-exclusive-report-by-marketsandmarkets,2024-01-25 15:15:00,"CHICAGO, Jan. 25, 2024 /PRNewswire/ -- The future of the Social Media Analytics Market is expected to include AI/ML integration, real-time analytics, and cross-platform analysis.",AMT,0.023885,0.221143,Somewhat-Bullish
Brookfield planning $1.2 billion of debt to buy India assets: Reports,https://www.business-standard.com/economy/news/brookfield-planning-1-2-billion-of-debt-to-buy-india-assets-report-124012500381_1.html,2024-01-25 07:59:52,"Brookfield Asset Management is planning to raise about $1.2 billion of debt to fund the acquisition of American Tower Corp's assets in India with the deal likely closing this year itself, according to people familiar with the matter.",AMT,0.490323,0.025314,Neutral
American Tower  ( AMT )  Stock Declines While Market Improves: Some Information for Investors,https://www.zacks.com/stock/news/2214646/american-tower-amt-stock-declines-while-market-improves-some-information-for-investors,2024-01-23 23:15:17,"In the latest trading session, American Tower (AMT) closed at $202.26, marking a -0.86% move from the previous day.",AMT,0.545136,0.377997,Bullish
Here's How Much $100 Invested In American Tower 15 Years Ago Would Be Worth Today - American Tower  ( NYSE:AMT ) ,https://www.benzinga.com/insights/news/24/01/36716503/heres-how-much-100-invested-in-american-tower-15-years-ago-would-be-worth-today,2024-01-22 14:30:29,"American Tower AMT has outperformed the market over the past 15 years by 1.23% on an annualized basis producing an average annual return of 13.57%. Currently, American Tower has a market capitalization of $95.04 billion.",AMT,0.980595,0.386944,Bullish
American Tower  ( AMT )  Falls More Steeply Than Broader Market: What Investors Need to Know,https://www.zacks.com/stock/news/2211788/american-tower-amt-falls-more-steeply-than-broader-market-what-investors-need-to-know,2024-01-17 23:15:18,"American Tower (AMT) closed the most recent trading day at $204.95, moving -1.49% from the previous trading session.",AMT,0.561606,0.220441,Somewhat-Bullish
Crown Castle Appoints Bradley Singer to its Board of Directors,https://www.globenewswire.com/news-release/2024/01/17/2811136/7657/en/Crown-Castle-Appoints-Bradley-Singer-to-its-Board-of-Directors.html,2024-01-17 21:15:00,"HOUSTON, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- Crown Castle Inc. ( NYSE: CCI ) ( ""Crown Castle"" ) announced today the appointment of Bradley E. Singer to its board of directors. Mr. Singer's appointment is effective today, January 17, 2024.",AMT,0.29234,0.046531,Neutral
Crown Castle Appoints Bradley Singer to its Board of Directors - Crown Castle  ( NYSE:CCI ) ,https://www.benzinga.com/pressreleases/24/01/g36668211/crown-castle-appoints-bradley-singer-to-its-board-of-directors,2024-01-17 21:15:00,"HOUSTON, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- Crown Castle Inc. CCI ( ""Crown Castle"" ) announced today the appointment of Bradley E. Singer to its board of directors. Mr. Singer's appointment is effective today, January 17, 2024.",AMT,0.267804,0.041356,Neutral
IBD Rating Upgrades: American Tower REIT Flashes Improved Technical Strength,https://www.investors.com/ibd-data-stories/ibd-rating-upgrades-american-tower-reit-flashes-improved-technical-strength/,2024-01-17 08:00:00,"American Tower REIT ( AMT ) had its Relative Strength ( RS ) Rating upgraded from 70 to 75 Wednesday -- a welcome improvement, but still below the 80 or better score you prefer to see. When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.",AMT,0.56415,0.589872,Bullish
American Tower  ( AMT )  Declines More Than Market: Some Information for Investors,https://www.zacks.com/stock/news/2209203/american-tower-amt-declines-more-than-market-some-information-for-investors,2024-01-11 23:15:19,"American Tower (AMT) closed the most recent trading day at $207.65, moving -0.63% from the previous trading session.",AMT,0.624172,0.253733,Somewhat-Bullish
American Tower  ( NYSE:AMT )  Raised to Buy at StockNews.com,https://www.defenseworld.net/2024/01/11/american-tower-nyseamt-raised-to-buy-at-stocknews-com.html,2024-01-11 09:00:43,StockNews.com upgraded shares of American Tower ( NYSE:AMT - Free Report ) from a hold rating to a buy rating in a report released on Wednesday morning. A number of other equities research analysts have also recently commented on AMT. HSBC assumed coverage on American Tower in a research note ...,AMT,0.889875,0.442363,Bullish
This $2.5 Billion Acquisition Will Enhance These High-Yielding Dividend Stocks,https://www.fool.com/investing/2024/01/09/this-25-billion-acquisition-will-enhance-these-hig/,2024-01-09 10:07:00,American Tower and Brookfield seal a win-win deal.,AMT,0.387374,0.313825,Somewhat-Bullish
"$100 Invested In This Stock 20 Years Ago Would Be Worth $1,800 Today - American Tower  ( NYSE:AMT ) ",https://www.benzinga.com/news/24/01/36544448/100-invested-in-this-stock-20-years-ago-would-be-worth-1-800-today,2024-01-08 21:00:19,"American Tower AMT has outperformed the market over the past 20 years by 8.08% on an annualized basis producing an average annual return of 15.48%. Currently, American Tower has a market capitalization of $100.06 billion.",AMT,0.980595,0.386944,Bullish
3 Stocks That Make the Perfect Investment for the Average Retiree Looking for Passive Income,https://www.fool.com/investing/2024/01/08/3-stocks-that-make-the-perfect-investment-for-the/,2024-01-08 14:31:00,These REITs can reliably roll in the income while you reel in the years.,AMT,0.417501,0.436331,Bullish
These 2 Finance Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://www.zacks.com/stock/news/2206864/these-2-finance-stocks-could-beat-earnings-why-they-should-be-on-your-radar,2024-01-08 13:50:06,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,AMT,0.323078,0.307225,Somewhat-Bullish
"Take the Zacks Approach to Beat the Market: Boeing, McDonald's, Monster Beverage in Focus",https://www.zacks.com/stock/news/2206812/take-the-zacks-approach-to-beat-the-market-boeing-mcdonalds-monster-beverage-in-focus,2024-01-08 13:06:00,"Last week, our time-tested methodologies served investors well in navigating the market. Check out some of our achievements from the past three months.",AMT,0.068016,0.060302,Neutral
Investing Trends to Follow in 2024,https://www.fool.com/investing/2024/01/06/investing-trends-to-follow-in-2024/,2024-01-06 13:00:00,We've also got Motley Fool co-founder Tom Gardner sharing an investing lesson from last year and a stock for this one.,AMT,0.017808,0.072931,Neutral
American Tower  ( AMT )  Stock Sinks As Market Gains: Here's Why,https://www.zacks.com/stock/news/2206623/american-tower-amt-stock-sinks-as-market-gains-heres-why,2024-01-05 23:15:18,"The latest trading day saw American Tower (AMT) settling at $214.28, representing a -0.55% change from its previous close.",AMT,0.634884,0.345798,Somewhat-Bullish
How Is The Market Feeling About American Tower? - American Tower  ( NYSE:AMT ) ,https://www.benzinga.com/short-sellers/24/01/36516451/how-is-the-market-feeling-about-american-tower,2024-01-05 20:00:18,"American Tower's AMT short percent of float has risen 5.84% since its last report. The company recently reported that it has 6.57 million shares sold short, which is 1.63% of all regular shares that are available for trading.",AMT,0.221819,0.155473,Somewhat-Bullish
Canada-based Brookfield Asset Management acquires ATC India for $2 billion,https://www.business-standard.com/companies/news/canada-based-brookfield-asset-management-acquires-atc-india-for-2-billion-124010501085_1.html,2024-01-05 14:24:28,"Canada-based Brookfield Asset Management will acquire the Indian business of American Tower Corporation ( ATC ) for an enterprise value of Rs 16,628 crore ( $2 billion ) , the company said on Friday.",AMT,0.141726,0.084588,Neutral
American Tower  ( AMT )  to Wrap Up ATC India Operations for $2.5B,https://www.zacks.com/stock/news/2206234/american-tower-amt-to-wrap-up-atc-india-operations-for-25b,2024-01-05 14:23:00,American Tower (AMT) strikes a deal with Data Infrastructure Trust to fully divest its interests in its ATC India operations for $2.5 billion.,AMT,0.443626,0.147362,Neutral
"REIT Firm American Tower Cashes In On $2.5B Indian Assets Sale, Aiming For Debt Reduction - American Tower  ( NYSE:AMT ) ",https://www.benzinga.com/markets/equities/24/01/36505725/reit-firm-american-tower-cashes-in-on-2-5b-indian-assets-sale-aiming-for-debt-reduction,2024-01-05 11:14:14,American Tower Corp AMT inked a deal with Data Infrastructure Trust ( DIT ) to sell all equity interests in India's operations for about INR 210 billion ( $2.5 billion ) .,AMT,0.67628,0.339359,Somewhat-Bullish
American Tower to sell India operations to Brookfield for $2.5 billion,https://www.business-standard.com/companies/news/american-tower-to-sell-india-operations-to-brookfield-for-2-5-billion-124010500171_1.html,2024-01-05 04:18:00,"American Tower Corp ( India ) has a portfolio of approximately 78,000 sites across the country Canada-based Brookfield will acquire the Indian business of American Tower Corporation ( ATC ) for an enterprise value of USD 2 billion, a release said on Friday.",AMT,0.246582,0.127632,Neutral
"Investing $97,182 in These 3 Funds Could Make You $10,000 in Passive Income in 2024",https://www.fool.com/investing/2024/01/02/investing-funds-passive-income-2024/,2024-01-02 10:52:00,"It's easy to make passive income with these funds, but there are a couple of caveats to keep in mind.",AMT,0.064449,0.115123,Neutral
"3 Top ETFs I'm Planning to Buy Hand Over Fist in 2024, Despite All the Cheap Stocks on My Radar",https://www.fool.com/investing/2024/01/01/3-top-etfs-im-planning-to-buy-hand-over-fist-in-20/,2024-01-01 11:17:00,I'm adding some ETFs to my retirement portfolio in 2024. here are the three I'm starting with.,AMT,0.114682,0.089924,Neutral
American Tower  ( AMT )  Declines More Than Market: Some Information for Investors,https://www.zacks.com/stock/news/2203954/american-tower-amt-declines-more-than-market-some-information-for-investors,2023-12-29 23:15:18,"American Tower (AMT) closed at $215.88 in the latest trading session, marking a -0.59% move from the prior day.",AMT,0.643211,0.166801,Somewhat-Bullish
Here's How Much You'd Have If You Invested $1000 in American Tower a Decade Ago,https://www.zacks.com/stock/news/2203042/heres-how-much-youd-have-if-you-invested-1000-in-american-tower-a-decade-ago,2023-12-28 13:30:02,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,AMT,0.645887,0.134413,Neutral
Why Should You Retain American Tower  ( AMT )  in Your Kitty Now?,https://www.zacks.com/stock/news/2202698/why-should-you-retain-american-tower-amt-in-your-kitty-now,2023-12-27 15:40:00,"Solid demand for American Tower's (AMT) wireless communication assets by network carriers and expansion efforts bode well. However, customer concentration and high interest rates are major woes.",AMT,0.419733,0.431062,Bullish
5G Stocks To Buy And Watch: Cloud Giants Ready Services,https://www.investors.com/news/technology/5g-stocks-5g-wireless-stocks/,2023-12-26 17:00:00,5G Stocks To Watch As Business Market Ramps Slower Than Expected Investor's Business Daily ...,AMT,0.057628,0.104967,Neutral
$100 Invested In American Tower 15 Years Ago Would Be Worth This Much Today - American Tower  ( NYSE:AMT ) ,https://www.benzinga.com/news/23/12/36386324/100-invested-in-american-tower-15-years-ago-would-be-worth-this-much-today,2023-12-26 15:30:26,"American Tower AMT has outperformed the market over the past 15 years by 2.52% on an annualized basis producing an average annual return of 14.23%. Currently, American Tower has a market capitalization of $100.52 billion.",AMT,0.980595,0.386944,Bullish
