title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"SHAREHOLDER NOTICE: Halper Sadeh LLC Investigates PGTI, TARO, ANSS - Ansys  ( NASDAQ:ANSS ) , PGT Innovations  ( NYSE:PGTI ) ",https://www.benzinga.com/pressreleases/24/01/g36852212/shareholder-notice-halper-sadeh-llc-investigates-pgti-taro-anss,2024-01-30 18:41:36,"NEW YORK, Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to: PGT Innovations, Inc.",ANSS,0.524949,0.447923,Bullish
"With the Synopsys Mega-Merger on the Horizon, Does This Top Chip Design Company Stand a Chance?",https://www.fool.com/investing/2024/01/30/with-the-synopsys-mega-merger-on-the-horizon-does/,2024-01-30 14:45:00,"Keysight Technologies is facing some stiff competition, and one of its peers was recently acquired.",ANSS,0.210274,-0.069818,Neutral
Activists are eyeing tech stocks ahead of expected M&A rebound after two-year lull,https://www.cnbc.com/2024/01/29/activists-eyeing-tech-stocks-ahead-of-expected-ma-rebound-after-lull.html,2024-01-29 13:30:01,"Activist investors need a vibrant M&A market in order to make big money on their campaigns, and 2024 is off to a promising start for them.",ANSS,0.051441,0.03391,Neutral
"Expedia, AI Play Lead Five Stocks Near Buy Points",https://www.investors.com/news/expedia-ai-play-lead-five-stocks-near-buy-points/,2024-01-27 16:19:00,"Expedia Group ( EXPE ) , the online travel facilitator, and Synopsys ( SNPS ) , which is revolutionizing its chip-design software with generative AI tools, lead this weekend's watch list of five stocks near buy points.",ANSS,0.054669,0.073812,Neutral
"Apple, Boeing, Microsoft, Alphabet And A Fed Meeting, For Starters: Investing Action Plan",https://www.investors.com/research/investing-action-plan/apple-boeing-microsoft-alphabet-and-a-fed-meeting-for-starters-investing-action-plan/,2024-01-26 22:32:00,"As the stock market pushes its rally toward the end of a third straight month, some of its biggest names line up for earnings releases in the coming week. Apple ( AAPL ) , Alphabet ( GOOGL ) , Microsoft ( MSFT ) and Meta Platforms ( META ) are part of the picture.",ANSS,0.035875,0.075813,Neutral
"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Karuna Therapeutics, Inc.  ( Nasdaq - KRTX ) , Carrols Restaurant Group, Inc.  ( Nasdaq - TAST ) , Ansys, Inc.  ( Nasdaq - ANSS ) , HomeStreet, Inc.  ( Nasdaq - HMST )  - Restaurant Brands Intl  ( NYSE:QSR ) , Bristol-Myers Squibb  ( NYSE:BMY ) ",https://www.benzinga.com/pressreleases/24/01/g36810687/brodsky-smith-shareholder-update-notifying-investors-of-the-following-investigations-karuna-therap,2024-01-26 21:49:23,"BALA CYNWYD, Pa., Jan. 26, 2024 ( GLOBE NEWSWIRE ) -- Brodsky & Smith reminds investors of the following investigations. If you own shares and wish to discuss the investigation, contact Jason Brodsky ( jbrodsky@brodskysmith.com ) or Marc Ackerman ( mackerman@brodskysmith.com ) at 855-576-4847.",ANSS,0.43852,0.312153,Somewhat-Bullish
ANSYS  ( NASDAQ:ANSS )  Now Covered by Analysts at StockNews.com,https://www.defenseworld.net/2024/01/26/ansys-nasdaqanss-now-covered-by-analysts-at-stocknews-com.html,2024-01-26 07:36:42,"Investment analysts at StockNews.com began coverage on shares of ANSYS ( NASDAQ:ANSS - Get Free Report ) in a report issued on Friday. The brokerage set a ""hold"" rating on the software maker's stock. Other equities research analysts have also recently issued research reports about the company.",ANSS,0.786109,0.455456,Bullish
"SHAREHOLDER NOTICE: Halper Sadeh LLC Investigates INBX, MDC, ANSS, HMST - Ansys  ( NASDAQ:ANSS ) , HomeStreet  ( NASDAQ:HMST ) ",https://www.benzinga.com/pressreleases/24/01/g36759470/shareholder-notice-halper-sadeh-llc-investigates-inbx-mdc-anss-hmst,2024-01-24 14:46:30,"NEW YORK, Jan. 24, 2024 ( GLOBE NEWSWIRE ) -- Halper Sadeh LLC, an investor rights law firm, is investigating the following companies for potential violations of the federal securities laws and/or breaches of fiduciary duties to shareholders relating to: Inhibrx, Inc. INBX's sale to Sanofi.",ANSS,0.417995,0.393398,Bullish
"Kuehn Law Encourages TAST, ANSS, PGTI, and TARO Investors to Contact Law Firm - Ansys  ( NASDAQ:ANSS ) , PGT Innovations  ( NYSE:PGTI ) ",https://www.benzinga.com/pressreleases/24/01/g36740115/kuehn-law-encourages-tast-anss-pgti-and-taro-investors-to-contact-law-firm,2024-01-23 15:30:24,"NEW YORK, Jan. 23, 2024 ( GLOBE NEWSWIRE ) -- Kuehn Law, PLLC, a shareholder litigation law firm, is investigating potential claims related to the below-listed proposed mergers. Kuehn Law may seek additional disclosures or other relief on behalf of the shareholders of these companies.",ANSS,0.434142,0.475542,Bullish
Ansys Announces Deeper Collaboration with Humanetics to Enhance Human Safety,https://www.prnewswire.com/news-releases/ansys-announces-deeper-collaboration-with-humanetics-to-enhance-human-safety-302041342.html,2024-01-23 13:00:00,An expanded partnership between Ansys and Humanetics will unlock new levels of value and accuracy in the human safety engineering ecosystem • Ansys has entered into a definitive agreement to acquire a minority ownership interest in Humanetics to strengthen their existing relationship • Ansys and ...,ANSS,0.659793,0.489249,Bullish
