title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Can Higher Expenses Play Spoilsport for AON's Q4 Earnings?,https://www.zacks.com/stock/news/2218190/can-higher-expenses-play-spoilsport-for-aons-q4-earnings,2024-01-30 17:46:00,AON's fourth-quarter results are likely to showcase a significant increase in Reinsurance Solutions revenues.,AON,0.31482,0.179535,Somewhat-Bullish
Lenders are bailing out of commercial real estate as a wave of debt builds,https://www.businessinsider.com/banks-commercial-real-estate-loan-sales-debt-interest-rates-2024-1,2024-01-30 15:13:00,Why Banks Are Retreating From Commercial Real Estate - Business Insider ...,AON,0.050733,-0.031,Neutral
Willis Towers Watson  ( WTW )  Reports Next Week: Wall Street Expects Earnings Growth,https://www.zacks.com/stock/news/2218007/willis-towers-watson-wtw-reports-next-week-wall-street-expects-earnings-growth,2024-01-30 15:00:50,Willis Towers Watson (WTW) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,AON,0.17179,-0.002814,Neutral
Seeking Clues to Aon  ( AON )  Q4 Earnings? A Peek Into Wall Street Projections for Key Metrics,https://www.zacks.com/stock/news/2217807/seeking-clues-to-aon-aon-q4-earnings-a-peek-into-wall-street-projections-for-key-metrics,2024-01-30 14:15:25,"Beyond analysts' top -and-bottom-line estimates for Aon (AON), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended December 2023.",AON,0.385286,0.241236,Somewhat-Bullish
Oculis to Present at Upcoming February Investor Conferences - Oculis Holding  ( NASDAQ:OCS ) ,https://www.benzinga.com/pressreleases/24/01/g36821016/oculis-to-present-at-upcoming-february-investor-conferences,2024-01-29 11:30:00,"ZUG, Switzerland and BOSTON, Jan. 29, 2024 ( GLOBE NEWSWIRE ) -- Oculis Holding AG OCS ( ""Oculis"" ) , a global biopharmaceutical company purposefully driven to save sight and improve eye care, today announced that Oculis' management will be attending and presenting at the following upcoming ...",AON,0.099476,0.083183,Neutral
Oculis to Present at Upcoming February Investor Conferences,https://www.globenewswire.com/news-release/2024/01/29/2818662/0/en/Oculis-to-Present-at-Upcoming-February-Investor-Conferences.html,2024-01-29 11:30:00,"ZUG, Switzerland and BOSTON, Jan. 29, 2024 ( GLOBE NEWSWIRE ) -- Oculis Holding AG ( Nasdaq: OCS ) ( ""Oculis"" ) , a global biopharmaceutical company purposefully driven to save sight and improve eye care, today announced that Oculis' management will be attending and presenting at the following ...",AON,0.115232,0.090046,Neutral
"Cat bonds may see robust growth, as Chinese policymakers prepare for natural disasters",https://www.scmp.com/business/china-business/article/3250043/climate-change-catastrophe-bonds-could-see-robust-growth-china-policymakers-seek-more-financial,2024-01-28 06:00:29,"China could see robust growth in catastrophe bonds, or cat bonds, as policymakers seek more financial tools to share the risks from losses from natural disasters, as climate change increases the frequency and severity of floods and typhoons, according to insurance experts.",AON,0.052112,0.154935,Somewhat-Bullish
Aon  ( AON )  Earnings Expected to Grow: Should You Buy?,https://www.zacks.com/stock/news/2216539/aon-aon-earnings-expected-to-grow-should-you-buy,2024-01-26 15:00:18,Aon (AON) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,AON,0.3007,0.071041,Neutral
Aon Appoints Jose Antonio Álvarez to Board of Directors,https://www.newswire.ca/news-releases/aon-appoints-jose-antonio-alvarez-to-board-of-directors-867396618.html,2024-01-25 21:33:00,"DUBLIN, Jan. 25, 2024 /CNW/ -- Aon plc ( NYSE: AON ) , a leading global professional services firm, today announced that Jose Antonio Álvarez, former CEO of Santander, has been appointed to its Board of Directors, effective Jan. 25, 2024.",AON,0.640349,0.691786,Bullish
Weather risk emerges on radar of insurance industry after $70 billion hit,https://www.business-standard.com/industry/news/weather-risk-emerges-on-radar-of-insurance-industry-after-70-billion-hit-124012501263_1.html,2024-01-25 18:15:46,"While no single weather event caused more than $10 billion in losses for insurers last year, there were 37 thunderstorms that each cost at least $1 billion, according to a report by Aon Plc. That's more than ever before and way above the average of 14 such storms in a single year, the insurance ...",AON,0.521961,-0.247943,Somewhat-Bearish
