title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
3 Reasons Why Growth Investors Shouldn't Overlook Amphenol  ( APH ) ,https://www.zacks.com/stock/news/2218195/3-reasons-why-growth-investors-shouldnt-overlook-amphenol-aph,2024-01-30 17:45:05,Amphenol (APH) could produce exceptional returns because of its solid growth attributes.,APH,0.516073,0.354172,Bullish
EV Connector Market worth $10.9 billion by 2030 - Exclusive Report by MarketsandMarkets™,https://www.prnewswire.com/news-releases/ev-connector-market-worth-10-9-billion-by-2030---exclusive-report-by-marketsandmarkets-302046521.html,2024-01-29 09:30:00,"CHICAGO, Jan. 29, 2024 /PRNewswire/ -- EV connector market is projected to grow from USD 2.0 billion in 2023 to USD 10.9 billion by 2030, registering a CAGR of 27.1%, according to a new report by MarketsandMarkets™.",APH,0.027828,0.137682,Neutral
Why Amphenol Shares Are Rising Wednesday Why Amphenol  ( APH )  Shares Are Rising Wednesday - Amphenol  ( NYSE:APH ) ,https://www.benzinga.com/news/earnings/24/01/36764029/why-amphenol-shares-are-rising-wednesday,2024-01-24 17:52:28,"Amphenol Corporation APH reported a fourth-quarter FY23 sales increase of 3% year-on-year to $3.328 billion, beating the consensus of $3.150 billion. Adjusted EPS of $0.82 topped the consensus of $0.77. The adjusted operating margin for the quarter was 21.2% versus 20.9% a year ago.",APH,0.831224,0.184995,Somewhat-Bullish
"Amphenol's  ( APH )  Q4 Earnings Beat Estimates, Revenues Up Y/Y",https://www.zacks.com/stock/news/2215206/amphenols-aph-q4-earnings-beat-estimates-revenues-up-yy,2024-01-24 17:29:00,"Amphenol's (APH) Q4 results benefit from higher revenues across the commercial air, defense, automotive and IT datacom end-markets.",APH,0.47379,0.307274,Somewhat-Bullish
Amphenol  ( APH )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2214877/amphenol-aph-q4-earnings-and-revenues-beat-estimates,2024-01-24 14:10:04,"Amphenol (APH) delivered earnings and revenue surprises of 6.49% and 5.89%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",APH,0.40348,0.218205,Somewhat-Bullish
Should Vanguard Mid-Cap ETF  ( VO )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2214730/should-vanguard-mid-cap-etf-vo-be-on-your-investing-radar,2024-01-24 11:20:07,Style Box ETF report for VO ...,APH,0.127795,0.060366,Neutral
5 Technology Stocks Poised to Beat Earnings Estimates in Q4,https://www.zacks.com/stock/news/2214235/5-technology-stocks-poised-to-beat-earnings-estimates-in-q4,2024-01-23 14:50:00,"Here, we have picked five tech stocks, Apple (AAPL), Amphenol (APH), ASML (ASML), Fortive (FTV) and Meta Platforms (META), which are likely to pull off earnings surprises in fourth-quarter 2023.",APH,0.218817,0.0,Neutral
KLA  ( KLAC )  Set to Report Q2 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2213534/kla-klac-set-to-report-q2-earnings-whats-in-the-cards,2024-01-22 15:12:00,KLA's (KLAC) fiscal second-quarter results are likely to benefit from the strong performance of the wafer inspection business amid sluggishness in the memory market.,APH,0.349329,0.280062,Somewhat-Bullish
Should You Buy Amphenol  ( APH )  Ahead of Earnings?,https://www.zacks.com/stock/news/2213333/should-you-buy-amphenol-aph-ahead-of-earnings,2024-01-22 13:33:00,Amphenol (APH) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,APH,0.900719,0.597009,Bullish
The 4 most important things we're watching in the stock market this coming week,https://www.cnbc.com/2024/01/20/4-most-important-things-were-watching-in-the-stock-market-this-week.html,2024-01-20 15:13:48,On tap: A handful of key economic updates and a ramp up of quarterly earnings reports.,APH,0.042234,0.029072,Neutral
