title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Alexandria's  ( ARE )  Q4 AFFO Misses Estimates, '24 View Issued",https://www.zacks.com/stock/news/2217940/alexandrias-are-q4-affo-misses-estimates-24-view-issued,2024-01-30 14:56:00,Alexandria's (ARE) Q4 results reflect lower-than-anticipated AFFO per share despite a rise in revenues. It has also issued its 2024 outlook.,ARE,0.184363,-0.012156,Neutral
3 Stocks I Just Added to My Retirement Account -- Even With the S&P 500 at an All-Time High,https://www.fool.com/investing/2024/01/30/3-stocks-just-added-to-my-retirement-account-even/,2024-01-30 14:53:00,Here are three passive-income players that bear notice as the bull emerges.,ARE,0.114409,-0.117645,Neutral
Alexandria Real Estate Equities  ( ARE )  Q4 Earnings: Taking a Look at Key Metrics Versus Estimates,https://www.zacks.com/stock/news/2217507/alexandria-real-estate-equities-are-q4-earnings-taking-a-look-at-key-metrics-versus-estimates,2024-01-29 23:00:04,"Although the revenue and EPS for Alexandria Real Estate Equities (ARE) give a sense of how its business performed in the quarter ended December 2023, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",ARE,0.405651,0.056618,Neutral
"SL Green's  ( SLG )  Q4 FFO Lag Estimates, 2024 View Raised",https://www.zacks.com/stock/news/2216077/sl-greens-slg-q4-ffo-lag-estimates-2024-view-raised,2024-01-25 18:13:00,"SL Green's (SLG) Q4 FFO misses estimates on lower-than-anticipated revenues. However, same-store cash net operating income improves year over year.",ARE,0.069094,0.04914,Neutral
"Crown Castle's  ( CCI )  Q4 AFFO Beat Estimate, Revenues Down Y/Y",https://www.zacks.com/stock/news/2216074/crown-castles-cci-q4-affo-beat-estimate-revenues-down-yy,2024-01-25 17:58:00,"Crown Castle's (CCI) Q4 results outshine estimates on better-than-anticipated revenues. However, high interest expense is a concern. It has maintained its 2024 outlook.",ARE,0.057352,0.04895,Neutral
"Crown Castle's  ( CCI )  Q4 AFFO Beat, Site-Rental Revenues Up",https://www.zacks.com/stock/news/2216072/crown-castles-cci-q4-affo-beat-site-rental-revenues-up,2024-01-25 17:50:00,"Crown Castle's (CCI) Q4 earnings outshine estimates on elevated fiber segment revenues. Site-rental revenues grow year over year, aiding the top line.",ARE,0.068112,0.049109,Neutral
Alexandria  ( ARE )  to Post Q4 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2215820/alexandria-are-to-post-q4-earnings-whats-in-the-cards,2024-01-25 14:56:00,"While Alexandria's (ARE) Q4 earnings are likely to have benefited from the healthy demand for its high-quality life science and lab office properties, high-interest expenses and economic uncertainty raise concern.",ARE,0.122894,0.114414,Neutral
Seeking Clues to Alexandria Real Estate Equities  ( ARE )  Q4 Earnings? A Peek Into Wall Street Projections for Key Metrics,https://www.zacks.com/stock/news/2214890/seeking-clues-to-alexandria-real-estate-equities-are-q4-earnings-a-peek-into-wall-street-projections-for-key-metrics,2024-01-24 14:15:15,"Besides Wall Street's top -and-bottom-line estimates for Alexandria Real Estate Equities (ARE), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended December 2023.",ARE,0.430454,0.227991,Somewhat-Bullish
This 11% Dividend Is A Top January 2024 Buy,https://www.forbes.com/sites/michaelfoster/2024/01/20/this-11-dividend-is-a-top-january-2024-buy/,2024-01-20 14:42:00,"Don't buy into the fear around office real estate investment trusts ( REITs ) . Truth is, this is our moment to buy strong REIT dividends. We're going to do it with a well-diversified 11.4%-yielding closed-end fund ( CEF ) trading at a ridiculous bargain.",ARE,0.053509,-0.121701,Neutral
3 Stocks That Will Make You Richer in 2024,https://www.fool.com/investing/2024/01/10/3-stocks-that-will-make-you-richer-in-2024/,2024-01-10 14:30:00,These REITs each begin with A and should spell nice profits for investors this year.,ARE,0.046095,0.0,Neutral
Where We'll Hunt For Surging Dividends In 2024,https://www.forbes.com/sites/brettowens/2024/01/10/where-well-hunt-for-surging-dividends-in-2024/,2024-01-10 12:15:00,"Let's cut to the chase on dividend investing in 2024: our strategy this year will be all about interest rates. Sure, there are other trends out there, like AI. And yep, there's some steak behind the sizzle. But when it comes to grabbing fast-growing-and high-yielding-payouts at the right times, ...",ARE,0.031487,-0.169873,Somewhat-Bearish
Top 2024 Picks From MoneyShow's Roster of Expert Contributors,https://www.forbes.com/sites/moneyshow/2024/01/08/top-2024-picks-from-moneyshows-roster-of-expert-contributors/,2024-01-08 17:48:55,"Every year for the past few decades, MoneyShow has reached out to their most respected, time-tested analysts, strategists, and newsletter editors to get their favorite stock, ETF, and other investments for the coming 12 months. The annual MoneyShow Top Picks report is the result of this project.",ARE,0.024372,0.248212,Somewhat-Bullish
Here's Why You Should Retain Alexandria  ( ARE )  Stock for Now,https://www.zacks.com/stock/news/2206335/heres-why-you-should-retain-alexandria-are-stock-for-now,2024-01-05 14:55:00,"Alexandria (ARE) is likely to benefit from the solid demand for top-quality life-science assets in key markets. However, a vast development outlay amid high interest rates is concerning.",ARE,0.043979,0.144563,Neutral
"Alexandria Real Estate Equities, Inc. Celebrates 30 Years at the Vanguard and Heart of the $5 Trillion Secularly ... - PR Newswire",https://www.prnewswire.com/news-releases/alexandria-real-estate-equities-inc-celebrates-30-years-at-the-vanguard-and-heart-of-the-5-trillion-secularly-growing-life-science-industry-302026783.html,2024-01-05 13:30:00,"Alexandria Real Estate Equities, Inc. Celebrates 30 Years at the Vanguard and Heart of the $5 Trillion Secularly ... PR ...",ARE,0.12028,0.283122,Somewhat-Bullish
2 Top REIT Stocks to Buy in January,https://www.fool.com/investing/2024/01/03/2-top-reit-stocks-to-buy-in-january/,2024-01-03 11:35:00,"Real estate investment trusts have started to bounce back, but there are still some interesting opportunities.",ARE,0.059049,0.001,Neutral
Alexandria  ( ARE )  Inks Leases at its Campuses Amid Solid Demand,https://www.zacks.com/stock/news/2200025/alexandria-are-inks-leases-at-its-campuses-amid-solid-demand,2023-12-19 15:01:00,"Amid the booming demand for life-science assets, Alexandria (ARE) inks leases with Novo Nordisk and CARGO at its mega campuses in Greater Boston and San Carlos in the San Francisco Bay Area.",ARE,0.066414,0.048259,Neutral
Alexandria Real Estate Equities  ( ARE )  Stock Jumps 7.1%: Will It Continue to Soar?,https://www.zacks.com/stock/news/2198722/alexandria-real-estate-equities-are-stock-jumps-71-will-it-continue-to-soar,2023-12-15 14:53:00,Alexandria Real Estate Equities (ARE) was a big mover last session on higher-than-average trading volume. The latest trend in earnings estimate revisions might not help the stock continue moving higher in the near term.,ARE,0.297061,0.251893,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Prologis, Alexandria Real Estate Equities, The Macerich and Innovative Industrial Properties",https://www.zacks.com/stock/news/2198535/the-zacks-analyst-blog-highlights-prologis-alexandria-real-estate-equities-the-macerich-and-innovative-industrial-properties,2023-12-15 13:50:00,"Prologis, Alexandria Real Estate Equities, The Macerich and Innovative Industrial Properties are part of the Zacks top Analyst Blog.",ARE,0.144275,0.0457,Neutral
"Alexandria Real Estate Equities, Inc. Announces Long-Term 165940 RSF, Full-Building Lease With Novo Nordisk for ... - PR Newswire",https://www.prnewswire.com/news-releases/alexandria-real-estate-equities-inc-announces-long-term-165-940-rsf-full-building-lease-with-novo-nordisk-for-rd-center-at-the-alexandria-center-for-life-science--waltham-mega-campus-in-greater-boston-302016208.html,2023-12-15 13:30:00,"Alexandria Real Estate Equities, Inc. Announces Long-Term 165940 RSF, Full-Building Lease With Novo Nordisk for ... PR ...",ARE,0.199037,0.305794,Somewhat-Bullish
REITs Rejoice as the Fed Indicates Three Rate Cuts in 2024,https://www.zacks.com/stock/news/2198146/reits-rejoice-as-the-fed-indicates-three-rate-cuts-in-2024,2023-12-14 16:43:00,The latest decision of the Fed to hold its benchmark rate steady and the indications of three rate cuts next year should give REIT investors enough reason to rejoice.,ARE,0.082393,0.076499,Neutral
