title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
American Water's  ( AWK )  New Jersey Arm Invests in Upgrades,https://www.zacks.com/stock/news/2218110/american-waters-awk-new-jersey-arm-invests-in-upgrades,2024-01-30 16:49:00,"American Water (AWK) continues to invest and improve the quality of its water and wastewater infrastructure, allowing it to serve its expanding customer base efficiently.",AWK,0.155451,0.135346,Neutral
VEOEY or AWK: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2217313/veoey-or-awk-which-is-the-better-value-stock-right-now,2024-01-29 16:40:11,VEOEY vs. AWK: Which Stock Is the Better Value Option?,AWK,0.723718,0.639497,Bullish
"Down -7.78% in 4 Weeks, Here's Why You Should You Buy the Dip in American Water Works  ( AWK ) ",https://www.zacks.com/stock/news/2215746/down--778-in-4-weeks-heres-why-you-should-you-buy-the-dip-in-american-water-works-awk,2024-01-25 14:35:05,"American Water Works (AWK) has become technically an oversold stock now, which implies exhaustion of the heavy selling pressure on it. This, combined with strong agreement among Wall Street analysts in revising earnings estimates higher, indicates a potential trend reversal for the stock in the ...",AWK,0.482078,0.253421,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Alphabet, Salesforce, Comcast, Colgate-Palmolive and American Water Works",https://www.zacks.com/stock/news/2214713/the-zacks-analyst-blog-highlights-alphabet-salesforce-comcast-colgate-palmolive-and-american-water-works,2024-01-24 10:21:00,"Alphabet, Salesforce, Comcast, Colgate-Palmolive and American Water Works are included in this Analyst Blog.",AWK,0.152018,0.040745,Neutral
"The Zacks Analyst Blog Highlights American Water Works, NVIDIA, A. O. Smith and Arista",https://www.zacks.com/stock/news/2214710/the-zacks-analyst-blog-highlights-american-water-works-nvidia-a-o-smith-and-arista,2024-01-24 10:10:00,"American Water Works, NVIDIA, A. O. Smith and Arista are included in this Analyst Blog.",AWK,0.332403,0.263423,Somewhat-Bullish
"Zacks Industry Outlook Highlights American Water Works, California Water Service, SJW Group and Consolidated Water",https://www.zacks.com/stock/news/2214697/zacks-industry-outlook-highlights-american-water-works-california-water-service-sjw-group-and-consolidated-water,2024-01-24 09:11:00,"American Water Works, California Water Service, SJW Group and Consolidated Water have been highlighted in this Industry Outlook article.",AWK,0.156292,0.060789,Neutral
"The Zacks Analyst Blog Highlights Alphabet, Salesforce, Comcast, Colgate-Palmolive and American Water Works",https://www.zacks.com/stock/news/2214038/the-zacks-analyst-blog-highlights-alphabet-salesforce-comcast-colgate-palmolive-and-american-water-works,2024-01-23 13:26:00,"Alphabet, Salesforce, Comcast, Colgate-Palmolive and American Water Works are part of the Zacks top Analyst Blog.",AWK,0.150122,0.037902,Neutral
"The Zacks Analyst Blog Highlights American Water Works Company, NVIDIA, A. O. Smith and Arista Networks",https://www.zacks.com/stock/news/2214032/the-zacks-analyst-blog-highlights-american-water-works-company-nvidia-a-o-smith-and-arista-networks,2024-01-23 13:20:00,"American Water Works Company, NVIDIA, A. O. Smith and Arista Networks are part of the Zacks top Analyst Blog.",AWK,0.332403,0.263423,Somewhat-Bullish
"Zacks Industry Outlook Highlights American Water Works, California Water Service Group, SJW Group and Consolidated Water",https://www.zacks.com/stock/news/2213980/zacks-industry-outlook-highlights-american-water-works-california-water-service-group-sjw-group-and-consolidated-water,2024-01-23 12:46:00,"American Water Works, California Water Service Group, SJW Group and Consolidated Water are part of the Zacks Industry Outlook article.",AWK,0.152983,0.059974,Neutral
4 Stocks to Watch From the Flourishing Water Supply Industry,https://www.zacks.com/commentary/2213340/4-stocks-to-watch-from-the-flourishing-water-supply-industry,2024-01-22 15:04:00,"Water Utility companies like AWK, CWT, SJW and CWCO, are poised to benefit from stable demand for water and wastewater services across the United States. Their systematic investments should enable them to serve customers efficiently.",AWK,0.133841,0.061734,Neutral
4 Solid S&P 500 Stocks to Bet on as Index Hits All-Time High,https://www.zacks.com/stock/news/2213369/4-solid-sp-500-stocks-to-bet-on-as-index-hits-all-time-high,2024-01-22 14:08:00,"The S&P hit an all-time high and is poised to do well this year. This is likely to help stocks like American Water Works Company, Inc. (AWK), NVIDIA Corporation (NVDA), A. O. Smith Corporation (AOS) and Arista Networks, Inc. (ANET).",AWK,0.3115,0.323724,Somewhat-Bullish
Will American Water Works  ( AWK )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2212322/will-american-water-works-awk-beat-estimates-again-in-its-next-earnings-report,2024-01-18 17:10:09,American Water Works (AWK) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,AWK,0.397517,0.345112,Somewhat-Bullish
Utility Sector Set to Revive in 2024: 5 Top Picks,https://www.zacks.com/stock/news/2211285/utility-sector-set-to-revive-in-2024-5-top-picks,2024-01-17 13:04:00,"We have narrowed our search to five low-beta utility stocks that are regular dividend payers. These are: NI, ATO, AWK, ED, SRE.",AWK,0.234307,0.275998,Somewhat-Bullish
How Is The Market Feeling About American Water Works? - American Water Works  ( NYSE:AWK ) ,https://www.benzinga.com/short-sellers/24/01/36639902/how-is-the-market-feeling-about-american-water-works,2024-01-16 13:15:21,"American Water Works's AWK short percent of float has fallen 5.36% since its last report. The company recently reported that it has 2.74 million shares sold short, which is 1.59% of all regular shares that are available for trading.",AWK,0.218817,0.080451,Neutral
Reasons to Add American Water Works  ( AWK )  to Your Portfolio Now,https://www.zacks.com/stock/news/2210578/reasons-to-add-american-water-works-awk-to-your-portfolio-now,2024-01-16 12:42:00,"American Water Works (AWK) makes a strong case for investment, given its growth prospects, strong ROE and capability to increase shareholders' value.",AWK,0.5341,0.382123,Bullish
4 Utility Stocks to Buy as Inflation Resumes Climb,https://www.zacks.com/stock/news/2210120/4-utility-stocks-to-buy-as-inflation-resumes-climb,2024-01-15 14:17:00,"Stocks from the utility sector such as Otter Tail Corporation (OTTR), Entergy Corporation (ETR), Atmos Energy Corporation (ATO) and American Water Works Company, Inc. (AWK) are a safe bet during times of market volatility.",AWK,0.324902,0.212784,Somewhat-Bullish
California Water Service Group  ( CWT )  Unit Buys Water System,https://www.zacks.com/stock/news/2209359/california-water-service-group-cwt-unit-buys-water-system,2024-01-12 12:54:00,California Water Service Group (CWT) continues to expand its operations through acquisitions and necessary investments to upgrade acquired assets to provide reliable services.,AWK,0.329992,0.381301,Bullish
"SJW Group  ( SJW )  Unit Files for Rate Hike, Focuses on Upgrade",https://www.zacks.com/stock/news/2208430/sjw-group-sjw-unit-files-for-rate-hike-focuses-on-upgrade,2024-01-10 16:59:00,"SJW Group's (SJW) subsidiary, San Jose Water, files a rate application to the California Public Utilities Commission with a focus on infrastructure investments.",AWK,0.28387,0.305894,Somewhat-Bullish
Reasons to Add Essential Utilities  ( WTRG )  to Your Portfolio Now,https://www.zacks.com/stock/news/2208208/reasons-to-add-essential-utilities-wtrg-to-your-portfolio-now,2024-01-10 14:16:00,"Essential Utilities (WTRG) makes a strong case for investment, given its growth prospects, return on equity, debt management and ability to increase shareholders' value.",AWK,0.167904,0.185759,Somewhat-Bullish
Want an Above-Average Retirement? Check Out These 3 Boring Stocks,https://www.fool.com/investing/2024/01/08/want-an-above-average-retirement-check-out-these-3/,2024-01-08 10:43:00,These rather dull companies have produced exciting returns.,AWK,0.188928,-0.023006,Neutral
Reasons to Add California Water  ( CWT )  to Your Portfolio Now,https://www.zacks.com/stock/news/2206097/reasons-to-add-california-water-cwt-to-your-portfolio-now,2024-01-05 12:17:00,"California Water (CWT) makes a strong case for investment, given its growth prospects, debt management and ability to increase shareholders' value.",AWK,0.165031,0.109554,Neutral
Here's How Much You Would Have Made Owning American Water Works Stock In The Last 15 Years - American Water Works  ( NYSE:AWK ) ,https://www.benzinga.com/news/24/01/36473887/heres-how-much-you-would-have-made-owning-american-water-works-stock-in-the-last-15-years,2024-01-03 17:00:18,"American Water Works AWK has outperformed the market over the past 15 years by 1.86% on an annualized basis producing an average annual return of 13.41%. Currently, American Water Works has a market capitalization of $25.97 billion.",AWK,0.977302,0.386606,Bullish
Are Utilities Stocks Lagging American Water Works  ( AWK )  This Year?,https://www.zacks.com/stock/news/2205018/are-utilities-stocks-lagging-american-water-works-awk-this-year,2024-01-03 14:40:05,Here is how American Water Works (AWK) and Consolidated Edison (ED) have performed compared to their sector so far this year.,AWK,0.71032,0.353897,Bullish
