title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"ITT  ( NYSE:ITT )  Upgraded to ""Strong-Buy"" at StockNews.com",https://www.defenseworld.net/2024/01/30/itt-nyseitt-upgraded-to-strong-buy-at-stocknews-com.html,2024-01-30 08:44:43,StockNews.com upgraded shares of ITT ( NYSE:ITT - Free Report ) from a buy rating to a strong-buy rating in a research report sent to investors on Monday. Other equities research analysts have also issued research reports about the stock.,BEN,0.091162,0.224871,Somewhat-Bullish
"Franklin  ( BEN )  Q1 Earnings & Revenues Top Estimates, AUM Rises",https://www.zacks.com/stock/news/2217417/franklin-ben-q1-earnings-revenues-top-estimates-aum-rises,2024-01-29 19:06:00,"Franklin's (BEN) first-quarter fiscal 2024 results display top-line strength and an improvement in AUM balance, whereas higher expenses were concerning.",BEN,0.280615,0.099269,Neutral
Franklin Resources  ( BEN )  Surpasses Q1 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2217175/franklin-resources-ben-surpasses-q1-earnings-and-revenue-estimates,2024-01-29 14:40:03,"Franklin Resources (BEN) delivered earnings and revenue surprises of 14.04% and 4.11%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",BEN,0.396052,0.248879,Somewhat-Bullish
TriCo Bancshares  ( NASDAQ:TCBK )  Lifted to Hold at StockNews.com,https://www.defenseworld.net/2024/01/28/trico-bancshares-nasdaqtcbk-lifted-to-hold-at-stocknews-com.html,2024-01-28 07:34:43,StockNews.com upgraded shares of TriCo Bancshares ( NASDAQ:TCBK - Free Report ) from a sell rating to a hold rating in a report published on Thursday morning. TCBK has been the topic of a number of other reports.,BEN,0.123844,0.183995,Somewhat-Bullish
"Federated Hermes  ( FHI )  Q4 Earnings Top Estimates, Costs Fall",https://www.zacks.com/stock/news/2216566/federated-hermes-fhi-q4-earnings-top-estimates-costs-fall,2024-01-26 15:29:00,"A rise in revenues and an increase in asset position support Federated Hermes' (FHI) Q4 earnings. Moreover, reduced operating costs are positives.",BEN,0.129516,0.0,Neutral
Should WisdomTree U.S. MidCap Dividend ETF  ( DON )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2216314/should-wisdomtree-us-midcap-dividend-etf-don-be-on-your-investing-radar,2024-01-26 11:20:06,Style Box ETF report for DON ...,BEN,0.12165,0.123078,Neutral
Is Franklin Resources  ( BEN )  Stock a Solid Choice Right Now?,https://www.zacks.com/stock/news/2215626/is-franklin-resources-ben-stock-a-solid-choice-right-now,2024-01-25 13:32:00,"Franklin Resources (BEN) has seen solid earnings estimate revision activity over the past month, and belongs to a strong industry as well.",BEN,0.754041,0.736653,Bullish
Franklin Resources  ( NYSE:BEN )  Upgraded to Buy at StockNews.com,https://www.defenseworld.net/2024/01/25/franklin-resources-nyseben-upgraded-to-buy-at-stocknews-com.html,2024-01-25 09:54:45,StockNews.com upgraded shares of Franklin Resources ( NYSE:BEN - Free Report ) from a hold rating to a buy rating in a research note issued to investors on Wednesday.,BEN,0.809727,0.446606,Bullish
Infosys  ( NYSE:INFY )  Upgraded at StockNews.com,https://www.defenseworld.net/2024/01/25/infosys-nyseinfy-upgraded-at-stocknews-com.html,2024-01-25 06:40:43,"Infosys ( NYSE:INFY - Get Free Report ) was upgraded by StockNews.com from a ""hold"" rating to a ""buy"" rating in a report issued on Thursday. A number of other analysts have also issued reports on INFY. BNP Paribas assumed coverage on Infosys in a report on Wednesday, January 17th.",BEN,0.132004,0.240556,Somewhat-Bullish
Unveiling Franklin Resources  ( BEN )  Q1 Outlook: Wall Street Estimates for Key Metrics,https://www.zacks.com/stock/news/2214894/unveiling-franklin-resources-ben-q1-outlook-wall-street-estimates-for-key-metrics,2024-01-24 14:15:14,"Evaluate the expected performance of Franklin Resources (BEN) for the quarter ended December 2023, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",BEN,0.356609,0.245215,Somewhat-Bullish
