title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Stay Ahead of the Game With Boston Properties  ( BXP )  Q4 Earnings: Wall Street's Insights on Key Metrics,https://www.zacks.com/stock/news/2217062/stay-ahead-of-the-game-with-boston-properties-bxp-q4-earnings-wall-streets-insights-on-key-metrics,2024-01-29 14:16:01,Get a deeper insight into the potential performance of Boston Properties (BXP) for the quarter ended December 2023 by going beyond Wall Street's top -and-bottom-line estimates and examining the estimates for some of its key metrics.,BXP,0.482078,0.101062,Neutral
"SL Green's  ( SLG )  Q4 FFO Lag Estimates, 2024 View Raised",https://www.zacks.com/stock/news/2216077/sl-greens-slg-q4-ffo-lag-estimates-2024-view-raised,2024-01-25 18:13:00,"SL Green's (SLG) Q4 FFO misses estimates on lower-than-anticipated revenues. However, same-store cash net operating income improves year over year.",BXP,0.271274,0.066101,Neutral
"Crown Castle's  ( CCI )  Q4 AFFO Beat Estimate, Revenues Down Y/Y",https://www.zacks.com/stock/news/2216074/crown-castles-cci-q4-affo-beat-estimate-revenues-down-yy,2024-01-25 17:58:00,"Crown Castle's (CCI) Q4 results outshine estimates on better-than-anticipated revenues. However, high interest expense is a concern. It has maintained its 2024 outlook.",BXP,0.226477,0.057112,Neutral
"Crown Castle's  ( CCI )  Q4 AFFO Beat, Site-Rental Revenues Up",https://www.zacks.com/stock/news/2216072/crown-castles-cci-q4-affo-beat-site-rental-revenues-up,2024-01-25 17:50:00,"Crown Castle's (CCI) Q4 earnings outshine estimates on elevated fiber segment revenues. Site-rental revenues grow year over year, aiding the top line.",BXP,0.267559,0.065366,Neutral
Key Factors to Impact Boston Properties'  ( BXP )  Q4 Earnings,https://www.zacks.com/stock/news/2215938/key-factors-to-impact-boston-properties-bxp-q4-earnings,2024-01-25 15:34:00,"Healthy demand for Boston Properties' (BXP) premium office and life-science assets is likely to have benefited its Q4 earnings. However, higher interest expenses might have hurt the company.",BXP,0.355079,0.300537,Somewhat-Bullish
Boston Properties  ( BXP )  Inks Lease Extension in Santa Monica,https://www.zacks.com/stock/news/2215101/boston-properties-bxp-inks-lease-extension-in-santa-monica,2024-01-24 15:59:00,Boston Properties' (BXP) securing of lease extension with Snap at Santa Monica Business Park highlights healthy demand for the creative campus.,BXP,0.470894,0.522812,Bullish
Landlord debt is rallying - even in the battered office sector,https://www.marketwatch.com/story/landlord-debt-is-rallying-even-in-the-battered-office-sector-94ab6eac,2024-01-23 19:15:00,"Debt issued by publicly traded commercial real-estate landlords has been in rally mode to start 2024, even in the battered office sector.",BXP,0.305058,0.136393,Neutral
Stock Upgrades: Boston Properties Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-boston-properties-shows-rising-relative-strength-4/,2024-01-22 08:00:00,"Boston Properties ( BXP ) saw a positive improvement to its Relative Strength ( RS ) Rating on Monday, with an upgrade from 79 to 82. X When looking for the best stocks to buy and watch, keep a close on eye on relative price strength.",BXP,0.595343,0.528553,Bullish
This 11% Dividend Is A Top January 2024 Buy,https://www.forbes.com/sites/michaelfoster/2024/01/20/this-11-dividend-is-a-top-january-2024-buy/,2024-01-20 14:42:00,"Don't buy into the fear around office real estate investment trusts ( REITs ) . Truth is, this is our moment to buy strong REIT dividends. We're going to do it with a well-diversified 11.4%-yielding closed-end fund ( CEF ) trading at a ridiculous bargain.",BXP,0.106778,-0.132421,Neutral
"US Stocks Sink, Rate Concerns Hit Tech And Real Estate Sectors - Boston Props  ( NYSE:BXP ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36665740/us-stocks-sink-tech-and-real-estate-hit-hard-amid-rate-concerns-dollar-surge-whats-,2024-01-17 18:51:37,"Another day of losses shook up Wednesday's stock trading session on Wall Street. All major U.S. stock indices in the red, as investors expressed concerns that the Federal Reserve is not in a rush to reduce interest rates early this year.",BXP,0.114682,-0.112101,Neutral
"Prologis'  ( PLD )  Q4 FFO Meets Estimates, '24 Outlook Issued",https://www.zacks.com/stock/news/2211659/prologis-pld-q4-ffo-meets-estimates-24-outlook-issued,2024-01-17 17:33:00,"Prologis' (PLD) Q4 FFO meets estimates, benefiting from a rise in rental revenues and healthy leasing activity. However, high interest expenses are a concern. The company has also provided its 2024 outlook.",BXP,0.211652,0.008309,Neutral
Prologis  ( PLD )  Q4 FFO Meet Estimates,https://www.zacks.com/stock/news/2211376/prologis-pld-q4-ffo-meet-estimates,2024-01-17 14:10:02,"Prologis (PLD) delivered FFO and revenue surprises of 0% and 1.62%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",BXP,0.208764,0.0,Neutral
"Empty Spaces: US Office Vacancies Rise To Highest Levels in Four Decades - Crown Castle  ( NYSE:CCI ) , Boston Props  ( NYSE:BXP ) ",https://www.benzinga.com/markets/equities/24/01/36542862/empty-spaces-us-office-vacancies-rise-to-highest-levels-in-four-decades,2024-01-08 20:09:47,"Vacant U.S. office space is rising at an alarming rate as decades of overzealous construction combined with changing work habits leaves commercial buildings at their emptiest since 1979, according to data published on Monday by Moody's Analytics.",BXP,0.187463,-0.024148,Neutral
Fed Fuels Rally: December 16 - FDI Weekly Review,https://www.forbes.com/newsletters/forbes-dividend-investor/2023/12/16/fed-fuels-rally-december-16fdi-weekly-review/,2023-12-16 13:22:18,"Regional banks and REITs were the top weekly performers with Iowa-based bank Ames National ( ATLO +12.3% ) leading the way, and Oregon's Columbia Banking System ( COLB +9.2% ) not far behind. Among REITs, Boston Properties ( BXP +11.5% ) and National Storage Affiliates Trust ( NSA +10.2% ) ...",BXP,0.922387,0.604408,Bullish
Domino's and 6 Other Unlikely Stocks That Should Benefit From AI,https://www.barrons.com/amp/articles/dominos-t-mobile-stock-artificial-intelligence-3ac1d6d0,2023-12-14 14:29:00,"Domino's, T-Mobile, and 5 Other Stocks That Should Benefit From Artificial Intelligence ...",BXP,0.082393,0.0,Neutral
WeWork resolves landlord objections to bankruptcy financing,https://www.reuters.com/business/wework-resolves-landlord-objections-bankruptcy-financing-2023-12-11/,2023-12-11 19:52:00,"[1/3] A WeWork logo is seen at a WeWork office in San Francisco, California, U.S. September 30, 2019. REUTERS/Kate Munsch/File Photo Acquire Licensing Rights",BXP,0.075397,0.032609,Neutral
Boston Properties  ( BXP )  Up 19% in 6 Months: Will the Trend Last?,https://www.zacks.com/stock/news/2195122/boston-properties-bxp-up-19-in-6-months-will-the-trend-last,2023-12-07 20:31:00,"Healthy demand for premier office spaces and life-science asset expansions will likely aid Boston Properties' (BXP) performance. Yet, a choppy office market scenario and high interest rates are woes.",BXP,0.442222,0.275734,Somewhat-Bullish
"Stock Market News for Dec 4, 2023",https://www.zacks.com/stock/news/2193019/stock-market-news-for-dec-4-2023,2023-12-04 15:07:00,"U.S. stock markets closed sharply higher on Friday, with the S&P 500 recording its highest close since March 2022 as economic data released showed an economic slowdown.",BXP,0.144708,0.214273,Somewhat-Bullish
"Check Out 3 Real Estate Stocks With Over 6% Dividend Yields From Wall Street's Most Accurate Analysts - Medical Properties Trust  ( NYSE:MPW ) , Boston Props  ( NYSE:BXP ) ",https://www.benzinga.com/news/23/12/36039563/check-out-3-real-estate-stocks-with-over-6-dividend-yields-from-wall-streets-most-accurate-analysts,2023-12-01 10:29:10,"During times of turbulence and uncertainty in the markets, many investors turn to dividend-yielding stocks. These are often companies that have high free cash flows and reward shareholders with a high dividend payout.",BXP,0.10607,-0.014294,Neutral
Bond market reflects jitters about wall of maturing office REIT debt,https://www.marketwatch.com/story/bond-market-reflects-jitters-about-wall-of-maturing-office-reit-debt-bca3b84b,2023-11-30 17:31:00,U.S. bonds have been reflecting growing unease about a wall of debt coming due for select owners of office buildings ...,BXP,0.140485,-0.03444,Neutral
