title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
These 3 Top Stocks Are Pushing 52-Week Highs,https://www.zacks.com/stock/news/2037560/these-3-top-stocks-are-pushing-52-week-highs,2023-01-10 21:42:00,"By selecting stocks breaking out to new highs, investors find themselves in favorable trends where buyers are in control. When paired with rising earnings estimate revisions, the strategy becomes even more potent.",CAG,0.357636,0.385677,Bullish
"Conagra CEO expects double-digit inflation, easing protein costs",https://www.reuters.com/business/retail-consumer/conagra-ceo-expects-double-digit-inflation-easing-protein-costs-2023-01-10/,2023-01-10 18:30:22,"NEW YORK, Jan 10 ( Reuters ) - Conagra Brands Inc ( CAG.N ) Chief Executive Officer Sean Connolly said in a Reuters Newsmaker interview on Tuesday that he sees double-digit inflation in fiscal 2023, although protein costs are moderating.",CAG,0.245339,-0.156069,Somewhat-Bearish
Are You Looking for a High-Growth Dividend Stock?,https://www.zacks.com/stock/news/2037480/are-you-looking-for-a-high-growth-dividend-stock,2023-01-10 16:45:03,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Conagra Brands (CAG) have what it takes? Let's find out.",CAG,0.445179,0.483938,Bullish
Campbell Soup  ( CPB )  Looks Appetizing on Snacks Unit & Savings,https://www.zacks.com/stock/news/2037466/campbell-soup-cpb-looks-appetizing-on-snacks-unit-savings,2023-01-10 16:28:00,Campbell Soup (CPB) has been benefiting from brand strength and inflation-driven pricing actions. Growing Snacks business is a key driver.,CAG,0.249873,0.192418,Somewhat-Bullish
Conagra Brands  ( CAG )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2037232/conagra-brands-cag-is-attracting-investor-attention-here-is-what-you-should-know,2023-01-10 14:00:12,"Conagra Brands (CAG) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",CAG,0.48028,0.18714,Somewhat-Bullish
Conagra  ( CAG )  Looks Tempting: Stock Up Nearly 20% in 3 Months,https://www.zacks.com/stock/news/2037174/conagra-cag-looks-tempting-stock-up-nearly-20-in-3-months,2023-01-10 13:13:00,Conagra (CAG) benefits from its strong pricing actions amid rising cost inflation. The company's Conagra Way playbook yields positive results.,CAG,0.282886,0.257287,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Arista Networks, Conagra Brands, DocuSign, Southern Copper and Paylocity Holding",https://www.zacks.com/stock/news/2037092/the-zacks-analyst-blog-highlights-arista-networks-conagra-brands-docusign-southern-copper-and-paylocity-holding,2023-01-10 10:00:00,"Arista Networks, Conagra Brands, DocuSign, Southern Copper and Paylocity Holding are included in this Analyst Blog.",CAG,0.22731,0.134707,Neutral
"Conagra Brands  ( NYSE:CAG )  Lifted to ""Buy"" at StockNews.com",https://reporter.am/2023/01/10/conagra-brands-nysecag-lifted-to-buy-at-stocknews-com.html,2023-01-10 08:50:41,"Conagra Brands ( NYSE:CAG - Get Rating ) was upgraded by analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a report issued on Tuesday.",CAG,0.88183,0.384551,Bullish
"Conagra Brands  ( NYSE:CAG )  Lifted to ""Buy"" at StockNews.com",https://www.etfdailynews.com/2023/01/10/conagra-brands-nysecag-lifted-to-buy-at-stocknews-com/,2023-01-10 08:50:41,"Conagra Brands ( NYSE:CAG - Get Rating ) was upgraded by research analysts at StockNews.com from a ""hold"" rating to a ""buy"" rating in a research report issued on Tuesday. Other analysts have also recently issued reports about the company.",CAG,0.872507,0.347093,Somewhat-Bullish
Will Conagra Brands  ( CAG )  Gain on Rising Earnings Estimates?,https://www.zacks.com/stock/news/2036933/will-conagra-brands-cag-gain-on-rising-earnings-estimates,2023-01-09 17:20:04,"Conagra Brands (CAG) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",CAG,0.575407,0.692444,Bullish
Are You Looking for a Top Momentum Pick? Why Conagra Brands  ( CAG )  is a Great Choice,https://www.zacks.com/stock/news/2036907/are-you-looking-for-a-top-momentum-pick-why-conagra-brands-cag-is-a-great-choice,2023-01-09 17:00:06,Does Conagra Brands (CAG) have what it takes to be a top stock pick for momentum investors? Let's find out.,CAG,0.586322,0.416002,Bullish
Kimberly-Clark  ( KMB )  Benefits From Growth Pillars & Cost Cutting,https://www.zacks.com/stock/news/2036830/kimberly-clark-kmb-benefits-from-growth-pillars-cost-cutting,2023-01-09 15:32:00,Kimberly-Clark (KMB) is committed to its three key strategic growth pillars. The company has been progressing well with expanding global business.,CAG,0.286864,0.24541,Somewhat-Bullish
The Estee Lauder Companies'  ( EL )  Online Business Aids Growth,https://www.zacks.com/stock/news/2036823/the-estee-lauder-companies-el-online-business-aids-growth,2023-01-09 15:28:00,"The Estee Lauder Companies (EL) is implementing new technology and digital experiences to drive online growth. However, inflation and supply-chain bottlenecks are concerns.",CAG,0.266246,0.231531,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Cardinal Health, Conagra Brands, Ingredion, Atmos Energy and NRG Energy",https://www.zacks.com/stock/news/2036806/the-zacks-analyst-blog-highlights-cardinal-health-conagra-brands-ingredion-atmos-energy-and-nrg-energy,2023-01-09 15:01:00,"Cardinal Health, Conagra Brands, Ingredion, Atmos Energy and NRG Energy are included in this Analyst Blog.",CAG,0.25142,0.081505,Neutral
Best Momentum Stock to Buy for January 9th,https://www.zacks.com/commentary/2036736/best-momentum-stock-to-buy-for-january-9th,2023-01-09 15:00:00,"RGA, CAG and SCCO made it to the Zacks Rank #1 (Strong Buy) momentum stocks list on January 9, 2023.",CAG,0.582526,0.362771,Bullish
Is Albertsons Companies  ( ACI )  Outperforming Other Consumer Staples Stocks This Year?,https://www.zacks.com/stock/news/2036781/is-albertsons-companies-aci-outperforming-other-consumer-staples-stocks-this-year,2023-01-09 14:40:11,"Here is how Albertsons Companies, Inc. (ACI) and Conagra Brands (CAG) have performed compared to their sector so far this year.",CAG,0.342487,0.302854,Somewhat-Bullish
Improve Your Retirement Income with These 3 Top-Ranked Dividend Stocks,https://www.zacks.com/stock/news/2036732/improve-your-retirement-income-with-these-3-top-ranked-dividend-stocks,2023-01-09 14:10:03,"The traditional ways to plan for your retirement may mean income can no longer cover expenses post-employment. But what if there was another option that could provide a steady, reliable source of income in your nest egg years?",CAG,0.211652,0.070821,Neutral
Best Income Stocks to Buy for January 9th,https://www.zacks.com/commentary/2036700/best-income-stocks-to-buy-for-january-9th,2023-01-09 14:02:00,"CAG, SCCO and CPB made it to the Zacks Rank #1 (Strong Buy) income stocks list on January 9, 2023.",CAG,0.677342,0.41701,Bullish
Top 5 Momentum Stocks for January After a Disappointing 2022,https://www.zacks.com/stock/news/2036650/top-5-momentum-stocks-for-january-after-a-disappointing-2022,2023-01-09 13:27:00,"We have narrowed our search on five momentum stocks with strong potential in 2023. These are: DOCU, ANET, CAG, PCTY and SCCO.",CAG,0.204647,0.158953,Somewhat-Bullish
New Strong Buy Stocks for January 9th,https://www.zacks.com/commentary/2035759/new-strong-buy-stocks-for-january-9th,2023-01-09 12:19:00,"OPRT, STLA, RGA, CAG and CPB have been added to the Zacks Rank #1 (Strong Buy) List on January 9 , 2023.",CAG,0.428632,0.357688,Bullish
Sweet spreads market to grow by 4.05% Y-O-Y from 2022 to 2023: Evolving taste preferences will drive growth - Technavio,https://www.prnewswire.com/news-releases/sweet-spreads-market-to-grow-by-4-05-y-o-y-from-2022-to-2023-evolving-taste-preferences-will-drive-growth---technavio-301714223.html,2023-01-09 08:30:00,Sweet spreads market to grow by 4.05% Y-O-Y from 2022 to 2023 ... PR ...,CAG,0.039679,-0.039659,Neutral
