title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Carrier Global  ( CARR )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,https://www.zacks.com/stock/news/2217966/carrier-global-carr-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,2024-01-30 15:01:00,Carrier Global (CARR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,CARR,0.298264,0.239667,Somewhat-Bullish
NaaS Technology Included in the Investment Portfolio of Carbon Collective Climate Change Solutions ETF  ( CCSO.O )  - Naas Technology  ( NASDAQ:NAAS ) ,https://www.benzinga.com/pressreleases/24/01/n36798421/naas-technology-included-in-the-investment-portfolio-of-carbon-collective-climate-change-solutions,2024-01-26 11:45:00,"BEIJING, Jan. 26, 2024 /PRNewswire/ -- NaaS Technology Inc. NAAS ( ""NaaS"" or the ""Company"" ) , the first U.S. listed EV charging service company in China, today announced that it has been included in the most recent investment portfolio of the Carbon Collective Climate Change Solutions ETF ( ...",CARR,0.098255,0.06545,Neutral
"Global Smart Food Logistics Market Size is Estimated to Reach USD 31 billion by 2031, Growing at a CAGR of 13.42%: Straits Research",https://www.benzinga.com/pressreleases/24/01/g36759341/global-smart-food-logistics-market-size-is-estimated-to-reach-usd-31-billion-by-2031-growing-at-a-,2024-01-24 14:40:00,"New York, United States, Jan. 24, 2024 ( GLOBE NEWSWIRE ) -- Smart food logistics suppliers help FMCG companies maintain the quality of foods like fruits and vegetables to stop food from going bad.",CARR,0.033282,0.071588,Neutral
Is Honeywell a Buy in 2024? Here's What You Need to Know,https://www.fool.com/investing/2024/01/22/is-honeywell-a-buy-in-2024-heres-what-you-need-to/,2024-01-22 11:55:00,"The industrial conglomerate already commands a valuation premium, so investors are trying to find where the upside potential is for the stock.",CARR,0.053629,0.115712,Neutral
"Absorption Chillers Market to Total US$ 2,263.7 Million by 2031, Expanding at a 4.2% CAGR | Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36654618/absorption-chillers-market-to-total-us-2-263-7-million-by-2031-expanding-at-a-4-2-cagr-persistence,2024-01-17 07:30:00,"New York, Jan. 17, 2024 ( GLOBE NEWSWIRE ) -- Market Overview: The Absorption Chillers market is a significant segment within the global cooling and HVAC industry.",CARR,0.02786,0.110208,Neutral
Why Investors Need to Take Advantage of These 2 Computer and Technology Stocks Now,https://www.zacks.com/stock/news/2209404/why-investors-need-to-take-advantage-of-these-2-computer-and-technology-stocks-now,2024-01-12 13:50:06,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,CARR,0.366961,0.345745,Somewhat-Bullish
Should Vanguard Mid-Cap Value ETF  ( VOE )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2208047/should-vanguard-mid-cap-value-etf-voe-be-on-your-investing-radar,2024-01-10 11:20:06,Style Box ETF report for VOE ...,CARR,0.12013,0.058723,Neutral
Will Carrier Global  ( CARR )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2207735/will-carrier-global-carr-beat-estimates-again-in-its-next-earnings-report,2024-01-09 21:53:14,Carrier Global (CARR) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,CARR,0.417304,0.401779,Bullish
Carrier  ( CARR )  Expands Portfolio With Montana Partnership,https://www.zacks.com/stock/news/2207595/carrier-carr-expands-portfolio-with-montana-partnership,2024-01-09 17:01:00,"Carrier Global (CARR) invests $10M in Montana's AirJoule tech, transforming cooling technology and reducing carbon emissions.",CARR,0.374312,0.476507,Bullish
Here's Why Carrier Global  ( CARR )  is a Strong Value Stock,https://www.zacks.com/stock/news/2206961/heres-why-carrier-global-carr-is-a-strong-value-stock,2024-01-08 14:40:06,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",CARR,0.306963,0.14309,Neutral
Montana Technologies Enters Joint Commercialization Agreement Term Sheet with Carrier Global to Provide Carbon-Reducing Cooling Technology for Key Global Markets,https://www.prnewswire.com/news-releases/montana-technologies-enters-joint-commercialization-agreement-term-sheet-with-carrier-global-to-provide-carbon-reducing-cooling-technology-for-key-global-markets-302027975.html,2024-01-08 14:00:00,Montana Technologies Enters Joint Commercialization Agreement Term Sheet with Carrier Global to Provide Carbon ... PR ...,CARR,0.036064,0.174099,Somewhat-Bullish
Air Cleaner Filters Market size to grow by USD 9.50 billion between 2023 - 2024 | Growing emissions owing to increasing economic activities to drive the market growth - Technavio,https://www.benzinga.com/pressreleases/24/01/g36520031/air-cleaner-filters-market-size-to-grow-by-usd-9-50-billion-between-2023-2024-growing-emissions-ow,2024-01-05 23:15:00,"New York, Jan. 05, 2024 ( GLOBE NEWSWIRE ) -- The Air Cleaner Filters Market size is set to grow by USD 9.50 billion, and register a CAGR of almost 6.97%, according to Technavio's latest market research report estimates.",CARR,0.043186,0.106782,Neutral
"Carrier  ( CARR )  Completes Viessmann Buyout, Bolsters Portfolio",https://www.zacks.com/stock/news/2205144/carrier-carr-completes-viessmann-buyout-bolsters-portfolio,2024-01-03 16:45:00,"Carrier (CARR) strengthens climate solutions portfolio with the Viessmann acquisition, taking the lead in intelligent HVAC for homes and small businesses.",CARR,0.380978,0.525883,Bullish
Carrier Completes Acquisition of Viessmann Climate Solutions,https://www.prnewswire.com/news-releases/carrier-completes-acquisition-of-viessmann-climate-solutions-302024500.html,2024-01-02 13:50:00,"Marks significant milestone in Carrier's transformation as the global leader in intelligent climate and energy solutions PALM BEACH GARDENS, Fla., Jan. 2, 2024 /PRNewswire/ -- Carrier Global Corporation ( NYSE: CARR ) announced today that it has completed its acquisition of Viessmann Climate ...",CARR,0.159922,0.296864,Somewhat-Bullish
How Is The Market Feeling About Carrier Global? - Carrier Global  ( NYSE:CARR ) ,https://www.benzinga.com/short-sellers/24/01/36443766/how-is-the-market-feeling-about-carrier-global,2024-01-01 14:45:32,"Carrier Global's CARR short percent of float has fallen 8.47% since its last report. The company recently reported that it has 24.08 million shares sold short, which is 3.24% of all regular shares that are available for trading.",CARR,0.221819,0.083071,Neutral
Price Over Earnings Overview: Carrier Global - Carrier Global  ( NYSE:CARR ) ,https://www.benzinga.com/news/23/12/36432759/price-over-earnings-overview-carrier-global,2023-12-29 19:30:14,"In the current market session, Carrier Global Inc. CARR stock price is at $57.50, after a 0.24% decrease. However, over the past month, the company's stock increased by 7.80%, and in the past year, by 37.88%.",CARR,0.43789,0.197604,Somewhat-Bullish
Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2203840/are-you-a-growth-investor-this-1-stock-could-be-the-perfect-pick,2023-12-29 17:34:11,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CARR,0.446742,0.374816,Bullish
"Haier Smart Home Finds Bargain In Commercial Refrigeration Acquisition - Carrier Global  ( NYSE:CARR ) , Honeywell Intl  ( NASDAQ:HON ) ",https://www.benzinga.com/markets/asia/23/12/36402742/haier-smart-home-finds-bargain-in-commercial-refrigeration-acquisition,2023-12-27 19:09:25,"Haier Smart Home has agreed to acquire Carrier Global's commercial refrigeration business for $640 million, translating to a relatively low price-to-earnings ( P/E ) valuation of 11 As a veteran of overseas acquisitions, the appliance maker will be looking to improve Carrier Commercial ...",CARR,0.157741,-0.004019,Neutral
5 Stocks to Watch on Their Recent Dividend Hike,https://www.zacks.com/stock/news/2200448/5-stocks-to-watch-on-their-recent-dividend-hike,2023-12-20 13:31:00,"Five stocks that have recently raised dividends are: BMY, PWR, CARR, AVGO, OC.",CARR,0.349575,0.232639,Somewhat-Bullish
Carrier's  ( CARR )  Viessmann Buyout Receives Approval in Europe,https://www.zacks.com/stock/news/2199911/carriers-carr-viessmann-buyout-receives-approval-in-europe,2023-12-19 14:06:00,"Carrier Global's (CARR) Viessmann acquisition is expected to be completed on Jan 2, 2024.",CARR,0.24847,0.302638,Somewhat-Bullish
Carrier  ( CARR )  Strengthens Portfolio With Latest Divestiture,https://www.zacks.com/stock/news/2198630/carrier-carr-strengthens-portfolio-with-latest-divestiture,2023-12-15 14:35:00,"Carrier (CARR) has been strengthening its portfolio with the divestiture of non-core assets, including commercial refrigeration and security businesses.",CARR,0.398781,0.307255,Somewhat-Bullish
"The daily business briefing: December 14, 2023",https://theweek.com/business/the-daily-business-briefing-december-14-2023,2023-12-14 12:46:01,1. Fed signals interest rate cuts in 2024 4. Pfizer shares plunge as Covid vaccine demand drops 5. Gas prices drop to lowest level of 2023 The Federal Reserve ended its last policy meeting of 2023 on Wednesday by keeping interest rates unchanged and projecting three rate cuts next year.,CARR,0.035345,0.078976,Neutral
2023: the year of sticker shock,https://theweek.com/sticker-shock-inflation-2023,2023-12-14 09:12:31,"There's no question that Americans had their doubts about the economy in 2023. Despite economic metrics booming, a strong jobs market and strength on Wall Street, there is one aspect still sewing discord among the population: price tags.",CARR,0.032646,0.07806,Neutral
Carrier Announces Agreement to Sell Carrier Commercial Refrigeration to Haier,https://www.prnewswire.com/news-releases/carrier-announces-agreement-to-sell-carrier-commercial-refrigeration-to-haier-302014694.html,2023-12-13 22:00:00,"PALM BEACH GARDENS, Fla., Dec. 13, 2023 /PRNewswire/ -- Carrier Global Corporation ( NYSE: CARR ) , global leader in intelligent climate and energy solutions, entered into a definitive agreement today to sell its global commercial refrigeration business to its decades-long joint venture partner ...",CARR,0.166169,0.257351,Somewhat-Bullish
"The daily business briefing: December 13, 2023",https://theweek.com/business/the-daily-business-briefing-december-13-2023,2023-12-13 13:23:13,"1. Inflation slows slightly ahead of Fed meeting 2. Apple update to offer Stolen Device Protection feature 3. Choice Hotels launches hostile takeover bid for rival Wyndham 4. Stock futures edge up ahead of Fed decision, wholesale inflation data 5. Judge approves bankrupt Yellow's sale of ...",CARR,0.033421,0.078332,Neutral
