title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
2 Financial Stocks You Can Buy Right Now Before They Surge Even Higher,https://www.fool.com/investing/2024/01/29/2-financial-stocks-you-can-buy-right-now-before-th/,2024-01-29 12:45:00,These two growth stocks have achieved stellar growth and could make an excellent addition to your diversified portfolio.,CBOE,0.04872,0.306296,Somewhat-Bullish
FN's Rising Stars: Where are they now?,https://www.fnlondon.com/articles/fns-rising-stars-where-are-they-now-20240129,2024-01-29 00:01:00,"Sign up to our newsletter to be first to hear about our lists and awards For almost two decades, Financial News has celebrated young talent in the industry. Some of its past rising stars, such as Baroness Helena Morrissey, Viswas Raghavan and Chris Rokos, have gone on to become major names in ...",CBOE,0.042048,0.0,Neutral
Here's Why CBOE Global  ( CBOE )  is a Strong Growth Stock,https://www.zacks.com/stock/news/2214987/heres-why-cboe-global-cboe-is-a-strong-growth-stock,2024-01-24 14:45:07,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,CBOE,0.568435,0.490077,Bullish
Trading in risky stock option bets surges as S&P 500 heads for back-to-back records,https://www.marketwatch.com/story/trading-in-risky-stock-option-bets-surges-as-s-p-500-heads-for-back-to-back-records-14721804,2024-01-22 20:06:00,"Trading in options contracts on the verge of expiration surged last week, just as the S&P 500 logged its first record close in two years ...",CBOE,0.098659,0.059106,Neutral
Spot bitcoin ETFs are taking Wall Street by storm. Experts say options are next,https://www.cnbc.com/2024/01/20/spot-bitcoin-etfs-will-make-new-market-options-according-to-experts.html,2024-01-20 16:00:01,"Options on newly minted spot bitcoin ETFs could help investors manage risk and open the door to more institutional traders, according to experts.",CBOE,0.121037,0.211118,Somewhat-Bullish
3 Stocks to Watch as Coinbase  ( COIN )  Takes Centerstage,https://www.zacks.com/stock/news/2212658/3-stocks-to-watch-as-coinbase-coin-takes-centerstage,2024-01-19 13:12:00,"CBOE, Interactive Brokers (IBKR) and Robinhood (HOOD) are three crypto exchanges that one must watch as Coinbase (COIN) takes centerstage on SEC approval of Bitcoin ETFs.",CBOE,0.196344,0.19651,Somewhat-Bullish
5 Solid Dividend Growth Stocks to Buy Amid Market Volatility,https://www.zacks.com/stock/news/2212625/5-solid-dividend-growth-stocks-to-buy-amid-market-volatility,2024-01-19 12:23:00,"Arcos Dorados (ARCO), Parker-Hannifin (PH), Vertiv Holdings (VRT), Cboe Global (CBOE) and Installed Building (IBP) could be solid choices amid market volatility.",CBOE,0.072217,0.16012,Somewhat-Bullish
Cboe Global  ( CBOE )  Up 53% in a Year: Time to Add to Portfolio?,https://www.zacks.com/stock/news/2212369/cboe-global-cboe-up-53-in-a-year-time-to-add-to-portfolio,2024-01-18 17:37:00,"Cboe Global's (CBOE) strong market position, global reach, proprietary products' strength and solid capital position poise it well for growth.",CBOE,0.305437,0.494063,Bullish
Why CBOE Global  ( CBOE )  is a Top Momentum Stock for the Long-Term,https://www.zacks.com/stock/news/2212137/why-cboe-global-cboe-is-a-top-momentum-stock-for-the-long-term,2024-01-18 14:50:08,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",CBOE,0.754041,0.3716,Bullish
American Express  ( AXP )  Announces Sale of Accertify to Accel-KKR,https://www.zacks.com/stock/news/2211343/american-express-axp-announces-sale-of-accertify-to-accel-kkr,2024-01-17 13:56:00,American Express (AXP) streamlines operations with the sale of its wholly-owned subsidiary Accertify.,CBOE,0.164468,0.0,Neutral
5 High ROE Stocks to Buy as Markets Dip on Inflation Worry,https://www.zacks.com/stock/news/2211269/5-high-roe-stocks-to-buy-as-markets-dip-on-inflation-worry,2024-01-17 12:49:00,"NRG Energy (NRG), Suzano (SUZ), Arch Resources (ARCH), Cboe Global Markets (CBOE) and Arch Capital (ACGL) are some of the stocks with high ROE to profit from as markets decline on inflation concern.",CBOE,0.146202,0.132794,Neutral
Here's Why You Should Buy American Express  ( AXP )  Stock Now,https://www.zacks.com/stock/news/2210864/heres-why-you-should-buy-american-express-axp-stock-now,2024-01-16 15:22:00,"Improved billed business, card fees and strategic partnerships poise American Express (AXP) well for growth.",CBOE,0.092569,0.0,Neutral
Best Momentum Stock to Buy for January 15th,https://www.zacks.com/commentary/2209995/best-momentum-stock-to-buy-for-january-15th,2024-01-15 13:01:00,"ACMR, CBOE and PINS made it to the Zacks Rank #1 (Strong Buy) momentum stocks list on January 15, 2024.",CBOE,0.68732,0.375832,Bullish
New Strong Buy Stocks for January 15th,https://www.zacks.com/commentary/2208916/new-strong-buy-stocks-for-january-15th,2024-01-15 11:54:00,"CBT, BROS, WRK, ROCK and CBOE have been added to the Zacks Rank #1 (Strong Buy) List on January 15, 2024.",CBOE,0.492659,0.257193,Somewhat-Bullish
"Zacks Industry Outlook Highlights CME Group, Intercontinental Exchange, Cboe Global Markets, Coinbase Global and MarketAxess",https://www.zacks.com/stock/news/2209901/zacks-industry-outlook-highlights-cme-group-intercontinental-exchange-cboe-global-markets-coinbase-global-and-marketaxess,2024-01-15 10:33:00,"CME Group, Intercontinental Exchange, Cboe Global Markets, Coinbase Global and MarketAxess have been highlighted in this Industry Outlook article.",CBOE,0.097655,0.195094,Somewhat-Bullish
5 Stocks to Watch From the Thriving Securities and Exchanges Industry,https://www.zacks.com/commentary/2209672/5-stocks-to-watch-from-the-thriving-securities-and-exchanges-industry,2024-01-12 18:09:00,"Product innovation, increased market volatility and a strategic economic market model are expected to aid Securities and Exchanges stocks like CME, ICE, CBOE, COIN and MKTX. However, compliance with regulations remains a challenge ...",CBOE,0.077177,0.149386,Neutral
