title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Chubb  ( CB )  Q4 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2218351/chubb-cb-q4-earnings-and-revenues-beat-estimates,2024-01-30 23:15:03,"Chubb (CB) delivered earnings and revenue surprises of 63.71% and 3.92%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",CB,0.406745,0.16916,Somewhat-Bullish
"Chubb Reports Record Fourth Quarter Per Share Net Income and Core Operating Income of $8.03 and $8.30, Up 156.5% and 107.5%, Respectively; Consolidated Net Premiums Written of $11.6 Billion, Up 13.4%, with P&C Up 12.5%; P&C Combined Ratio of 85.5%; Record Full-Year Per Share Net Income and Core Operating Income of $21.80 and $22.54, Up 75.9% and 48.5%, Respectively; Consolidated Net Premiums Written of $47.4 Billion, Up 13.5%, with P&C Up 9.9%; Record P&C Combined Ratio of 86.5%",https://www.prnewswire.com/news-releases/chubb-reports-record-fourth-quarter-per-share-net-income-and-core-operating-income-of-8-03-and-8-30-up-156-5-and-107-5-respectively-consolidated-net-premiums-written-of-11-6-billion-up-13-4-with-p-amp-c-up-12-5-p-amp-c-combined-ratio-of-85--838995070.html,2024-01-30 22:00:00,"Chubb Reports Record Fourth Quarter Per Share Net Income and Core Operating Income of $8.03 and $8.30, Up ... PR ...",CB,0.273014,0.261735,Somewhat-Bullish
Decoding Chubb's Options Activity: What's the Big Picture? - Chubb  ( NYSE:CB ) ,https://www.benzinga.com/insights/options/24/01/36853601/decoding-chubbs-options-activity-whats-the-big-picture,2024-01-30 20:15:38,"Investors with a lot of money to spend have taken a bearish stance on Chubb CB. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",CB,0.729947,0.100482,Neutral
Should You Buy Chubb  ( CB )  Ahead of Earnings?,https://www.zacks.com/stock/news/2216929/should-you-buy-chubb-cb-ahead-of-earnings,2024-01-29 13:34:00,Chubb (CB) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,CB,0.906257,0.538226,Bullish
Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,https://www.zacks.com/stock/news/2216499/why-this-1-value-stock-could-be-a-great-addition-to-your-portfolio,2024-01-26 14:40:07,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",CB,0.568651,-0.109879,Neutral
Is a Beat in Store for Chubb Limited  ( CB )  in Q4 Earnings?,https://www.zacks.com/stock/news/2216360/is-a-beat-in-store-for-chubb-limited-cb-in-q4-earnings,2024-01-26 13:11:00,"Chubb Limited's (CB) performance is likely to have benefited from rate increases, favorable prior period reserve development and strong renewal retention.",CB,0.481586,0.30814,Somewhat-Bullish
Ahead of Chubb  ( CB )  Q4 Earnings: Get Ready With Wall Street Estimates for Key Metrics,https://www.zacks.com/stock/news/2215695/ahead-of-chubb-cb-q4-earnings-get-ready-with-wall-street-estimates-for-key-metrics,2024-01-25 14:15:24,"Looking beyond Wall Street's top -and-bottom-line estimate forecasts for Chubb (CB), delve into some of its key metrics to gain a deeper insight into the company's potential performance for the quarter ended December 2023.",CB,0.327366,0.196119,Somewhat-Bullish
Hanover Insurance Group  ( THG )  Reports Next Week: Wall Street Expects Earnings Growth,https://www.zacks.com/stock/news/2215025/hanover-insurance-group-thg-reports-next-week-wall-street-expects-earnings-growth,2024-01-24 15:00:34,Hanover Insurance (THG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,CB,0.174587,0.011333,Neutral
Will Higher Costs Affect American Express'  ( AXP )  Q4 Earnings?,https://www.zacks.com/stock/news/2214500/will-higher-costs-affect-american-express-axp-q4-earnings,2024-01-23 18:31:00,American Express' (AXP) fourth-quarter results are likely to reflect rising interest income and average Worldwide Card Member Loans.,CB,0.080188,-0.088453,Neutral
Can Higher Costs Affect Virtu Financial's  ( VIRT )  Q4 Earnings?,https://www.zacks.com/stock/news/2214456/can-higher-costs-affect-virtu-financials-virt-q4-earnings,2024-01-23 17:43:00,"Virtu Financial's (VIRT) fourth-quarter results are likely to reflect higher average adjusted net trading income per day, especially in the Market Making segment.",CB,0.092213,-0.090583,Neutral
