title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Jim Cramer Won't Press 'Buy Button' On Chegg, Calls Out Insurers: 'They Have No Idea What's Going On' - Constellation Energy  ( NASDAQ:CEG ) , Chegg  ( NYSE:CHGG ) ",https://www.benzinga.com/trading-ideas/long-ideas/24/01/36819400/jim-cramer-wont-press-buy-button-on-this-stock-calls-out-insurers-they-have-no-idea-what,2024-01-29 14:16:32,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer recommended to buy Constellation Energy Corporation CEG. ""All the kin of energy that I like under one roof,"" he added. Constellation Energy, last month, announced the board approved a $1 billion increase to the company's previously announced $1 ...",CEG,0.488007,0.548383,Bullish
What Is In The Wind For Clean-Energy Stocks This Year After 2023 Sell-Off?,https://www.investors.com/research/industry-snapshot/clean-energy-stocks-sold-off-in-2023-now-all-eyes-are-on-the-ira-and-the-election/,2024-01-25 21:44:00,Clean-Energy Stocks Sold Off In 2023. Now All Eyes Are On The IRA And The Election. Investor's Business Daily ...,CEG,0.065775,0.07586,Neutral
"Zacks Industry Outlook Highlights Constellation Energy, Bloom Energy and Enovix",https://www.zacks.com/stock/news/2214702/zacks-industry-outlook-highlights-constellation-energy-bloom-energy-and-enovix,2024-01-24 09:33:00,"Constellation Energy, Bloom Energy and Enovix have been highlighted in this Industry Outlook article.",CEG,0.224903,0.225435,Somewhat-Bullish
"Zacks Industry Outlook Highlights Constellation Energy, Bloom Energy and Enovix",https://www.zacks.com/stock/news/2213984/zacks-industry-outlook-highlights-constellation-energy-bloom-energy-and-enovix,2024-01-23 12:56:00,"Constellation Energy, Bloom Energy and Enovix are part of the Zacks Industry Outlook article.",CEG,0.220058,0.221696,Somewhat-Bullish
3 Alternative Energy Stocks to Watch Amid Rising Material Cost,https://www.zacks.com/commentary/2213299/3-alternative-energy-stocks-to-watch-amid-rising-material-cost,2024-01-22 13:14:00,"Notable wind generation projection in the United States for 2024 should bolster alternative energy stocks amid the impact of the strained U.S.-China relationship. You may keep CEG, BE and ENVX in your watchlist.",CEG,0.199741,0.263051,Somewhat-Bullish
NRG Energy  ( NRG )  Rewards Shareholders With 8% Dividend Hike,https://www.zacks.com/stock/news/2213312/nrg-energy-nrg-rewards-shareholders-with-8-dividend-hike,2024-01-22 13:06:00,NRG Energy (NRG) continues to increase shareholders' value as its board of directors approves an 8% quarterly dividend hike.,CEG,0.07446,0.088239,Neutral
Is Invesco S&P 500 Equal Weight Utilities ETF  ( RSPU )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2213251/is-invesco-sp-500-equal-weight-utilities-etf-rspu-a-strong-etf-right-now,2024-01-22 11:20:06,Smart Beta ETF report for ...,CEG,0.120431,0.066732,Neutral
Alliance Resource  ( ARLP )  to Bring Innovative Motor Technology,https://www.zacks.com/stock/news/2212035/alliance-resource-arlp-to-bring-innovative-motor-technology,2024-01-18 14:05:00,Alliance Resource's (ARLP) subsidiary Matrix Design Group and Infinitum sign an agreement to bring groundbreaking motor technology to the mining industry.,CEG,0.150592,0.069765,Neutral
Keep Your Eye On These 5 Dividend-Growth Masters,https://www.forbes.com/sites/brettowens/2024/01/15/keep-your-eye-on-these-5-dividend-growth-masters/,2024-01-15 13:15:00,"As inflation calms down, these dividend stocks are going to fire up. I'm talking about five stocks with payouts popping between 33% and 100% per year. And these are safe, profitable businesses powered by good ol' fashioned cash flow. I know, what a concept.",CEG,0.154059,0.170045,Somewhat-Bullish
Emeren Group  ( SOL )  Buys 10.76 MWh Storage Portfolio in China,https://www.zacks.com/stock/news/2208030/emeren-group-sol-buys-1076-mwh-storage-portfolio-in-china,2024-01-10 10:51:00,"Emeren Group (SOL), through this acquisition, will further expand its energy storage operation in China.",CEG,0.208764,0.113384,Neutral
Investor Alert: 3 New Additions to the Zacks Rank You Do Not Want to Miss,https://www.zacks.com/commentary/2207684/investor-alert-3-new-additions-to-the-zacks-rank-you-do-not-want-to-miss,2024-01-09 21:24:00,The Zacks Rank is one of the most powerful tools in the suite of products offered by ...,CEG,0.33628,0.357929,Bullish
America Has Plenty of Natural Gas. So Why Is New England Left Out in the Cold?,https://www.wsj.com/finance/commodities-futures/america-has-plenty-of-natural-gas-so-why-is-new-england-left-out-in-the-cold-1df47f7e,2024-01-09 18:10:00,Threatened closure of a Massachusetts import facility sparks worry about the Northeast's energy supplies.,CEG,0.366061,0.171725,Somewhat-Bullish
America Has Plenty of Natural Gas. So Why Is New England Left Out in the Cold?,https://www.wsj.com/finance/commodities-futures/america-has-plenty-of-natural-gas-so-why-is-new-england-left-out-in-the-cold-1df47f7e,2024-01-09 10:30:00,Threatened closure of a Massachusetts import facility sparks worry about the Northeast's energy supplies.,CEG,0.366061,0.171725,Somewhat-Bullish
Is It Time to Buy the Nasdaq's 3 Worst-Performing December Stocks?,https://www.fool.com/investing/2024/01/04/time-to-buy-nasdaq-3-worst-performing-stocks/,2024-01-04 14:05:00,There's mostly upward momentum in the Nasdaq these days.,CEG,0.203643,0.351178,Bullish
Looking Into Constellation Energy's Recent Short Interest - Constellation Energy  ( NASDAQ:CEG ) ,https://www.benzinga.com/short-sellers/24/01/36472133/looking-into-constellation-energys-recent-short-interest,2024-01-03 15:45:23,"Constellation Energy's CEG short percent of float has risen 3.83% since its last report. The company recently reported that it has 6.10 million shares sold short, which is 2.17% of all regular shares that are available for trading.",CEG,0.221819,0.155473,Somewhat-Bullish
Should You Invest in the Invesco S&P 500 Equal Weight Utilities ETF  ( RSPU ) ?,https://www.zacks.com/stock/news/2204028/should-you-invest-in-the-invesco-sp-500-equal-weight-utilities-etf-rspu,2024-01-01 11:20:06,Sector ETF report for ...,CEG,0.134968,0.071604,Neutral
A Look Into Constellation Energy Inc's Price Over Earnings - Constellation Energy  ( NASDAQ:CEG ) ,https://www.benzinga.com/news/23/12/36411639/a-look-into-constellation-energy-incs-price-over-earnings,2023-12-28 14:45:20,"In the current market session, Constellation Energy Inc. CEG share price is at $118.72, after a 1.11% spike. Moreover, over the past month, the stock decreased by 2.09%, but in the past year, increased by 37.47%.",CEG,0.532941,0.391758,Bullish
Reasons to Add JinkoSolar  ( JKS )  to Your Portfolio Right Now,https://www.zacks.com/stock/news/2203015/reasons-to-add-jinkosolar-jks-to-your-portfolio-right-now,2023-12-28 12:58:00,"JinkoSolar (JKS) makes a strong case for investment, given its positive growth estimates, strong financial position and increasing demand.",CEG,0.232069,-0.031578,Neutral
3 Renewable Energy Stocks Poised to Beat the Market in 2024,https://www.zacks.com/stock/news/2202090/3-renewable-energy-stocks-poised-to-beat-the-market-in-2024,2023-12-26 13:22:00,"The International Energy Agency projects cumulative world renewable capacity to reach more than 4500 gigawatts (GW) at the end of 2024. This should encourage one to buy stocks like CEG, RNW and NXT.",CEG,0.204936,0.293654,Somewhat-Bullish
Fluence Energy Stock Climb Into Higher Rating Level,https://www.investors.com/news/fluence-energy-stock-climb-into-higher-rating-level/,2023-12-22 20:01:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Fluence Energy ( FLNC ) stock , which had its Relative Strength ( RS ) Rating upgraded from 66 to 84 Friday.",CEG,0.323078,0.0,Neutral
Stock Upgrades: Fluence Energy Shows Rising Relative Strength,https://www.investors.com/ibd-data-stories/stock-upgrades-fluence-energy-shows-rising-relative-strength/,2023-12-22 08:00:00,"When looking for the best stocks to buy and watch, focus on those with rising relative price strength. One stock that fits that bill is Fluence Energy ( FLNC ) , which had its Relative Strength ( RS ) Rating upgraded from 66 to 84 Friday.",CEG,0.345674,0.0,Neutral
Peering Into Constellation Energy's Recent Short Interest - Constellation Energy  ( NASDAQ:CEG ) ,https://www.benzinga.com/short-sellers/23/12/36291038/peering-into-constellation-energys-recent-short-interest,2023-12-18 20:45:18,"Constellation Energy's CEG short percent of float has risen 5.56% since its last report. The company recently reported that it has 5.87 million shares sold short, which is 2.09% of all regular shares that are available for trading.",CEG,0.221819,0.155473,Somewhat-Bullish
COP28 and Price Surge Power These Uranium ETFs,https://www.zacks.com/stock/news/2199598/cop28-and-price-surge-power-these-uranium-etfs,2023-12-18 19:55:00,"An essential component in sustainable and reliable energy generation, the surge in uranium prices and the deal reached by COP28, increasing exposure to the metal can benefit investors.",CEG,0.099271,0.184155,Somewhat-Bullish
"Constellation Energy, Battalion Oil And Other Big Stocks Moving Higher On Friday - ATN International  ( NASDAQ:ATNI ) , Alector  ( NASDAQ:ALEC ) ",https://www.benzinga.com/news/23/12/36259202/constellation-energy-battalion-oil-and-other-big-stocks-moving-higher-on-friday,2023-12-15 15:21:51,"U.S. stocks traded mixed, with the Nasdaq Composite gaining around 60 points on Friday. Here are some other big stocks recording gains in today's session. Battalion Oil Corporation BATL rose 81.4% to $9.57 after the company announced it will be acquired by Fury Resources. loanDepot, Inc.",CEG,0.371523,0.572361,Bullish
Constellation Energy and Winnebago Industries have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2197888/constellation-energy-and-winnebago-industries-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2023-12-14 13:50:00,Constellation Energy and Winnebago Industries are part of the Zacks Bull and Bear of the Day article.,CEG,0.229769,0.39507,Bullish
Bull of the Day: Constellation Energy Corporation  ( CEG ) ,https://www.zacks.com/commentary/2197608/bull-of-the-day-constellation-energy-corporation-ceg,2023-12-14 09:30:00,Constellation Energy Corporation is a compelling standout in the Utilities sector because of its exposure to nuclear energy ...,CEG,0.608634,0.759259,Bullish
Has Constellation Energy Corporation  ( CEG )  Outpaced Other Oils-Energy Stocks This Year?,https://www.zacks.com/stock/news/2197343/has-constellation-energy-corporation-ceg-outpaced-other-oils-energy-stocks-this-year,2023-12-13 14:40:10,Here is how Constellation Energy Corporation (CEG) and Ecopetrol (EC) have performed compared to their sector so far this year.,CEG,0.749418,0.424186,Bullish
Is First Trust Large Cap Growth AlphaDEX ETF  ( FTC )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2195937/is-first-trust-large-cap-growth-alphadex-etf-ftc-a-strong-etf-right-now,2023-12-11 11:20:08,Smart Beta ETF report for ...,CEG,0.108466,0.05977,Neutral
"Top 2 Utilities Stocks That Could Blast Off In December - Eco Wave Power Global  ( NASDAQ:WAVE ) , Constellation Energy  ( NASDAQ:CEG ) ",https://www.benzinga.com/trading-ideas/long-ideas/23/12/36151268/top-2-utilities-stocks-that-could-blast-off-in-december,2023-12-08 12:21:01,"The most oversold stocks in the utilities sector presents an opportunity to buy into undervalued companies. The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when prices go down.",CEG,0.507932,-0.343149,Somewhat-Bearish
4 Mid-Cap Value Mutual Funds to Build a Solid Portfolio,https://www.zacks.com/stock/news/2195232/4-mid-cap-value-mutual-funds-to-build-a-solid-portfolio,2023-12-08 10:59:00,"Invest in mid-cap value mutual funds like FDVLX, VASVX, VEVRX and MDRFX for long-term gains.",CEG,0.044634,0.047929,Neutral
"The Zacks Analyst Blog Highlights NVIDIA, Vertiv Holdings, Copart, Insulet and Constellation Energy",https://www.zacks.com/stock/news/2193323/the-zacks-analyst-blog-highlights-nvidia-vertiv-holdings-copart-insulet-and-constellation-energy,2023-12-05 10:01:00,"NVIDIA, Vertiv Holdings, Copart, Insulet and Constellation Energy are included in this Analyst Blog.",CEG,0.254307,0.166199,Somewhat-Bullish
Top 5 Momentum Picks for December After Rejuvenated November,https://www.zacks.com/stock/news/2192791/top-5-momentum-picks-for-december-after-rejuvenated-november,2023-12-04 12:49:00,"Five momentum stocks for December are: NVDA, VRT, CPRT, CEG, PODD.",CEG,0.225321,0.287584,Somewhat-Bullish
Spotlight on Constellation Energy: Analyzing the Surge in Options Activity - Constellation Energy  ( NASDAQ:CEG ) ,https://www.benzinga.com/markets/options/23/11/36008486/spotlight-on-constellation-energy-analyzing-the-surge-in-options-activity,2023-11-29 18:16:35,"Investors with a lot of money to spend have taken a bearish stance on Constellation Energy CEG. We noticed this today when the trades showed up on publicly available options history that we track here at Benzinga. Whether these are institutions or just wealthy individuals, we don't know.",CEG,0.747404,0.498888,Bullish
Should First Trust Large Cap Growth AlphaDEX ETF  ( FTC )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2190645/should-first-trust-large-cap-growth-alphadex-etf-ftc-be-on-your-investing-radar,2023-11-29 11:20:07,Style Box ETF report for ...,CEG,0.116631,0.066983,Neutral
