title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Drivers see a return of the zero percent car loan with longer terms in Q4: report,https://www.foxbusiness.com/personal-finance/return-zero-percent-car-loan,2024-01-30 19:55:49,"Drivers got a better deal on auto loan terms during the fourth quarter of 2023, a recent report said. The share of new-vehicle sales with 0% APR financing ticked up to 2.3% of sales during the fourth quarter from 1.1% in the previous quarter, the Edmunds report said.",CFG,0.053629,-0.062756,Neutral
Peapack-Gladstone  ( PGC )  Misses Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2216187/peapack-gladstone-pgc-misses-q4-earnings-and-revenue-estimates,2024-01-25 23:00:04,"Peapack-Gladstone (PGC) delivered earnings and revenue surprises of -10.71% and 1.18%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",CFG,0.141726,0.0,Neutral
MIMEDX Announces Improved Capital Structure with New Senior Secured Credit Facilities and Debt Refinancing - MiMedx Group  ( NASDAQ:MDXG ) ,https://www.benzinga.com/pressreleases/24/01/g36714267/mimedx-announces-improved-capital-structure-with-new-senior-secured-credit-facilities-and-debt-ref,2024-01-22 13:00:00,"MARIETTA, Ga., Jan. 22, 2024 ( GLOBE NEWSWIRE ) -- MiMedx Group, Inc. MDXG ( ""MIMEDX"" or the ""Company"" ) today announced that it has enhanced its capital structure by refinancing its existing indebtedness and obtaining additional borrowing capacity in support of the Company's future growth ...",CFG,0.095138,0.140868,Neutral
Stocks Showing Improved Relative Strength: Citizens Financial Group,https://www.investors.com/ibd-data-stories/stocks-showing-improved-relative-strength-citizens-financial-group/,2024-01-22 08:00:00,"The Relative Strength ( RS ) Rating for Citizens Financial Group ( CFG ) moved into a higher percentile Monday, as it got a lift from 66 to 77. X When looking for the best stocks to buy and watch, be sure to pay attention to relative price strength.",CFG,0.716023,0.270968,Somewhat-Bullish
"Citizens Financial  ( CFG )  Q4 Earnings Miss, NII Declines",https://www.zacks.com/stock/news/2211669/citizens-financial-cfg-q4-earnings-miss-nii-declines,2024-01-17 18:02:00,Citizens Financial (CFG) Q4 earnings are affected by a decline in revenues and higher expenses.,CFG,0.176717,0.0,Neutral
Why Citizens Financial Shares Are Sliding Today - Citizens Financial Group  ( NYSE:CFG ) ,https://www.benzinga.com/news/earnings/24/01/36658771/why-citizens-financial-shares-are-sliding-today,2024-01-17 13:31:22,"Citizens Financial Group Inc CFG shares are trading lower after the company reported fourth-quarter FY23 earnings. The company reported a revenue decline of 10% Y/Y to $1.988 billion, missing the analyst consensus of $1.996 billion.",CFG,0.606385,0.256454,Somewhat-Bullish
Citizens Financial Group  ( CFG )  Q4 Earnings and Revenues Miss Estimates,https://www.zacks.com/stock/news/2211260/citizens-financial-group-cfg-q4-earnings-and-revenues-miss-estimates,2024-01-17 12:35:02,"Citizens Financial Group (CFG) delivered earnings and revenue surprises of -43.33% and 0.69%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",CFG,0.389889,0.075055,Neutral
Apple and Tesla may no longer be 'safe investments' as China's troubles grow,https://www.marketwatch.com/story/apple-and-tesla-may-no-longer-be-safe-investments-as-chinas-troubles-grow-b05905db,2024-01-17 11:43:00,"China pushed out disappointing growth numbers, which may not help Apple and Tesla as they fight for market share in the country.",CFG,0.088309,0.0,Neutral
Stock Market Today: Stocks Fall After Fed Official Says There's No Need to Rush Rate Cuts,https://www.kiplinger.com/investing/stocks/stock-market-today-stocks-fall-after-fed-official-says-theres-no-need-to-rush-rate-cuts,2024-01-16 21:09:14,"The three major indexes spent most or all of Tuesday in the red following some mixed corporate earnings reports and hawkish comments on the need for speedy interest rate cuts from a Fed governor. Never mind that fourth-quarter earnings season is kicking into gear, or the busy schedule of economic ...",CFG,0.097854,-0.057977,Neutral
CFG: Bank Earnings Showdown: Pinnacle Financial Partners  ( PNFP )  and Citizens Financial  ( CFG ) ,https://stocknews.com/news/cfg-pnfp-bank-earnings-showdown-pinnacle-financial-partners-pnfp-and-citizens-financial/,2024-01-15 13:17:47,CFG: Bank Earnings Showdown: Pinnacle Financial Partners ( PNFP ) and Citizens Financial ...,CFG,0.238133,-0.044116,Neutral
Citizens Financial Group  ( CFG )  Q4 Earnings Preview: What You Should Know Beyond the Headline Estimates,https://www.zacks.com/stock/news/2209035/citizens-financial-group-cfg-q4-earnings-preview-what-you-should-know-beyond-the-headline-estimates,2024-01-11 16:54:00,Get a deeper insight into the potential performance of Citizens Financial Group (CFG) for the quarter ended December 2023 by going beyond Wall Street's top -and-bottom-line estimates and examining the estimates for some of its key metrics.,CFG,0.339046,0.083618,Neutral
"Middle-market merger optimism 'pops' to highest level since 2020, survey says",https://www.marketwatch.com/story/middle-market-merger-optimism-pops-to-highest-level-since-2020-new-survey-says-4e408e79,2024-01-10 18:27:00,An annual mergers-and-acquisitions survey of middle-market companies and private equity firms on Wednesday revealed the highest amount of optimism in four years around deals to come.,CFG,0.308891,0.116017,Neutral
What's in Store for Citizens Financial  ( CFG )  in Q4 Earnings?,https://www.zacks.com/stock/news/2208371/whats-in-store-for-citizens-financial-cfg-in-q4-earnings,2024-01-10 16:09:00,"Increasing funding costs are likely to have hurt Citizens Financial's (CFG) Q4 NII growth. Nonetheless, given the improvement in deal making business, fee income is likely to aid Q4 results.",CFG,0.266504,0.071573,Neutral
Citizens Financial Group  ( CFG )  Expected to Beat Earnings Estimates: Should You Buy?,https://www.zacks.com/stock/news/2208322/citizens-financial-group-cfg-expected-to-beat-earnings-estimates-should-you-buy,2024-01-10 15:00:08,Citizens Financial Group (CFG) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,CFG,0.295273,0.155171,Somewhat-Bullish
"Wall Street posts small Friday win, but first weekly decline in ten",https://www.moneycontrol.com/news/business/markets/wall-street-posts-small-friday-win-but-first-weekly-decline-in-ten-12007591.html,2024-01-06 03:57:07,"All three benchmarks recorded their first weekly declines for ten weeks: the SP 500 dropped 1.54%, while the Nasdaq Composite slumped 3.26%, and the Dow Jones Industrial Average dipped 0.59%.",CFG,0.067536,0.15854,Somewhat-Bullish
"Soft Loan Demand, High Cost to Ail Citigroup's  ( C )  Q4 Earnings",https://www.zacks.com/stock/news/2206533/soft-loan-demand-high-cost-to-ail-citigroups-c-q4-earnings,2024-01-05 18:42:00,"Waning loan demand is likely to have hindered Citigroup's (C) Q4 NII growth. Also, the likelihood of a higher expense base is concerning. Nonetheless, green shoots in IB business is likely to aid results.",CFG,0.060925,0.0,Neutral
Growth in AUM Likely to Support BlackRock's  ( BLK )  Q4 Earnings,https://www.zacks.com/stock/news/2206501/growth-in-aum-likely-to-support-blackrocks-blk-q4-earnings,2024-01-05 17:32:00,"BlackRock (BLK) is expected to have witnessed AUM growth in the fourth quarter of 2023, supported by inflows.",CFG,0.155786,0.089457,Neutral
Can Wells Fargo  ( WFC )  Retain Its Beat Streak in Q4 Earnings?,https://www.zacks.com/stock/news/2206485/can-wells-fargo-wfc-retain-its-beat-streak-in-q4-earnings,2024-01-05 17:28:00,"Subdued loans are likely to have hindered Wells Fargo's (WFC) Q4 net interest income. Also, high expenses and declining mortgage banking revenues are concerning.",CFG,0.073659,0.0,Neutral
"NII Dip to Hurt BNY Mellon's  ( BK )  Q4 Earnings, Fee Income to Aid",https://www.zacks.com/stock/news/2206484/nii-dip-to-hurt-bny-mellons-bk-q4-earnings-fee-income-to-aid,2024-01-05 17:27:00,BNY Mellon's (BK) interest income is expected to have declined in the fourth quarter of 2023 due to weak loan demand and higher deposit costs.,CFG,0.147516,0.089067,Neutral
Meet The Stoic Banker Who's Doubling Down On New York,https://www.forbes.com/sites/dianebrady/2024/01/05/meet-the-stoic-banker-whos-doubling-down-on-new-york/,2024-01-05 11:00:00,"Bruce Van Saun, chairman and CEO of Citizen's Financial Group, reveals his strategy for good times and bad.",CFG,0.227007,-0.027332,Neutral
The Middlefield Banking Company Enhances Leadership Team to Support Continued Growth - Middlefield Banc  ( NASDAQ:MBCN ) ,https://www.benzinga.com/pressreleases/24/01/g36488103/the-middlefield-banking-company-enhances-leadership-team-to-support-continued-growth,2024-01-04 13:00:21,"MIDDLEFIELD, Ohio, Jan. 04, 2024 ( GLOBE NEWSWIRE ) -- The Middlefield Banking Company, a wholly owned subsidiary of Middlefield Banc Corp. MBCN, today announced enhancements to its leadership team to support the Company's growth across its Central, Western, and Northeast Ohio markets.",CFG,0.047749,0.038417,Neutral
How to Find Strong Finance Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2203588/how-to-find-strong-finance-stocks-slated-for-positive-earnings-surprises,2023-12-29 13:50:02,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,CFG,0.389889,0.369301,Bullish
Will Citigroup's  ( C )  Business Transformation Moves Aid in 2024?,https://www.zacks.com/stock/news/2202186/will-citigroups-c-business-transformation-moves-aid-in-2024,2023-12-26 14:32:00,"With a view to enhance efficiency and generate higher returns, Citigroup (C) continues to undertake various strategic business transformational initiatives. Will this have a positive impact on the stock in 2024?",CFG,0.094514,0.170207,Somewhat-Bullish
What's In The Stock Market Forecast For 2024?,https://www.investors.com/news/stock-market-forecast-2024-a-soft-landing-may-not-bring-the-gains-you-expect/,2023-12-22 13:00:00,Stock Market Forecast 2024: A Soft Landing May Not Bring The Gains You Expect Investor's Business Daily ...,CFG,0.024711,-0.085091,Neutral
