title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Chubb Reports Record Fourth Quarter Per Share Net Income and Core Operating Income of $8.03 and $8.30, Up 156.5% and 107.5%, Respectively; Consolidated Net Premiums Written of $11.6 Billion, Up 13.4%, with P&C Up 12.5%; P&C Combined Ratio of 85.5%; Record Full-Year Per Share Net Income and Core Operating Income of $21.80 and $22.54, Up 75.9% and 48.5%, Respectively; Consolidated Net Premiums Written of $47.4 Billion, Up 13.5%, with P&C Up 9.9%; Record P&C Combined Ratio of 86.5%",https://www.prnewswire.com/news-releases/chubb-reports-record-fourth-quarter-per-share-net-income-and-core-operating-income-of-8-03-and-8-30-up-156-5-and-107-5-respectively-consolidated-net-premiums-written-of-11-6-billion-up-13-4-with-p-amp-c-up-12-5-p-amp-c-combined-ratio-of-85--838995070.html,2024-01-30 22:00:00,"Chubb Reports Record Fourth Quarter Per Share Net Income and Core Operating Income of $8.03 and $8.30, Up ... PR ...",CI,0.010317,0.090309,Neutral
Cigna  ( CI )  to Report Q4 Earnings: Can Rising Expenses Hurt?,https://www.zacks.com/stock/news/2218187/cigna-ci-to-report-q4-earnings-can-rising-expenses-hurt,2024-01-30 17:39:00,Cigna's (CI) fourth-quarter results are likely to reflect growth in Evernorth revenues and customer base.,CI,0.095517,0.106788,Neutral
Why Is Humana Stock Trading At 52-Week Low Today? - Humana  ( NYSE:HUM ) ,https://www.benzinga.com/news/earnings/24/01/36675703/healthcare-insurance-giant-humana-stock-hits-52-week-low-today-heres-why,2024-01-18 12:41:37,"Healthcare insurance firm Humana Inc HUM cut its fiscal 2023 earnings outlook as the costs of members' care exceeded its expectations. The company expects 2023 adjusted earnings to be $26.09 a share, per an SEC filing Thursday. Humana had earlier forecast at least $28.25 a share versus the ...",CI,0.149192,-0.089663,Neutral
The Cigna Group announces leadership changes to continue driving growth,https://www.prnewswire.com/news-releases/the-cigna-group-announces-leadership-changes-to-continue-driving-growth-302036419.html,2024-01-17 14:15:00,"• to continue as Chief Financial Officer, will serve as new President and CEO of Cigna Healthcare • to join The Cigna Group as Deputy Chief Financial Officer • to retire by end of 2024 and promoted to President of U.S.",CI,0.60098,0.276917,Somewhat-Bullish
Can UnitedHealth's  ( UNH )  UnitedHealthcare Unit Aid Q4 Earnings?,https://www.zacks.com/stock/news/2208976/can-unitedhealths-unh-unitedhealthcare-unit-aid-q4-earnings,2024-01-11 16:12:00,UnitedHealth's (UNH) fourth-quarter results are expected to benefit from an increase in UnitedHealthcare's Medicare & Retirement revenues as well as the number of people it served.,CI,0.134841,0.093161,Neutral
RS Earns a 95/100 on the Human Rights Campaign Foundation's 2023-2024 Corporate Equality Index,https://www.prnewswire.com/news-releases/rs-earns-a-95100-on-the-human-rights-campaign-foundations-20232024-corporate-equality-index-302028082.html,2024-01-10 16:00:00,"The HRC Foundation's annual CEI is the leading U.S. assessment of LGBTQ+ workplace equality, and as a proudly inclusive company, RS is honored to have increased its ranking by 15 points this year.",CI,0.030331,0.036848,Neutral
Can UnitedHealth  ( UNH )  Q4 Earnings Navigate Through High Costs?,https://www.zacks.com/stock/news/2208221/can-unitedhealth-unh-q4-earnings-navigate-through-high-costs,2024-01-10 14:28:00,UnitedHealth's (UNH) fourth-quarter results are likely to reflect growth in domestic commercial customers and premium levels.,CI,0.132368,0.07446,Neutral
Is Cigna  ( CI )  Nearing a Medicare Advantage Divestment Deal?,https://www.zacks.com/stock/news/2205738/is-cigna-ci-nearing-a-medicare-advantage-divestment-deal,2024-01-04 15:46:00,Cigna's (CI) Medicare Advantage unit's divestment is expected to fetch around $3-$4 billion.,CI,0.263942,0.30609,Somewhat-Bullish
Here's Why Cigna  ( CI )  is a Strong Value Stock,https://www.zacks.com/stock/news/2204140/heres-why-cigna-ci-is-a-strong-value-stock,2024-01-01 14:40:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CI,0.362858,0.219087,Somewhat-Bullish
Why You Should Retain Cigna  ( CI )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2203058/why-you-should-retain-cigna-ci-stock-in-your-portfolio,2023-12-28 13:46:00,"Cigna's (CI) strong Evernorth and Cigna Healthcare segments, growing medical membership and a positive 2023 outlook poise it well for growth.",CI,0.194632,0.271265,Somewhat-Bullish
We Need to Build a More Vital Workforce,https://www.theatlantic.com/sponsored/cigna-2023/we-need-to-build-a-more-vital-workforce/3846/,2023-12-20 19:45:48,"It's easy to think of one's health in binary terms: well or unwell. After all, a person either has an illness or does not. a person's leg is either broken or not. But to take such narrow measures of health is to misunderstand people's ability to thrive and therefore control their health and ...",CI,0.079195,0.16087,Somewhat-Bullish
Cigna's  ( CI )  Medicare Advantage Unit Draws Acquisition Interest,https://www.zacks.com/stock/news/2199338/cignas-ci-medicare-advantage-unit-draws-acquisition-interest,2023-12-18 14:22:00,The final bids for Cigna's (CI) Medicare Advantage unit are expected next week.,CI,0.173958,0.217888,Somewhat-Bullish
"The Zacks Analyst Blog Highlights The Home Depot, Advanced Micro Devices, Pfizer, The Cigna Group and Live Nation Entertainment",https://www.zacks.com/stock/news/2197286/the-zacks-analyst-blog-highlights-the-home-depot-advanced-micro-devices-pfizer-the-cigna-group-and-live-nation-entertainment,2023-12-13 14:15:00,"The Home Depot, Advanced Micro Devices, Pfizer, The Cigna Group and Live Nation Entertainment are part of the Zacks top Analyst Blog.",CI,0.197413,0.0,Neutral
"Jim Cramer Likes This Industrial Stock: 'It's Got A Terrific Aerospace Business' - AeroVironment  ( NASDAQ:AVAV ) , Cigna Group  ( NYSE:CI ) ",https://www.benzinga.com/trading-ideas/long-ideas/23/12/36210663/jim-cramer-likes-this-industrial-stock-its-got-a-terrific-aerospace-business,2023-12-13 13:31:46,"On CNBC's ""Mad Money Lightning Round,"" Jim Cramer said First Solar, Inc. FSLR is going down because of decline in oil prices. ""If oil bottoms, I think you have a win,"" he added. ""But why buy a stock that's levered to something that we have no control over?""",CI,0.279015,0.182975,Somewhat-Bullish
"Company News for Dec 12, 2023",https://www.zacks.com/stock/news/2196623/company-news-for-dec-12-2023,2023-12-12 13:06:00,"Companies In The News Are: M, CI, HUM, OXY, HAS.",CI,0.595343,-0.028234,Neutral
"Investor Optimism Improves Further Ahead Of Inflation Data; Dow Gains For Third Straight Day - Cigna Group  ( NYSE:CI ) , Champions Oncology  ( NASDAQ:CSBR ) ",https://www.benzinga.com/news/earnings/23/12/36190141/investor-optimism-improves-further-ahead-of-inflation-data-dow-gains-for-third-straight-day,2023-12-12 07:22:55,"The CNN Money Fear and Greed index showed further improvement in overall market sentiment, while the index remained in the ""Greed"" zone on Monday. U.S. stocks closed higher on Monday, with the Dow Jones index recording its highest close since Jan. 2022.",CI,0.228073,0.00179,Neutral
"Nasdaq Edges Higher; Macy's Shares Jump - Cigna Group  ( NYSE:CI ) , Cogent Biosciences  ( NASDAQ:COGT ) ",https://www.benzinga.com/news/earnings/23/12/36183276/nasdaq-edges-higher-macys-shares-jump,2023-12-11 19:26:20,"U.S. stocks traded higher toward the end of trading, with the Dow Jones index gaining around 100 points on Monday. The Dow traded up 0.26% to 36,341.44 while the NASDAQ rose 0.12% to 14,421.98. The S&P 500 also rose, gaining, 0.30% to 4,618.11. Industrials shares rose by 0.8% on Monday.",CI,0.164468,0.291429,Somewhat-Bullish
"Cigna  ( CI )  Adds $10B to Buyback Funds, Turns to Bolt-On Buyouts",https://www.zacks.com/stock/news/2196348/cigna-ci-adds-10b-to-buyback-funds-turns-to-bolt-on-buyouts,2023-12-11 17:13:00,Cigna (CI) expects to maintain average annual adjusted EPS growth within 10-13% in the long term.,CI,0.209365,0.136063,Neutral
"Dow Surges 100 Points; Cogent Biosciences Shares Plunge - Cigna Group  ( NYSE:CI ) , Cogent Biosciences  ( NASDAQ:COGT ) ",https://www.benzinga.com/news/earnings/23/12/36180702/dow-surges-100-points-cogent-biosciences-shares-plunge,2023-12-11 17:11:00,"U.S. stocks traded mixed midway through trading, with the Dow Jones index gaining more than 100 points on Monday. The Dow traded up 0.28% to 36,349.22 while the NASDAQ fell 0.36% to 14,352.34. The S&P 500 also rose, gaining, 0.06% to 4,607.02. Industrials shares rose by 0.9% on Monday.",CI,0.160633,0.287207,Somewhat-Bullish
"Why Green Giant Shares Are Trading Lower By Around 37%; Here Are 20 Stocks Moving Premarket - African Agriculture Hldgs  ( NASDAQ:AAGR ) , AcelRx Pharmaceuticals  ( NASDAQ:ACRX ) ",https://www.benzinga.com/news/23/12/36174622/why-green-giant-shares-are-trading-lower-by-around-37-here-are-20-stocks-moving-premarket,2023-12-11 12:59:28,"Shares of Green Giant Inc. GGE fell sharply in pre-market trading after announcing a proposed public offering. Green Giant shares dipped 37.1% to $0.1599 in pre-market trading. Here are some other stocks moving in pre-market trading. NextPlay Technologies, Inc.",CI,0.14131,0.259492,Somewhat-Bullish
"Cigna Calls Off Humana Merger, Joins Macy's, Snap And Other Big Stocks Moving Higher In Monday's Pre-Market Session",https://www.benzinga.com/news/23/12/36172362/cigna-calls-off-humana-merger-joins-macys-snap-and-other-big-stocks-moving-higher-in-mondays-pre-mar,2023-12-11 11:07:39,"U.S. stock futures were mixed this morning, with the Dow Jones futures trading almost flat on Monday. Shares of The Cigna Group CI shares rose sharply in pre-market trading. Cigna has withdrawn from its proposed merger with Humana Inc. HUM.",CI,0.238133,0.192912,Somewhat-Bullish
"Instead Of Humana Merger, Cigna Opts For $10 Billion Stock Buyback",https://www.forbes.com/sites/brucejapsen/2023/12/10/cigna-opts-for-10-billion-share-buyback-instead-of-humana-merger/,2023-12-10 19:03:56,"The Cigna Group is planning a $10 billion increase in its share repurchase authority, a major stock buyback that will take place instead of an acquisition of Humana, another large health insurance company.",CI,0.162802,0.308001,Somewhat-Bullish
The Cigna Group Announces Significant Increase to Share Repurchase Program of $10 Billion,https://www.prnewswire.com/news-releases/the-cigna-group-announces-significant-increase-to-share-repurchase-program-of-10-billion-302010753.html,2023-12-10 18:00:00,"Intends to Repurchase at Least $5 Billion of Common Stock by End of First Half of 2024, with Portion Executed Via ASR in First Quarter 2024 Reaffirms Previously Provided Outlook for Full-Year 2023",CI,0.236396,0.138855,Neutral
InnovationRx: Jewel In The Metaverse,https://www.forbes.com/sites/katiejennings/2023/12/06/innovationrx-jewel-in-the-metaverse/,2023-12-06 22:06:14,"InnovationRx is your weekly digest of healthcare news. To get it in your inbox, subscribe here. hink back to 1995. Scrunchies. Beanie Babies. And Jewel's first album ""Pieces of You."" The singer and songwriter, who also started a nonprofit to help at-risk youth, is now a digital health startup ...",CI,0.038906,0.070154,Neutral
MongoDB  ( MDB )  Q3 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2023/12/05/mongodb-mdb-q3-2024-earnings-call-transcript/,2023-12-06 02:45:14,"MDB earnings call for the period ending September 30, 2023.",CI,0.004375,0.070892,Neutral
Here's Why Cigna  ( CI )  is a Strong Growth Stock,https://www.zacks.com/stock/news/2193600/heres-why-cigna-ci-is-a-strong-growth-stock,2023-12-05 14:45:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CI,0.608634,0.41548,Bullish
CVS To Rebrand Growing Health Services As 'CVS Healthspire',https://www.forbes.com/sites/brucejapsen/2023/12/04/cvs-to-rebrand-growing-health-services-as-cvs-healthspire/,2023-12-04 23:19:49,"CVS Health is rebranding its health services segment under a new name, ""CVS Healthspire,"" as the company expands deeper into the provision of medical care. Under CVS chief executive officer Karen S.",CI,0.079921,0.157871,Somewhat-Bullish
Monogram Health Welcomes Greg Hicks to Executive Leadership Team - PR Newswire,https://www.prnewswire.com/news-releases/monogram-health-welcomes-greg-hicks-to-executive-leadership-team-302004014.html,2023-12-04 15:00:00,Monogram Health Welcomes Greg Hicks to Executive Leadership Team PR ...,CI,0.06515,0.138225,Neutral
Dow Giant UnitedHealth Tops Buy Point As Rivals Mull Merger,https://www.investors.com/research/ibd-stock-of-the-day/unh-stock-unitedhealth-tops-buy-point-as-cigna-humana-mull-merger/,2023-11-30 19:58:00,"UNH Stock: UnitedHealth Tops Buy Point As Cigna, Humana Mull ... Investor's Business Daily ...",CI,0.123844,0.10972,Neutral
Analyzing Cigna & Humana Merger Talks: Opportunities & Obstacles,https://www.zacks.com/stock/news/2191353/analyzing-cigna-humana-merger-talks-opportunities-obstacles,2023-11-30 13:31:00,"The Cigna-Humana merger will provide the combined body with increased negotiation power with healthcare providers, pharmaceutical companies and other stakeholders.",CI,0.123844,0.044486,Neutral
Why A Cigna-Humana Merger Makes Some Sense,https://www.forbes.com/sites/brucejapsen/2023/11/29/why-a-cigna-humana-merger-makes-some-sense/,2023-11-29 18:11:09,"Reports that health insurance giants Humana and Cigna may merge in a blockbuster deal could make sense given strengths each has in Medicare Advantage and commercial coverage. The deal could come together by the end of the year, the Wall Street Journal reported.",CI,0.065506,0.015104,Neutral
Here's Why Investors Should Hold Cigna  ( CI )  Stock for Now,https://www.zacks.com/stock/news/2190392/heres-why-investors-should-hold-cigna-ci-stock-for-now,2023-11-28 15:19:00,Cigna (CI) expects total medical customer growth to be a minimum of 1.4 million this year.,CI,0.166935,0.33006,Somewhat-Bullish
Why Cigna  ( CI )  is a Top Value Stock for the Long-Term,https://www.zacks.com/stock/news/2189719/why-cigna-ci-is-a-top-value-stock-for-the-long-term,2023-11-27 14:40:06,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CI,0.464633,0.256507,Somewhat-Bullish
"Zacks Industry Outlook Highlights UnitedHealth, The Cigna, Humana, Centene and Molina Healthcare",https://www.zacks.com/stock/news/2187194/zacks-industry-outlook-highlights-unitedhealth-the-cigna-humana-centene-and-molina-healthcare,2023-11-21 14:22:00,"UnitedHealth, The Cigna, Humana, Centene and Molina Healthcare are part of the Zacks Industry Outlook article.",CI,0.084201,0.16269,Somewhat-Bullish
"5 HMO Stocks Set to Gain From Growing Membership, Tech Advancements",https://www.zacks.com/commentary/2186490/5-hmo-stocks-set-to-gain-from-growing-membership-tech-advancements,2023-11-20 15:37:00,"Rising premiums, contract wins, a telehealth services suite and the M&A strategy are expected to drive the performances of the Zacks Medical-HMO industry players. UNH, CI, HUM, CNC and MOH are poised to benefit from encouraging industry prospects.",CI,0.064449,0.169431,Somewhat-Bullish
Cigna  ( CI )  Unit Unveils Pricing Model for Pharmacy Clients,https://www.zacks.com/stock/news/2184766/cigna-ci-unit-unveils-pricing-model-for-pharmacy-clients,2023-11-15 16:47:00,Cigna's (CI) sub-unit Express Scripts introduces a pricing option for prescription drugs that may bolster the customer base and fetch higher pharmacy revenues to the health insurer.,CI,0.199037,0.148813,Neutral
Michael Burry of 'Big Short' fame is betting against high-flying semiconductor stocks,https://www.marketwatch.com/story/michael-burry-of-big-short-fame-is-betting-against-high-flying-semiconductor-stocks-a0ef4de5,2023-11-14 20:44:00,Michael Burry unveiled a couple of new bearish bets in a quarterly filing from his Scion Asset Management released Tuesday.,CI,0.150592,0.160009,Somewhat-Bullish
ELV: 3 Medical Stocks Set for Potential Weekly Gains,https://stocknews.com/news/elv-ci-moh-3-medical-stocks-set-for-potential-weekly-gains/,2023-11-14 16:48:49,The fast-paced growth in healthcare expenses is driving the demand for health insurance as it can not only save one's life but also save a person from financial ruin. Health insurance plays a crucial role in managing financial risks.,CI,0.099476,0.177823,Somewhat-Bullish
Express Scripts Introduces New Option To Give Clients Maximum Simplicity in Drug Pricing - PR Newswire,https://www.prnewswire.com/news-releases/express-scripts-introduces-new-option-to-give-clients-maximum-simplicity-in-drug-pricing-301986745.html,2023-11-14 13:00:00,Express Scripts Introduces New Option To Give Clients Maximum Simplicity in Drug Pricing PR ...,CI,0.400531,0.296647,Somewhat-Bullish
Are You a Value Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2181616/are-you-a-value-investor-this-1-stock-could-be-the-perfect-pick,2023-11-09 14:40:06,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CI,0.597963,0.302327,Somewhat-Bullish
"Breast Cancer Awareness Month, Mental Health, and More Health News Trends",https://www.prnewswire.com/resources/news-trends/health-news-trends-sept-oct-2023,2023-11-08 15:35:56,"A look at health news from PR Newswire in September and October that you might have missed. PR Newswire distributed over 6,000 health-related press releases in September and October. That's a huge amount of health news to consume and keep up with, so our team tracked the headlines to identify ...",CI,0.033515,0.105326,Neutral
Are You a Momentum Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2180901/are-you-a-momentum-investor-this-1-stock-could-be-the-perfect-pick,2023-11-08 14:50:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CI,0.568148,0.240967,Somewhat-Bullish
What's Going On With Cigna Stock Today? - Cigna Group  ( NYSE:CI ) ,https://www.benzinga.com/news/23/11/35657272/whats-going-on-with-cigna-stock-today,2023-11-07 20:43:39,The Cigna Group CI shares are trading lower on Tuesday. The stock has been falling since the company reported third-quarter earnings last week. What To Know: Cigna reported third-quarter financial results on Nov. 2 before the open of the market.,CI,0.570165,0.196426,Somewhat-Bullish
"Pediatrix  ( MD )  Q3 Earnings Miss on High Costs, Shares Down 12%",https://www.zacks.com/stock/news/2179544/pediatrix-md-q3-earnings-miss-on-high-costs-shares-down-12,2023-11-06 19:24:00,Pediatrix's (MD) third-quarter results suffer from the decline in same-unit revenues attributable to patient volume. Management currently expects 2023 adjusted EBITDA to be within $200-$210 million.,CI,0.077343,0.062723,Neutral
Don't make these mistakes when shopping for Medigap,https://www.marketwatch.com/story/dont-make-these-mistakes-when-shopping-for-medigap-3cdd8564,2023-11-06 10:02:00,"Medigap shoppers might expect higher prices to come with more benefits, but that's not always true. Here are 3 scenarios to watch for so you don't overpay.",CI,0.093836,-0.044844,Neutral
