title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Is The 60/40 Portfolio A Thing Of The Past? Not So Fast…,https://www.forbes.com/sites/greatspeculations/2023/01/10/is-the-6040-portfolio-a-thing-of-the-past-not-so-fast/,2023-01-10 19:47:29,"Investors who use a 60/40 portfolio had a rough year. In the past, putting 60% in stocks and 40% in bonds has often helped investors hedge against losses in either asset class. But 2022 had other ideas.",CLX,0.048327,-0.007979,Neutral
How to Find Strong Consumer Staples Stocks Slated for Positive Earnings Surprises,https://www.zacks.com/stock/news/2037275/how-to-find-strong-consumer-staples-stocks-slated-for-positive-earnings-surprises,2023-01-10 13:50:07,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,CLX,0.332658,0.347998,Somewhat-Bullish
"Amazon And Other Analysts' Favorite Stocks Face-Planted In 2022, Can This Year's Crop Do Better?",https://www.forbes.com/sites/johndorfman/2023/01/09/amazon-and-other-analysts-favorite-stocks-face-planted-in-2022-can-this-years-crop-do-better/,2023-01-09 15:18:26,Here are the stocks analysts love the most as the year begins-and the four they most despise.,CLX,0.055364,-0.10835,Neutral
These 2 Consumer Staples Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://www.zacks.com/stock/news/2036155/these-2-consumer-staples-stocks-could-beat-earnings-why-they-should-be-on-your-radar,2023-01-06 13:50:06,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,CLX,0.396052,0.332629,Somewhat-Bullish
Garbage Bag Market will reach to USD 12 billion by 2030 at a CAGR of 4.80% till 2030 : GreyViews,https://www.benzinga.com/pressreleases/23/01/g30274909/garbage-bag-market-will-reach-to-usd-12-billion-by-2030-at-a-cagr-of-4-80-till-2030-greyviews,2023-01-04 15:00:00,"Pune India, Jan. 04, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa. These are the key regions where the garbage bag market is operating and is ...",CLX,0.024956,0.024319,Neutral
"Climbing the Wall: As Wall Street Considers Fresh Worrisome Economic Data, Stocks Head Lower",https://www.benzinga.com/markets/23/01/30486260/climbing-the-wall-as-wall-street-considers-fresh-worrisome-economic-data-stocks-head-lower,2023-01-19 15:57:23,"( Thursday Market Open ) Yesterday's steep sell-off looked like it might be a wake-up call as earnings season accelerated. This morning's trading picked up where Wednesday left off, with stock index futures losing more ground amid bubbling recession concerns.",CLX,0.03463,-0.130666,Neutral
"Amy's Kitchen Expands Leadership Team with New Roles -- Supply Chain, HR, Communications and Engineering",https://www.prnewswire.com/news-releases/amys-kitchen-expands-leadership-team-with-new-roles----supply-chain-hr-communications-and-engineering-301725403.html,2023-01-19 15:00:00,Amy's Kitchen Expands Leadership Team with New Roles -- Supply ... PR ...,CLX,0.057767,0.053002,Neutral
Time to Buy These Consumer Staples Stocks Before Earnings?,https://www.zacks.com/stock/news/2040948/time-to-buy-these-consumer-staples-stocks-before-earnings,2023-01-18 21:01:00,"As we progress through earnings season, investors may want to pay attention to the Consumer Staples sector as there are quite a few stocks that could beat earnings expectations.",CLX,0.140621,0.223224,Somewhat-Bullish
Nail Care Products Market will surpass USD 30.66 billion by 2030 : GreyViews,https://www.benzinga.com/pressreleases/23/01/g30429652/nail-care-products-market-will-surpass-usd-30-66-billion-by-2030-greyviews,2023-01-16 16:30:00,"Pune India, Jan. 16, 2023 ( GLOBE NEWSWIRE ) -- The market has been studied for the below mentioned-segmentation and regional analysis for North America, Europe, Asia, South America, and the Middle East and Africa. These are the key regions where the nail care products market is operating and is ...",CLX,0.025569,0.174208,Somewhat-Bullish
Best Stocks To Invest In 2023? 2 Consumer Staples Stocks In Focus,https://stockmarket.com/featured/best-stocks-to-invest-in-2023-2-consumer-staples-stocks-in-focus-2023-01-16,2023-01-16 13:44:24,"Consumer staples refer to goods and services that are considered essential and are purchased regularly by consumers regardless of changes in the economy. These products include food, beverages, personal care items, and household products. Companies that produce and sell consumer staples are ...",CLX,0.405029,0.229128,Somewhat-Bullish
