title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Launching | Global Virtual MarTech Summit APAC & EMEA, February 2024",https://www.prnewswire.com/apac/news-releases/launching--global-virtual-martech-summit-apac--emea-february-2024-302048550.html,2024-01-30 22:13:00,"Kick off 2024 with the latest MarTech insights SINGAPORE, Jan. 31, 2024 /PRNewswire/ -- For MarTech professionals worldwide, the Global Virtual MarTech Summit will offer insightful discussions to address the opportunities and challenges of your 2024 MarTech strategy.",CL,0.07157,0.052254,Neutral
4 Best-Performing ETF Areas of Last Week,https://www.zacks.com/stock/news/2218208/4-best-performing-etf-areas-of-last-week,2024-01-30 18:00:00,Wall Street was upbeat last week.,CL,0.107495,-0.013693,Neutral
"Zacks Investment Ideas feature highlights: Booz Allen Hamilton, ColgatePalmolive and Gentex",https://www.zacks.com/stock/news/2217736/zacks-investment-ideas-feature-highlights-booz-allen-hamilton-colgatepalmolive-and-gentex,2024-01-30 13:36:00,"Booz Allen Hamilton, ColgatePalmolive and Gentex are part of the Zacks Investment Ideas article.",CL,0.179788,0.144963,Neutral
"Top 3 Defensive Stocks That Could Sink Your Portfolio In Q1 - Coffee Holding Co  ( NASDAQ:JVA ) , Colgate-Palmolive  ( NYSE:CL ) ",https://www.benzinga.com/news/24/01/36844157/top-3-defensive-stocks-that-could-sink-your-portfolio-in-q1,2024-01-30 13:29:01,"As of Jan. 30, 2024, three stocks in the consumer staples sector could be flashing a real warning to investors who value momentum as a key criteria in their trading decisions. The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when ...",CL,0.340915,0.396238,Bullish
3 Standout Stocks to Buy After Earnings,https://www.zacks.com/commentary/2217425/3-standout-stocks-to-buy-after-earnings,2024-01-29 22:35:00,"Booz Allen Hamilton (BAH), Colgate-Palmolive (CL), and Gentex (GNTX) have started to reconfirm their growth expectations after strong quarterly results.",CL,0.185781,0.142981,Neutral
Colgate's Bright Smile: Analyst Envisions Upswing In 2024 Guidance With Ample Growth Opportunities - Colgate-Palmolive  ( NYSE:CL ) ,https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36831321/colgates-bright-smile-analyst-envisions-upswing-in-2024-guidance-with-ample-growth-,2024-01-29 19:08:18,Raymond James analyst Olivia Tong upgraded Colgate-Palmolive Co CL to Outperform from Market Perform and announced a $91 price target. The analyst is bullish on the stock following strong fourth-quarter FY23 earnings and the introduction of the 2024 outlook.,CL,0.396574,0.603833,Bullish
Why Colgate-Palmolive  ( CL )  is a Top Dividend Stock for Your Portfolio,https://www.zacks.com/stock/news/2217326/why-colgate-palmolive-cl-is-a-top-dividend-stock-for-your-portfolio,2024-01-29 16:45:03,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Colgate-Palmolive (CL) have what it takes? Let's find out.",CL,0.446742,0.48133,Bullish
Colgate-Palmolive Analysts Increase Their Forecasts Following Upbeat Earnings - Colgate-Palmolive  ( NYSE:CL ) ,https://www.benzinga.com/news/earnings/24/01/36827615/colgate-palmolive-analysts-increase-their-forecasts-following-upbeat-earnings,2024-01-29 16:07:03,"Colgate-Palmolive Company CL reported upbeat fourth-quarter financial results. Colgate-Palmolive reported fourth-quarter FY23 sales growth of 7% year-on-year to $4.95 billion, beating the analyst consensus estimate of $4.89 billion. Base Business ( non-GAAP ) EPS of 87 cents beat the analyst ...",CL,0.897458,0.376611,Bullish
"Company News for Jan 29, 2024",https://www.zacks.com/stock/news/2217107/company-news-for-jan-29-2024,2024-01-29 14:37:00,Companies in The News Are: ...,CL,0.541149,0.321548,Somewhat-Bullish
Colgate-Palmolive Company  ( CL )  Hits Fresh High: Is There Still Room to Run?,https://www.zacks.com/stock/news/2217083/colgate-palmolive-company-cl-hits-fresh-high-is-there-still-room-to-run,2024-01-29 14:15:08,"Colgate-Palmolive (CL) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",CL,0.757528,0.465886,Bullish
Best Inverse/Leveraged ETFs of Last Week,https://www.zacks.com/stock/news/2216892/best-inverseleveraged-etfs-of-last-week,2024-01-29 13:00:00,Wall Street was upbeat last week.,CL,0.095517,-0.013169,Neutral
"Investor Sentiment Decreases Slightly Following PCE Inflation Data; S&P 500 Snaps Six-Session Win Streak - American Express  ( NYSE:AXP ) , Colgate-Palmolive  ( NYSE:CL ) ",https://www.benzinga.com/news/earnings/24/01/36819607/investor-sentiment-decreases-slightly-following-pce-inflation-data-s-p-500-snaps-six-session-win-st,2024-01-29 09:14:11,"The CNN Money Fear and Greed index showed a slight decline in the overall market sentiment, but the index remained in the ""Extreme Greed"" zone on Friday. U.S. stocks closed mixed on Friday, with the S&P 500 snapping a six-day winning streak. However, the broad market index recorded gains last ...",CL,0.207571,0.524518,Bullish
The Red Sea Shipping Crisis Is Starting to Have Bigger Impacts. These Stocks Stand to Benefit.,https://www.barrons.com/amp/articles/stocks-red-sea-shipping-attacks-houthis-112bb38a,2024-01-28 06:00:00,"A violent blockade of the Red Sea is starting to have wider economic implications that could show up in inflation and other economic data. It's already impacting different parts of the global economy in varying ways-elevating returns for some companies, while depressing them for others.",CL,0.046633,-0.053491,Neutral
"Weak Intel forecast drags S&P 500, ends streak of record highs",https://www.moneycontrol.com/news/business/markets/weak-intel-forecast-drags-sp-500-ends-streak-of-record-highs-12132551.html,2024-01-27 03:54:22,"The SP 500 declined 0.07% to end the session at 4,890.97 points. The Nasdaq declined 0.36% to 15,455.36 points, while Dow Jones Industrial Average rose 0.16% to 38,109.43 points.",CL,0.07446,0.190116,Somewhat-Bullish
Stock Market Today: Stocks Finish Mixed Ahead of Fed Week,https://www.kiplinger.com/investing/stocks/stock-market-today-stocks-finish-mixed-ahead-of-fed-week,2024-01-26 21:10:44,"Market participants failed to make big moves Friday as Wall Street looks ahead to next week's Federal Reserve meeting. Still, there was plenty of news hitting the wires, including the latest inflation update and another round of corporate earnings reports.",CL,0.139265,0.309777,Somewhat-Bullish
"Nasdaq Down Over 50 Points; Colgate-Palmolive Posts Upbeat Results - Colgate-Palmolive  ( NYSE:CL ) , AppFolio  ( NASDAQ:APPF ) ",https://www.benzinga.com/news/earnings/24/01/36807767/nasdaq-down-over-50-points-colgate-palmolive-posts-upbeat-results,2024-01-26 19:32:18,"U.S. stocks traded mixed toward the end of trading, with the Nasdaq Composite falling over 50 points on Friday The Dow traded up 0.05% to 38,069.66 while the NASDAQ fell 0.4% to 15,447.78. The S&P 500 also fell, dropping, 0.15% to 4,886.79. Health care shares rose by 0.5% on Friday.",CL,0.194242,0.083578,Neutral
Oral Care Giant Colgate-Palmolive Plans High Brand Investment In 2024 After Beating Q4 Earnings With Solid Margins Why Oral Care Giant Colgate-Palmolive  ( CL )  Shares Are Surging Today - Colgate-Palmolive  ( NYSE:CL ) ,https://www.benzinga.com/news/earnings/24/01/36803027/oral-care-giant-colgate-palmolive-plans-high-brand-investment-in-2024-after-beating-q4-earnings-wit,2024-01-26 15:26:51,"Colgate-Palmolive Company CL reported fourth-quarter FY23 sales growth of 7% year-on-year to $4.95 billion, beating the analyst consensus estimate of $4.89 billion. Total Oral, Personal, and Home Care net sales increased by 7.5% to $3.84 billion.",CL,0.414559,0.121965,Neutral
"Colgate  ( CL )  Q4 Earnings & Sales Beat Estimates, '24 View Issued",https://www.zacks.com/stock/news/2216563/colgate-cl-q4-earnings-sales-beat-estimates-24-view-issued,2024-01-26 15:18:00,"Colgate's (CL) Q4 results benefited from strong sales growth, robust organic volume growth and gross and operating margin expansion.",CL,0.160099,0.306835,Somewhat-Bullish
Is ColgatePalmolive  ( CL )  Outperforming Other Consumer Staples Stocks This Year?,https://www.zacks.com/stock/news/2216513/is-colgatepalmolive-cl-outperforming-other-consumer-staples-stocks-this-year,2024-01-26 14:40:04,Here is how Colgate-Palmolive (CL) and Kerry Group PLC (KRYAY) have performed compared to their sector so far this year.,CL,0.729556,0.448829,Bullish
Colgate-Palmolive  ( CL )  Beats Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2216355/colgate-palmolive-cl-beats-q4-earnings-and-revenue-estimates,2024-01-26 13:05:02,"Colgate-Palmolive (CL) delivered earnings and revenue surprises of 2.35% and 1.06%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",CL,0.398148,0.24342,Somewhat-Bullish
