title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Stock Market Posted Respectable Gains; Test Systems Stock Breaks Out,https://www.investors.com/market-trend/stock-market-today/stock-market-holds-onto-small-gains-drug-stock-breaks-out/,2023-01-10 21:39:00,Stock Market Holds Gains. Chip Stock Breaks Out | Investor's ... Investor's Business Daily ...,CME,0.038906,0.0,Neutral
5 Blockchain ETFs to Consider in 2023,https://www.fool.com/investing/stock-market/market-sectors/financials/blockchain-stocks/blockchain-etf/,2023-01-10 16:01:46,"Blockchain technology has a promising future. Thousands of cryptocurrencies have popped up in recent years to capitalize on the potential, but that might be a risky investment you aren't ready to embark on.Not to worry, though.",CME,0.035714,0.099959,Neutral
What To Expect From CME Group Stock?,https://www.forbes.com/sites/greatspeculations/2023/01/09/what-to-expect-from-cme-group-stock/,2023-01-09 12:00:33,"CME Group's stock (NYSE: CME) lost 51% in 2022, while the S&P500 decreased 19% over the same period.",CME,0.549012,0.260261,Somewhat-Bullish
"After the buzz has gone, the slog starts on Hong Kong's carbon market",https://www.scmp.com/business/article/3205861/after-razzmatazz-its-kick-long-hard-slog-begins-hong-kongs-carbon-credits-market,2023-01-07 02:00:12,"For trading to flourish, the ecosystem needs to be strengthened through collaboration with standard setters, verification bodies, registries and regulators internationally, market operators and participants said.",CME,0.02164,0.131692,Neutral
Rise of the gold-backed e-yuan,https://www.investorideas.com/news/2023/mining/01064RichardMills-Gold.asp,2023-01-06 19:17:32,Rise of the ...,CME,0.008476,0.074782,Neutral
Stock Market Has Hope After Jobs Numbers; Tesla Sees More Pain,https://www.investors.com/market-trend/stock-market-today/stock-market-has-hope-after-jobs-numbers-tesla-sees-more-pain/,2023-01-06 15:48:00,Stock Market Has Hope After Jobs Numbers. Tesla Sees More Pain Investor's Business Daily ...,CME,0.049526,0.0,Neutral
"On anniversary of the Capitol attack, companies face new pressures to disclose political spending",https://www.marketwatch.com/story/on-anniversary-of-the-capitol-attack-companies-face-new-pressures-to-disclose-political-spending-11673013055,2023-01-06 13:50:00,"Shareholders, consumer groups and lawmakers seeking more details, better oversight of corporate political outlays ...",CME,0.083251,-0.062279,Neutral
CME Group to launch 3 metaverse reference rates,https://cointelegraph.com/news/cme-group-to-launch-3-metaverse-reference-rates,2023-01-05 21:30:00,"Axie Infinity, Chiliz and Decentraland will be represented in CME's new reference rates and real-time indices.",CME,0.434142,0.136713,Neutral
Stock Market Punishes Strong Jobs Numbers; Pharmacy Stock Pulls Down The Dow,https://www.investors.com/market-trend/stock-market-today/stock-market-punishes-on-strong-jobs-numbers-pharmacy-stock-loses/,2023-01-05 19:00:00,Stock Market Punishes Strong Jobs Numbers. Pharmacy Stock Pulls ... Investor's Business Daily ...,CME,0.054857,0.0,Neutral
Fed Minutes: Getting Inflation Under Control Still 'Likely To Take Some Time' - SPDR S&P 500  ( ARCA:SPY ) ,https://www.benzinga.com/news/23/01/30280485/fed-minutes-getting-inflation-under-control-still-likely-to-take-some-time,2023-01-04 19:16:37,"Inflation remains the central bank's top priority, according to the November meeting minutes released Wednesday by the Federal Open Market Committee. What Investors Need To Know: The Fed's language on the economy was relatively bullish, given recently elevated fears of a U.S. recession.",CME,0.090134,0.117533,Neutral
"Crude and Bonds Take Off in Different Directions as Economic Worries Rise - Microsoft  ( NASDAQ:MSFT ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/markets/23/01/30280501/crude-and-bonds-take-off-in-different-directions-as-economic-worries-rise,2023-01-04 19:11:59,"( Wednesday Market Open ) Recession fears gripped the markets this morning as investors heard fresh job cut news while bracing for the release of December's Federal Open Market Committee ( FOMC ) meeting minutes this afternoon. Even so, major indexes turned slightly higher before the bell.",CME,0.039647,-0.080748,Neutral
Fed officials see higher rates for 'some time' ahead,https://www.cnbc.com/2023/01/04/fed-minutes-december-2022-.html,2023-01-04 19:00:45,Policymakers expressed the importance of keeping restrictive policy in place while inflation holds unacceptably high.,CME,0.049019,0.083189,Neutral
Stock Market Gives Back Gains; Job Openings Rise More Than Expected,https://www.investors.com/market-trend/stock-market-today/stock-market-gives-back-gains-job-openings-rise-more-than-expected/,2023-01-04 15:59:00,Stock Market Whipsaws Bulls And Bears. Job Openings Rise ... Investor's Business Daily ...,CME,0.047844,0.0,Neutral
Stock Market Adds To 2022 Losses; Beauty Retailer Hits High,https://www.investors.com/market-trend/stock-market-today/stock-market-adds-to-2022-losses-beauty-retailer-hits-high/,2023-01-03 18:53:00,Stock Market Adds To 2022 Losses. Beauty Retailer Hits High Investor's Business Daily ...,CME,0.05339,0.0,Neutral
Tom Kim starts the new year with a new sponsor and a swoosh,https://apnews.com/article/sports-golf-las-vegas-south-korea-patrick-cantlay-e2a634b814a90b63242834834777c937,2023-01-03 16:17:41,"Tom Kim starts the new year with a new sponsor and a swoosh KAPALUA, Hawaii ( AP ) - He was listed as Joohyung Kim when he played in the 2020 PGA Championship at Harding Park as an 18-year-old, and when he nearly won the Genesis Scottish Open last summer on a sponsor exemption.",CME,0.032035,0.072127,Neutral
Farmer sentiment rebounds at year end on stronger 2022 income,https://www.prnewswire.com/news-releases/farmer-sentiment-rebounds-at-year-end-on-stronger-2022-income-301711718.html,2023-01-03 14:30:00,"WEST LAFAYETTE, Ind. and CHICAGO, Jan. 3, 2023 /PRNewswire/ -- Following a two-month decline and a year of weak sentiment, the Purdue University/CME Group Ag Economy Barometer closed out the year on a more positive note, rallying 24 points in December to a reading of 126.",CME,0.272354,0.136232,Neutral
The Bond Bear Market May Be Over. What This Means for CME Group.,https://www.fool.com/investing/2023/01/03/the-bond-bear-market-may-be-over-what-this-means-f/,2023-01-03 13:18:00,Falling bond prices were good news for CME Group.,CME,0.783429,0.292824,Somewhat-Bullish
Limited Inventory for Sale Means Invitation Homes Has a Tailwind,https://www.fool.com/investing/2023/01/02/limited-inventory-for-sale-means-invitation-homes/,2023-01-02 12:30:00,Single-family rentals will be the most insulated segment of the real estate market as buying activity declines.,CME,0.052455,-0.101023,Neutral
