title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Earnings Preview: Centene  ( CNC )  Q4 Earnings Expected to Decline,https://www.zacks.com/stock/news/2217973/earnings-preview-centene-cnc-q4-earnings-expected-to-decline,2024-01-30 15:00:58,Centene (CNC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,CNC,0.261584,0.008013,Neutral
CNC vs. HUM: Which Stock Is the Better Value Option?,https://www.zacks.com/stock/news/2217315/cnc-vs-hum-which-stock-is-the-better-value-option,2024-01-29 16:40:11,Investors interested in stocks from the Medical - HMOs sector have probably already heard of Centene ( CNC Quick QuoteCNC - ) and Humana ( HUM Quick QuoteHUM - ) . But which of these two stocks presents investors with the better value opportunity right now? Let's take a closer look.,CNC,0.809819,0.610631,Bullish
Are Investors Undervaluing Centene  ( CNC )  Right Now?,https://www.zacks.com/stock/news/2216498/are-investors-undervaluing-centene-cnc-right-now,2024-01-26 14:40:10,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",CNC,0.627711,0.366986,Bullish
"Humana  ( HUM )  Q4 Earnings Miss on Higher Costs, '25 Target Pulled",https://www.zacks.com/stock/news/2216061/humana-hum-q4-earnings-miss-on-higher-costs-25-target-pulled,2024-01-25 17:32:00,Humana (HUM) expects 2024 revenues to increase to around $113 billion.,CNC,0.142144,0.047019,Neutral
"Humana stock plunges on dismal 2024 forecast, as insurers face soaring medical costs",https://www.cnbc.com/2024/01/25/humana-reports-grim-2024-forecast-due-to-soaring-medical-costs.html,2024-01-25 16:21:19,The medical cost increases reflect an increasing number of older adults returning to hospitals to undergo procedures they had delayed during the pandemic.,CNC,0.08687,0.077169,Neutral
Why Is Humana Stock Trading Lower Today? - Humana  ( NYSE:HUM ) ,https://www.benzinga.com/news/earnings/24/01/36778837/humana-blames-medicare-advantage-as-stock-falls-after-larger-than-expected-quarterly-loss-grim-outl,2024-01-25 13:22:49,"Humana Inc HUM shares nosedived after the company released dismal fourth quarter 2023 earnings. The company reported a Q4 adjusted EPS loss of $ ( 0.11 ) , a turnaround from EPS income of $1.97 a year ago, missing the consensus of $ ( 0.05 ) .",CNC,0.222838,0.0,Neutral
Humana Dives On Huge 2024 Warning For This Reason,https://www.investors.com/news/humana-dives-on-huge-2024-earnings-warning-on-higher-costs/,2024-01-25 12:03:00,Humana Dives On Huge 2024 Earnings Warning Due To Higher Costs Investor's Business Daily ...,CNC,0.31282,-0.401283,Bearish
"Elevance  ( ELV )  Q4 Earnings Beat on Premium Growth, Dividend Hiked",https://www.zacks.com/stock/news/2215120/elevance-elv-q4-earnings-beat-on-premium-growth-dividend-hiked,2024-01-24 16:23:00,Elevance Health (ELV) expects 2024 premium revenues to remain in line with the 2023 level.,CNC,0.105759,0.04559,Neutral
5 Promising Price-to-Book Value Stocks to Buy Now,https://www.zacks.com/stock/news/2214729/5-promising-price-to-book-value-stocks-to-buy-now,2024-01-24 11:21:00,"The P/B ratio helps to identify low-priced stocks with high growth prospects. General Motors Company (GM), Cemex (CX), Centene (CNC), Qifu Technology (QFIN) and Deutsche Bank Aktiengesellschaft (DB) are some such stocks.",CNC,0.147456,0.206476,Somewhat-Bullish
Focus on These 4 Low P/CF Stocks to Maximize Returns in 2024,https://www.zacks.com/stock/news/2214329/focus-on-these-4-low-pcf-stocks-to-maximize-returns-in-2024,2024-01-23 15:46:00,"Value investing is essentially about selecting stocks that are cheap but fundamentally sound. PVH Corp. (PVH), Centene (CNC), General Motors (GM) and Graphic Packaging (GPK) boast a low P/CF ratio.",CNC,0.172342,0.14187,Neutral
CENTENE CORPORATION ANNOUNCES APPOINTMENT OF MICHAEL A. CARSON AS PRESIDENT AND CHIEF EXECUTIVE OFFICER OF ITS MEDICARE BUSINESS,https://www.prnewswire.com/news-releases/centene-corporation-announces-appointment-of-michael-a-carson-as-president-and-chief-executive-officer-of-its-medicare-business-302040638.html,2024-01-22 12:26:00,CENTENE CORPORATION ANNOUNCES APPOINTMENT OF MICHAEL A. CARSON AS PRESIDENT AND CHIEF ... PR ...,CNC,0.735567,0.570549,Bullish
Centene  ( CNC )  Chosen to Serve New Hampshire's Medicaid Members,https://www.zacks.com/stock/news/2212996/centene-cnc-chosen-to-serve-new-hampshires-medicaid-members,2024-01-19 17:50:00,"Centene's (CNC) subsidiary has been selected by the DHHS to serve the diversified health needs of members of New Hampshire's Medicaid program and thereby, earn more members.",CNC,0.538639,0.491543,Bullish
Here's How Much You Would Have Made Owning Centene Stock In The Last 10 Years - Centene  ( NYSE:CNC ) ,https://www.benzinga.com/insights/news/24/01/36697318/heres-how-much-you-would-have-made-owning-centene-stock-in-the-last-10-years,2024-01-19 16:00:35,"Centene CNC has outperformed the market over the past 10 years by 7.06% on an annualized basis producing an average annual return of 17.15%. Currently, Centene has a market capitalization of $41.29 billion.",CNC,0.983605,0.387251,Bullish
Can Higher Costs Affect Elevance Health's  ( ELV )  Q4 Earnings?,https://www.zacks.com/stock/news/2212824/can-higher-costs-affect-elevance-healths-elv-q4-earnings,2024-01-19 14:48:00,Elevance Health's (ELV) fourth-quarter results are likely to reflect higher premiums and product revenues.,CNC,0.089629,0.0,Neutral
CENTENE SUBSIDIARY NH HEALTHY FAMILIES AWARDED STATEWIDE MEDICAID CONTRACT - Centene  ( NYSE:CNC ) ,https://www.benzinga.com/pressreleases/24/01/n36686872/centene-subsidiary-nh-healthy-families-awarded-statewide-medicaid-contract,2024-01-18 21:37:00,"ST. LOUIS, Jan. 18, 2024 /PRNewswire/ -- Centene Corporation CNC, a leading healthcare enterprise committed to helping people live healthier lives, announced today that its subsidiary, NH Healthy Families, one of the largest Medicaid health plans in New Hampshire, has been selected by the New ...",CNC,0.56578,0.663111,Bullish
CENTENE SUBSIDIARY NH HEALTHY FAMILIES AWARDED STATEWIDE MEDICAID CONTRACT - PR Newswire,https://www.prnewswire.com/news-releases/centene-subsidiary-nh-healthy-families-awarded-statewide-medicaid-contract-302038881.html,2024-01-18 21:37:00,CENTENE SUBSIDIARY NH HEALTHY FAMILIES AWARDED STATEWIDE MEDICAID CONTRACT PR ...,CNC,0.53784,0.636378,Bullish
"Molina Healthcare, Inc  ( MOH )  Hits Fresh High: Is There Still Room to Run?",https://www.zacks.com/stock/news/2212044/molina-healthcare-inc-moh-hits-fresh-high-is-there-still-room-to-run,2024-01-18 14:15:02,"Molina (MOH) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",CNC,0.442339,0.455217,Bullish
Humana Stock Falls Ill On This Warning; Rivals Catch Virus,https://www.investors.com/news/humana-stock-falls-ill-on-this-warning-unh-cvs-catch-virus/,2024-01-18 13:44:00,Humana Stock Falls Ill On This Warning. Rivals Catch Virus Investor's Business Daily ...,CNC,0.220809,-0.238965,Somewhat-Bearish
Molina Healthcare  ( MOH )  Up 26.9% in 6 Months: What Lies Ahead?,https://www.zacks.com/stock/news/2210924/molina-healthcare-moh-up-269-in-6-months-what-lies-ahead,2024-01-16 16:52:00,Molina Healthcare (MOH) is likely to keep growing on the back of increases in investment income and Medicare premiums.,CNC,0.210274,0.029203,Neutral
Why You Should Retain Elevance  ( ELV )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2210849/why-you-should-retain-elevance-elv-stock-in-your-portfolio,2024-01-16 15:16:00,Elevance's (ELV) Carelon unit is expected to benefit from improving performance in the Behavioral Health business and post-acute care services.,CNC,0.199037,0.063814,Neutral
Centene  ( CNC )  Sells Circle Health to Boost Managed Care Business,https://www.zacks.com/stock/news/2210400/centene-cnc-sells-circle-health-to-boost-managed-care-business,2024-01-15 18:21:00,"Centene (CNC) concludes the divestiture of Circle Health to expand its core Managed Care business. Additionally, its plan members will enjoy continued access to Kroger's pharmacy network in 2024.",CNC,0.546745,0.473877,Bullish
Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,https://www.zacks.com/stock/news/2210200/are-you-a-growth-investor-this-1-stock-could-be-the-perfect-pick,2024-01-15 14:45:06,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",CNC,0.368227,0.368906,Bullish
UnitedHealth  ( UNH )  Stock Declines 3.4% on High Medical Costs,https://www.zacks.com/stock/news/2210122/unitedhealth-unh-stock-declines-34-on-high-medical-costs,2024-01-15 14:17:00,"As more seniors resume elective procedures, claims rise in UnitedHealth's (UNH) Medicare Advantage business.",CNC,0.206392,0.070498,Neutral
Kroger Health Announces Continued Inclusion in Centene's Pharmacy Network,https://www.prnewswire.com/news-releases/kroger-health-announces-continued-inclusion-in-centenes-pharmacy-network-302033875.html,2024-01-12 20:00:00,"CINCINNATI, Jan. 12, 2024 /PRNewswire/ -- Kroger Health, the healthcare division of The Kroger Co. ( NYSE: KR ) and its Family of Pharmacies, announced today that it will continue to be part of Centene Corporation's ( Centene ) ( NYSE: CNC ) pharmacy network to provide patients with more ...",CNC,0.528475,0.46249,Bullish
"Kroger Health Announces Continued Inclusion in Centene's Pharmacy Network - Kroger  ( NYSE:KR ) , Centene  ( NYSE:CNC ) ",https://www.benzinga.com/pressreleases/24/01/n36616731/kroger-health-announces-continued-inclusion-in-centenes-pharmacy-network,2024-01-12 20:00:00,"CINCINNATI, Jan. 12, 2024 /PRNewswire/ -- Kroger Health, the healthcare division of The Kroger Co. KR and its Family of Pharmacies, announced today that it will continue to be part of Centene Corporation's ( Centene ) CNC pharmacy network to provide patients with more opportunities to save on ...",CNC,0.512933,0.447748,Bullish
CENTENE CORPORATION COMPLETES DIVESTITURE OF CIRCLE HEALTH GROUP,https://www.prnewswire.com/news-releases/centene-corporation-completes-divestiture-of-circle-health-group-302033757.html,2024-01-12 17:30:00,"ST. LOUIS, Jan. 12, 2024 /PRNewswire/ -- Centene Corporation ( NYSE: CNC ) today announced today it has completed the previously announced divestiture of Circle Health Group ( ""Circle Health"" ) , one of the U.K.'s largest independent operators of hospitals, to Pure Health, the largest integrated ...",CNC,0.901576,0.566043,Bullish
UnitedHealth Group  ( UNH )  Beats Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2209330/unitedhealth-group-unh-beats-q4-earnings-and-revenue-estimates,2024-01-12 12:05:02,"UnitedHealth (UNH) delivered earnings and revenue surprises of 3.01% and 2.57%, respectively, for the quarter ended December 2023. Do the numbers hold clues to what lies ahead for the stock?",CNC,0.139669,0.0,Neutral
Can UnitedHealth's  ( UNH )  UnitedHealthcare Unit Aid Q4 Earnings?,https://www.zacks.com/stock/news/2208976/can-unitedhealths-unh-unitedhealthcare-unit-aid-q4-earnings,2024-01-11 16:12:00,UnitedHealth's (UNH) fourth-quarter results are expected to benefit from an increase in UnitedHealthcare's Medicare & Retirement revenues as well as the number of people it served.,CNC,0.090134,0.0,Neutral
Brookdale  ( BKD )  Sees Growth in December 2023 Occupancy Volumes,https://www.zacks.com/stock/news/2208965/brookdale-bkd-sees-growth-in-december-2023-occupancy-volumes,2024-01-11 15:44:00,Brookdale (BKD) witnesses a continuous streak of 26 months of year-over-year increases in the weighted average occupancy level.,CNC,0.199037,0.115217,Neutral
How to Boost Your Portfolio with Top Medical Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/2208773/how-to-boost-your-portfolio-with-top-medical-stocks-set-to-beat-earnings,2024-01-11 13:50:06,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,CNC,0.314017,0.304996,Somewhat-Bullish
Cigna Group Unusual Options Activity For January 10 - Cigna Group  ( NYSE:CI ) ,https://www.benzinga.com/markets/options/24/01/36579368/cigna-group-unusual-options-activity-for-january-10,2024-01-10 16:16:56,"Financial giants have made a conspicuous bearish move on Cigna Group. Our analysis of options history for Cigna Group CI revealed 8 unusual trades. Delving into the details, we found 37% of traders were bullish, while 62% showed bearish tendencies.",CNC,0.093653,0.125572,Neutral
Should Value Investors Buy Centene  ( CNC )  Stock?,https://www.zacks.com/stock/news/2208256/should-value-investors-buy-centene-cnc-stock,2024-01-10 14:40:10,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",CNC,0.536866,0.292132,Somewhat-Bullish
Can UnitedHealth  ( UNH )  Q4 Earnings Navigate Through High Costs?,https://www.zacks.com/stock/news/2208221/can-unitedhealth-unh-q4-earnings-navigate-through-high-costs,2024-01-10 14:28:00,UnitedHealth's (UNH) fourth-quarter results are likely to reflect growth in domestic commercial customers and premium levels.,CNC,0.088472,0.0,Neutral
Why Centene  ( CNC )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2207742/why-centene-cnc-is-poised-to-beat-earnings-estimates-again,2024-01-09 21:53:13,Centene (CNC) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,CNC,0.418689,0.490314,Bullish
Buy These 5 Price-to-Book Value Stocks for Gains in 2024,https://www.zacks.com/stock/news/2207343/buy-these-5-price-to-book-value-stocks-for-gains-in-2024,2024-01-09 12:02:00,"The P/B ratio helps to identify low-priced stocks with high growth prospects. General Motors Company (GM), Park Hotels & Resorts (PK), Qifu Technology (QFIN), Centene (CNC) and Deutsche Bank Aktiengesellschaft (DB) are some such stocks.",CNC,0.153275,0.212511,Somewhat-Bullish
Maxor appoints three new executives to its executive leadership team,https://www.prnewswire.com/news-releases/maxor-appoints-three-new-executives-to-its-executive-leadership-team-302025442.html,2024-01-03 15:42:00,"PLANO, Texas, Jan. 3, 2024 /PRNewswire/ -- Maxor National Pharmacy Services ( ""Maxor"" ) today announced the appointment of three new executives. Mark McCullough joins Maxor as Chief Financial Officer, Jessica Lee as Chief Compliance and Ethics Officer, and Joel Wright as President, Pharmacy ...",CNC,0.058188,-0.093979,Neutral
Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,https://www.zacks.com/stock/news/2205007/why-this-1-value-stock-could-be-a-great-addition-to-your-portfolio,2024-01-03 14:40:07,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",CNC,0.543935,0.369809,Bullish
Unpacking the Latest Options Trading Trends in Cigna Group - Cigna Group  ( NYSE:CI ) ,https://www.benzinga.com/markets/options/24/01/36458376/unpacking-the-latest-options-trading-trends-in-cigna-group,2024-01-02 20:01:04,"Deep-pocketed investors have adopted a bearish approach towards Cigna Group CI, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",CNC,0.079921,0.122085,Neutral
Should You Invest in the Invesco S&P 500 Equal Weight Health Care ETF  ( RSPH ) ?,https://www.zacks.com/stock/news/2204277/should-you-invest-in-the-invesco-sp-500-equal-weight-health-care-etf-rsph,2024-01-02 11:20:06,Sector ETF report for ...,CNC,0.131643,0.070705,Neutral
Here's Why You Should Retain Centene  ( CNC )  Stock For Now,https://www.zacks.com/stock/news/2203857/heres-why-you-should-retain-centene-cnc-stock-for-now,2023-12-29 19:06:00,"Centene (CNC) remains well-poised for growth on the back of overall membership growth, acquisitions, business streamlining efforts and a growing cash balance.",CNC,0.534816,0.57973,Bullish
"12 Stocks Turn $10,000 Into $320,800 In 12 Months",https://www.investors.com/etfs-and-funds/sectors/sp500-12-stocks-turn-10000-into-in-12-months-2023/,2023-12-29 13:00:00,Talk about a strong finish. Investors who hung onto the top S&P 500 stocks this year ended up much richer for the effort.,CNC,0.092569,0.16205,Somewhat-Bullish
Reasons to Retain HCA Healthcare  ( HCA )  Stock in Your Portfolio,https://www.zacks.com/stock/news/2203081/reasons-to-retain-hca-healthcare-hca-stock-in-your-portfolio,2023-12-28 13:53:00,"HCA Healthcare's (HCA) improving top line, acquisition initiatives and a robust growth outlook poise the company well for growth.",CNC,0.109455,0.0,Neutral
