title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"CenterPoint Energy, Inc. to Host Webcast of Fourth Quarter and Full Year 2023 Earnings Conference Call",https://www.globenewswire.com/news-release/2024/01/17/2811160/0/en/CenterPoint-Energy-Inc-to-Host-Webcast-of-Fourth-Quarter-and-Full-Year-2023-Earnings-Conference-Call.html,2024-01-17 22:00:00,"Houston, TX, Jan. 17, 2024 ( GLOBE ...",CNP,0.885652,0.24944,Somewhat-Bullish
Here's Why CenterPoint Energy  ( CNP )  is a Strong Value Stock,https://www.zacks.com/stock/news/2210170/heres-why-centerpoint-energy-cnp-is-a-strong-value-stock,2024-01-15 14:40:07,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CNP,0.315493,0.193077,Somewhat-Bullish
Scott Doyle named Chief Operating Officer of Spire Inc. - PR Newswire,https://www.prnewswire.com/news-releases/scott-doyle-named-chief-operating-officer-of-spire-inc-302029133.html,2024-01-09 13:30:00,Scott Doyle named Chief Operating Officer of Spire Inc. PR ...,CNP,0.087824,-0.009388,Neutral
"The Zacks Analyst Blog Highlights Atmos Energy, CenterPoint Energy, NiSource, Lifeway Foods and MGP Ingredients",https://www.zacks.com/stock/news/2206908/the-zacks-analyst-blog-highlights-atmos-energy-centerpoint-energy-nisource-lifeway-foods-and-mgp-ingredients,2024-01-08 14:20:00,"Atmos Energy, CenterPoint Energy, NiSource, Lifeway Foods and MGP Ingredients are part of the Zacks top Analyst Blog.",CNP,0.21686,0.130836,Neutral
5 Top Defensive Stocks to Counter Market Upheavals in 2024,https://www.zacks.com/stock/news/2206192/5-top-defensive-stocks-to-counter-market-upheavals-in-2024,2024-01-05 13:55:00,"To protect your portfolio from any uncertainties plaguing the market, invest in stocks such as Atmos Energy (ATO), CenterPoint Energy (CNP), NiSource (NI), Lifeway Foods (LWAY) and MGP Ingredients (MGPI).",CNP,0.186738,0.162887,Somewhat-Bullish
Reasons to Add Avista  ( AVA )  Stock to Your Portfolio Now,https://www.zacks.com/stock/news/2205476/reasons-to-add-avista-ava-stock-to-your-portfolio-now,2024-01-04 12:25:00,"Avista (AVA), with its regular dividend payment and rising earnings estimates, makes a strong case for investment in the utility space.",CNP,0.188193,0.078622,Neutral
"Zacks Industry Outlook Highlights NextEra Energy, Consolidated Edison, CenterPoint and NRG Energy",https://www.zacks.com/stock/news/2204884/zacks-industry-outlook-highlights-nextera-energy-consolidated-edison-centerpoint-and-nrg-energy,2024-01-03 13:43:00,"NextEra Energy, Consolidated Edison, CenterPoint and NRG Energy are part of the Zacks Industry Outlook article.",CNP,0.140896,0.159178,Somewhat-Bullish
"The Zacks Analyst Blog Highlights Atmos Energy, CenterPoint Energy and OGE Energy",https://www.zacks.com/stock/news/2204438/the-zacks-analyst-blog-highlights-atmos-energy-centerpoint-energy-and-oge-energy,2024-01-02 14:15:00,"Atmos Energy, CenterPoint Energy and OGE Energy are part of the Zacks top Analyst Blog.",CNP,0.227007,0.239161,Somewhat-Bullish
4 Stocks to Buy From the Prospering Electric Power Industry,https://www.zacks.com/commentary/2204364/4-stocks-to-buy-from-the-prospering-electric-power-industry,2024-01-02 13:46:00,"Amid the ongoing transition in the utility space, electric power utilities like NEE, ED, CNP and NRG have well-chalked-out capital investment plans to upgrade infrastructure and add clean assets to their generation portfolio to provide efficient services.",CNP,0.1185,0.188311,Somewhat-Bullish
Why CenterPoint Energy  ( CNP )  is a Top Value Stock for the Long-Term,https://www.zacks.com/stock/news/2203848/why-centerpoint-energy-cnp-is-a-top-value-stock-for-the-long-term,2023-12-29 17:33:56,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",CNP,0.329551,0.227484,Somewhat-Bullish
