title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Expect more deals in the food sector this year as companies grapple with low-volume world,https://www.marketwatch.com/story/expect-more-deals-in-the-food-sector-this-year-as-companies-grapple-with-low-volume-world-a9014e9d,2024-01-25 18:51:00,Stifel analysts are expecting food companies to focus on spinoffs or acquisitions this year as they look to boost growth.,CPB,0.136888,0.0,Neutral
"Pasta and Noodles Market Projected to Reach US$110.3 Billion by 2030 at a 3.9% CAGR, Persistence Market Research",https://www.benzinga.com/pressreleases/24/01/g36765319/pasta-and-noodles-market-projected-to-reach-us-110-3-billion-by-2030-at-a-3-9-cagr-persistence-mar,2024-01-24 18:58:10,"New York, Jan. 24, 2024 ( GLOBE NEWSWIRE ) -- Market Size & Overview: The global pasta and noodles market is forecast to expand at a CAGR of 3.9% and thereby increase from a value of US$84.4 billion in 2023, to US$110.3 billion by the end of 2030.",CPB,0.011908,0.0,Neutral
Campbell's Thanksgiving Performance Changed in An Important Way for the Food Maker and the Economy,https://www.fool.com/investing/2024/01/11/campbells-thanksgiving-performance-changed-in-an/,2024-01-11 14:00:00,The way in which Campbell's sales came in over Turkey Day signals what people are thinking as 2024 gets underway.,CPB,0.328819,0.130021,Neutral
Are Consumer Staples Stocks Lagging ColgatePalmolive  ( CL )  This Year?,https://www.zacks.com/stock/news/2208277/are-consumer-staples-stocks-lagging-colgatepalmolive-cl-this-year,2024-01-10 14:40:04,Here is how Colgate-Palmolive (CL) and Campbell Soup (CPB) have performed compared to their sector so far this year.,CPB,0.396574,0.28193,Somewhat-Bullish
"Campbell Soup  ( CPB )  Poised on Snacks Unit, Strategic Execution",https://www.zacks.com/stock/news/2207032/campbell-soup-cpb-poised-on-snacks-unit-strategic-execution,2024-01-08 15:24:00,Campbell Soup (CPB) benefits from its robust Snacks business. Strong execution of its strategic plan also positions the company well amid cost inflation and a volatile consumer landscape.,CPB,0.282234,0.070833,Neutral
Surprise: 42% of Campbell's Profits Come From Something That Has Nothing to Do With Soup,https://www.fool.com/investing/2024/01/07/surprise-42-of-campbells-profits-come-from-somethi/,2024-01-07 10:35:00,A smart acquisition 60 years ago completely changed the makeup of this food business.,CPB,0.215415,0.185164,Somewhat-Bullish
"Pasta Sauce Market to increase by USD 2.08 billion between 2022 to 2027, Europe accounts for 37% of the market ... - PR Newswire",https://www.prnewswire.com/news-releases/pasta-sauce-market-to-increase-by-usd-2-08-billion-between-2022-to-2027--europe-accounts-for-37-of-the-market-growth-during-the-forecast-period---technavio-302026298.html,2024-01-05 22:15:00,"Pasta Sauce Market to increase by USD 2.08 billion between 2022 to 2027, Europe accounts for 37% of the market ... PR ...",CPB,0.070517,0.012083,Neutral
Why Is Campbell  ( CPB )  Up 0.1% Since Last Earnings Report?,https://www.zacks.com/stock/news/2206405/why-is-campbell-cpb-up-01-since-last-earnings-report,2024-01-05 16:30:08,Campbell (CPB) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,CPB,0.233108,-0.027432,Neutral
Looking Into Campbell Soup's Recent Short Interest - Campbell Soup  ( NYSE:CPB ) ,https://www.benzinga.com/short-sellers/24/01/36444390/looking-into-campbell-soups-recent-short-interest,2024-01-01 16:30:27,"Campbell Soup's CPB short percent of float has risen 14.22% since its last report. The company recently reported that it has 13.81 million shares sold short, which is 7.23% of all regular shares that are available for trading.",CPB,0.221819,0.155473,Somewhat-Bullish
"Jimmy Buffett, Gordon Moore And The Other Billionaires Who Died In 2023",https://www.forbes.com/sites/jemimadenham/2023/12/31/jimmy-buffett-gordon-moore-and-the-other-billionaires-who-died-in-2023/,2023-12-31 11:30:00,"Some larger than life personalities among the billionaire ranks died in 2023, including Jimmy Buffett, who turned his Margaritaville song into a lifestyle empire. cruise-ship-singer-turned-media mogul and Italian prime minister Silvio Berlusconi.",CPB,0.014367,-0.005892,Neutral
Campbell Soup  ( CPB )  Crossed Above the 20-Day Moving Average: What That Means for Investors,https://www.zacks.com/stock/news/2203655/campbell-soup-cpb-crossed-above-the-20-day-moving-average-what-that-means-for-investors,2023-12-29 14:35:03,Is it a good or bad thing when a stock surpasses resistance at the 20-day simple moving average?,CPB,0.709186,0.715929,Bullish
How Food Stocks Spoiled in 2023,https://www.wsj.com/finance/stocks/how-food-stocks-spoiled-in-2023-6a774009,2023-12-26 12:34:00,"Companies making packaged food were among the most notable U.S. stock underperformers of the year, and the causes were many. Next year might look better.",CPB,0.414559,-0.259472,Somewhat-Bearish
Campbell Soup  ( CPB )  Shows Strategic Resilience Amid Challenges,https://www.zacks.com/stock/news/2199814/campbell-soup-cpb-shows-strategic-resilience-amid-challenges,2023-12-19 12:43:00,"Campbell Soup's (CPB) focus on maintaining competitive pricing, sustaining marketing and innovation initiatives and adhering to a balanced spending approach bodes well amid industry woes.",CPB,0.327366,0.275371,Somewhat-Bullish
