title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Why CrowdStrike Stock Slumped While the Market Bumped Higher Today,https://www.fool.com/investing/2023/01/10/why-crowdstrike-stock-slumped-while-the-market-bum/,2023-01-10 23:26:32,The frequently popular cybersecurity stock loses a bit of its luster because of a new analyst note.,CRWD,0.673107,0.007596,Neutral
"Down 49% in This Bear Market, Can CrowdStrike Recover in 2023?",https://www.fool.com/investing/2023/01/10/down-49-in-this-bear-market-can-crowdstrike-recove/,2023-01-10 21:46:20,The cybersecurity specialist's strong quarterly earnings weren't enough to overcome its slowing growth and a massive bear market for the tech sector.,CRWD,0.499102,-0.052576,Neutral
CrowdStrike Stock: Bear vs. Bull,https://www.fool.com/investing/2023/01/10/crowdstrike-stock-bear-vs-bull/,2023-01-10 14:53:00,Is the cloud-based cybersecurity leader primed for a comeback?,CRWD,0.548633,0.195761,Somewhat-Bullish
3 Top Tech Stocks Ready for a Bull Run,https://www.fool.com/investing/2023/01/10/3-top-tech-stocks-ready-for-a-bull-run/,2023-01-10 11:30:00,This trio won't repeat 2022's performance because of their valuations.,CRWD,0.594159,0.327211,Somewhat-Bullish
"Why MongoDB, CrowdStrike, and Zscaler Stocks Rose on Monday",https://www.fool.com/investing/2023/01/09/why-mongodb-crowdstrike-and-zscaler-stocks-rose-on/,2023-01-09 18:31:53,This bank had a bad record of picking winners in 2022. Will 2023 be any different?,CRWD,0.549581,0.133695,Neutral
This Is What Whales Are Betting On CrowdStrike Holdings - CrowdStrike Holdings  ( NASDAQ:CRWD ) ,https://www.benzinga.com/markets/options/23/01/30336952/this-is-what-whales-are-betting-on-crowdstrike-holdings,2023-01-09 17:10:41,A whale with a lot of money to spend has taken a noticeably bearish stance on CrowdStrike Holdings. Looking at options history for CrowdStrike Holdings CRWD we detected 37 strange trades.,CRWD,0.853391,0.139094,Neutral
2 Breakout Growth Stocks You Can Buy and Hold for the Next Decade,https://www.fool.com/investing/2023/01/09/breakout-growth-stocks-you-can-buy-and-hold-decade/,2023-01-09 15:05:46,These category-leading companies are on track to deliver long-term wins.,CRWD,0.272788,0.175919,Somewhat-Bullish
"$3.4 Million Bet On CrowdStrike Holdings? Check Out These 3 Stocks Insiders Are Buying - CrowdStrike Holdings  ( NASDAQ:CRWD ) , Coinbase Global  ( NASDAQ:COIN ) ",https://www.benzinga.com/news/23/01/30333327/3-4-million-bet-on-crowdstrike-holdings-check-out-these-3-stocks-insiders-are-buying,2023-01-09 14:17:47,"Although US stocks closed sharply higher on Friday, there were a few notable insider trades. When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go long on the stock.",CRWD,0.472338,0.298404,Somewhat-Bullish
CrowdStrike  ( CRWD )  is Attracting Investor Attention: Here is What You Should Know,https://www.zacks.com/stock/news/2036716/crowdstrike-crwd-is-attracting-investor-attention-here-is-what-you-should-know,2023-01-09 14:00:11,"CrowdStrike (CRWD) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",CRWD,0.484798,0.146326,Neutral
"Ahead Of Tech Earnings, Analyst Says Sector Is 'Under-Owned' - Repeats Calls For 20% Rally - SPDR Select Sector Fund - Technology  ( ARCA:XLK ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/01/30325912/ahead-of-tech-earnings-analyst-says-sector-is-under-owned-repeats-calls-for-20-rall,2023-01-09 11:43:25,"Tech earnings news flow will hit Wall Street in earnest in two weeks and an analyst at Wedbush painted a positive picture concerning the prospects for the sector. Guidance The Key: As the focus shifts to fourth-quarter earnings, the wildcard would be the 2023 guidance and overall demand ...",CRWD,0.197413,0.163749,Somewhat-Bullish
Otonomy  ( NASDAQ:OTIC )  Receives New Coverage from Analysts at StockNews.com,https://reporter.am/2023/01/09/otonomy-nasdaqotic-receives-new-coverage-from-analysts-at-stocknews-com.html,2023-01-09 08:10:42,Otonomy ( NASDAQ:OTIC ) Receives New Coverage from Analysts at ... Armenian Reporter ...,CRWD,0.089129,0.091291,Neutral
"National Beverage  ( NASDAQ:FIZZ )  Downgraded by StockNews.com to ""Hold""",https://www.etfdailynews.com/2023/01/09/national-beverage-nasdaqfizz-downgraded-by-stocknews-com-to-hold/,2023-01-09 08:10:42,National Beverage ( NASDAQ:FIZZ ) Downgraded by StockNews.com ... ETF Daily News ...,CRWD,0.07423,0.212911,Somewhat-Bullish
"National Beverage  ( NASDAQ:FIZZ )  Downgraded by StockNews.com to ""Hold""",https://reporter.am/2023/01/09/national-beverage-nasdaqfizz-downgraded-by-stocknews-com-to-hold.html,2023-01-09 08:10:42,National Beverage ( NASDAQ:FIZZ ) Downgraded by StockNews.com ... Armenian Reporter ...,CRWD,0.07423,0.212911,Somewhat-Bullish
Aeglea BioTherapeutics  ( NASDAQ:AGLE )  Now Covered by Analysts at StockNews.com,https://reporter.am/2023/01/09/aeglea-biotherapeutics-nasdaqagle-now-covered-by-analysts-at-stocknews-com.html,2023-01-09 08:10:42,Aeglea BioTherapeutics ( NASDAQ:AGLE ) Now Covered by Analysts ... Armenian Reporter ...,CRWD,0.068502,0.148013,Neutral
StockNews.com Begins Coverage on Nabriva Therapeutics  ( NASDAQ:NBRV ) ,https://reporter.am/2023/01/09/stocknews-com-begins-coverage-on-nabriva-therapeutics-nasdaqnbrv-2.html,2023-01-09 08:10:42,StockNews.com Begins Coverage on Nabriva Therapeutics ... Armenian Reporter ...,CRWD,0.151539,0.09306,Neutral
StockNews.com Begins Coverage on DBV Technologies  ( NASDAQ:DBVT ) ,https://reporter.am/2023/01/09/stocknews-com-begins-coverage-on-dbv-technologies-nasdaqdbvt-2.html,2023-01-09 08:10:41,StockNews.com Begins Coverage on DBV Technologies ( NASDAQ ... Armenian Reporter ...,CRWD,0.085324,0.115852,Neutral
StockNews.com Initiates Coverage on Maiden  ( NASDAQ:MHLD ) ,https://reporter.am/2023/01/09/stocknews-com-initiates-coverage-on-maiden-nasdaqmhld.html,2023-01-09 08:10:41,"Equities research analysts at StockNews.com assumed coverage on shares of Maiden ( NASDAQ:MHLD - Get Rating ) in a research note issued on Monday. The brokerage set a ""sell"" rating on the insurance provider's stock. Shares of NASDAQ MHLD opened at $2.20 on Monday.",CRWD,0.082393,0.105373,Neutral
StockNews.com Begins Coverage on Cinedigm  ( NASDAQ:CIDM ) ,https://reporter.am/2023/01/09/stocknews-com-begins-coverage-on-cinedigm-nasdaqcidm-2.html,2023-01-09 08:10:41,"Equities research analysts at StockNews.com started coverage on shares of Cinedigm ( NASDAQ:CIDM - Get Rating ) in a report released on Monday. The brokerage set a ""sell"" rating on the business services provider's stock. CIDM stock opened at $0.47 on Monday.",CRWD,0.081276,0.133263,Neutral
StockNews.com Begins Coverage on LifeVantage  ( NASDAQ:LFVN ) ,https://reporter.am/2023/01/09/stocknews-com-begins-coverage-on-lifevantage-nasdaqlfvn-2.html,2023-01-09 08:10:41,"Investment analysts at StockNews.com started coverage on shares of LifeVantage ( NASDAQ:LFVN - Get Rating ) in a report released on Monday. The firm set a ""buy"" rating on the stock. Shares of LFVN opened at $3.82 on Monday. The stock has a market capitalization of $48.01 million, a P/E ratio of ...",CRWD,0.07157,0.12748,Neutral
Orion Energy Systems  ( NASDAQ:OESX )  Now Covered by StockNews.com,https://reporter.am/2023/01/09/orion-energy-systems-nasdaqoesx-now-covered-by-stocknews-com-3.html,2023-01-09 08:10:41,Orion Energy Systems ( NASDAQ:OESX ) Now Covered by ... Armenian Reporter ...,CRWD,0.070105,0.10486,Neutral
Advaxis  ( NASDAQ:ADXS )  Earns Sell Rating from Analysts at StockNews.com,https://reporter.am/2023/01/09/advaxis-nasdaqadxs-earns-sell-rating-from-analysts-at-stocknews-com.html,2023-01-09 08:10:41,Advaxis ( NASDAQ:ADXS ) Earns Sell Rating from Analysts at ... Armenian Reporter ...,CRWD,0.211191,0.008588,Neutral
Mexco Energy  ( NYSE:MXC )  Earns Hold Rating from Analysts at StockNews.com,https://reporter.am/2023/01/09/mexco-energy-nysemxc-earns-hold-rating-from-analysts-at-stocknews-com.html,2023-01-09 08:10:41,Mexco Energy ( NYSE:MXC ) Earns Hold Rating from Analysts at ... Armenian Reporter ...,CRWD,0.166169,0.122412,Neutral
SemiLEDs  ( NASDAQ:LEDS )  Coverage Initiated by Analysts at StockNews.com,https://www.etfdailynews.com/2023/01/09/semileds-nasdaqleds-coverage-initiated-by-analysts-at-stocknews-com/,2023-01-09 08:10:41,SemiLEDs ( NASDAQ:LEDS ) Coverage Initiated by Analysts at ... ETF Daily News ...,CRWD,0.124164,0.27639,Somewhat-Bullish
LadRx  ( NASDAQ:CYTR )  Coverage Initiated by Analysts at StockNews.com,https://reporter.am/2023/01/08/ladrx-nasdaqcytr-coverage-initiated-by-analysts-at-stocknews-com.html,2023-01-08 08:58:41,LadRx ( NASDAQ:CYTR ) Coverage Initiated by Analysts at ... Armenian Reporter ...,CRWD,0.197413,-0.038904,Neutral
LadRx  ( NASDAQ:CYTR )  Coverage Initiated by Analysts at StockNews.com,https://www.etfdailynews.com/2023/01/08/ladrx-nasdaqcytr-coverage-initiated-by-analysts-at-stocknews-com/,2023-01-08 08:58:41,LadRx ( NASDAQ:CYTR ) Coverage Initiated by Analysts at ... ETF Daily News ...,CRWD,0.194242,-0.026125,Neutral
"Charles & Colvard, Ltd.  ( NASDAQ:CTHR )  Earns Hold Rating from Analysts at StockNews.com",https://www.etfdailynews.com/2023/01/08/charles-colvard-ltd-nasdaqcthr-earns-hold-rating-from-analysts-at-stocknews-com/,2023-01-08 08:56:42,"Charles & Colvard, Ltd. ( NASDAQ:CTHR ) Earns Hold Rating from ... ETF Daily News ...",CRWD,0.086245,0.104459,Neutral
