title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Futures: Analysts Slash Tesla Views After Earnings Call; Humana Dives,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-tesla-falls-on-notably-lower-growth-forecast-humana-dives-on-warning/,2024-01-25 12:54:00,Dow Jones Futures: Tesla Plunges On 'Notably Lower' Growth Forecast. Humana Dives On Warning Investor's Business Daily ...,CSX,0.072508,-0.018238,Neutral
Stocks Slash Gains; Tesla Skids Late On Earnings Miss,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-slashes-gains-tesla-falls-on-earnings-with-ceo-elon-musk-on-deck/,2024-01-24 21:43:00,Dow Jones Futures: Stock Market Slashes Gains. Tesla Falls On Earnings With CEO Elon Musk On Deck Investor's Business Daily ...,CSX,0.116914,-0.015082,Neutral
"Rails Back On Track: Analyst Upgrades Union Pacific And Norfolk Southern, Predicts Strong Intermodal Recovery - CSX  ( NASDAQ:CSX ) , Norfolk Southern  ( NYSE:NSC ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/01/36721244/rails-back-on-track-analyst-upgrades-union-pacific-and-norfolk-southern-predicts-st,2024-01-22 18:09:07,"Bernstein analyst David Vernon upgraded the rating of some rail stocks, given the U.S. rail industry outlook for FY24. The analyst says that the spot truck market has been in a correction for around 21 months, with the contract market declining in the last 12 months and running ~5% below the ...",CSX,0.222838,-0.139515,Neutral
"Price increases drove corporate profit margins to historic highs during the pandemic. In 2024, cost cuts could help them resume their ascent",https://www.marketwatch.com/story/price-increases-drove-corporate-profit-margins-to-historic-highs-during-the-pandemic-in-2024-cost-cuts-could-help-them-resume-their-ascent-26f0d71a,2024-01-21 15:01:00,"After higher costs and shaky consumer demand caught up with corporate America last year, Wall Street now expects corporate profit margins to rebound through the first half of 2024, as more companies resort to layoffs, technology or other cutbacks in an effort to guard the bottom line and stave ...",CSX,0.057907,0.015051,Neutral
CSX Corp Announces Date for Fourth Quarter Earnings Release and Earnings Call,https://www.globenewswire.com/news-release/2024/01/04/2804119/0/en/CSX-Corp-Announces-Date-for-Fourth-Quarter-Earnings-Release-and-Earnings-Call.html,2024-01-04 15:00:00,"JACKSONVILLE, Fla., Jan. 04, 2024 ( GLOBE NEWSWIRE ) -- CSX Corp. ( NASDAQ: CSX ) will release fourth quarter financial and operating results after the market close on Wednesday, January 24, 2024. This will be followed by a conference call and live webcast hosted by the company's management team ...",CSX,0.76367,0.204802,Somewhat-Bullish
Is SPDR S&P Transportation ETF  ( XTN )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2198397/is-spdr-sp-transportation-etf-xtn-a-strong-etf-right-now,2023-12-15 11:20:03,Smart Beta ETF report for ...,CSX,0.120733,0.062256,Neutral
Should You Invest in the SPDR S&P Transportation ETF  ( XTN ) ?,https://www.zacks.com/stock/news/2193362/should-you-invest-in-the-spdr-sp-transportation-etf-xtn,2023-12-05 11:20:02,Sector ETF report for ...,CSX,0.136888,0.072135,Neutral
Senator's Bearish Tesla Bet Under Scrutiny As He Buys Put Options Ahead Of Elon Musk-Led Company's Q3 Results That Set Stock Slide In Motion - Tesla  ( NASDAQ:TSLA ) ,https://www.benzinga.com/markets/equities/23/11/35843401/senators-bearish-tesla-bet-under-scrutiny-as-he-buys-put-options-ahead-of-elon-musk-led-companys,2023-11-17 07:02:36,"Tesla, Inc. TSLA shares have been going through a lean phase and the modest recovery seen has been in fits-and-starts. Against this backdrop, a Congressman has disclosed on Thursday bearish bets on the electric vehicle giant. What Happened: Sen.",CSX,0.135347,0.134306,Neutral
CSX Chief Financial Officer to Address Stephens Annual Investment Conference,https://www.globenewswire.com/news-release/2023/11/08/2776456/0/en/CSX-Chief-Financial-Officer-to-Address-Stephens-Annual-Investment-Conference.html,2023-11-08 16:00:00,"JACKSONVILLE, Fla., Nov. 08, 2023 ( GLOBE NEWSWIRE ) -- CSX Corp. ( NASDAQ: CSX ) Executive Vice President and Chief Financial Officer, Sean Pelkey, will address the Stephens Annual Investment Conference in Nashville on Tuesday, November 14, at 10:00 a.m. Eastern time.",CSX,0.827318,0.153366,Somewhat-Bullish
"Zacks Industry Outlook Highlights Canadian National Railway, Canadian Pacific Kansas City and CSX",https://www.zacks.com/stock/news/2174608/zacks-industry-outlook-highlights-canadian-national-railway-canadian-pacific-kansas-city-and-csx,2023-10-30 13:35:00,"Canadian National Railway, Canadian Pacific Kansas City and CSX are part of the Zacks Industry Outlook article.",CSX,0.328819,0.254517,Somewhat-Bullish
