title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
"Finance Accounting Business Process Outsourcing Market to grow at 7.85% CAGR from 2023 to 2028, Accenture Plc ... - PR Newswire",https://www.prnewswire.com/news-releases/finance-accounting-business-process-outsourcing-market-to-grow-at-7-85-cagr-from-2023-to-2028--accenture-plc-alight-solutions-llc-amdocs-ltd-among-key-contributors-to-growth---technavio-302044098.html,2024-01-26 01:30:00,"Finance Accounting Business Process Outsourcing Market to grow at 7.85% CAGR from 2023 to 2028, Accenture Plc ... PR ...",CTSH,0.063258,0.029005,Neutral
Manhattan's  ( MANH )  New Dashboard Launch to Aid Retailers,https://www.zacks.com/stock/news/2214347/manhattans-manh-new-dashboard-launch-to-aid-retailers,2024-01-23 16:09:00,Manhattan (MANH) launches a new dashboard for retailers to assess their overall performance.,CTSH,0.120431,0.05992,Neutral
Real Time Payments Market 2022-2027; USD 55.54 billion Incremental Growth - Technavio - PR Newswire,https://www.prnewswire.com/news-releases/real-time-payments-market-2022-2027-usd-55-54-billion-incremental-growth---technavio-302041247.html,2024-01-23 04:15:00,Real Time Payments Market 2022-2027. USD 55.54 billion Incremental Growth - Technavio PR ...,CTSH,0.060848,0.096057,Neutral
"Microsoft  ( MSFT ) , Vodafone Sign $1.5B Deal for AI, Cloud & IoT",https://www.zacks.com/stock/news/2211380/microsoft-msft-vodafone-sign-15b-deal-for-ai-cloud-iot,2024-01-17 14:24:00,"Microsoft (MSFT) partners with Vodafone to bring generative AI, digital, enterprise and cloud services to more than 300 million businesses and consumers in European and African markets.",CTSH,0.107978,0.263833,Somewhat-Bullish
Cognizant  ( CTSH )  Boosts Innovation With Microsoft AI Assistant,https://www.zacks.com/stock/news/2210894/cognizant-ctsh-boosts-innovation-with-microsoft-ai-assistant,2024-01-16 16:28:00,"Cognizant (CTSH) and Microsoft's Innovation Assistant, powered by Azure OpenAI, boosts creative problem-solving in client challenges through Bluebolt.",CTSH,0.301315,0.0,Neutral
Boyden Appoints Business Guru Gary Pikul Chief Transformation and Risk Management Officer,https://www.benzinga.com/pressreleases/24/01/g36571286/boyden-appoints-business-guru-gary-pikul-chief-transformation-and-risk-management-officer,2024-01-10 08:00:00,"New York, Jan. 10, 2024 ( GLOBE NEWSWIRE ) -- Boyden, a premier global leadership and talent advisory firm, is delighted to announce the appointment of Gary Pikul as Chief Transformation and Risk Management Officer.",CTSH,0.069094,0.03409,Neutral
"Healthcare BPO Market size to grow by USD 12.90 billion from 2022 to 2027, Growth Driven by the presence of skilled ... - PR Newswire",https://www.prnewswire.com/news-releases/healthcare-bpo-market-size-to-grow-by-usd-12-90-billion-from-2022-to-2027--growth-driven-by-the-presence-of-skilled-professionals---technavio-302027967.html,2024-01-09 04:35:00,"Healthcare BPO Market size to grow by USD 12.90 billion from 2022 to 2027, Growth Driven by the presence of skilled ... PR ...",CTSH,0.040969,0.036701,Neutral
IT firms to CXOs: No poaching after exit,https://www.financialexpress.com/business/industry-it-firms-to-cxos-no-poaching-after-exit-3358014/,2024-01-08 00:30:00,"IT firms are now reworking the contracts with their senior executives by putting in a clause which restrains them from soliciting, hiring or poaching employees after joining rival companies.",CTSH,0.114682,0.0,Neutral
Cognizant  ( CTSH )  Expands Healthcare Footprint With Fortrea Deal,https://www.zacks.com/stock/news/2206511/cognizant-ctsh-expands-healthcare-footprint-with-fortrea-deal,2024-01-05 17:51:00,"Cognizant (CTSH) drives Fortrea's digital journey, reshaping the CRO industry with a four-year transformative technology partnership.",CTSH,0.359707,0.260351,Somewhat-Bullish
CK Birla Group's Birlasoft names Manjunath Kygonahally as overseas CEO,https://www.business-standard.com/companies/news/ck-birla-group-s-birlasoft-names-manjunath-kygonahally-as-overseas-ceo-124010200707_1.html,2024-01-02 12:19:42,"The IT company had reported a 26 per cent increase in profit after tax for the September 2023 quarter. ( Photo: X ) Kygonahally has been credited with being a seasoned services industry professional with expertise spanning ""market strategy, business development, service delivery, and ...",CTSH,0.151539,0.0,Neutral
Is First Trust Technology AlphaDEX ETF  ( FXL )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2204030/is-first-trust-technology-alphadex-etf-fxl-a-strong-etf-right-now,2024-01-01 11:20:06,Smart Beta ETF report for ...,CTSH,0.114409,0.04981,Neutral
"Cognizant Technology Solutions To Rally Over 13%? Here Are 10 Top Analyst Forecasts For Tuesday - CMS Energy  ( NYSE:CMS ) , AlloVir  ( NASDAQ:ALVR ) ",https://www.benzinga.com/news/23/12/36383220/cognizant-technology-solutions-to-rally-over-13-here-are-10-top-analyst-forecasts-for-tuesday,2023-12-26 13:03:37,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. HC Wainwright & Co. raised Karuna Therapeutics, Inc. KRTX price target from $300 to $330.",CTSH,0.158,0.317947,Somewhat-Bullish
Cognizant  ( CTSH )  Boosts AI-Driven Automation With ServiceNow,https://www.zacks.com/stock/news/2198114/cognizant-ctsh-boosts-ai-driven-automation-with-servicenow,2023-12-14 16:29:00,Cognizant (CTSH) acquires Thirdera for enhanced AI-driven solutions and boosts ServiceNow strength.,CTSH,0.371523,0.151203,Somewhat-Bullish
"Healthcare IT market size to grow by USD 168.86 billion from 2023 - 2027 | 3M Co., Allscripts Healthcare Solutions Inc ... - PR Newswire",https://www.prnewswire.com/news-releases/healthcare-it-market-size-to-grow-by-usd-168-86-billion-from-2023---2027--3m-co-allscripts-healthcare-solutions-inc-and-more-among-the-key-companies-in-the-market---technavio-302013348.html,2023-12-13 01:15:00,"Healthcare IT market size to grow by USD 168.86 billion from 2023 - 2027 | 3M Co., Allscripts Healthcare Solutions Inc ... PR ...",CTSH,0.052455,0.056685,Neutral
Should You Invest in the First Trust Technology AlphaDEX ETF  ( FXL ) ?,https://www.zacks.com/stock/news/2196545/should-you-invest-in-the-first-trust-technology-alphadex-etf-fxl,2023-12-12 11:20:06,Sector ETF report for ...,CTSH,0.12546,0.056385,Neutral
Infosys appoints Jayesh Sanghrajka as CFO as Nilanjan Roy resigns,https://www.business-standard.com/companies/people/infosys-appoints-jayesh-sanghrajka-as-cfo-as-nilanjan-roy-resigns-123121101212_1.html,2023-12-11 15:48:11,"In a sudden move, Infosys has appointed Jayesh Sanghrajka as its chief financial officer ( CFO ) and key managerial personnel of the company with effect from 1 April 2024. Sanghrajka will be taking over from Nilanjan Roy, who has resigned after serving in this role since 2018.",CTSH,0.078354,-0.092273,Neutral
"Cognizant  ( CTSH )  Rides on Expanding Clientele, Partner Base",https://www.zacks.com/stock/news/2195112/cognizant-ctsh-rides-on-expanding-clientele-partner-base,2023-12-07 20:14:00,Cognizant (CTSH) is expanding its footprint into domains like education based on the latest partnership with The University of Melbourne (UoM).,CTSH,0.379435,0.659653,Bullish
CTSH: 4 Outsourcing Stock Buys for December Gains,https://stocknews.com/news/ctsh-mitfy-prdo-hson-4-outsourcing-stock-buys-for-december-gains/,2023-12-05 16:30:27,"The future of the outsourcing industry looks bright, driven by global trends in technology, digitization, and cloud migrations. The need for skilled professionals, flexibility, cost savings, operational efficiency, innovation, intellectual property, and thought leadership propels the need for ...",CTSH,0.142847,0.215219,Somewhat-Bullish
Healthcare IT market size to grow by USD 168.86 billion from 2023 - 2027 : The increasing focus on improving the ... - PR Newswire,https://www.prnewswire.com/news-releases/healthcare-it-market-size-to-grow-by-usd-168-86-billion-from-2023---2027--the-increasing-focus-on-improving-the-quality-of-services-and-efficiency-to-drive-the-market-growth---technavio-302003793.html,2023-12-04 01:15:00,Healthcare IT market size to grow by USD 168.86 billion from 2023 - 2027 : The increasing focus on improving the ... PR ...,CTSH,0.049526,0.027667,Neutral
Why Is Cognizant  ( CTSH )  Up 10.6% Since Last Earnings Report?,https://www.zacks.com/stock/news/2192386/why-is-cognizant-ctsh-up-106-since-last-earnings-report,2023-12-01 16:31:55,Cognizant (CTSH) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,CTSH,0.040691,0.062927,Neutral
"Global Life Science Analytics Software Market set to achieve a 12.5% CAGR, projected to attain USD 19,570 Million by 2030 as per Straits Research - Accenture  ( NYSE:ACN ) , Toshiba  ( OTC:TOSYY ) ",https://www.benzinga.com/pressreleases/23/11/g36025556/global-life-science-analytics-software-market-set-to-achieve-a-12-5-cagr-projected-to-attain-usd-1,2023-11-30 15:30:00,"New York, United States, Nov. 30, 2023 ( GLOBE NEWSWIRE ) -- Software for analysis conducts statistical and quantitative analysis. It generates and exports exploratory and predictive models for decision-making.",CTSH,0.040484,0.0302,Neutral
Enterprise Information Management (EIM) Market size to grow by USD 88.02 billion between 2023 - 2028| Driven by ... - PR Newswire,https://www.prnewswire.com/news-releases/enterprise-information-management-eim-market-size-to-grow-by-usd-88-02-billion-between-2023---2028-driven-by-rising-demand-for-digitalization--technavio-301996078.html,2023-11-23 01:15:00,Enterprise Information Management ( EIM ) Market size to grow by USD 88.02 billion between 2023 - 2028| Driven by ... PR ...,CTSH,0.063258,0.04501,Neutral
"Trade Management Software Market size to USD 1.05 billion growth between 2022 - 2027, Driven by Growing need for ... - PR Newswire",https://www.prnewswire.com/news-releases/trade-management-software-market-size-to-usd-1-05-billion-growth-between-2022---2027--driven-by-growing-need-for-improved-supply-chain-efficiency---technavio-301993541.html,2023-11-21 22:15:00,"Trade Management Software Market size to USD 1.05 billion growth between 2022 - 2027, Driven by Growing need for ... PR ...",CTSH,0.060848,0.0,Neutral
ACN: 4 Top Rated Outsourcing Tech Stocks to Consider Buying,https://stocknews.com/news/acn-ctsh-nrily-hckt-wday-4-top-rated-outsourcing-tech-stocks-to-consider-buying/,2023-11-17 17:43:20,"The tech industry is growing amid significant advancements, widespread digitization across industries, and increasing cloud migrations. So, quality tech stocks Accenture plc ( ACN ) , Nomura Research Institute, Ltd. ( NRILY ) , Cognizant Technology Solutions Corporation ( CTSH ) and The Hackett ...",CTSH,0.165598,0.081793,Neutral
GIB: CGI  ( GIB )  Q4 Earnings Analysis -- Should You Buy the Stock Now?,https://stocknews.com/news/gib-hckt-ctsh-acn-cgi-gib-q4-earnings-analysis-should-you-buy-the/,2023-11-10 18:27:06,GIB: CGI ( GIB ) Q4 Earnings Analysis -- Should You Buy the Stock ... ...,CTSH,0.05339,0.17874,Somewhat-Bullish
Group of Google contractors who work on Search and Bard win union vote,https://www.cnbc.com/2023/11/07/group-of-google-contractors-who-work-on-win-union-vote.html,2023-11-07 23:03:05,"A group of Google contractors, some of whom have worked on Search and Google's artificial intelligence chatbot Bard, have successfully voted to unionize.",CTSH,0.073098,0.072489,Neutral
"Artificial Intelligence Market in the Education Sector to Grow by USD 1,100.07 million from 2022 to 2027 | North ... - PR Newswire",https://www.prnewswire.com/news-releases/artificial-intelligence-market-in-the-education-sector-to-grow-by-usd-1-100-07-million-from-2022-to-2027--north-america-is-estimated-to-account-for-43-of-the-growth-of-the-global-market---technavio-301977691.html,2023-11-06 06:35:00,"Artificial Intelligence Market in the Education Sector to Grow by USD 1,100.07 million from 2022 to 2027 | North ... PR ...",CTSH,0.032294,0.120967,Neutral
"Cognizant  ( CTSH )  Q3 Earnings Beat Estimates, Revenues Up Y/Y",https://www.zacks.com/stock/news/2177623/cognizant-ctsh-q3-earnings-beat-estimates-revenues-up-yy,2023-11-02 17:39:00,"Cognizant's (CTSH) third-quarter 2023 results benefit from strong Communications, Media and Technology revenues, as well as acquisitions, amid a challenging macro environment.",CTSH,0.167904,0.062522,Neutral
