title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
World Bank Sees Slow Growth in 2023,https://www.zacks.com/stock/news/2037562/world-bank-sees-slow-growth-in-2023,2023-01-10 22:29:00,The World Bank has slashed its 2023 growth projection from to +1.7% from +3% it just six short months ago.,CVS,0.428632,-0.008858,Neutral
The Worldwide Progressive Lenses Industry is Expected to Reach $38.6 Billion by 2027,https://www.prnewswire.com/news-releases/the-worldwide-progressive-lenses-industry-is-expected-to-reach-38-6-billion-by-2027--301718119.html,2023-01-10 21:45:00,The Worldwide Progressive Lenses Industry is Expected to Reach ... PR ...,CVS,0.124325,0.096062,Neutral
Stock Market Posted Respectable Gains; Test Systems Stock Breaks Out,https://www.investors.com/market-trend/stock-market-today/stock-market-holds-onto-small-gains-drug-stock-breaks-out/,2023-01-10 21:39:00,Stock Market Holds Gains. Chip Stock Breaks Out | Investor's ... Investor's Business Daily ...,CVS,0.116348,0.041197,Neutral
"Sotera Health, Coinbase rise; Broadcom falls",https://apnews.com/article/business-broadcom-corp-financial-markets-microsoft-inari-medical-inc-e1753fabe6249340886c6c5fc22ec369,2023-01-10 21:19:50,"Sotera Health, Coinbase rise. Broadcom falls The Associated Press - en ...",CVS,0.209365,0.55346,Bullish
A CVS Deal for Oakmark Health Might Create Value. There's a Short-Term Risk.,https://www.barrons.com/articles/cvs-oakmark-merger-stock-51673382322,2023-01-10 20:29:00,"Oak Street Health shares skyrocketed Tuesday on a report that CVS Health is acquiring the primary care provider. The potential deal makes strategic sense, Wall Street says, but not all the news is good.",CVS,0.939207,0.356548,Bullish
"Author Post: Remote Work Is Great For Equity, Diversity",https://www.forbes.com/sites/forbesbooksauthors/2023/01/10/remote-work-is-great-for-equity-diversity/,2023-01-10 19:55:58,"One of the great benefits of the pandemic-driven increase in remote work is that it has given employers access to a much larger talent pool, as many firms are now able to make hires almost regardless of location.",CVS,0.093108,0.062263,Neutral
What To Know About Ana Walshe: Missing Massachusetts Woman Whose Husband Is Charged With Misleading Investigators,https://www.forbes.com/sites/conormurray/2023/01/10/what-to-know-about-ana-walshe-missing-massachusetts-woman-whose-husband-is-charged-with-misleading-investigators/,2023-01-10 19:43:22,"Police found a bloody knife in the basement of the Walshe family's Cohasset, Massachusetts home.",CVS,0.059488,-0.061025,Neutral
$100 Invested In CVS Health 20 Years Ago Would Be Worth This Much Today - CVS Health  ( NYSE:CVS ) ,https://www.benzinga.com/news/earnings/23/01/30359843/100-invested-in-cvs-health-20-years-ago-would-be-worth-this-much-today,2023-01-10 19:02:59,"CVS Health CVS has outperformed the market over the past 20 years by 2.78% on an annualized basis producing an average annual return of 10.34%. Currently, CVS Health has a market capitalization of $119.18 billion.",CVS,0.980595,0.386944,Bullish
"Stocks making the biggest moves midday: Bed Bath & Beyond, Coinbase, Virgin Orbit and more",https://www.cnbc.com/2023/01/10/stocks-making-the-biggest-moves-midday-virgin-orbit-bed-bath-beyond-coinbase-and-more.html,2023-01-10 17:43:40,These are the stocks posting the largest moves midday.,CVS,0.054732,0.143831,Neutral
Sen. Bernie Sanders urges Moderna not to hike price of Covid-19 vaccines,https://www.cnbc.com/2023/01/10/bernie-sanders-urges-moderna-not-to-hike-covid-19-vaccine-price.html,2023-01-10 17:38:05,"Sanders, the incoming chair of the Senate health committee, called the price increase ""outrageous"" in a letter to Moderna CEO Stephane Bancel.",CVS,0.057767,0.0,Neutral
"Stock Indexes Move Lower Ahead of Key Consumer Data, More Fed Speakers - Coinbase Global  ( NASDAQ:COIN ) , Boeing  ( NYSE:BA ) ",https://www.benzinga.com/federal-reserve/23/01/30358199/stock-indexes-move-lower-ahead-of-key-consumer-data-more-fed-speakers,2023-01-10 17:21:15,( Tuesday Market Open ) Investors remained subdued Tuesday morning after a reality check from Federal Reserve speakers yesterday and rising anticipation ahead of a key U.S. inflation measure. Major stock futures turned lower before the opening while oil and Treasuries rose slightly.,CVS,0.059785,0.206047,Somewhat-Bullish
"Crude Oil Rises Over 1%; Oak Street Health Shares Spike Higher - Biolase  ( NASDAQ:BIOL ) , BioAtla  ( NASDAQ:BCAB ) ",https://www.benzinga.com/news/earnings/23/01/30358054/crude-oil-rises-over-1-oak-street-health-shares-spike-higher,2023-01-10 17:10:59,"U.S. stocks traded slightly higher midway through trading, with the Dow Jones around than 30 points on Tuesday. The Dow traded up 0.11% to 33,554.01 while the NASDAQ rose 0.21% to 10,657.52. The S&P 500 also rose, gaining, 0.11% to 3,896.25. Check This Out: Ethereum Remains Above This Key Level.",CVS,0.08687,0.298512,Somewhat-Bullish
CVS Health May Buy Oak Street Health. Should You Buy CVS Stock?,https://www.thestreet.com/investing/stocks/cvs-health-may-buy-oak-street-health-should-you-buy-cvs-stock,2023-01-10 17:09:00,CVS Health is reportedly exploring a $10 billion deal to buy Oak Street Health. Will that make CVS stock a buy?,CVS,0.861079,0.021071,Neutral
