title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Chevron  ( CVX )  Gains But Lags Market: What You Should Know,https://www.zacks.com/stock/news/2037575/chevron-cvx-gains-but-lags-market-what-you-should-know,2023-01-10 22:45:21,"Chevron (CVX) closed at $176.04 in the latest trading session, marking a +0.49% move from the prior day.",CVX,0.64962,0.307553,Somewhat-Bullish
1 Exceptional Passive-Income Stock to Buy Right Now,https://www.fool.com/investing/2023/01/10/1-exceptional-passive-income-stock-to-buy-right-no/,2023-01-10 13:24:00,This company continues to pipe more passive income into its investors' pockets.,CVX,0.186738,0.217219,Somewhat-Bullish
Futures Fall Ahead Of Powell Speech; Boeing Slides On Downgrade,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-fall-ahead-of-powell-speech-boeing-slides-on-downgrade/,2023-01-10 13:18:00,Futures Fall Ahead Of Powell Speech. Boeing Slides On Downgrade Investor's Business Daily ...,CVX,0.109831,0.11806,Neutral
Futures: Rally Stumbles Ahead Of Powell Speech,https://www.investors.com/market-trend/stock-market-today/dow-jones-reverses-lower-ahead-of-powell-speech-best-stocks-to-buy-and-watch/,2023-01-09 21:56:00,Dow Jones Reverses Lower Ahead Of Powell Speech. 7 Best Stocks ... Investor's Business Daily ...,CVX,0.105295,0.145632,Neutral
"If You Invested $1000 In This Stock 20 Years Ago, You Would Have $5,100 Today - Chevron  ( NYSE:CVX ) ",https://www.benzinga.com/news/earnings/23/01/30339234/if-you-invested-1000-in-this-stock-20-years-ago-you-would-have-5-100-today,2023-01-09 19:31:07,"Chevron CVX has outperformed the market over the past 20 years by 1.01% on an annualized basis producing an average annual return of 8.5%. Currently, Chevron has a market capitalization of $335.25 billion.",CVX,0.983605,0.387251,Bullish
Short Sellers Profited By 31% in 2022 on Stock Picks,https://www.thestreet.com/stocks/short-sellers-profited-by-31-in-2022-on-stock-picks,2023-01-09 17:25:00,Tesla was the number one stock that short sellers made money from in 2022.,CVX,0.083251,0.304396,Somewhat-Bullish
Futures Rise Ahead Of Q4 Earnings Season,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-rise-ahead-of-earnings-season-tesla-stock-continues-to-rebound/,2023-01-09 13:23:00,"Dow Jones futures came off early highs Monday, wrestling to add to Friday's powerful stock market gains. Fourth-quarter earnings season kicks off this week, with highly anticipated results from Dow Jones members JPMorgan Chase ( JPM ) and UnitedHealth Group ( UNH ) .",CVX,0.133285,0.135649,Neutral
"MassMutual Trust Trims Tesla, Google Parent Alphabet Stakes In December Quarter - Alphabet  ( NASDAQ:GOOG ) , Tesla  ( NASDAQ:TSLA ) ",https://www.benzinga.com/trading-ideas/long-ideas/23/01/30325779/massmutual-trust-slashes-tesla-stake-in-december-quarter-amid-stocks-spectacular-fall-al,2023-01-09 12:30:29,"The MassMutual Trust Company FSB, a wholly owned subsidiary of Massachusetts Mutual Life Insurance Company, trimmed its stake in Tesla Inc TSLA and Alphabet Inc GOOGL GOOG shares during the December quarter, according to SEC filings.",CVX,0.285526,0.019504,Neutral
"This Analyst With 85% Accuracy Rate Slashes PT On Bed Bath & Beyond; Here Are 5 Stock Picks For Last Week From 's Most Accurate Analysts - Chevron  ( NYSE:CVX ) , Bed Bath & Beyond  ( NASDAQ:BBBY ) ",https://www.benzinga.com/news/23/01/30328938/this-analyst-with-85-accuracy-rate-slashes-pt-on-bed-bath-beyond-here-are-5-stock-picks-for-last-wee,2023-01-09 11:36:00,"US stocks closed sharply higher on Friday, with the Dow Jones gaining 700 points during the session. The Dow also added 1.5% during the first week of 2023. Wall Street analysts make new stock picks on a daily basis.",CVX,0.163909,-0.084362,Neutral
Should You Invest in the Energy Select Sector SPDR ETF  ( XLE ) ?,https://www.zacks.com/stock/news/2036574/should-you-invest-in-the-energy-select-sector-spdr-etf-xle,2023-01-09 11:20:07,Sector ETF report for ...,CVX,0.134968,0.071604,Neutral
