title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Huge Event Shows Las Vegas Strip Faces a New Reality  ( Blame Covid ) ,https://www.thestreet.com/travel/ces-shows-las-vegas-strip-faces-a-new-reality-blame-covid,2023-01-10 15:04:00,"Everyone wants a return to normal, but the covid pandemic has actually led to some permanent changes for Las Vegas casinos.",CZR,0.21258,0.132211,Neutral
Integer to Exhibit at NANS 2023 Annual Meeting - Integer Holdings  ( NYSE:ITGR ) ,https://www.benzinga.com/pressreleases/23/01/g30351659/integer-to-exhibit-at-nans-2023-annual-meeting,2023-01-10 13:30:00,"PLANO, Texas, Jan. 10, 2023 ( GLOBE NEWSWIRE ) -- Integer Holdings Corporation ITGR, a leading medical device outsource ( MDO ) manufacturer, will exhibit at the 26th North American Neuromodulation Society ( NANS ) Annual Meeting at Caesars Palace Convention Center in Las Vegas, Nevada, from ...",CZR,0.103331,0.035265,Neutral
Las Vegas Strip Brings Back Popular Country Group,https://www.thestreet.com/travel/las-vegas-strip-brings-back-popular-country-group,2023-01-10 01:35:00,"A popular country band, known for making political and socially conscious statements, will hit the stage on the Las Vegas Strip.",CZR,0.188683,0.064432,Neutral
"GRAMMY AWARD-WINNING GLOBAL SUPERSTARS THE CHICKS ANNOUNCE EXCLUSIVE LAS VEGAS ENGAGEMENT AT ZAPPOS THEATER AT PLANET HOLLYWOOD RESORT & CASINO MAY 3-13, 2023 - Live Nation Entertainment  ( NYSE:LYV ) , Caesars Entertainment  ( NASDAQ:CZR ) ",https://www.benzinga.com/pressreleases/23/01/n30330946/grammy-award-winning-global-superstars-the-chicks-announce-exclusive-las-vegas-engagement-at-zappo,2023-01-09 13:00:00,"LAS VEGAS, Jan. 9, 2023 /PRNewswire/ -- Today, 13-time GRAMMY® Award-winning, multi-platinum selling global superstars, The Chicks, announce their first ever Las Vegas engagement at Zappos Theater at Planet Hollywood Resort & Casino.",CZR,0.275867,0.26998,Somewhat-Bullish
Las Vegas Strip Leader Suffers 'Terrorist' Attack,https://www.thestreet.com/travel/las-vegas-strip-leader-suffers-terrorist-attack,2023-01-07 16:50:00,"The damage will take up to two years to repair, but nobody was hurt in Las Vegas' latest high-profile incident.",CZR,0.211806,0.058175,Neutral
Las Vegas Strip Player Building a 'Circus Village',https://www.thestreet.com/travel/las-vegas-strip-player-building-a-circus-village,2023-01-07 15:00:00,"While it sounds like something out of a movie, one of Sin City's leading show producers has a bold idea.",CZR,0.199037,0.366013,Bullish
Huge Las Vegas Strip Properties Likely up for Sale,https://www.thestreet.com/travel/huge-las-vegas-strip-properties-likely-up-for-sale,2023-01-05 14:49:00,"Some of the biggest names on the Strip appear to be up for bids, and one billionaire casino owner looks likely to be a potential buyer.",CZR,0.147516,0.097383,Neutral
NeoGames' Pariplay® makes further significant step in United States with Caesars Sportsbook & Casino launch in New Jersey,https://www.globenewswire.com/news-release/2023/01/05/2583728/0/en/NeoGames-Pariplay-makes-further-significant-step-in-United-States-with-Caesars-Sportsbook-Casino-launch-in-New-Jersey.html,2023-01-05 13:30:00,Wizard Games content is first to go live as part of Fusion platform agreement Wizard Games content is first to go live as part of Fusion platform agreement ...,CZR,0.290853,0.328774,Somewhat-Bullish
"Casino stocks in 2023: It could come down to this region, analysts say",https://www.marketwatch.com/story/casino-stocks-in-2023-it-could-come-down-to-this-region-analysts-say-11672864992,2023-01-04 20:43:00,"Macau's reopening could be the biggest driver of Wall Street's optimism on the sector's overall profits, analysts said on Wednesday.",CZR,0.146916,0.0,Neutral
George Goldhoff Named President and Mike Sampson Named General Manager of Hard Rock Hotel & Casino Atlantic City,https://www.benzinga.com/pressreleases/23/01/n30281640/george-goldhoff-named-president-and-mike-sampson-named-general-manager-of-hard-rock-hotel-casino-a,2023-01-04 20:14:00,"ATLANTIC CITY, N.J., Jan. 4, 2023 /PRNewswire/ -- George Goldhoff has been named President of Hard Rock Hotel & Casino Atlantic City effective Jan. 30, 2023, pending regulatory approval. Goldhoff reports directly to Jim Allen, Chairman and CEO of Hard Rock International and CEO of Seminole Gaming.",CZR,0.03453,0.164379,Somewhat-Bullish
